-อืม--	ʔɯ̌ːm
ggg	ggg
ghost	˥gɔːt
gi	gi˥
gibbon	gìp̚pʰón
gift	gɪf
gimme	gim˨˩
ginger	ŋiŋ˥
gingkenaya	gɪŋkɛnɑː
girigiri	gi˨ri˨gi˨
givin	gɪʋɪn˥
gladiator	glaːdiːaːt̚
glee	gleː
gloans	klɔ̄ːn
global	glɔːp
glock	klɔk
glory	klɔː˥
go	go˨
god	˥ɔːt
gods	˥ɔːt
godxavia	gɔ̀ɗtɕʰawi˧
goes	goes˧oʊ˥
goh	˥gɔː
goin	goin˥
gokii	gokiː
golf	gɔ̄ːf
gone	go˥n
gong	˥gɔŋ
goo	goo˧
goon	goːn˥
goong	goŋ˨
gordon	gɔːn˥
gosh	gɔ̀
gossip	go˥sip˩
got	˥ɔːt
gotcha	gɔ̀ttɕʰa
gotham	gɔʔtʰam
gotta	gɔ̀t̚tá
grab	gráp
gracias	krɑːsi˥
graciexj	grātɕēː
grade	grɛː˥
grave	krɑːw˥
grayson	graj˥sɔːn˥
greendale	˥gɹeːn˨daːl˥
greene	krɛːn
greer	grɛ̀ː
grill	grɪl˥
grimm	grɪm˥
gringo	grɪŋ˥
groaning	krɔːŋ
groans	krɔːn˥
gross	grɔːs
grossotest	grɔː˥sɔː˧tɛː˥
ground	gɯ̄ːn
group	grɯːp
growls	glɔːl
grunting	krɯŋ˥
grunts	krɯnʔ
gtr	gɯt̚
gu	gu˥
gudjang	gùdʑàŋ
guest	gɯ̄ːt
guide	gɯːt
guiderod	gwìːdɛ̀ːt
guitar	gʊi˨taː˥
guk	gùk
gun	gun˥
gunnars	gun˨naː˥s
guns	gun˥
gunshot	gunʔsɔːt
gunshots	gunʔsɔːt
guy	˥gɯj
guzman	guʔsaːn
gwan	gʷan˥
gyeongchul	˥ʝeːŋ˧tɕʰuːl
gym	gɯm˥
gyoza	˥gjoː˧˥zaː˥
gâ	gaː˥
gะตt	gaʔt
gะพ	gaʔp
gะพt	gaʔpʰ
gั	ga˥
h	h˥
h1	h˥
ha	ha˥
ha-ha-ha	ha˥ha˧ha˥
hachi	ha˥chi˩
hadn	hɑːn˧
hae	˥ɛ̄
haha	ha˧a˥
hahn	hɑːn˥
hai	hai˧
haif	haɪ˧
hair	ʔaj˥
hak	˥ɑk
hal	hal˥
hall	haːl˥
halo	ha˥lo˩
hammer	haː˥meː˩
han	han˧
hana	ha˥na˩
hang	˥aŋ
hanging	˥aŋ˧ŋ
hannah	hannaʔ
happened	hɛ̀ːpʰɛ̀ːn
happening	hɑːpʰɛ̀ːŋ
happens	ha˥pen˧
harbor	hɑː˥bɔː˥
hard	hɑːt
harder	haː˥daː˩
hardsubbing	hɑːdsʊpʰiŋ
harley-davidson	hɑːlɛːdɑːwɛːtsʊn
harrison	hɑː˥rɪ˧sɔː˥n
harry	ha˥ri˧
haru	ha˨ru˥
harvey	ha˨re˧wai˥
hasn	hɑːn˥
hate	hɛ̀t
hawkins	haʊ̯kɪn
he	he˧
heal	ʔɛː˥
healing	ʔɛː˥lɪŋ˧
hear	ʔɛː˥
heard	heː
heart	ʔɛːt˥
heart-lung	ʔɛːtluŋ
heat	ʔɛːt˥
heck	hek˥
hee	˥i
heh	˥hɛ̀
hein	heɪn˧
heiso2	heɪ˧soʔ
heiwa	haiwa
held	˥lɛt
hello	sɔ̀ː
helping	hɛ̀lpʰiŋ
hendrix	hɛ̀ntrɪk
henge	˥˧ne˧
henry	hɛn˨ri˧
henshin	hɛn˧ʃin˥
herrera	heʔreː
hex	˥ɛk
hey	hai˥
heyha	hɛ̀jhɑ̀
heyy	heː
hibi	hi˥bi˩
highly	haːj˥liː˧
hikari	hɪkɪ˧raʔ
hills	hiːl
hilton	hɪl˨tɔːn˥
him	hɪm˧
hinako	hɪ˨na˧ko˥
hinotori	hɪ˨nɔ˧tɔ˥rɪ˨
hip	hip˥
hiro	hɪrɒ˥
hirose	hi˥roʊ˧se˥
hiroshi	hi˥ro˩si˧
hisakosama	hɪsʰa˥ko˩sa˧ma˥
hit	hɪt˧
hitamukina	hɪtamukɪna
hito	hɪtɒ˥
hitomi	hɪtɔːmʰi
hitomi83	hɪtɔːmʰiː
hitotsu	˥˧ti˨˩tɯ˨˧
hits	hɪt˧
hm	hm˥
hmâ	˥mɑː
ho	ho˨
hodo	ho˧do˥
hodokenai	ho˨do˥ke˧nai˥
hoff	hof˥
hola	hɔ˧la˥
hole	˥ɔː˧
holld	hɔːl
hollow	hɔː˥lɔː˧
home	hɔːm
homeland	˥ɔːm˩˧lɛːn˥
homie	˥ɔː˧˥mɤː˨
hon	˥ɔn
honey	˥hɔː˧niː˩
honeybunny	hʌn˨bʌn˨
hong	hɔŋ˧
honor	˥ɔːn
hontou	hɔ̀n˨tɔ̄u˥
hoo	hoo˨
hook	hoːk
hooyah	hoo˨ya˩
hop	hɔ̀p
horn	hoːn˥
hornet	˥ɔːn˥ʔeːt˥
horror	ho˥ra˩
horse	ʔɔː˥
hoshino	ho˨ʃi˧no˥
hosho	ho˥so˨
hospital	hoʔpɪttʰɑ̀ːl
host	hɔ̀st
hot	˥ɔːt
hotel	˥to˧˥tɛl
hotorikoy	˥˧ʔo˧to˥ri˧ko˧ʔ
hour	ʔaʊ̯
houston	houstonhau˨˦tɔn˨
howard	hɔ̀wɑ̀ːd
howdy	˥oʊ˧di
howling	˥ɔː˧˥lɪŋ˥
howsad	˥ɔː˨saː˧˥
hpotter100	ʔɔːt̚˥tɛː˧˥
hudchewman	hʊttɕʰɯ̄ːm
hudson	hʊd̥sɔ̄n
huh	˥hu
huhurara	hu˥ra˩ra˧
huiss	huɪs˧
humming	hʊm˧
humphrey	hʌm˨pʰɯ̄˧
hun	hʊn˧
hung	hʊŋ˥
hunger	ʔuŋ˨
hungry	ɦuŋ˥
hunk	hʊŋ˥
hunter	hʉ̀ntʰeʉ̂
hup	ʔùp
hurt	hʊ̀t
hwa	ɦʷa˥
hwan	hwan˥
hwang-hu	hwaŋ˧hu˨
hwi	hwi˧
hye	˥jɛ
hyhy	hi˨hi˧
hyo	hyo˨
hyorin	˥joː˧˥rɪn˧
hyper	hi˥pe˩
hypothermia	ʔi˥pʰo˦tʰe˧mi˥a
hyun	˥ɦɯn
hyung	˥ɦʏŋ
hä	˥ɑː
hé	˥e
hê	hɛ˧
hะตd	ha˥tɑ˧
hะตlั	ha˥tɛ˧la˥
hะตr	ha˥tɑ˧
hะพuld	ha˥puːl˧
hะพั	ha˥pa˧
hั	hɑ˥
i	i˥
i-	i˥
i0	i˥
i1	i˥
ia	i˥a˩
ia	i˧a˥
ic	i˧c˥
id	i˥d˩
idea	i˥dɛ˧ʔa˥
identity	ʔɪ˨dɛn˨tɪ˦tʰi˥
ied	i˧e˥d˩
iet	i˧e˩t˥
ifine	i˥fɪ˧nɛ˥
ignore	i˨gn̩o˧
ii	i˥
il	i˥l˩
ima	i˧m˩a˥
image	ʔi˥mæ˧dʒ
imagine	i˥mɑː˧ʔdʒi˥n
imi	i˨mɪ˧
imitating	i˨mɪ˧tʰɑː˥jɪ˧ŋ
impact	ʔɑ̀ːmpʰák
in	i˥n˧
in-ha	i˩n˧hɑ˥
inc	iŋ
incheon	i˥n˧tɕʰɛn˧
indistinct	i˥n˩dɪ˧s˦tɪ˥ŋ
ingres	iŋ˧grɛː˥
inhales	ʔɪn˥hɑːl˧sɛː˥
initiative	ʔɪ˨ni˧tɪ˥vi˧
insane	i˨n˩s˦a˥n˥
insight	ʔinsɛːt
inspector	ɪnsiː˨kɔː˧
intersect	ʔɪn˥tʰrɛː˧ʔsɛːt˥
interview	ʔɪn˥tʰɪ˩wɛː˧
into	˥tɔː
inu	i˥nu˩
investment	i˥n˧vɛ˥s˧t˦mɛ˧n˧t˥
inviciblej	i˥nʋi˧tʃi˦bɛːl
iove	i˥o˩u˧
ip	ʔɪp
ipod	i˥po˩d
ips	ʔɪp
iq	i˥k˧
ira	i˧ra˥
ireba	i˥rɛ˧ba˥
iridessa	i˥ri˧de˩sa˥
iru	i˥rʊ˨
is	i˥
isaac	i˥sa˧ak˩
isn	i˥sɔn˧
ist	i˥s˧t˥
it	i˥t˩
itempo	i˥tɛ˧mɔː˨
ito	i˨tɔ˥
itoshiki	i˨to˥shi˧ki˩
itunes	i˥tʰuːn˨
itzhak	ʔɪttɕʰak
iust	i˥ust˩
iv	ɪʋ
ivan	i˨vɑ˥n˨
iwanaide	i˥wa˩na˧i˨de˥
iya	i˥a˩
j1amprasert	ʥampraset
ja	ja˥
jacket	ʥaket
jacqueline	˥ʔaʔ˧tʃʰi˥kɛ˧lɛ˥
jaejune21	jaɛjʉn˥˧
jaenut	jaenut
jah	jaʔ
jaideejung007	ʥajdeːdʑʊŋ˥˨˨
jail	ʥaɪ˥
jakka	˥gaʔ˧
jam2sai	ʔam˥saj˧
jamie	ɟa˥mi˥
jamilin	ʨa˥mi˩lin˥
jamu	ʑa˥mɯ˧
jan	jan˧
janai	ʑa˥naː˧
jane	ʥáːn
janejoonki	jɛːn˥dʑuːn˨kiː˧
janepns	ʑa˥ne˩pʰɛn˥sɔː˥
janet	ʈanɛt
jang	˥aŋ
janice	ʈanitʰeː
janis	ʥa˥ni˧sɔ˥
jann	ʥan˥
japanese	ʥapaːnɛː˨
jasbeauty	ʥasbeːtʰ
jason	jɑː˨sɔː˧n˥
jaws	ʔaw˥
jazz	ʥɑːs
jcnon	ʈʃʰɔːn
jdt3000	˥dɯ˧tʰa˥˥
je	˥e
jeaniiz	jeeniː
jeannie	ʥɛ̄ːn˥i˧
jeff	˥ʑɛf
jeh	˥jeh˧
jem	˥˧m
jenny	˥jen˧˥ni˨
jeon	˥e˧o˩n
jeong	˥eʔŋ
jerk	ʈɛːk˥
jerry	ʈeː˥leː˩
jessica	ʥe˥sɪ˧kʰa˥
jet	˥et
jfk	ʥɛk
ji	ji˥
jibun	˥dʑi˧˥bun
jie	˥jɛ˧
jikan	ʥìkǎn
jila9928	jɪlɑː˨˦
jim	ʥɪm˥
jimmy	ʨim˨˦
jin	˥jin
jingling	˥iŋ˧liŋ˥
jinkuchi	ʈiŋ˥ku˧tɕʰi˥
jinny	ʈin˥ni˩
jiranan	ʥi˩ra˨naːn˥
jirawitl	ʨʰiː˨ra˨wit˨tɯ˥
jive	ɟi˥be˩
jlee	ʥi˥li˩
jo	˥o
job	ʤɔːp
jobs	ʤɔːp
joe	˥oʊ
joethai77	ʥɔːtʰáj77
joey	ɟɔ̄ːj
johan	ʔɔ̄ːn
john	˥ʔɔːn
johnny	ʥɔn˥˩
join	ʥɔɪn˥
joke	˥ɔːk
jokersnatch	˥ʈɔː˨kɛː˧sɛ̀t
jolly	˥loː˧˥
jon	ʔɔn˥
jonathan	ʥɔn˥tʰa˧nɔn˥
jones	ʥɔːn˥
joo	joo˨
joong	˥oʊŋ
joplin	ʥɔpʰlɪn
jordan	ʤɔː˥daː˩
joseph	ʈɤw˥sɛp˩
josh	ʥɔs
josie	ʥo˥si˩
joy	jɔ̄ː
jr	ʈɯː˥
js	ʨʰ
ju	˨u
juan	˥u˩an
judge	ɟɯdʑe˥
judianism	ɟu˨di˩an˧is˥m
judy	˥u˧dɪ˨
juliet	ʨuliː˥tɛː˥
july	ʥuːlɨ̄
jun	˥u˩n
june	˥u˨n
jung	˥ʔuŋ
jungle	ʈuŋ˥le˩
just-	˥ʈuːt
jyp	jɯp
k	k˥
ka	ka˥
kachan	katɕʰan
kaeked22	kaɛkɛt˥˩
kagayakeru	kagajakeːruː
kagayaki	k̄ʰa˥ga˧ya˨ki˥
kagimoto	kagimotokāgomit˥
kai	kaɪ˨
kamen	ka˥men˩
kan	kʰan˧
kanatakung	kʰanataːkʰuŋ
kandi	kʰan˥di˥
kangin	kʰaŋ˥iŋ˧
kangpae	kaŋ˧˥paː˧
kanji	kʰan˥dʑi˩
kanjiru	kaɲiru
kann	kʰan˧
kappa	ka˥pa˥
kara	kʰa˥ra˥
karaoke	ka˥ra˩o˧ke˥
karen	kɛ̀rɛ̄n
karn	kɑːn˧
kate	ka˥te˩
katerina	ka˨te˩ri˧na˥
katie	kɑːtiː˧
katkat	kat˧kaʔ˩
kato	ka˥to˩
katy	kʰat˧
kawainae	kawainae
kay	kaː˥
kaze	ka˥ze˩
ke	ke˥
keep	kiːp
keeps	kiːp
kelly	kɛ˧lɛ˩
ken	kɛn˧
kenken	kɛn˥kɛn˥
kensei	ken˥se˧i˩
kesshite	kɛʔs̄i˥tʰe˥
kevin215	keːwɪn215
key	kiː˧
keys	kiː˥
ki	ki˧
kibou	ki˥bu˩
kibum	kɪ˨bu˩
kick	kʰɪk˥
kidding	kɪ˥dɪ˩ŋ
kiddo	ki˥do˩
kili	kɪ˧lɪ˥
killer	ki˥le˩
killick	ki˥li˩kɛ˧
killing	kɪ˥lɪŋ˩
killua82	kʰlɯaː˨˦
killvern	kʰɪl˥wɛn˧
kim	ki˥m
king	kiŋ˥
kingdom	kiŋ˥dom
kinnikuman	kɪn˨ni˧ku˥ma˩n
kirai	ki˥rai˧
kisco	kɪsɔ̀
kiseki	ki˥se˩ki˥
kisetsu	ki˥se˧tu˥
kiss	ki˥s
kit	kiʔ
kitchen	ki˥tʰin˧
kitt	kɪt˨
kittikun	kit̬t̬i˧ku˥n
kitto	kʰɪt˧to˥
kitty	kɪ˧˥tɪ˩
kizuna	ki˥zu˩na˧
klark	klaʔk
kman	kʰman˧
knew	knɯː
knife	kʰnʰeʔ
knock	kɔ̀ɔk
knocking	knɔk˥
know	knɔː
known	kʰɔ̄ːn
ko	ko˥
kobjai	koʔbaj
koe	koe˥
koero	kɔ̄ː
koi	koɪ˧
koike	koɪk˧
kojiro	ko˥ji˧ro˧
koko	ko˥ko˥
kong	kɔŋ˥
konlek	kɔn˥lɛk˩
konna	kɔn˧nɑː˥
koo	koʊ˧
kook	koːk˧
korea	kɔː˥raː˧
korean	kɔː˨ri˧ən˥
koto	kɔ̄ːt
koukou	kɔːkɔ̄ː
kouzlo	kou²²zloː²
kramang	krʌmʌŋ
kriengchai	krɪəŋtɕʰaj
krista	krɪs˥tʰa˧
kristiga	krɪs˨tʰi˦gɑ˥
krlsta	kɯːl˥staː˧
krukhim	krʊkʰɪm˧
krà	krà˧
ku	ku˥
kuchibiru	ku˨či˩bi˧ru˥
kumo	kʰum˧
kun	kʰun˧
kurai	kʰuʔrai
kuukie	kuːkiː˥
kwen	kʰwɛ̄n
kwon	kwɔ̄n
kyle	kaɯl
kyung	kʰyɯŋ˥
kº	kɔ̀
kán	k̄ʰan˥
kะต	kɑʔ
kั	ka˥
l	l˨
l2omanticl3oy	lɔːmʔanʔtiːkʰlɔːj
la	la˥
la	˥la
la-la	la˥la˥
laalaa	laː˥laː˥
lab	laːp
lad	lad˥
ladypat	ladɛpʰat
lai	laɪ˧
lake	laːk˥
lamagafy	la˥ma˩ga˧fa˥
lame	laːm˥
lan	lan˧
lance	læ̀ːn
lane	˥lɛːn
langdon	˥aŋ˧doːn
language	laːŋ˥gwɑː˧
lap	˥lɑp
lapd	laːpʰɛːt
laptop	laː˥tɔːp
larra	la˥ra˥
last	laːt˥
lately	laːt˥leː˧
latest	laː˥teː˩
latin	latʰin
latte	lat˥te˩
lau	lau˨
laurel	laːw˥leːw˩
lawyer	law˥jɛː˩
ld	ɗ
le	˥le
lea	˥lɛː˩
leader	liː˥daː˧
leads	leːt
league	leːw˥
least	leːt˨
leat02	lēːt˨
leaves	laːw˧
led	˥lɛːt
lee	lee˧
leg	leː˧
legend	˥le˧˥n˩d
lek2812	˥lɛk˧˥
lekyai	˥le˧kʰai˧
lem	lem˨
len	˥lɛn
lena	le˥na˩
leon	˥lɛːn
leonard	˥lɛː˧˥n˩˧ʔd
les	leʔ
less	˥lɛː
let	˥lɛt
letmethai	leːt̩˧meː˧tʰaɪ˥
levar	leʋaː
lewis	˥lɯː˧
lex	˥lɛk
ley	leː˧
li	li˥
liam	liːm˨
lian	li˥an
liang	˥liang˧
liars	liːa̰s
liberty	li˥bɛː˧ti˩
library	li˥bi˩a˧wai˥
lie	liː
life	liː
lifetime	laː˥tɛː˩maɪ˧
light	liːt˨
like	laːk
liked	˥lɪk˧
likes	likʰeː˧
lilith	˥li˧li˨tʰ
lilli	li˧li˧
lim	˥˧im
lima	li˥ma˩
lin	˥lin
lin2yi	˩lin˨˧yi˥
lina	˥lɪ˧˩nɑ˥
linda	li˥na˩
lindsey	lɪn˨dzeɪ˥
line	liːn˥
ling	˥lɪŋ
lion	liːn˥
lips	liːp
lipstadt	liːpʰtɕat
lit	li˥t
littleme	li˥te˩me˥
lives	liːw˧
livin	˥li˧ʋin˧
ll	ɬɬ
lmf	lm̩
ln	ln˧
ln-ha	ln̩˧ha˥
lo	˥lo
lobe	loː˥beː˩
local	˥lɔk˨
location	loː˥kɑː˧tɕɔː˧nɑː˥
lock	loːk˥
lofty0813	˥lo˨f˧ty˩o˨ʔ
log	˥ɔːk
loki	˥lɔk˧
loktan	loʔtan
lolli	loː˨liː˩
lomanoy	loʔmaːnɔj
london	lɔːn˨dɔːn˨
long	˥lɔŋ
look	luːk
lookin	˥ɔːkɪn
looking	loːkʰɪŋ˥
lordvoldermot	loːt˨vol˨deː˧mɔːt˥
los	lɔː˥sɔː˥
los	˥ɔːs
losing	loː˨sɪŋ˧
loss	loː˥
lot	˥ɔːt
lots	˥lɔːt
lou	˥˧lou
louis	loui˥
lounge	ɭuːŋ
lovezu	lovezulɔː˥vuː˩
lsd	lsd
ltd	lt̥ʰ
ltrang	ɭa˥tɕaŋ˥
luann	lu˨an˧
lucretia	lu˨kre˧ti˨a˥
lucysalvatore	luːʔsɑːlʋaːtɔː
lugo	lu˥go˩
luis	luɪs˨
luke	luːk˨
lunch	˥lʌnʧ
lungs	luŋ˥
luั	luə˧
ly	ly˧
lyin	˥liːn˧
lyrics	liːk˨ʔ
lê	˥
lะต	˥lɑʔ˧
lะตt	lat
lะตะฐั	laʔtáʔtʰaʔ
lะตั	lat̚˥
lะพะพk	laʔpʰaʔpʰak
lế	˥lɛ
m-o	˥o
ma	ma˥
mac	˥aʔk
macallan	˨ma˧ka˥laːn
maccready	maʔkʰraːdeː
machi	matɕʰi
machine	matʃiːn
machines	matʃiːn
mackeeper	˥ma˧kʰeː˧˥pɛː˥
macray	ma˨kra˧jɑ˥
macready	ma˥tʃɛː˧˥
mada	˥mada˧
maddox	ma˥da˥kɔː˥
madspy	maʔtʃʰaɪ
magazine	ma˨ga˨zi˨ne˥
maggie	˥a˧˥gi˨
magic	˥a˧kɪt
mai	mai˥
maiikung	mai˧i˥kʰuŋ˧
main	˥ɛːn
majesty	ma˥dʑɛ˧tɕʰi˥
mak	˨˧
make	maːk˥
makes	maːk˥
mama	˥mama˧
mamadidiho	˩ma˨ma˧di˥ho˧
mamewism	ma˥meː˧wɪs˥
mamma	ma˥ma˥
mamzaa	ma˥ma˩saː˥
mancha	man˧cha˥
mang	˨maŋ
mangosteen	˥˨˧˥˨˧
map	˥˧
marathon	ma˨ra˧to˥n˨
marco	ma˥ko˥
marcus	˥a˧kɯːs
marie	ma˨riː
mariko	ma˥ri˧ko˥
marikun	ma˨ri˧ku˥n˩
marisa	marisa
mark	maːk˥
markie	maʔkiː
markl002	˨˧mɑːk˥lɔː˧
markus	maʔkuː
marry	ma˥ri˥
mars	mɑːs˥
marsellus	˥ɑː˧˥sɛ˥˧luː˧˥
mary	ma˥la˧
mass	˥mas
mata	˥˧ta
matabe	˥˧˨ba˨
matt	˥˧˨
maureen	maʊ˥ɾeːn˧
mawaru	ma˨wa˧ru˥
max	˥ɑː˨
maxandmon	ma˥xa˩nɔː˧
may	˥ai
maya	˥˧ɑː˧
mazo	ma˥zo˩
mc	maʔ
me	˥me
meal	maːl˥
mean	maːn˥
meant	˥˧ɛːn
meat	miːt˥
meatset	mɛːtʰsɛ̀t
meaw	˥mɛːw˧
meaw2408	mɛ̀ːw
medbuoy	ma˥duː˨jɔː˥
medecember	ma˥deː˧kɛː˥bɛː˥
media	˥mi˧˥deɪ˧
medication	˥mɛː˧˥tɕaː˥˧kɑː˥˧n
meen	˥˧iːn
meet	˥mit
megan	˥mɛː˧˥
meguri	˥e˩gu˧ri˥
mei	˥mei˧
meijijung	maj˥dʑuŋ˧
mem	˥mɛːm
member	˥mɛː˧˥bɛː˧˥
memories	˨˧meː˥˧miː˧˥
menkey17	˥mɛn˨kɛj˥
mention	˥mɛn˧tʰiʔn
merci	merʃi
mess	˥mɛː˧˥s
message	˥mæ˧˥sɛ˧˥dʒ
messed	˥mɛː˧˥sɛː˩
messing	˥mɛː˧˥sɪŋ˥
met	˥mɛt
meta	˥tɛ˧
meteor	˥mɛː˧˥tɛː˧˥oʊ˥
mew	˥mɛu
meyers	maːj˥seː˧
mi	mi˨
mi6	mi˥i˧
mia	mi˧
miami	mi˧a˥mi˧
mich	mi˨tɕʰi˥
michi	mi˨chi˧
miduki	mi˨du˩ki˦
mietekuru	mi˥ɛː˧ku˥lu˥
miguel	mi˨gɯ˥ɛl˧
mike	miːk
miki	mi˨ki˩
milady	mi˨la˩dei˨
mille	mi˧le˩
millen	˥˧liː˧˥n
miller	mi˥le˩
million	˥li˧aːn
milton	˥˧lɪ˧˥tɔn
mily2	mi˥li˩
mimigirlz	mi˨mi˧gi˥l˦z
min	˥min
mina	˥mi˧na
minaj	˥mi˧˩na˧˥
minami	˥mi˧˥na˧˥mi
mind	miːn˥
mine	mi˥n
mini	˥˧ni˨
minimum	mi˨ni˧mɪ˥m
mining	mɪn˥iŋ˥
minna	˥mɪn˧˩nɑː˥
minnilu	mɪn˥nɪ˧lu˩
mintler	mɪ̄ntlɛ̄ː
mioà	miɔ̀
mira	mi˧ra˥
mirai	mi˧rai˥
mire	mi˧re˥
mireba	mi˨re˧ba˥
miss	˥mɪs
missed	mi˥s˧
missile	mi˥si˧lɛ˥
missing	˥mɪsɪŋ
mission	mi˧si˥on˧
misspopular	miʔsɔ̀ːpʉːlɛː
mit	mit˨
mitchell	mɪtʃʰɛ̀l
mlovehd	ma˥loʊ˧wɛː˧tʰɔː˥
mm-hmm	ʔmːhɯm
mmm	ʔmː˥
mmm-hmm	˨˩˨
mo	mo˨
mo	˥o˧
mobil	ma˥boːl˨
mobster	˥˧mo˨˩b˥˧s˥teɹ˨
mode	˥moː˨˩deː˧
model	˥mɔː˧dɛː˥l
modernkoro	mɔːt̚˨d̪en˨kɔː˥rɔː˨
moe	˥moe˩
mom	˥mɔːm
moment	˥mo˧men˩
momoko	˩mo˧mo˧ko˥
mon	˥ɔːn
monaliza	mo˨na˧li˨za˥
monda	ma˥nda˥
monday	˥ɔːn˨˩deː˧
mongkon5481	mɔŋkɔ̄ːn
monkey	˥˧nɛːk
month	˥mɔːn
montienn	˩moːn˨˦tiːn˥
moo	˥moː
moonoy	moːnɔ̀j
more	˥mɔː
morgan	maʔgaʔ
moroboshi	˩mo˨ro˧bo˥ʃi˥
most	˥mɔːt
motherfucker	ma˥tʰɛː˧fuk̚˥
motherfucking	ma˥tʰɛ˧fʰak˩kʰɛ˧ŋ
motors	ʋɔːt
motts	˥ɔːt
mou	˥moʊ˩
mount	maʊ̄n
mouse	˥mɔː˧
mouthing	maʊ̄ːtʰiŋ
mouths	maːt
moves	˥moʊ˨
movie	˥˧ʋiː˧˥
mr	ma˥ra˥
mri	mi˧
mrkritt	maʔkʰrɪt
mu	mu˨
muann	˥muːn˩˧
muga	ma˥ga˩
mulder	˥u˨l˧d˦ɛː
murderers	ma˥dae˩lae˧
must	˥mʊt
muzix	mu˨zi˧˥
mvp	ɛm˥bɔː˨pʰɛː˧
mw	˥u
my	mi˨
mystery	mi˥teː˧ri˥
myung	˥ɯŋ
myั	mi˥
mán	˥man
mะต	maʔt
mะพrะต	ma˥pa˧tra˥
n	n˥
n	˥n
n-ไม่	nə˥maɪ˧
na	na˥
naan	˥˧
nada	nɑ˥dɑ˧
nadeshiko	˥nɑ˧˥dɛ˧˩sɪ˥kɔ˥
nado	˥˧nɑː˧˥dɔː˥
nae	nae˧
nagase	na˥ga˩se˧
nago	na˥go˩
nah	˥˧
nai	nai˧
naja	˥nɑ˧ʔ
nakithan	˩naki˨˧tʰan
nam	˥˧
name	˥˧ma
names	naːm˥
namji	nam˧ʑi˥
nan	˥˧
nana	nana˨
nand	n̩˧
nani	˥˧˩
nansler	nɑn˥sɛl˧
nao	nao˧
napster	nap˥s˦teː˧
nara	˥˧ɑː˧
narrow	˥nɑː˨˩
nat	n˧a˥t˩
nate	nɛ̀
natelo	nɛ̀tɛ́lɔ̄
natkon	nɑːt˨kʰɔːn˥
nattie13	na˥ti˩ti˧
nattiis	˩nɑː˧˥tiː˩˥s
nature	nʌtʰɨ̄
naveen	nɛːwɛ̄ːn
nba	˥ba
nbi	˥bi
nbvanz	nbwan³
nd	nd
ne	˥ne
neanderthals	neːandɛːnθaːl
near	nea
nebitora	nebitoranɛ˨bɪ˧tɔ˥rɑ˨
nebraska	˥ne˧ba˨˩ka˥sa˥ka
neck	˥nɛk
needs	niːt
neel	˥ne˧l
neet	niːt˥
negai	˥nɛ˧gaj˥
netflix	nɛ̀tɛ́lɛ̀ks
next	˥nɛk
nfl	nɛ̀ʔlɛ́
ng	ŋ
nhomjeep	ŋɔmtɕiːp
ni	˥ni
nice	˥niː˧tʃʰeː˥
nick	˥nɪk
nicki	nik˥ki˩
nicolas	˥ni˧ko˧la˥s
nicole	˥i˧ko˧lɛ˧
nietzsche	niːttɕʰeː
nigga	ni˥ga˥
night	˥jaːt
nikkojump	nik˥ko˩jump˥
nile	˥liː
nine	˥naː˨
nipont	nɪpʰɔ̀nt
nis	nis˧
nishi-ying	nisijiŋ
niza107	ni˥za˩
nk	ŋʔ
no	nɔ̀
noah	nɔ̀ː
nobuta	nɔ̀bùtá
noi	˥nɔɪ
noina1130	˥ɔɪ˧˩nɑɪ˥
noise	noj˥
non	nɔ̄n
none	˥nɔ̌ːn
nong	nɔŋ˥
nongzeza	nɔŋ˨zeː˧˥
nookat	nɔ̀kʰɑ̀t
noonzaaa	n̥uːnʔaː
nope	nɔ̀p
noppada	nɔ̀ppaːdā
nopponliger	nɔ̀ppɔ̀nlìgɛ̀
nor	nor˧
normal	ŋɔːm˥
nornu	nɔː˥nɯː˩
north	˥nɔːt
nose	nɔ̀s
not	˥ɔːt
note	nɔ̀t
nothin	nɔ̀tʰɪ̂n
nova	nɔʋa
now	nɔ̀
nsa	nsa˥
nss	nɛs˥
nt	n̩t
nts	nts˥
nu	nu˥
nuaimid	nuəj˥mɪt˧
nuiy	nuɪ˧
nuj	nu˥
nukeru	nu˨ke˩ru˥
number	˥nʌm˨bʌr
nun	nʊ̄n
nuts	nuːt
nuttkun	nʊt˨kʰun˧
nuvut9	nu˨vu˧tu˥
nyaako	ɲaːkɔː˥
nyada	˥ɲa˥da˥
nyu	˩˥u
ná	˥ná
nะฐl	˥˧
nะต	˥˧ta
nะตั	na˥ta˥
nั	˥nɑ
nไม่	n˩mɛɛ˥
o	o˨
o-1	o˨
ocp	ɔːk
oeg	ɔ̀ɛ̂
oenomaus	˥ɔn˧˩mɔː˧˥
office	ɔːfɪs
officer	ɔːfɪsɛ̀
officers	ɔːfɪsɛː
often	ɔːtʰən˥
og	˥ɔːk
ogata	ɔ˧ga˥ta˥
oh	˥ɔː
oh-oh	ɔ˧ɔ˥
oh-oh-oh	ɔ˧ɔ˧ɔ˧
ohgo	ɔ̀ːk
ohh	˥ɔː
ohio	ɔ̀hiɔ̀
oi	oi˧
oin	ɔɪn
ok	ɔk
okay	˥ɔːk
okkoto	ɔk̚kɔːt
okuno	ɔ̀kʰunō
ol	o˧l˩
olek	˥lɛk
olivia	ɔːlɪʋiə
olympic	ɔːlɨm˥pʰɪk
omino	o˨mɪ˧nɔ˥
