অ	a
আলভী	ɐlᵊviˑ
আলভী	ɐlᵊβiˑ
আলম	alom
আলমারি	almaɹiˑ
আলমারি	almaɾiˑ
আলাদা	alad̪aˑ
আলামত	alamot̪
আলামত	alamɔt̪
আলী	aliˑ
আলু	aluˑ
আলেকজান্ডার	alegdʑandaɹ
আলেকজান্ডার	alegdʒaɳɖaɾ
আলেম	alem
আলো	alo
আলো	aloˑ
আলো	aːloˑ
আলোক	alɔk
আলোকন	alokon
আলোকপাত	alokpat
আলোকলতা	aloklota
আলোকিত	alokito
আলোচনা	alotɕɔnaˑ
আলোচনা	alotʃɔnaˑ
আল্লাহ	ɐlːäː
আল্লাহ	ɐlːäːʰ
আল্লাহ	ɐlːäːʱ
আল্লাহ	ɐlːɐ
আল্লাহ্	alːaˑ
আশমান	aʃman
আশা	aʃaˑ
আশি	ˈaʃi
আশিন	aʃin
আশীর্বাদ	aʃiɹbad̪
আশীর্বাদ	aʃiɾbad̪
আশুরা	aʃuɹaˑ
আশুরা	aʃuɾaˑ
আশেক	aʃek
আশ্চর্য	astɕɔɹdʑoˑ
আশ্চর্য	astʃɔɾdʒoˑ
আশ্চর্য	aʃtɕɔɹdʑoˑ
আশ্চর্য	aʃtʃɔɾdʒoˑ
আশ্চর্যজনকভাবে	astɕoɹdʑodʑɔnokvabeˑ
আশ্চর্যজনকভাবে	astʃoɾdʒodʒɔnokvabeˑ
আশ্চর্যজনকভাবে	aʃtɕoɹdʑodʑɔnokbʱabeˑ
আশ্চর্যজনকভাবে	aʃtʃoɾdʒodʒɔnokbʱabeˑ
আশ্বিন	aʃːin
আশ্রম	asɹɔm
আশ্রম	asɾɔm
আসগর	asgɔɹ
আসগর	asgɔɾ
আসন	aʃon
আসবাব	aʃbab
আসবাব	aʒbab
আসমা	asmaˑ
আসমান	asman
আসর	asoɹ
আসর	asoɾ
আসর	aʃoɹ
আসর	aʃoɾ
আসল	aʃol
আসলে	aʃole
আসা	aʃaˑ
আসান	aʃan
আসানসোল	aʃaˑnʃʰl
আসানী	aʃaniˑ
আসাম	asam
আসিয়া	asi̯aˑ
আসিয়া	aʃi̯aˑ
আস্তাবল	ast̪abol
আস্তে	ast̪eˑ
আস্পদ্দা	aʃpɔd̪ːaˑ
আহনাফ	aɦnaf
আহমদ	amɦod̪
আহমদ	amːod̪
আহসান	aɦsan
আহ্বান	au̯bʱan
আহ্বান	au̯van
আয়া	aja
ইঁদুর	ĩdur
ইংরেজ	iŋɾedʑ
ইংরেজ	iŋɾedʒ
ইংরেজ	iŋɾɛd̪z
ইংরেজ	iŋɾɛz
ইংরেজি	iŋɹedʑiˑ
ইংরেজি	iŋɹɛziˑ
ইংরেজি	iŋɾedʒiˑ
ইংরেজি	iŋɾɛd̪ziˑ
ইংল্যান্ড	iŋlæɳɖ
ইংল্যান্ড	iŋlɛnd
ইউক্রেন	iu̯kɾeˑn
ইউনান	iu̯nan
ইউনানি	iu̯naniˑ
ইউনিয়ন	iu̯ni̯on
ইউনিয়ন	iwniɔn
ইউরেনাস	iu̯ɹenaʃ
ইউরেনাস	iu̯ɾenaʃ
ইউরেশিয়া	iu̯ɹeʃi̯aˑ
ইউরেশিয়া	iu̯ɾeʃi̯aˑ
ইউরোপ	iu̯ɹop
ইউরোপ	iu̯ɾop
ইকুয়েডর	iku̯edɔɹ
ইকুয়েডর	iku̯eɖɔɾ
ইচলা	itɕɔlaˑ
ইচলা	itʃɔlaˑ
ইচ্ছা	itɕʰːaˑ
ইচ্ছা	itʃʰːaˑ
ইজতেমা	idzt̪emaˑ
ইজতেমা	idʒt̪emaˑ
ইজতেমা	ist̪emaˑ
ইজতেমা	itst̪emaˑ
ইজতেমা	itʃt̪emaˑ
ইজতেমা	izt̪emaˑ
ইজরায়েল	idʑɹae̯l
ইজরায়েল	idʒɾae̯l
ইজরায়েল	izɹae̯l
ইজরায়েল	izɾae̯l
ইজাজত	idʑadʑot̪
ইজাজত	idʒadʒot̪
ইজাফা	izafaˑ
ইজ্জত	idʑːot̪
ইজ্জত	idʑːɔt̪
ইজ্জত	idʒːot̪
ইজ্জত	idʒːɔt̪
ইজ্জত	izzot̪
ইজ্জত	izzɔt̪
ইঞ্জিনিয়ারিং	inˈdʒini̯ariŋ
ইঞ্জিল	indʑil
ইঞ্জিল	indʒil
ইট	ĩʈ
ইতিমধ্যে	it̪imɔd̪d̪ʱeˑ
ইতিহাস	it̪iɦaʃ
ইতোমধ্যে	it̪ɔmɔd̪d̪ʱeˑ
ইত্তেফাক	it̪ːefak
ইত্যাদি	it̪ːad̪iˑ
ইদানীং	id̪aniŋ
ইন	ɪn
ইনকিলাব	inkilab
ইনকিলাবি	inkilabiˑ
ইনফ্লুয়েঞ্জা	influ̯enzaˑ
ইনসান	insan
ইনসাফ	insaf
ইনাম	inam
ইনি	iniˑ
ইনিংসের	iniŋseɾ
ইন্তেকাল	int̪ekal
ইন্দু	ind̪uˑ
ইন্দ্র	ind̪ːɾoˑ
ইফতেখার	ift̪ekʰaɹ
ইফতেখার	ift̪ekʰaɾ
ইব্রাহীম	ibɹaɦim
ইব্রাহীম	ibɾaɦim
ইমতেহান	imt̪eɦan
ইমরান	imɹan
ইমরান	imɾan
ইমাম	imam
ইয়াদ	i̯ad̪
ইয়াসমিন	i̯asmin
ইয়াসিন	i̯asin
ইয়োরোপ	i̯oɹop
ইয়োরোপ	i̯oɾop
ইরফান	iɾfan
ইরাক	iɹak
ইরাক	iɾak
ইরাকি	iɾaki
ইরান	iɹan
ইরান	iɾan
ইরিত্রিয়া	iɹit̪ːɹi̯aˑ
ইরিত্রিয়া	iɾit̪ːɾi̯aˑ
ইলিয়াস	ili̯as
ইলিশ	iliʃ
ইস	iʃ
ইস	iːʃ
ইসরায়েল	izɹae̯l
ইসরায়েল	izɾae̯l
ইসলাম	islam
ইস্কুল	iskul
ইস্কুল	iʃkul
ইস্তাম্বুল	ist̪ambul
ইস্তোনিয়া	ist̪oni̯aˑ
ইস্পাত	iʃpat̪
ঈগল	igɔl
ঈদ	id̪
ঈশানী	iʃaniˑ
ঈশ্বর	iʃːɔɹ
ঈশ্বর	iʃːɔɾ
ঈসা	isaˑ
ঈস্ট	ist
ঈস্ট	isʈ
ঈস্ট	iʂʈ
উইকিপিডিয়া	u̯ikipidi̯aˑ
উইকিপিডিয়া	u̯ikipiɖi̯aˑ
উইকেটে	uikete
উইল	u̯il
উইলিয়াম	u̯ili̯am
উকিল	ukil
উখড়ানো	ukʰɹanoˑ
উখড়ানো	ukʰɽanoˑ
উখড়ানো	ukʰɾanoˑ
উচিত	utɕit̪
উচিত	utʃit̪
উচ্চ	utʃo
উচ্চাকাঙ্ক্ষী	utɕːakaŋkʰiˑ
উচ্চাকাঙ্ক্ষী	utʃːakaŋkʰiˑ
উচ্চারণ	utɕʰːaɹon
উচ্চারণ	utʃʰːaɾon
উজির	udʑiɹ
উজির	udʒiɾ
উজির	uziɹ
উজির	uziɾ
উট	ut
উট	uʈ
উট	uːt
উট	uːʈ
উঠবেন	utːbɛn
উঠলাম	utlamo
উঠলেন	utlɛn
উঠান	utʰan
উঠান	uʈʰan
উঠি	uti
উঠে	ˈut̪ʰe
উঠো	utːo
উড়া	uɹaˑ
উড়া	uɽaˑ
উড়া	uɾaˑ
উড়িষ্যা	uɹiʃːaˑ
উড়িষ্যা	uɽiʃːaˑ
উড়িষ্যা	uɾiʃːaˑ
উতল	utol
উত্তরাখণ্ড	ut̪ːɔɹakʰɔndoˑ
উত্তরাখণ্ড	ut̪ːɔɾakʰɔɳɖoˑ
উদয়	ud̪ɔe̯
উদাসিনতা	udaʃinɔta
উদাহরণ	ud̪aɦɔɹon
উদাহরণ	ud̪aɦɔɾon
উদ্বোধন	ud̪bod̪ʱɔn
উদ্ভিদ	ud̪bʱid̪
উদ্ভিদ	ud̪vid̪
উধাও	ud̪ʱao̯
উনআশি	unaʃiˑ
উনি	ani
উনি	uniˑ
উন্মত্ততা	unmɔt̪ːɔt̪aˑ
উন্মোচন	unmotɕon
উপকূল	upukul
উপচানো	uptɕanoˑ
উপচানো	uptʃanoˑ
উপজেলা	upɔzelaˑ
উপদ্বীপ	upɔd̪ːip
উপনয়ন	upɔnoe̯ɔn
উপনিষদ	uponiʃɔd̪
উপনীত	uponitʊ
উপন্যাস	uponːaʃ
উপমহাদেশ	upɔmɔɦad̪eʃ
উপমা	upoma
উপর	upoɾ
উপসাগর	upʊʃaguɾ
উপায়	upae̯
উপাসনা	upaʃɔnaˑ
উফ	uf
উফ	uːf
উভ	ubʱoˑ
উভ	uvoˑ
উভকামী	ubʱɔkamiˑ
উভকামী	uvɔkamiˑ
উম্মত	umːɔt̪
উরি	uɾi
উর্মি	urmi
উলঙ্গ	ulɔ̜ŋgɔ̝̜ˑ
উলু	uluˑ
উলুখাগড়া	ulukʰagɹaˑ
উলুখাগড়া	ulukʰagɽaˑ
উলুখাগড়া	ulukʰagɾaˑ
উষা	uʃa
উষ্ঞ্	uʃnɔ
উষ্ণ	uʃnoˑ
উৎপল	ut̪pɔˑl
উৎপাদনকারী	ut̪pad̪onkaɾi
উৎস	ut̪ʃoˑ
উৎসাহ	ut̪ʃaɦo
উঢ়	uɾo
উঢ়ি	uɾi
ঊ	uˑ
ঊণ	uːn˩˦
ঊত	uto
ঊনিশ	ũniʃ
ঊরু	uɾuː
ঊর্ধ্ব	uɾd̪ʱoˑ
ঊর্ধ্বতন	uɹd̪ʱːɔt̪on
ঊর্ধ্বতন	uɾd̪ʱːɔt̪on
ঊষা	ˈuʃa
ঋক্ষ	riko
ঋণ	rin
ঋণ	riːn
ঋণ	ɹin
ঋণিক	rinik
ঋণী	ɾini
ঋতু	rit̪uˑ
ঋতু	ɹit̪uˑ
ঋষি	riʃiˑ
ঋষি	ɹiʃiˑ
এঁকে	eke
এঁকে	ekeˑ
এঁকে	ẽkeˑ
এঁদের	ed̪eɹ
এঁদের	ẽd̪eɾ
এঁরা	eɾa
এই	ei
এইখানে	ei̯kʰane
এক	eːk
এক	æk
এক	æːk
এক	ɛk
এক	ɛːk
একই	eko˨˩i˨
একচল্লিশ	ektɕɔlːiʃ
একচল্লিশ	ektʃɔlːiʃ
একজিবিশন	egzibiʃɔn
একজিবিশন	ekzibiʃɔn
একটি	ekʈi
একটিও	eztio
একতরফা	ekt̪orfa
একতা	ækot̪aˑ
একত্রিশ	ekɔt̪ːɹiʃ
একত্রিশ	ekɔt̪ːɾiʃ
একবার	ekbaɹ
একবার	ekbaɾ
একলব্য	æklobːoˑ
একলা	æklaˑ
একলা	ɛklaˑ
একশত	ækʃɔtɔ
একসাথে	ekʃat̪ʰe
একাকী	ekakiˑ
একাডেমি	ækaɖemiˑ
একাডেমি	ɛkademiˑ
একাত্তর	ekat̪ːɔɹ
একাত্তর	ekat̪ːɔɾ
একামত	ekamɔt̪
একামত	ikamɔt̪
একুশে	ekuʃeˑ
একে	eke
একে	ɛk
একেবারে	ekeˑbaɾe
এখতিয়ার	ekt̪i̯aɹ
এখতিয়ার	ekt̪i̯aɾ
এখতিয়ার	ext̪i̯aɹ
এখতিয়ার	ext̪i̯aɾ
এখন	ɛkɔ
এখান	ekʰan
এখানে	ekʰane
এখানে	ekʰne
এগারো	egaɹoˑ
এগারো	egaɾoˑ
এগুলা	egulaˑ
এজাজতনামা	edʑazɔt̪namaˑ
এজাজতনামা	edʒazɔt̪namaˑ
এটা	etaˑ
এটা	eʈaˑ
এটি	etiˑ
এটি	eʈiˑ
এডমন্টন	edɔmɔntɔn
এডমন্টন	eɖɔmɔɳʈɔn
এদিকে	edike
এদের	ed̪eɹ
এদের	ed̪eɾ
এন্ড্রু	æɳɖːɾuˑ
এন্ড্রু	ɛndːɹuˑ
এন্থনি	ænt̪ʰoniˑ
এন্থনি	ɛnt̪ʰoniˑ
এপ্রিল	epɹil
এপ্রিল	epɾil
এবং	ebon
এবং	eboŋ
এবং	ebɔŋ
এবার	ebar
এমনটা	amonta
এমনি	ɛmnɪ
এর	eɹ
এর	eɾ
এর	eːɾ
এরশাদ	eɹʃad̪
এরশাদ	eɾʃad̪
এরা	eɹaˑ
এরা	eɾaˑ
এলজাম	elzam
এলজাম	el̪dʑam
এলজাম	el̪dʒam
এলজিবিটি	el̪dʑibitiˑ
এলজিবিটি	el̪dʒibiʈiˑ
এলাকা	elakaˑ
এলাহাবাদ	elaɦabad̪
এলাহী	elahːim
এলিস	elˈis
এলেম	elem
এলোহিম	eloɦim
এস্তেমাল	est̪emal
এস্রাজ	esɹadʑ
এস্রাজ	esɾadʒ
ঐ	oi
ঐকিক	ojkik
ঐতিহাসিক	oi̯t̪iɦaʃik
ও	o
ওঁর	oɹ
ওঁর	õɹ
ওঁর	õɾ
ওঁরা	oɹaˑ
ওঁরা	õɹaˑ
ওঁরা	õɾaˑ
ওঃ	o
ওকে	ok
ওক্ত	okt̪
ওক্ত	okt̪oˑ
ওক্‌ত	okt̪
ওখান	okʰan
ওখানে	okʰaneˑ
ওগো	ogoˑ
ওজন	odʑon
ওজন	odʒon
ওজর	odʑɔɹ
ওজর	odʒɔɾ
ওজু	odʑuˑ
ওজু	odʒuˑ
ওজু	od̪zuˑ
ওজু	ozuˑ
ওঝা	odʑʱaˑ
ওঝা	odʒʱaˑ
ওঠাতে	otʰaʈe
ওঠালে	ʔotʰale
ওড়না	oɽnaˑ
ওড়া	oɹaˑ
ওড়া	oɽaˑ
ওড়া	oɾaˑ
ওড়িশা	oɹiʃaˑ
ওড়িশা	oɽiʃaˑ
ওড়িশা	oɾiʃaˑ
ওতফ	ot̪ɔfɔˑ
ওদিকে	odike
ওদের	od̪eɹ
ওদের	od̪eɾ
ওনাকে	unake
ওনারা	onara
ওফাত	ofat̪
ওমর	omoɹ
ওমর	omoɾ
ওয়াইন	o̯ai̯n
ওয়াইন	wˈaɪn
ওয়াকফ	o̯akf
ওয়াকফ	o̯akɔf
ওয়াকেফ	o̯akef
ওয়াক্ত	o̯akt̪
ওয়াক্‌ফ	o̯akf
ওয়াজ	o̯adʑ
ওয়াজ	o̯adʒ
ওয়াজ	o̯az
ওয়াজিব	o̯adʑib
ওয়াজিব	o̯adʒib
ওয়াতন	o̯at̪ɔn
ওয়াদা	o̯ad̪aˑ
ওয়ারিস	o̯aɹiʃ
ওয়ারিস	o̯aɾiʃ
ওয়ালেদ	o̯aled̪
ওয়ালেদা	o̯aled̪aˑ
ওয়াশিংটন	o̯aʃiŋtɔn
ওয়াশিংটন	o̯aʃiŋʈɔn
ওয়াস্তা	o̯ast̪aˑ
ওয়াহেগুরু	o̯aɦeguɹuˑ
ওয়াহেগুরু	o̯aɦeguɾuˑ
ওরফে	oɾofeˑ
ওরফে	oɾopʰeˑ
ওল	ol
ওল	oːl
ওলদ	olɔd̪
ওলন্দাজ	olond̪adʑ
ওলন্দাজ	olond̪adʒ
ওলি	oliˑ
ওশেনিয়া	oʃeni̯aˑ
ওষুধ	oʃud̪
ওষ্ঠ্য	ostʰːoˑ
ওষ্ঠ্য	oʂʈʰːoˑ
ওষ্ঠ্য	oʃtʰːoˑ
ওসমান	osman
ওস্তাদ	ost̪ad̪
ওহাইও	oɦai̯oˑ
ওয়ারিয়া	waɾia
ঔষধ	ou̯ʃɔd̪
ক	kɔː
ক	kɔˑ
কই	koi̯
কই	koj
কওমি	kolmi
কওয়া	kɔo̯aˑ
কক্সবাজার	kɔkʃɔbadʑaɹ
কক্সবাজার	kɔkʃɔbadʒaɾ
কখন	kɔkʰɔn
কঙ্গো	koŋgo
কটা	kɔʈa
কটা	kˈɔta
কঠিন	kɔtʰin
কঠিন	kɔʈʰin
কড়াই	kɔɽ̟ai̯
কণা	kɔnaˑ
কণ্ঠ্য	kɔntʰːoˑ
কণ্ঠ্য	kɔɳʈʰːoˑ
কথা	kɔt̪ʰaˑ
কথাবার্তা	kɔt̪ʰabaɹt̪aˑ
কথাবার্তা	kɔt̪ʰabaɾt̪aˑ
কদবেল	kɔd̪bel
কদর	kɔd̪oɹ
কদর	kɔd̪oɾ
কদাচিৎ	kɔd̪atɕit̪
কদাচিৎ	kɔd̪atʃit̪
কনুই	konu̯iˑ
কন্যা	oɳna
কপাল	kɔpal
কপি	kopiˑ
কপিত্থ	kopit̪ʰːoˑ
কফ	kɔ̜ːf
কফ	kɔ̜ːpʰ
কফ	kɔ̜ːɸ
কফি	kɔfiˑ
কবর	kɔboɹ
কবর	kɔboɾ
কবি	kobiˑ
কবিতা	kobit̪aˑ
কবুল	kobul
কবে	kɔbeˑ
কম	kɔm
কম	kɔːm
কমলা	komala
কমলা	kɔmlaˑ
কমলা	kɔmolaˑ
কমা	koma
কমা	kɔma
কমানো	komano
কমানো	kɔmano
কমান্ডার	kɔmaːndaɾ
কম্পন	kmpon
কম্পিউটার	kɔmpiu̯taɹ
কম্পিউটার	kɔmpiu̯ʈaɾ
কম্পিউটিং	kɔmpiu̯tiŋ
কম্পিউটিং	kɔmpiu̯ʈiŋ
কম্বল	kɔmbol
কয়থ	kɔe̯ot̪
কয়লা	kɔe̯laˑ
কয়লাখনি	kɔe̯lakʰoniˑ
কয়েক	kɔek
কয়েতবেল	kɔe̯et̪bel
কয়েথ	kɔet̪
কয়েদ	kɔed̪
করছিল	koɹtʃʰil
করতালি	kɹt̪aˑli
করব	kɔɾbʊ
করবি	ɔɾbi
করবেন	kuɾben
করলেন	kɾˈlin
করা	kora
করাই	olai
করাও	orau
করাচ্ছেন	kɾatʃʰeɔn
করাতে	koɾate
করান	ɔɾɔn
করানো	kɔrano
করালাম	kɾalaˑm
করি	kɔɾiː
করিম	koɹim
করিম	koɾim
করিস	kuɾiʃ
করিয়েছিলেন	ɔɾiɛtʃʰileʱɔn̪
করিয়ো	oɾioʊ
করুণ	koɾuːn
করুণাময়ী	orunamoi
করে	koɹeˑ
করে	koɾeˑ
করে	kʊɾˈɛ
করেছিল	koɾeˑtʃʰil
করেছিলাম	uɹetʃʰiˑlaˑm
করেন	koɾen
করোনা	kɔɹonaˑ
করোনা	kɔɾonaˑ
করোনাভাইরাস	kɔɹonabʱai̯ɹas
করোনাভাইরাস	kɔɹonavai̯ɹas
করোনাভাইরাস	kɔɾonabʱai̯ɾas
করোনাভাইরাস	kɔɾonavai̯ɾas
কর্ণ	kɔɹnoˑ
কর্ণ	kɔɾnoˑ
কর্ণাটক	kɔɹnatɔk
কর্ণাটক	kɔɾnaʈɔk
কর্তা	kɔɾta
কর্ম	kɔɹmoˑ
কর্ম	kɔɾmoˑ
কর্মকর্তা	kɔɹmɔkɔɹt̪aˑ
কর্মকর্তা	kɔɾmɔkɔɾt̪aˑ
কর্মবিরতি	kɾmɔbiˑɾt̪iˑ
কলকাতা	kolkat̪a
কলকাতা	kolkat̪aˑ
কলম	kɔlom
কলা	kɔläˑ
কলা	ˈola
কলাভবন	klaˑbʱabɔn
কলিকাতা	kolikat̪aˑ
কলিকাতা	ulikat̪a
কলিজা	kolidʑaˑ
কলিজা	kolidʒaˑ
কলেজ	kɔledʑ
কলেজ	kɔledʒ
কষ্ট	kɔstoˑ
কষ্ট	kɔʂʈoˑ
কষ্ট	kɔʃtoˑ
কসম	qɔsom
কস্তুর	kost̪uɹ
কস্তুর	kost̪uɾ
কস্তুরী	kost̪uɹiˑ
কস্তুরী	kost̪uɾiˑ
কাঁকই	kãkoi
কাঁকড়া	kakɹaˑ
কাঁকড়া	kãkɽaˑ
কাঁকড়া	kãkɾaˑ
কাঁচা	katɕaˑ
কাঁচা	kãtʃaˑ
কাঁচি	katɕiˑ
কাঁচি	kãtʃiˑ
কাঁঠাল	katʰal
কাঁঠাল	kãʈʰal
কাঁদা	kad̪aˑ
কাঁদা	kãd̪aˑ
কাঁধ	kãd̪ʱ
কাঁপা	kãpaˑ
কাউন	kau̯n
কাউয়া	kau̯aˑ
কাউর	kau̯ɹ
কাউর	kau̯ɾ
কাকলি	kakoliː
কাকাতুয়া	kakat̪u̯aˑ
কাগজ	kagodʑ
কাগজ	kagodʒ
কাগজ	kagoz
কাচ	katɕ
কাচ	katʃ
কাচ	kãtʃ
কাচা	katɕaˑ
কাচা	katʃaˑ
কাছ	katɕ
কাছ	katʃ
কাছা	katɕʰaˑ
কাছা	katʃʰaˑ
কাছে	katɕʰeˑ
কাছে	katʃʰe
কাছে	katʃʰeˑ
কাজ	kadʑ
কাজ	kadʒ
কাজাখস্তান	kazakʰst̪an
কাজী	kadʑiˑ
কাজী	kadʒiˑ
কাঞ্চন	kan˨˩tɕʰon˨˩˦
কাট	kɑːt
কাটছিল	ka˥˩tɕʰil˧˧
কাটছিলাম	kaɹtʃʰilam
কাটবি	kˈɑtbi
কাটল	atlo
কাটলাম	aplam
কাটা	kɑʈɑ
কাটাব	katabu
কাটিস	kapiʃ
কাটিয়েছিস	katiesis
কাটিয়ো	kaːʈio
কাটুন	katun
কাটে	katˈe
কাটেন	karen
কাঠ	kaʈ̟ʰ
কাঠি	kaʈ̟ʰi
কাঠিপোকা	käʈ̟ʰipokäˑ
কাড়া	kaɹaˑ
কাড়া	kaɽaˑ
কাড়া	kaɾaˑ
কাতার	kat̪aɹ
কাতার	kat̪aɾ
কাথিয়াবাড়	kat̪ʰiabaɹ
কাথিয়াবাড়	kat̪ʰiabaɽ
কাথিয়াবাড়	kat̪ʰiabaɾ
কাদা	kad̪aˑ
কান	kan
কান	kaːn
কানন	kanon
কানাডা	kãnaɾa
কানুন	kanun
কানুনগো	kanungoˑ
কান্না	kanːaˑ
কাপড়	kapoɹ
কাপড়	kapoɽ
কাপড়	kapoɾ
কাপাস	kapaʃ
কাপুচিনো	kaputʃuno
কাফেলা	kafelaˑ
কাবাব	kabab
কাবুল	kabul
কাম	kam
কাম	kaːm
কামড়	kamoɽ̟
কামড়ানো	kamɽ̟ano
কামরা	kamɹaˑ
কামরা	kamɾaˑ
কামস্থান	kämɔs̠t̪ʰäˑn
কামানো	kamanoˑ
কামার	kamak
কামিজ	kamiz
কায়েনাত	kae̯nat̪
কায়েম	kae̯m
কার	kaɹ
কার	kaɾ
কার	kaːɾ
কারওয়ান	kaɹo̯an
কারওয়ান	kaɾo̯an
কারণ	karon
কারাইল	kaɾajl
কার্ডিয়াক	kaɹdi̯ak
কার্ডিয়াক	kaɾɖi̯ak
কার্তিক	kaɹt̪ik
কার্তিক	kaɾt̪ik
কার্তুজ	kaɹt̪udʑ
কার্তুজ	kaɾt̪udʒ
কার্য	kaɹdʑoˑ
কার্য	kaɾdʒoˑ
কাল	kal
কাল	kɑːl
কালশিটে	kalʃitɛ
কালাবগী	kala˥ˀbogi
কালি	kaliˑ
কালীপ্রসন্ন	kalipɹoʃɔnːoˑ
কালীপ্রসন্ন	kalipɾoʃɔnːoˑ
কালেভদ্রে	kaˑlebʱɔd̪ɖɾe
কালো	kalo
কালো	kaloˑ
কাশা	kaʃa
কাশি	kaʃi
কাস্তে	kastɛ
কাহিনি	kaɦiniˑ
কাহিনী	kazini
কাহিনী	kaɦiniˑ
কাহিল	kaɦl
কি	kiː
কি	kiˑ
কি	tɕi
কিংকর্তব্যবিমূঢ়	kiŋkɔɹt̪ɔbːobimuɹoˑ
কিংকর্তব্যবিমূঢ়	kiŋkɔɾt̪ɔbːobimuɽoˑ
কিংকর্তব্যবিমূঢ়	kiŋkɔɾt̪ɔbːobimuɽʱoˑ
কিংকর্তব্যবিমূঢ়	kiŋkɔɾt̪ɔbːobimuɾɦoˑ
কিংখাব	kiŋkʰab
কিংবা	kiŋbaˑ
কিছু	kitɕʰuˑ
কিছু	kitʃu
কিছু	kitʃʰuˑ
কিছুক্ষণ	kitɕʰukʰːɔn
কিছুক্ষণ	kitʃʰukʰːɔn
কিঞ্চিৎ	kintʃik
কিতাব	kit̪ab
কিপটা	kiptaˑ
কিপটা	kipʈaˑ
কিভাবে	kiːbʱaˑbe
কিরগিজস্তান	kiɹgizst̪an
কিরগিজস্তান	kiɾgizst̪an
কিরণ	kiɹon
কিরণ	kiɾon
কিল	kɪl
কিশমিশ	kismis
কিশমিশ	kiʃmiʃ
কিশোর	kiʃoɹ
কিশোর	kiʃoɾ
কিসমত	kismot̪
কিসিম	kisim
কিসিম	kiʃim
কিস্তিমাত	kist̪imat̪
কী	ki
কুঁকড়া	kukɹaˑ
কুঁকড়া	kũkɽaˑ
কুঁকড়া	kũkɾaˑ
কুইবেক	ku̯ibek
কুউ	ku̯uˑ
কুড়ি	kuɹiˑ
কুড়ি	kuɽiˑ
কুড়ি	kuɾiˑ
কুড়িগ্রাম	kuɹigɹam
কুড়িগ্রাম	kuɽigɾam
কুড়িগ্রাম	kuɾigɾam
কুত্তা	kut̪ːaˑ
কুদেতা	kud̪et̪aˑ
কুবের	kubeɹ
কুবের	kubeɾ
কুমড়া	kumɹaˑ
কুমড়া	kumɽaˑ
কুমড়া	kumɾaˑ
কুমড়ো	kumɹoˑ
কুমড়ো	kumɽoˑ
কুমড়ো	kumɾoˑ
কুমার	kumaɹ
কুমার	kumaɾ
কুমারীত্ব	kumaɹit̪ːoˑ
কুমারীত্ব	kumaɾit̪ːoˑ
কুমির	kumiɹ
কুমির	kumiɾ
কুমীর	kumiɹ
কুমীর	kumiɾ
কুম্ভ	kumbʱoˑ
কুম্ভ	kumvoˑ
কুয়াশা	kuaʃa
কুয়াশা	ku̯aʃaˑ
কুরআন	kuɹan
কুরআন	kuɾan
কুরসি	kuɾsi
কুল	kul
কুলখানি	kulkʰaniˑ
কুশিয়ার	kuʃijaɾ
কুষ্টিয়া	kuʂʈi̯aˑ
কুষ্ঠ	kustʰoˑ
কুষ্ঠ	kuʂʈʰoˑ
কুষ্ঠ	kuʃtʰoˑ
কুসুম	kuʃum
কুস্তি	kust̪iˑ
কুস্তুন্তুনিয়া	kust̪unt̪uni̯aˑ
কুয়েত	kuet̪
কূর্ম	kuɾmɔ
কৃতকার্য	pɾit̪ɔkaɾdʒoˑ
কৃত্রিম	kɹit̪ːɹim
কৃত্রিম	kɾit̪ːɾim
কৃষি	kɹiʃiˑ
