a	ɑ
ammunisie	əˈmʊnisi
amnesia	əˈmniːsiə
amnestie	ɑmˈnɛsti
among	əˈmɔŋ
amoreel	amorjɛu
amoureux	əˈmœrɪks
amp	ɑːmp
ampe	ampɛ
amper	æmˈpɛr
amper	ɑmpɯ̞r
amperbroekie	pampɔrbukˈej
ampte	aːmte
amptelik	æmptəlɪk
amptelike	əmpˈtɛlikə
amptenaar	əmpˈtɪə̯nɑːr
amptenare	əmpˈtɛnəɾə
amsterdam	æmˈstɑrmə
amusant	əmuˈsɑnt
amuseer	əmuˈsiːr
amy	əmi
amédée	əmeːdeː
an	ən
an4	ɑn
anabaptiste	əˌnɑβɑpɪˈstɪ
anacostia	əˌnɑkəˈstiə
analise	analɪse
analise	ənaˈlɪsə
analiseer	əˈnɑːlɪsiːr
ananas	ɑnɑnɑs
anargie	ɑnɑrχi
anastasia	ənɑˈstɑsiə
anatomie	anatəmi
anatomie-boek	əˈnatoːmibuk
anatomieles	əˌnɑːtomiˈlɛs
anchovies	ˈæŋkɪvɪz
ancker	ˈaŋkər
and	ɑːnd
ander	ɑːndər
ander	ɢɑndɑr
anderberg	ˈɑːndərbɛrx
anderdag	ˈɑːndərˌdɑχ
andere	ˈɑndərə
anderkant	ˈɑːndərkɑnt
anders	andɛrʃ
anders	ˈɑndərs
anders-om	ˈɑːndərsɔm
andersinds	ˈɑndərsɪnts
andersins	ænðəsɪns
andersins	ˈɑndərsɪns
andersom	ˈɑndərsɔm
andersyds	ˈɑːndərsʏts
andrassy	ˈɑːndrɑsi
andre	ˈɑːndrə
andrea	ˈɑːndrɪə
andries	anð̞ɾjs
andromache	ˈɑːndrɔməχə
aneksasie	əˈnɛksəsi
anete	ɑnɪtə
ange	æŋgə
angel	aŋɔw˨
angelier	aːŋɛlɪr
angeliere	ˈaŋgəlɪə̯r
angelika	ˈaŋgəlɪkə
angelo	ˈaŋgəlʊ
angers	ˈæŋərs
angie	ˈæŋi
anglaise	æŋglɑɪ̯s
angowska	ˈɑŋɔska
angs	ɑŋs
angsvalligheid	ˈɑŋsfaləxəi̯t
ania	əˈniə
anita	əˈniːtə
anja	ˈaɲa
anker	ɑŋkɯ̞r
anker	ˈaŋkər
anmen-plein	ˈɑnmənplɛin
anna	ɑnə
annatjie	ˈɑnətʃi
anne	ɑnə
anne-hospitaal	ˈɑnəˌɦɔspiˌtɑːl
annette	əˈnɛtə
annia	ˈɑnɪə
anniversaire	əˈnɪfɛsɛːr
annuïteit	əˈnœi̯təit
anomalie	ɑnɔˈmɑli
anoniem	ˈɑnunim
anonymous	əˈnɔnɪməs
another	ənˈθɜːr
anschig	ˈɑnsxəχ
anslo	ˈɑnsloː
antan	əˈtɑn
antennasok	əntəˈnɑsɔk
anthony	ˈæntəni
anti	ˈanti
anti-fascisme	ˈɑntifaːˌsɪsmə
anti-oostenryk	ˈantiˌʊstənrɛik
anti-revolusionêre	ˌantiɾɛvɫusiˈoːnəɾeː
anti-semiet	ˈɑntisəˌmiət
anti-terreur	ˈantitəˌrœr
antidepressante	əntiːdɛprɛˈsɑːntə
antieke	ˈæntɪkə
antisemities	əntiˌsemiˈtɪts
antisemitiese	əntiˌsemiˈtɪəse
antoine	ɑnˈtuɪ̯nə
antoinette	ˈɑntuɪnˌtɛt
anton	ˈɑntɔn
antonissen	ˈɑntoːnɪsə
antropologie	antrɛkoluxi
antroposentris	ˈɑntrɔpsɛntrɪs
antwoord	antvɔːrt
antwoord	ˈɑntvɔːrt
antwoorde	ˈɑntvʊə̯rde
antwoordmasjien	ˈantvɔrdməʃˈin
anufriyev	əˈnɪfriːə
apart	əˈpɑːrt
aparte	ɑˈpɑrtə
apartheid	apartajt
apartheid	apɑrtajt
apartheid	ɐpartɦɛit
ape	ɑːpə
apelleer	əpəlɪə̯r
api	əˈpi
apie	ɑːpi
aplous	əˈplɔə̯s
apostoliese	əpɔstɔliˈsɪə
appassionata	əpəsiˈoːnəta
appel	ˈɑpəl
appelflappen	ˈɑpəlflɑpən
appelleer	əpəlɪə̯r
appels	əˈpəls
appelstrodel	ˈɑpəlstrɔdəl
appelstrudel	ˈɑpəlstruːdəl
appetit	əpəˈtɪt
applous	əˈplʊə̯s
appétit	əˈpɛtɪt
april	aprɔl
april	əˈpɪl
apteek	aptsie̞k
apteek	ɑpˈtɪk
aptyt	əpˈtʏt
arabier	əraˈbiər
arabies	araːbiz
arash	ɑˈrɑʃ
arbeid	ɑrˈbeːt
arbeid	ɑrˈbɛit
arbeider	ˈɑrbəi̯dər
arbeiders	ˈɑrbɛɪ̯dəʃ
arbitreer	ˈɑrbiːtrɪə̯r
archlord	ɑrχlɔːrt
arciszewski	ɑrtʃiʃɛfski
arco	ɑrkoː
arctic	ˈɑrktɪk
are	ora
are	ɑːrɛ
area	ɑːˈrɪə
areas	ɑːˈrɪə̯s
aren	ɑːrən
arend	ɑˈrɛnt
argaïs	ɑrɣɑɪ̯s
argief	ɑrχiːf
argiewe	ɑrχiːvə
argitekte	arxit̪ekt̪ə
argitekte	ɑrχiˈtɛktə
argitektoniese	ɑrχiˈtɛktoniə
argitektuur	ärxitektiu
argitektuur	ɑrχiˈtɛkʰœr
argument	ɑːrguˈment
argumente	ɑrɣuˈmentə
argumenteer	arxemintiɣɾ
argumenteer	ɑrɣʏmɛntiːr
argumentief	ɑrgʏmɛntiːf
ari	ɑːri
ariese	əˈrɪsə
aris	ɑːrɪs
arise	əˈraɪs
aristokrasie	əˈrɪstoˌkrɑːsi
aristokrate	əˈrɪstɔkɹɛtə
aristokratiese	əˌrɪstəˈkrɑːtisə
ariveer	əˈriːfər
arizona	əˈriːzəʊnə
ark	ɑr̥k
arles	ɑːrəls
arm	ɑrm
arm	ɑrɯm
armand	ɑːrmɑːnt
armbuurt	ɑrmˈbœʁt
arme	ɑrmə
armes	ɑːrməs
armholtes	ɑrmˈɦɔltəs
armlastige	ɑːrmlɑːstɪχə
armlengtes	ɑːrmlɛŋtəs
armoede	ɑrmuːdə
armoedig	ɑrmmuːdˈɑq
armoedige	ɑrmuədiχə
armor	ɑːrmɔːr
arms	ɑːms
armsalige	ɑːrmˈsɑːləχi
armslot	ɑːrmˈslɔt
armsorg	ɑːrmˈsɔrχ
arnaud	ɑːrˈnɑːt
arres	ɑˈrəs
arrestasiekamer	ˈɑrəsəsiˌkɑməɾ
arresteer	əˈrɛstɪə
arriveer	əˈriːfə
arrogansie	əˈroːɣəˌnsi
arrogant	ɑroˈχɑnt
arrogante	ɑroˈkɑntə
arseen	arseen
art	ɑːrt
arthur	ɑːrtrʊə
artikel	aɾtjsɔ
artikel	ˈɑːrɪkəl
artikels	ɑrˈtɪkəls
artilarieafdeling	ˌɑːrtɪlɑːrɪəˈfɛltɪŋ
artileriestellings	ˌɑːrtɪlɪəˈrɪəstɛlɪŋs
artillariste	ˈɑːrtɪlɑːrɪstə
artillerie	ɑːrtiˈliriə
artillerie-offisier	ˌɑːrtiˌliriəˈfɪsiər
artilleriestellings	ˌɑːrtɪləˌrɪstəˈstɛlɪŋs
artois	ɑːrˈtɔɪ̯s
artritis	ˈɑːrtrɪtɪs
arts	arts
artémise	ɑrˈtɪməʃə
as	as
as	ɑs
asano	ɑsɑnoː
asb	ɑsβ
asbak	asma
asbes	aspeθ
asblik	ɑsblɪk
asblikke	ɑsˈblɪkə
asem	ɑˈsɛm
asemhaal	ɑsəˈmaːl
asemhaal	ɔːsəmhˈɔl
asemhaling	əˈsɛmɦɑːlɪŋ
asemhalings-organe	ˈɑsəɦɑlɪŋsorgaːnə
asempie	ɑsɛmˈpi
asemrowend	ɑsəmˈrʊə̯n
asemskep	ɑsəmskɛp
asemtog	ɑsəmtɔχ
ashanti	aʃanti
ashitaka	əˈʃɪtəkə
ashoop	əˈsɔp
asiel	asiu
asiel	ɑːsiəl
asked	ɑskət
asking	ˈɑskɪŋ
asma	ɑsmə
asof	ɑˈsɔf
asook	æzwɔːk
asook	əˈsʊk
aspek	ɑsˈpɛk
asperger	ɑspəˈrɑχər
aspersies	aspɛrsis
aspersies	ɑspəˈrisi
aspirine	asperɾiŋa
aspris	ɑsˈprɪs
assebief	ˈɑsəˌbif
asseblief	ˈasəblˈɪf
asseblief	ˈɑsəblif
asseblif	ˈɑsəˌblif
assistent	əˈsɪsənt
assistentdirekteur	əˌsɪsəntəˌdiːrəˈkyːr
asteroïde	əstəˈrɔi̯də
astrandheid	əˈstrɑːntɦɛit
astrante	əˈstrɑːnte
astrantheid	əˈstrɑːntɦɛit
astrofisika	ˈɑstrɔfiʃɑ
astrolabium	astrʊlɔbiʊm
astronomies	əˈstrɔnəmiəs
astronomiese	əˈstrɔnəmiːsə
at	ɑt
atc	ɑtʃ
ateljee	ətɛljiː
ateljeedeur	ətɛljedœr
ateïs	ˈɑtəɪ̯s
ateïste	ɑtəɪ̯stə
atf	ɑt̪f
athene	əˈtinə
atlantiese	ˈatlantiːsə
atlas	atlas
atleet	atlˈeːt
atlete	ətˈlɛtə
atmosfeer	atmosfɛj
atmosfeer	ˈatmosfɪr
atmosferiese	ˈatmosfəriːsə
attache	əˈtɑːχə
attersee	ˈɑtərsi
au	ɑʊ̯
audio	ɔːdiʊ̯
auersperg	ɔːrsˈpɛrx
augusta	ɑʊ̯ˈχʊstə
auguste	ɑʊ̯ˈχʊstə
augustine	ɑːχˈsʏtin
augustus	ɑʊ̯ˈχʊstəs
aunt	ɑːnt
aura	ɑːʁɑː
aurier	ɔːɪ̯ə
aurora	ɔːˈrɔːrə
aurore	ɔːˈruːrə
auschwitz	ɔːsˈχɪts
austerlitz	ˈɑʊ̯stətrɪts
australië	ɔːˈstrɑːliə
auvers	ɑːfərs
auvers-sur-oise	'ɑːfɹɑːvɹzœːrɔɪz
aux	ɑʊks
avanti	əˈvɑːnti
avatar	əˈvɑːtər
ave	ɑːvə
aveyron	ɑːˈvɛjrɔn
avignon	əˈvɪŋɒn
aviv	əˈβiːf
avokado	avukadu
avontuur	avõŋtiːr
avontuur	əˈfɔntyr
away	ɑːˈweɪ̯
awe	ˈaʊɚ
axel	ˈɑːksəl
ayubowan	ɑjʊˈbɔːwɑn
aśka	ɑʃkə
b	β
b-misdaad	ˈbəmɪsdaːt
b2	βa
baadjie	baːdʒi
baadjies	baːɟiəs
baai	baːi
baai	bˈaɪ
baaitjie	bɑːiːki
baan	βɑːn
baanbreker	baːnbɹɛkər
baar	baːr
baar	bɑːɾ
baard	baːr
baard	baːrt
baardman	baːrtman
baas	bɑːs
baasspeel	baːspil
baat	βɑːt
baba	baba
baba	ˈbɑːbɑ
baba-dogtertjie	ˈbɑbɑˌdɔχtərˌtʃiə
baba-oppasser	ˈbɑβɑˈɔpɑsər
baba-oppassers	ˈbɑβɑˈɔpɑsərs
baba-slaapkussing	ˈbɑbəslaːpkʏsɪŋ
babalaas	bˈɑbəlˌas
babalu	ˈbɑbɑlu
babameisie	bɔbɔmɛisɪ
babas	ˈbɑbəs
babatjie	ˈbɑbətʃi
babatjies	ˈbɑbətʃis
babbel	tˈʌbəl
babbel	ˈbɑβəl
babe	ˈbɑːbə
babelas	tɑːbəlas
babelonië	ˈbɑβəloːniə
baber	ˈbɑβər
babers	ˈbɑβərs
baby	ˈbɑːβi
bach	βax
bachelor	ˈbɑtʃələ
back	ˈbɑk
backgammon	ˈbɑkχɑmən
backing	ˈbɑkɪŋ
bad	bɑt
bad	bˈʌt
bad	βæt
baden	ˈbɑːdən
badge	ˈbɑɣdə
badger	ˈbægə
badgeriewe	ˈbɑːdʒəˌrɪə̯
badkamer	ˈbɑtkɑmər
badkamers	ˈbɑtkəmərs
badkraan	ˈbɑtkrɑːn
bads-huis	ˈbɑtsɦœy̯s
badshuis	ˈbɑtsɦœy̯s
bagasie	bəˈgɑːsiə
bagasie	vəxˈasi
baggasie	ˈbɑχəsi
baie	baɪə
baie	pajɑ
baie	β̞ajɑ
bailor	baɪ̯lɔːr
bajes	baɪ̯s
bajonet	baɪʒonɛt
bajonette	baɪ̯u̯nɛtə
bak	bak
bak	ɓɑk
bakboord	ˈbɑkbʊə̯rt
bakboord-kanonne	ˈbɑkbʊə̯rtkɑˌnɔnə
bakboordbattery	ˈbɑkbʊrtəti
baken	ˈbɑkən
baker	ˈbɑkər
bakery	ˈbɑkəri
bakgat	pɑkχɑːt
bakkebaard	ˈbɑkəˌbɑːrt
bakker	ˈbɑkər
bakkery	bakarai
bakkery	ˈbɑkəɾi
bakkie	ˈbɑkɪ
baklei	bəkləi
baklei	ˈbɑkləi̯
bakleiery	ˈbɑkliəi̯r
bal	tɔ
bal	ɓɑl
balans	ˈbɑlɑns
balanseer	bəˈlɑːnsəɾ
balhorige	ˈbɑːlɦoːrɪχə
baljaar	ˈbɑljɑːr
balk	bɔlk
balk	ɓɑk
balkon	ˈbɑlkɔn
balkonkamer	ˈbɑlkɔŋkamər
ballas	ˈbɑləs
balle	ˈbɑlə
ballerina	ˌbɑləˈriːnə
ballerinas	ˈbɑləɾinas
ballet	ˈbɑlət
ballet-gedoente	ˈbɑlɛtχəˌdɪə̃ːntə
ballet-rotte	ˈbɑlətˌrɔtə
balletgroep	ˈbɑlətˌχrup
balletjie	ˈbɑləˌtʃi
ballistiek-deskundige	ˈbɑlɪstikˈdɛskœnəχi
ballistiese	bəˈlɪstiə
balou	ˈbɑːlou
balsem	ˈbɑlsəm
baltiese	ˈbɑltisə
baltimore	ˈbɑːltɪbɜːr
bamberg	ˈbɑmbɛrx
bambina	ˈbɑmbinə
bambini	ˈbɑmbəni
bambo	ˈbamboʊ
ban	βɑn
banaal	ˈbɑnɑːl
banale	βaˈnɑlə
banaliteite	ˈbɑːnəlitəitə
band	bant
band	βɐnt
bande	βande
bandiet	βɑndiət
bandini	βɑnˈdiːni
bands	βɛnts
bane	banə
bang	ˈbɑŋ
bange	ˈbɑŋə
banger	ˈbɑŋər
banggat	ˈbɑŋχat
bangmaak	ˈbɑŋmaːk
bangmaakstories	ˈbɑŋmɑːkˌstɔːris
banier	ˈbɑːniə̯r
bank	ˈbɑŋk
banket	ˈbɑŋkət
bankiers	ˈbɑŋkiərs
bankies	ˈbɑŋkəs
bankkaart	ˈbɑŋkɑːrt
bankrekening	ˈbɑŋkɹeːkəŋ
bankrot	ˈbɑŋkrɔt
bankrotskappe	ˈbɑŋkɾɔtskɑpə
banneling	ˈbɑnəlɪŋ
banningh	ˈbɑnɪŋ
baptiste	ˈbɑːptɪst
bar	bor
bar	bɑɾ
bar	βɑr
barakke	ˈbɑːrakə
barbaar	ˈbɑrbar
barbaars	ˈbɑrbaːrs
barbaarse	ˈbɑrβaːrsə
barbara	ˈbɑrbarə
barbare	ˈbɑrbɑrə
barbarisme	ˈbɑrbəˌrismə
barbie	ˈbɑrbi
barbiere	ˈbɑrbiːrə
barbiturate	ˌbɑːrbiˈtʊrɪt
barcelona	ˈbɑrsəlona
bardot	ˈbɑːrdɔt
bariton	ˈbɑːritɔn
barman	ˈbɑːrmɑːn
barmhartig	ˈbɑrmɦɑrtiχ
barmhartighede	ˈbɑrmɦɑrtiɣəde
baron	ˈbɑːrɔn
barones	ˈbɑːrənəs
baronnes	ˈbɑːrənəs
barre	ˈbɑːrə
barri	ˈbɑːri
bars	bars
bars	bɑrs
barth	βɑrθ
bartlomiej	ˈbɑːrtləʊmiːəx
bas	bɑs
bas	bˈas
bas	ˈbɑs
base	ˈbɑːsə
baseer	ˈbɑːsiːr
bashan	ˈbɑsχən
basies	ˈbɑːsiəs
basiese	ˈbɑːsisə
basilie	pɑsili
basis	ˈbɑsəs
basis-stad	ˈbɑsɪsstɑt
basket	β̞azket
basketbal	ˈbɑskətbɑl
basotho	basuto
basotho	basutˈy
basse	ˈbɑsə
basters	ˈbɑstərs
bastiel	ˈbastɪəl
bastille	ˈbɑstələ
bataljonne	ˈbɑtɑlʝɔnə
batawiese	ˈbɑːtɑːˌʋiːsə
batawiese-erflating	ˈbɑtɑu̯i̯səɾflɑːtɪŋ
batawië	ˈbɑtɑʋiə
bates	ˈbɑtəs
battaljonne	ˈbɑtəljonə
batterie	ˈbɑtəˌri
battery	ˈbætəri
battery-aanvoerder	ˈbɑtəɾiˈɑːnfuːɾdər
batterybevel	ˈbɑːtərɪbɛfəl
batterystelling	ˈbɑtəˌrɪstɛlɪŋ
batthyani	ˈbɑtəɪni
batuschka	ˈbɑːtʊskə
bavaria	ˈbɑːvəriə
bavariese	bəvəriˈsɛ
be	βeː
be-eindig	ˈbɛːˌʔɪndəx
beach	beːtʃ
beademer	bəˈdeːməʁ
beampte	ˈbɛmptə
beantwoord	ˈbɑːntʋɔːrt
bearbei	ˈbɛrbɛi
bearskins	béːrskɪns
beatrice	biːˈtrɪsə
beaulieu	ˈbɑːliː
beaumarchais	ˈbɑwmɑrʃɑɪ̯s
beautiful	ˈbɑːtɪfʊl
beautifully	ˈbɑːtɪfəlɪ
beauty	ˈbɑːtɪ
bebert	ˈbɛbɛrt
bebloede	bəˈbludʒə
beboet	ˈbɛβut
because	bəˈsɪə
becker	ˈbɛkər
bed	beɪt
bed	βɛt
bedaar	bəˈdɑːr
bedaard	ˈbɛɾɑːrt
bedag	ˈbɛdɑχ
bedags	ˈbɛtɑχs
bedagsaam	ˈbɛdɑɣsɑːm
bedagsaamheid	ˈbɛtɑɣsɑːmɦɪət
bedagsame	ˈbɛdɑɣsɑmə
bedank	bədˈɑŋ
bedank	ˈbɛtɑŋk
bedanking	ˈbɛdənkɪŋ
bedankings	ˈbɛdənˌkɪŋs
bedaring	ˈbɛːdaːrɪŋ
bedde	beɾe
beddegoed	ˈbɛtəˌχʊə̯t
beddeken	ˈbɛtəken
beddekens	ˈbɛtəˌkɛns
beddens	ˈbɛdəns
bede	ˈbɛdə
bedeesd	ˈbɛːdəsə
bedek	bɛdɛk
bedek	ˈbɛdək
bedel	ˈbɛdəl
bedelaar	ˈbɛːdəlɑːr
bedelaars	ˈbɛːdəlɑːrs
bedeling	ˈbɛːdəlɪŋ
bedenkinge	ˈbɛdənkɪŋə
bederf	ˈbɛdərf
bedien	ˈbɛdiən
bediende	bedeːnde
bediende	ˈbɛdiːndə
bediende-vlak	ˈbɛdiːndəflɑk
bediendes	ˈbɛdiə̯nsə
beding	ˈbɛŋəx
bedink	ˈbɛə̯tɪŋk
bedjie	ˈbɛə̯diə̯
bedjies	ˈbɛə̯ɟiəs
bedmatjie	ˈbɛtmaʈi
bedoef	ˈbɛːduə̯f
bedoel	bˈeɾˈu
bedoel	ˈbɛːduːl
bedoelende	bəˈduːləntə
bedoeling	ˈbɛːduːləŋ
bedoelinge	ˈbɛːduːləŋə
bedoelings	bəˈduːləŋs
bedompig	ˈbɛdɔmˌpəχ
bedonder	ˈbɛːdɔndər
bedorwe	tɛstɔrva
bedorwe	ˈbɛɾvə
bedoïne-rowers	ˈbɛdoʊ̯nəˈrʊərs
bedraad	ˈbɛə̯drɑːt
bedrae	ˈbɛə̯drɑː
bedrag	bədrˈɑx
bedrag	ˈbɛdrɑχ
bedreig	bədrəɪx
bedreig	ˈbɛə̯trɛɪχ
bedreiging	ˈbɛə̯trɛiχŋ
bedrewe	ˈbɛə̯drɛu̯ə
bedrieg	ˈbɛə̯trɪə̯x
bedrieglik	ˈbɛə̯trɪə̯χlək
bedrieglike	ˈbɛə̯trɪə̯χləkə
bedrieër	ˈbɛə̯diːr
bedrieërs	ˈbɛə̯trieːrs
bedriër	ˈbɛə̯trir
bedroef	ˈbɛdrœf
bedrog	bədrˈɔx
bedrog	ˈbɛdrɔχ
bedrogspul	ˈbɛdrɔχspul
bedroë	ˈbɛdrœ
bedruk	ˈbɛdrʏk
bedryf	tətrˈə
bedryf	ˈbɛdrɪə̯f
bedryfstelsel	ˈbɛdrɪfsəlsəl
bedrywe	ˈbɛdrʏə
bedrywighede	ˈbɛdrəvɪχəde
bedrywigheid	bədrəiləxəaj
bedtoe	ˈbɛtəʊ
bedtyd	ˈbɛtəi̯t
beduie	bataja
beduie	ˈbɛɟɥi
beef	biːf
beeindig	biːˈɪndəx
beek	βeːk
beeke	biːkə
beeld	bˈɪlt
beeld	βɛːɫ
beelde	ˈbɛːlədə
beeldjies	beːɫəi̯s
beeldskone	βɛldskʊnə
beeldskoon	beːldskoon
beeldskoonl	βɛldskuːn
been	beːn
been	bjenn
beenbreek	beːnbɹɛk
beendere	ˈbɛːndərə
beentjies	ˈbɛəntjis
beep	biːp
beer	biːr
beer	vjɛr
beer-god	beːɾχɔt
beerstank	ˈbɪə̯rstɑŋk
bees	pies
bees	βeːs
bees-bestuurder	beːsbəˈstyːrdər
beeshart	βiʃɑːrt
beeskuddes	ˈbɛskʏdə
beeste	ˈbɛːstə
beestong	βeːstɔŋ
beet	biət
beet	βit
beet-pers	βit̪ˈpɛrs
beetgehad	βitχɑt
beethoven	ˈbɛːtəvən
beetkry	βitkrɪ
befoeterd	ˈbɛfuːtərt
befondsing	bəˈfɔnsɪŋ
before	bəˈruː
begaaf	ˈbɛɣaːf
begaafd	ˈbɛχɑːft
begaafde	ˈbɛχaftə
begaan	beχɑn
begaan	bəˈɣɑːn
begeef	bəˈɣiːf
begeer	bəˈɣiːr
begeerlik	bəˈɣiːrlək
begeerte	ˈbɛχeːrtə
begeester	bəˈχɛstə
begeesterd	ˈbɛχəstɛrt
begelei	bəˈɣɛlai̯
begeleiding	bəɣəˈlɑi̯əŋ
begeleidster	bəɣəˈlɛistsər
begeleier	ˈbɛχəˌlɪə̯r
begerig	ˈbɛχəɾəχ
begin	bɯ̞xən
begin	ˈbɛχən
beginners	ˈbɛχɪnərs
beginning	ˈbɛə̯χɪŋ
beginsel	ˈbɛχənsəl
beginsels	ˈbɛχɪnsəls
begisels	ˈbɛχɪsəls
begraafplaas	ˈbɛχrɑːfplɑːs
begraafplase	ˈbɛχrɑːfplɑːsə
begrafnis	beχrɑfnes
begrafnis	ˈbɛχrɑfnis
begrafnis-ete	ˈbɛχɣrafnɪsətə
begrafnis-gesigte	ˈbɛχraːfnɪsχəˌsɪktə
begrafnisondernemer	ˌbɛχˌraːfnisˌɔndərˌnɛmər
begrafnisondernemers	ˈbɛχrɑfnisɔndəˌrɛmərs
begrawe	baχraːba
begrawe	ˈbɛχrɑːvə
begrepen	ˈbɛχrɛpən
begrip	ˈbɛχrɪp
begroet	ˈbɛχrʊət
begrond	bəˈχɔnt
begroting	pəxrøtøŋ
begroting	ˈbɛχrʊtʃəŋ
begryp	bəˈχrɪp
behaal	bəˈɦɑːl
behae	bəˈɦɑː
behalf	bəˈhɑːf
behalwe	baxɑlvɛ
behalwe	bəˈɦɑlfə
behandel	bəˈhɑndəl
behandeling	bəˈhɑːndəlɪŋ
behartig	bəˈɦɑːrtəx
beheer	bəˈɦiːr
beheerde	bəˈhɪːrə
beheers	beˈrjɜz
beheers	bəˈhɪrs
beheertoring	bəˈhɪə̯r̥tɔrɪŋ
behels	bəˈɦɛls
behendig	bəˈhɛndəx
behep	bəˈhɛp
beheptheid	beˈɣətˈaʏd
behoed	bəˈɦøːt
behoef	beˈʁuf
behoefte	bəˈhœftə
behoeftes	bəˈhœftəs
behoorlik	bəˈɦʊə̯rək
behoort	bəhʊrt
behoort	bəˈɦuːrt
behou	bəˈɦuː
behoudend	bəˈɦudənt
behuising	bəˈɦœi̯sɪŋ
behuisingoutoriteite	bəˌɦœi̯sɪŋɔu̯təˈɹitɛitə
behuisingsprogram	bəˈɦœi̯sɪŋsprəˌgrɑm
behuisingsprojek	bəˈɦœi̯sɪŋsprəˌkɛχ
behulp	beːɦøːlˈp
behulp	bəˈɦœɫp
behulpsaam	beˈɦɔrsˈɔŋ
beide	bejɯd
beide	biːdə
beijing	beɪˈçɪŋ
beimlerstraat	beɪ̯mlərˈstraːt
beindruk	ˈbɛintrʏk
being	ˈbɛɪŋ
beinvloed	ˈbɛinflʊət
bejammer	bəˈjæmə
bejammerenswaardig	bəˈjɑməɾənˌsʋɑːɾəx
bejammering	bəˈjæməˌrɪŋ
bek	βɛk
bekaf	bɐkɐs
bekeer	bəˈkɪr
bekend	ˈbɛkənt
bekende	ˈbɛkəndə
bekendgemaak	ˈbɛkəntxəˌmɑːk
bekendmaak	ˈbɛkəntmɑːk
bekendstel	ˈbɛkəntəstəl
bekentenis	ˈbɛkəntənɪs
bekentenisse	ˈbɛkətn̩sə
beker	peːkər
beker	ˈbɛkər
bekering	ˈbɛkəɾəŋ
bekers	ˈbɛkərs
bekka	ˈbɛkə
bekkie	bɛ̞ki
beklee	ˈbɛkleː
beklemmende	ˈbɛkləmənde
beklemtoon	ˈbɛkləmuːn
beklink	ˈbɛklɪŋk
bekom	ˈbɛkʊm
bekommer	ˈbɛkʊməʁ
bekommerd	ˈbɛkʊməɾt
bekommerde	ˈbɛkʊməɾdə
bekommernis	ˈbɛkʊməˌrɪs
bekook	ˈbɛkʊk
bekoor	ˈbɛkʊə̯r
bekoorlik	ˈbɛkʊə̯rɪk
bekostig	ˈbɛkɔstɪχ
bekostigbaar	ˈbɛkɔstɪχbɑːr
bekrompte	ˈbɛkrɔmptə
bekroon	ˈbɛkrʊə̯n
bekruip	bɛkrɛj
bekruip	ˈbɛkɾœi̯p
bekwaam	ˈbɛkfɑːm
bekwame	ˈbɛkfɑmə
bekyk	ˈbɛkək
bel	bˈɛl
bel	βɛl
belaglik	ˈbɛləχlɪk
belaglike	ˈbɛləχlikə
beland	βəˈlɑnt
belang	bəˈlɒŋ
belang	ˈbɛləŋ
belange	ˈbɛlɑŋə
belangrik	bəlˈɑŋrak
belangrik	ˈbɛləŋrik
belangrike	bəˈlɑŋrikə
belangriker	ˈbɛləŋrikər
belangriks	bəˈlɑŋrɪks
belangrikste	bəlˈaŋrɛkstə
belangrikste	ˈbɛləŋrikstə
belangstel	bʊˈlɑŋstʌl
belangstel	ˈbɛlɑŋstəl
belangstelling	ˈbɛlɑŋstəlɪŋ
belankrik	ˈbɛlɑŋkrɪk
belas	ˈbɛlɑs
belaster	ˈbɛlɑstər
belasting	bəˈlɑstɪŋ
belastingbedrog	ˈbɛlɑstɪŋbədrɔχ
belastings	ˈbɛlɑstɪŋs
belcore	ˈbɛlkoɾə
beledig	bəˈlɛɪ̯χ
beledig	bˌliːrˌɑx
beledigend	bəˈlɛɪ̯diχənt
beledigend	bɪlɪrəxen
belediging	bəˈlɛdiχɪŋ
beledigings	bəˈlɛə̯ɣəŋs
beleef	ˈbəlif
beleefd	bˈɛlˈɛft
beleefdheid	bɛlˈiːftˌaɪt
belegging	bəˈlɛχɪŋ
beleggingskonsultant	bəˈlɛə̯kəŋskɔnsʏlˈtɑnt
beleid	bəˈlɛit
belemmer	bəˈlɛməʁ
belemmeringe	bəˈlɛməˌrɪŋə
belese	bəˈlɛsə
belet	bəˈlɛt
beletsel	bəˈlɛtsəl
belge	ˈbɛlχə
belgiese	ˈbɛlχiːsə
belgië	ˈbɛlχiə
belhar	bɛlhaɾ
belieg	ˈbɛliχ
believe	bəˈliːv
believer	ˈbɛliːvər
believers	ˈbɛliːvərs
believes	ˈbɛlɪvz
belig	ˈbɛlɪχ
beligting	ˈbɛliχtɪŋ
bella	ˈbɛla
bellegard	ˈbɛləgɑːrt
bellegarde	ˈbɛləgaːrdə
beloer	ˈbɛloːr
belofte	ˈbɛlɔftə
beloftes	ˈbɛlʊftəs
beloning	bəˈlʊəŋ
beloof	bəˈluːf
beloofde	ˈbɛloːftə
beloon	ˈbɛluːn
beloved	bəˈlɛvət
belowe	ˈbɛloʊə
belowend	bəˈluə̯n
bely	ˈbɛli
belydenis	bˈɛlˈɑkəns
belydenisse	ˈbɛliðənɪsə
belyn	ˈbɛlən
belê	ˈbɛlə
bemaak	ˈbɛmaːk
beman	ˈbɛmɑn
bemande	ˈbɛmɑnde
bemanning	ˈbɛmanɪŋ
