ഁ	ɐ̃
അടിച്ചിരിക്കുന്നു	əɳiʈʈiɾiʝɐɳɳo
അടിച്ചിരുന്നു	əɳiʈːuɳːuɳː
അടിച്ചില്ല	əɳiʈːiɭːə
അടിച്ചു	əɳɖɪt̪ːu
അടിച്ചുതകര്	əɳiʈːuʈɐɾə
അടിച്ചുപൊളിക്കാം	əɳiʈːupoɭiʈːɐm
അടിച്ചുപൊളിക്ക്	əɳiʈːupoɭigː
അടിച്ചുപൊളിച്ച്	əɳiʈʈupoɭitʃʈ
അടിച്ചുവാരുക	ɐɖit̚tʃuʋaːɾugɐ
അടിച്ചൂ	əɳɪt̪ːuː
അടിച്ചെന്ന്	əɳɪtʃenːə
അടിച്ചേല്	əɳiʈʧeːl
അടിച്ചോ	əɳɪtʃo
അടിച്ചോണ്ട്	əɳɳoːɳɳ
അടിച്ചോളൂ	əɳɪt̪ːoːɭuː
അടിച്ച്	ɐɖɪtʃː
അടിഞ്ഞു	ɐɖinɲu
അടിത്തട്ടിലെ	əɳɳiɳɳɛːɳɳi
അടിത്തട്ടിൽ	əɳɖit̪ːɐɭ̆l̆
അടിത്തട്ട്	əɳɖɨt̪ːə
അടിത്തറ	əɳɖɨt̪ːəɾ
അടിപിടി	əɳɖipɨɳɖi
അടിപൊളി	əɳɖipːoːli
അടിപൊളിയല്ലേ	əɳɖipːoːljɐɭːeː
അടിപൊളിയാണ്	əɳɖipːoːlijaːm
അടിപൊളിയായിട്ടുണ്ട്	ɐɖipːoɭijɑːjɨt̪ːu
അടിപൊളിയായിരിക്കും	əɖipoliɑːjɪɾikːu
അടിഭാഗം	əɳɖibɑːgəm
അടിമ	əɳɖim
അടിമകളാണ്	əɳɖimgɐlaːm
അടിമകളായി	əɳɖimgɐɳɐɪ
അടിമകളും	əɳɖimgɐɭu
അടിമകളുടെ	əɳɖimgɐɭuɳʈi
അടിമകളെ	əɳɖimgɐle
അടിമകളെയും	əɳɖimgɐɭɛjʉ
അടിമകളോ	əɳɖimgɐɭo
അടിമകള്	əɳɖimgɐɭ
അടിമക്ക്	əɳɖimgu
അടിമത്തം	əɳɖimɐt̪ːəm
അടിമത്തത്തിന്റെ	əɳɖimattinɳɳi
അടിമപ്പണി	əɳɖimːəpːəɳi
അടിമയല്ല	əɳɖimajɐɭː
അടിമയാണെന്ന്	əɳɖimajɑːɳɛn̪n̪ə
അടിമയാണോ	əɳɖimɑjɑːno
അടിമയാണ്	əɳɖimɑjɑːm
അടിമയായി	əɳɖimɐjɑːi
അടിമയായിരിക്കും	əɳɖimɐjɐjɪɾikːum
അടിമയും	əɳɖiməɾum
അടിമയെ	əɳɖimajɛ
അടിമുടി	əɳɖimud̪i
അടിയന്തര	əɳɖiəɳɖəɾ
അടിയന്തരാവസ്ഥ	əɳɖiəntɑɾɑːʋɨʈʈ
അടിയന്തിര	əɳɖiːn̪d̪iɾ
അടിയന്തിരമായ	əɳɖiːn̪d̪iɾəmoːjə
അടിയന്തിരമായി	əɳɖiːn̪d̪iɾɐmaɪ
അടിയറവ്	əɳɖɨɾəʋ
അടിയവനെ	əɳɳəʋənɛ
അടിയാണ്	əɳɨjaːm
അടിയായിപ്പോയി	əɳɳɨjɑjipːojɨ
അടിയിലാണ്	əɳɨjɨlaːm
അടിയിലായി	əɳɖiːlɑːjɨ
അടിയിലുണ്ട്	əɳɟiːlʊɳt̪
അടിയിലുള്ള	əɳɳiːɭːəɭː
അടിയിലൂടെ	əɳɟiːɭoːɭe
അടിയിലേക്ക്	əɳgiːleːk
അടിയില്	əɳɖiːl
അടിയിൽ	ɐɖɪj
അടിയും	əɳɨm
അടിയേറ്റാണ്	əɳɳeːɳɳɑː
അടിയോസ്	əɳɖioːs
അടിവസ്ത്രം	əɖiʋɐsʈɾɐm
അടിവസ്ത്രങ്ങള്	əɳɨbʌstrəŋgɨɭ
അടിസ്ഥാന	əɳɖist̪ʰaːn̪
അടിസ്ഥാനം	əɳɖist̪ːɑːn̪ə
അടിസ്ഥാനത്തിലാണ്	əɳiʈʂɑːnɨʈʈiɭɑːm
അടിസ്ഥാനത്തില്	əɳɖɪs̪t̪ʰaːn̪ɨt̪ːɨl̪
അടിസ്ഥാനത്തിൽ	əɳiʈʂɑːn̪t̪ɨl̪
അടിസ്ഥാനപരമായ	əɳiʈʂɑːnəpɑɾəmoːj
അടിസ്ഥാനപരമായി	əɳiʈʂɑːnəpɑɾəʋɑj
അടിസ്ഥാനപ്പെടുത്തി	əɳiʈʂɐːnəpɛɳuʈːi
അടിസ്ഥാനമാക്കി	əɳiʈɨʂɨːnɐmɑːkki
അടിസ്ഥാനമാക്കിയുള്ള	əɳɖist̪ʰaːnɐmɑkːijulːə
അടിസ്ഥാനവും	əɳɖist̪ʰaːnʌm
അടു	əɳu
അടുക്കലേക്ക്	əɳukːələːk
അടുക്കല്	əɳukːəl
അടുക്കള	ɐɖukkəɭə
അടുക്കളയിലെ	əɳukːəɭəge
അടുക്കളയിലേക്ക്	əɳukːəɭəjilɛːk
അടുക്കളയില്	əɳukːəɭəɪl
അടുക്കളയിൽ	əɳukːəɭɨj
അടുക്കളയും	əɳukːəɭəɳ
അടുക്കാറായി	əɳukːɑːɾɑːʋiː
അടുക്കി	əɳukːi
അടുക്കും	əɳukːu
അടുക്കുകയാണ്	əɳukːukɑjɑːm
അടുക്കുന്നു	əɳguːɳː
അടുക്കുമ്പോള്	ɐɖukːum̆poːlː
അടുക്കൽ	əɳʈukːəl
അടുത്ത	əɳʈːʊ
അടുത്തകാലത്തായി	əɳuʈːəkaːləʈːɑːi
അടുത്തകാലത്ത്	əɳʈʈəkɑːlət̪
അടുത്തടുത്ത	əɳuʈːəɳuʈː
അടുത്തടുത്ത്	əɳuʈʈəɳuʈʈu
അടുത്തതവണ	əɳɳuʈːəʋəɳ
അടുത്തതായി	əɳʈʈətaːj
അടുത്തതില്	əɳuʈːətil
അടുത്തത്	əɳʈːəɖə
അടുത്തമാസം	əɳuʈːəmaːsə
അടുത്തയാള്	əɳuʈːəjaːɭ
അടുത്തയാഴ്ച	əɳʈʈəjɑːɻ
അടുത്തയാൾ	əɳuʈːəjaːɭ
അടുത്തറിയാം	əɳuʈːəɾiːə̃ːm
അടുത്തല്ലേ	əɳʈʈɐlɭɛ
അടുത്തവട്ടം	əɳɳʊt̪ːəʋəɳɳə
അടുത്തവനെ	əɳuʈːəʋənɛ
അടുത്താ	əɳuʈːa
അടുത്താണെന്ന്	əɳɳəɳeːn̪n̪e
അടുത്താണോ	əɳɳuʈːaːɳoː
അടുത്താണ്	əɳɳuʈːɑːm
അടുത്തായി	əɳuʈːɑːi
അടുത്താഴ്ച	əɳuʈːəɳʈʃɐ
അടുത്തിടെ	əɳuʈːiɖe
അടുത്തില്ല	əɳuʈːɪɭː
അടുത്തു	əɳuɳu
അടുത്തും	ɐɖuttum
അടുത്തുകൂടി	əɳuʈːuguːɖi
അടുത്തുണ്ടോ	əɳuɳoː
അടുത്തുണ്ട്	əɳʈːuŋŧu
അടുത്തുതന്നെ	əɳʈʈut̪ːəɳɳe
അടുത്തുതന്നെയുണ്ട്	əɳuʈːuʈənneːuɳɖ
അടുത്തുനിന്നാണ്	əɳɳʊt̪ːun̪n̪ɑːm
അടുത്തുനിന്നും	əɳɳuɳuŋŋu
അടുത്തുനിന്ന്	əɳɳuːn̪n̪i
അടുത്തുപോലും	əɳɳuʈːupoːluʋ
അടുത്തുള്ള	ɐɖutt̪uɭː
അടുത്തുള്ളത്	əɳuɳuɭɨɭɨt̪ː
അടുത്തൂന്ന്	əɳuːŋuː
അടുത്തെങ്കിലും	əɳuʈːeŋgɪlɨm
അടുത്തെങ്ങാനും	əɳɳuŋgɑːnʊm
അടുത്തെങ്ങും	əɳuʈːeŋu
അടുത്തെത്തണം	əɳuʈːeːt̪ːəɳɐ
അടുത്തെത്താന്	ɐɖut̪ːeːt̪aːn̪
അടുത്തെത്താറായി	əɳuʈːeːt̪ːɑːɾɑːʋiː
അടുത്തെത്തി	əɳuʈːeːti
അടുത്തെത്തിക്കണം	əɳuʈːeːt̪ːikːɐɳɐ
അടുത്തെത്തിക്കഴിഞ്ഞു	əɳuʈːeːt̪ːikɐɳɳu
അടുത്തെത്തിക്കാം	əɳuʈːeːt̪ːikɐːm
അടുത്തെത്തിക്കൊണ്ടിരിക്കുന്നു	əɳuʈːeːt̪ːikːoːɳɖiɾɐɳɳoː
അടുത്തെത്തിയാല്	əɳuʈːeːt̪ʰijɑːl
അടുത്തെത്തും	əɳuʈːeːt̪ːum
അടുത്തെത്തുമ്പോള്	əɳuʈːeːt̪ːuɱboːlː
അടുത്തേക്	əɳuʈːeːk
അടുത്തേക്കാ	əɳuʈːeːkɑː
അടുത്തേക്കാണ്	əɳɳuʈːeːkɑːm
അടുത്തേക്കു	əɳuʈːeːku
അടുത്തേക്കും	əɳuʈːeːkːu
അടുത്തേക്ക്	ɐɖuʈːeːk
അടുത്തേയ്ക്	əɳuʈːeːk
അടുത്തേയ്ക്ക്	əɳʈuʈeːk
അടുത്തൊന്നും	əɳɳuʈːoːn̪n̪u
അടുത്തൊരു	əɳɳuːɳu
അടുത്തോ	ɐɖuʈːo
അടുത്ത്	əɳuʈː
അടുത്ത്നിന്ന്	əɳɳuʈːən̪n̪
അടുപ്പം	əɖʊpːəm
അടുപ്പത്തിലായിരുന്നു	ɐɖuppɐt̪t̪ilɯɭɯː
അടുപ്പത്തില്	əɳɳʌppɨt̪ːil
അടുപ്പമായിരുന്നോ	ɐɖupːɐmajɪɾɪn̪n̪o
അടുപ്പമുള്ള	əɳɳʊpːəmuɭːə
അടുപ്പിക്കും	əɳɳʊpːɪkːuːm
അടുപ്പിക്കൂ	əɳɳupːikːuː
അടുപ്പിക്ക്	əɖupːikːu
അടുപ്പിച്ച്	əɖʊpːɪt̪ːʃʈɨ
അടുപ്പ്	əɖʊbː
അട്ടഹാസം	əʈːɑhɑsɐm
അട്ടിമറി	əɳɳiːmɐɾi
അട്മിരല്	ɐɳɭiɾɐɭə
അഡെനോയിഡ്	əɖeːnɔːjɪɖ
അഡോള്	ɐɖoːlː
അഡോൾഫ്	ɐɖoːɭɸ
അഡ്	ɐɖ
അഡ്ജസ്റ്റ്	ədʒest̪
അഡ്മിനറല്	ɐɖminɾɐl
അഡ്മിറ്റ്	ɐɖmiːt̪
അഡ്മിഷന്	əɖmiʃɒnə
അഡ്മിഷൻ	əɖmiʂɒːn
അഡ്രസ്	əɖɾəs
അഡ്രസ്സില്	əɖɾɑsːɪl
അഡ്രസ്സും	əɖɾɑsːu
അഡ്രസ്സ്	əɖɾɐs
അഡ്രിനാലിന്	əɖɾɪnɐlɪnɯ
അഡ്രിയാന്	əɖɾiəːɳə
അഡ്രെസ്സ്	əɖɾeːs
അഡ്വാന്	əɖʋɑːnə
അഡ്വാൻസായി	əɖʋɑːɳsɑːi
അഡ്വാൻസ്	əɖʋɑːɳʃ
അഡ്വാൻസ്ഡ്	əɖʋɑːn̪sɨɖ
അണക്കുന്ന	əɳəkuɳː
അണക്കൂ	əɳəkuː
അണക്കെട്ടിന്	əɳəket̪ːiɳu
അണക്കെട്ട്	ɐɳɐkket̪ː
അണഞ്ഞു	ɐɳɐɳɟu
അണപ്പല്ല്	əɳəpːɐɭː
അണയ്ക്ക്	əɳəkkə
അണലി	əɳəli
അണി	ɑɳi
അണികളെ	əɳikɨlɛ
അണിഞ്ഞിരിക്കുന്നത്	əɳiɳʈiɾoʋʈəɭ
അണിനിരക്കുക	əɳɪnɪɾɐkːugʌ
അണിനിരക്കൂ	əɳinɪɾɐkuː
അണുബാധ	əɳubɑːðə
അണ്	ɑɳ
അണ്ടര്	ɐɳɖəɾə
അണ്ടി	ɐɳɖi
അണ്ടെർസൻവിൽ	ʌn̪d̪eːrs̪n̪ʋil
അണ്ടർ	ʌn̪d̪ə
അണ്ണന്റെ	ɑɳːɳəɳːe
അണ്ണാ	əɳːə
അണ്ണാക്കില്	ɑɳɳɑkɪl
അണ്ണാന്	ɑɳːɑːn
അണ്ണൻ	ɑɳːɳ
അത	əɖə
അതംഗീകരിക്കാന്	ətaŋiːkɪɾɪkɑːn
അതങ്ങനെ	ətaŋgənɛ
അതങ്ങനെയല്ല	ətaŋgənɛjɐɭː
അതങ്ങനെയാണ്	əɳɳəneːəɳ
അതങ്ങിനെ	ətaŋgine
അതങ്ങിനെയാണ്	ətaŋiˈneːaːm
അതങ്ങോട്ട്	əɳɳoːʈː
അതങ്ങ്	əɳɳʌɳɳ
അതതിന്റെ	əɾəɾiːɳɳeː
അതത്യാവശ്യമാണ്	ɐd̪ət̪ɑːʋɑːʃʲɨːmːɑː
അതത്ര	əɖɐtɾə
അതന്നെ	ət̪ɐn̪n̪e
അതപകടമാണ്	əɖəpəgəɖɨmː
അതയാളുടെ	əɖəɾɑːɭuɭu
അതയാളെ	ətajaːɭe
അതയാള്	ɐdɐjɑːɭ
അതയാൾ	ɐd̪əjɑːɭ̩
അതയോ	ɐd̪əjoː
അതര്	əɖəɾə
അതറിയാം	ɐd̪ɐɾijɑːm
അതറിയാന്	ɐt̪ɾijɑːn̪
അതറിയാമല്ലോ	əɖəɾɪjɑːmɑɭːo
അതറിയാമായിരുന്നു	ɐt̪ɐɾijɑːmoːɳɳɐː
അതറിയാമോ	əɖəɾiəmo
അതറിയാൻ	ɐd̪əɾijɑːɳ
അതറിയില്ല	ɐd̪ɐɾijɪɭːɭɐ
അതല്പം	ɐd̪ɐl̪pɐm
അതല്ല	ɐtɐɭː
അതല്ലല്ലോ	ɐtɐlɐlːɐː
അതല്ലാ	ɐtɐlɐː
അതല്ലാതെ	əɖɐlɐːt̪e
അതല്ലായെങ്കില്	əɖɐlɐːeŋkil
അതല്ലെ	ɐtɐɭːe
അതല്ലെങ്കില്	əɳɐlɛŋkil
അതല്ലെങ്കിൽ	ətɐlːeŋgil
അതല്ലേ	ɐtɐɭːe
അതവനറിയാം	ətəʋənriːjɑːm
അതവനല്ല	əɖəʋənɐɭː
അതവനാ	əɖəʋənɑ
അതവനാണ്	ɐd̪əʋənɑːm
അതവനു	əɖəʋənu
അതവനെ	ətəʋənɛ
അതവന്	əɖəʋən
അതവന്റെ	ɐd̪ɐʋɐɳɳe
അതവരുടെ	ətəɾuɖi
അതവരെ	əɖəʋəɾe
അതവര്	əɖəʋəɾə
അതവളാണ്	ɐdɐʋɐɭiːm
അതവളുടെ	əɖəʋɐɭuɭi
അതവളെ	ətəʋələ
അതവള്	əɖəʋəl
അതവിടെ	ɐdɐʋiɖe
അതവിടെയാണ്	əɾəviɖeːn̪əːm
അതവിടെയുണ്ട്	əɖəʋiɖeːjəɳt̪u
അതാ	ɐt̪ɑː
അതാകും	ɐt̪ɑːkum
അതാകെ	ɐt̪ɑːkɛ
അതാഗ്രഹിക്കുന്നു	ətaːgɾɐhiːɳɳoː
അതാണങ്ങേർ	ɐt̪ɑːɳɳeːr
അതാണല്ലേ	ɐt̪ɑːɳɐɭːeː
അതാണല്ലോ	ɐt̪ɐːɳɐɭːoː
അതാണവന്	ɐt̪ɑːɳəʋən̪
അതാണവരുടെ	ətaːɳəʋəɾuʈe
അതാണവര്	ətaːɳəʋəɾə
അതാണിത്	ətaːɳiʈʰ
അതാണു	ɐt̪ɑːɳu
അതാണു്	ətaːɳuː
അതാണെങ്കില്	ɐt̪ɑːɳeŋkil
അതാണെന്	ətaːɳeɳə
അതാണെന്ന്	ətaːɳeːn̪ŋɯ
അതാണെന്റെ	ɐt̪ɑːɳeːɳt̪e
അതാണൊരു	ɐt̪ɑːn̪oɾu
അതാണോ	ɐt̪ɑːɳoː
അതാണ്	ɐtɐːm
അതാത്	ɐt̪ɐːt̪
അതായതു	ɐtɑːjɐt̪u
അതായത്	ətaːjɐt̪
അതായിരിക്കണം	ətaːjiɾikːɐnɐm
അതായിരിക്കില്ല	ətaːjiɾikɪɭː
അതായിരിക്കും	ɐtɐjɪɾɪkːum
അതായിരുന്നില്ല	ətaːjoːɾiŋŋɪɭːə
അതായിരുന്നില്ലേ	ətaːjoːɾiŋgɪɭːeː
അതായിരുന്നു	əɖoːɳːə
അതായിരുന്നോ	ətaːɾuŋːoː
അതാര	ətaːɾə
അതാരാ	ətaːɾaː
അതാരാണെന്ന്	ətaːɾaːɳeɳː
അതാരാണ്	ətaːɾaːm
അതാരു	ətaːru
അതാരും	ɐt̪ɑːɾum
അതാരുടെ	ətaːɾuɖe
അതാരെങ്കിലും	ətaːɾeŋgɪlum
അതാരോ	ɐt̪ɑːɾoː
അതാര്	ətaːr
അതാവട്ടെ	ɐt̪ɑːʋɑːʈe
അതാവശ്യം	ɐtɑːʋɐʃjɐm
അതാവാം	əɳɐʋɑːm
അതാവും	əɳɳəʋum
അതാവുമ്പോള്	ətaːʋumpːoːl
അതി	ɐt̪i
അതികം	ɐt̪ɪkɐm
അതികഠിനമായ	ɐd̪igɐɖiːnamɐjɐ
അതികായന്	əɖɪkɑːjn̪ə
അതിക്രമം	ɐd̪iːkɾɐmɐm
അതിക്രമങ്ങള്	ɐt̪iːkrɐmɐɲɭɯ
അതിക്രമിച്ചിരിക്കുന്നു	əɖɪkɾəmiʈːɪɾɐɟːɔː
അതിക്രമിച്ചു	ɐt̪ikɾɐmid̪u
അതിക്രമിച്ച്	ɐd̪iːkɾɐmit̪tʃʈɨ
അതിഗംഭീരം	əɖigəmbʰiːɾɐm
അതിഗംഭീരമായ	əɖigəmbʰiːɾəmaːjə
അതിങ്ങനെ	əɳɳəɳe
അതിങ്ങു	əɳɳu
അതിങ്ങോട്ടു	əɳgoːɳɳu
അതിങ്ങ്	əɳɳəŋ
അതിജീവന	əɖɪdʒiːʋən
അതിജീവനം	əɖɪdʒiːʋən̪ə
അതിജീവനത്തിനുള്ള	əɖɪdʒiːʋənəŋkuɭːə
അതിജീവനത്തിന്	əɖɪdʒiːʋən̪t̪ɾ̪uː
അതിജീവനത്തെ	ɐd̪iːdʒiːʋən̪t̪eː
അതിജീവിക്കണം	ɐd̪iːdʒiːʋikkɐːnɐːm
അതിജീവിക്കണമെങ്കില്	əɖɪdʒiːʋɪkɳəmeŋkil
അതിജീവിക്കണമെങ്കിൽ	əɖɪdʒiːʋɪkɳəmeŋgɪɭ
അതിജീവിക്കാനുള്ള	əɖɪdʒiːʋɪkɑːn̪uɭː
അതിജീവിക്കാന്	əɖɪdʒiːʋɪkɑːn̪
അതിജീവിക്കാൻ	əɖɪdʒiːʋɪkɑːɳ
അതിജീവിക്കില്ല	əɖɪdʒiːʋikkɪɭː
അതിജീവിക്കും	ɐd̪igiːʋikːum
അതിജീവിക്കുക	ɐd̪iːdʒiːʋikkɯkɯ
അതിജീവിക്കുന്നു	ɐt̪iːdʒiːʋɪjɐn̪nɐ
അതിജീവിക്കുന്നുണ്ട്	ɐd̪iːdʒiːʋoːŋŋuɭŋuɭ
അതിജീവിക്കുവാന്	ɐd̪iːdʒiːʋikkʊʋɑːn̪
അതിജീവിച്ച	əɖɪdʒiːʋitʃɐ
അതിജീവിച്ചത്	əɖɪdʒiːʋit̪t̪ə
അതിജീവിച്ചവര്	ɐd̪iːdʒiːʋitʃɐʋɐɾ
അതിജീവിച്ചിരിക്കുന്നു	ɐd̪iːdʒiːʋitʃːiɾɪɳɳoː
അതിജീവിച്ചു	əɖɪdʒiːʋɪtʃu
അതിജീവിച്ച്	əɖɪdʒiːʋitʃː
അതിതീവ്രമായ	əɾɨt̪iːʋɾɑːmɑːj
അതിതുവരെ	əɾɨt̪uʋɨɾe
അതിത്തിരി	ɐt̪iːt̪iɾi
അതിത്ര	ɐt̪iːdr̪ɐ
അതിഥി	əɖiɖi
അതിഥികളാണ്	əɖiːt̪iɕɐːn̪n̪ə
അതിഥികളെ	əɖiɖiːɭe
അതിഥികള്	əɖiɖiɭəɭ
അതിഥിക്ക്	əɖiɖiːk
അതിഥികൾ	əɖiɖiːɭeː
അതിഥിയാണ്	əɖiɖiːjaːm
അതിഥിയുണ്ട്	əɖiɖiɪʔuɭʈ
അതിഥിയെ	əɖiɖiːjɛ
അതിനകം	əɳikaːm
അതിനകത്തു	əʈiŋɐkɐt̪u
അതിനകത്ത്	ɐt̪iŋgəkkɐt̪
അതിനടിയില്	əɳiɳiɳiːɭɪɭ
അതിനടിയിൽ	əɳiɳɳiɭʲ
അതിനടുത്ത	əɳiɳɐɳɨt̪ː
അതിനടുത്ത്	əɳiɳɐɳuː
അതിനനുസരിച്ച്	ɐt̪iŋ̪ən̪ən̪uʂɐɾit̪tʃʰ
അതിനപ്പുറം	əɳipuɾɐm
അതിനര്	əɳəɾə
അതിനല്ല	əɳinɐɭɭə
അതിനല്ലേ	ɐt̪ɪnɪɭɭeː
അതിനവന്	əʈinaʋənə
അതിനാണോ	əɳiːɳoː
അതിനാണ്	əɳinaːm
അതിനായി	əɳiʋɑj
അതിനാലാണ്	əɳilaːnaːm
അതിനാല്	əɳiɳɑːl
അതിനാവും	əɖɪn̪aːʋum
അതിനാൽ	əɳinaːl
അതിനി	əɳi
അതിനിടയില്	əɳiɳiːjiːl
അതിനിടയിൽ	əɳiɳiɳɐjəl
അതിനിടയ്ക്ക്	əɳiɳiɳɐk
അതിനിനി	əɳiɳi
അതിനിപ്പോ	əʈinipːo
അതിനിയും	əɖiɳiʝuŋ
അതിനിവിടെ	əʈiniʋiɖe
അതിനിഷ്ഠൂരം	əɳiʂʈuːɾɐm
അതിനു	əɳi
അതിനും	ɐt̪iɳɨm
അതിനുകാരണം	əɳikaːɾənɐm
അതിനുണ്ട്	əɳiŋŋuɭ
അതിനുപകരം	əɖɪnikɐɾɐm
അതിനുപറ്റിയ	əɳipɨɳi
അതിനുപുറമേ	əɖɪnʊpɯɾɑe
അതിനുമപ്പുറം	ɐt̪iŋumɐpːuɾɐm
അതിനുമാത്രം	əɖɪnʊmɑːɾɪɳ
അതിനുമുന്	əɳimuɳ
അതിനുമുമ്പ്	əɳimuŋbɯ
അതിനുമുൻപ്	əɖɪnʊmʊŋp
അതിനുള്ള	əɳiɳuɭːə
അതിനുള്ളിലെ	ɐt̪iˌnuɭːiɭe
അതിനുള്ളിലേക്ക്	əɖɪnulɨːkɨː
അതിനുള്ളില്	əʈiŋulːil
അതിനുള്ളിൽ	əɳiɳuːɭɭiː
അതിനുവേണ്ടി	əɖɪnʋeːɳɳi
അതിനുവേണ്ടിയാണ്	əɳiʋeːɳɑː
അതിനുശേഷം	əɳuʃeːʃɐm
അതിനുശേഷവും	əɖɨn̪uʃeːʃəʋu
അതിനു്	əɳɪnu
അതിനെ	ɐt̪iɳe
അതിനെകുറിച്ച്	əɳikeːɾɨtʃʈʃɨ
അതിനെക്കാളും	əʈiŋeːkaːɭuːm
അതിനെക്കാളൊക്കെ	əʈineːkkɔːle
അതിനെക്കാള്	əɳikeːkaːɭə
അതിനെക്കാൾ	əʈiŋeːkaːɭ
അതിനെക്കുറിച്ചൊന്നും	əɳikeːkuɾitʃoːn̪oːn̪
അതിനെക്കുറിച്ച്	ɐt̪iŋɛkːuɾitʃʈʃɛ
അതിനെതിരെ	əʈineːteriː
അതിനെനിക്ക്	əʈinenikkɨ
അതിനെന്താ	əʈineɳə
