a	aː
adorior	adorior
adoris	adoris
adoris	adoːris
adorum	adorum
adorum	adoːrum
adorī	adoriː
adorī	adoːriː
adpellō	adpelloː
adpendō	adpendoː
adpetenter	adpetenter
adpetentia	adpetentia
adpetissō	adpetissoː
adpetībilis	adpetiːbilis
adpetītiō	adpetiːtioː
adpetītus	adpetiːtus
adplaudō	adplau̯doː
adplausus	adplau̯sus
adplausī	adplau̯siː
adplicō	adplikoː
adpositiō	adpositioː
adprimō	adprimoː
adpropiō	adpropioː
adpōnō	adpoːnoː
adque	adkʷe
adquiēscō	adkʷieːskoː
adquīrō	adkʷiːroː
adramyttium	adramyttium
adrana	adrana
adrigō	adriɡoː
adripiō	adripioː
adriāna	adriaːna
adriānae	adriaːnae̯
adriānam	adriaːnam
adriāne	adriaːne
adriānum	adriaːnum
adriānus	adriaːnus
adriānārum	adriaːnaːrum
adriānās	adriaːnaːs
adriānī	adriaːniː
adriānīs	adriaːniːs
adriānō	adriaːnoː
adriānōrum	adriaːnoːrum
adriānōs	adriaːnoːs
adrogō	adroɡoː
adrādō	adraːdoː
adrānum	adraːnum
adrēmigō	adreːmiɡoː
adrēpō	adreːpoː
adscendō	adskendoː
adscrībō	adskriːboː
adscīscō	adskiːskoː
adsentior	adsentior
adsentiō	adsentioː
adsentātōribus	adsentatoribus
adserō	adseroː
adsiduus	adsiduus
adsimilō	adsimiloː
adsistrīcibus	adsistrikibus
adspectābilis	adspektaːbilis
adspergō	adsperɡoː
adspiciō	adspikioː
adspīrō	adspiːroː
adstipulor	adstipulor
adstipulātor	adstipulaːtor
adstringō	adstrinɡoː
adstō	adstoː
adsum	adsum
adsurgō	adsurɡoː
adsuēfaciō	adsueːfakioː
adsuēscō	adsu̯eːskoː
adsuētus	adsueːtus
adsuō	adsuoː
adsībilō	adsiːbiloː
adsūmptīvus	adsuːmptiːu̯us
adsūmō	adsuːmoː
adtendō	adtendoː
adtentus	adtentus
adterō	adteroː
adtingō	adtinɡoː
adtonō	adtonoː
adtribuō	adtribuoː
adtribūtor	adtribuːtor
adua	adua
aduatucī	aduatukiː
adubī	adubiː
adulescentula	aduleskentula
adulescentulus	aduleskentulus
adulter	adulter
adultera	adultera
adulteriīs	adulteriis
adulterīna	adulteriːna
adulterīna	adulteriːnaː
adulterīne	adulteriːne
adulterīnus	adulteriːnus
adulterīnī	adulteriːniː
adulterīnō	adulteriːnoː
adulterō	adulteroː
adulēscentia	aduleːskentia
adulēscentior	aduleːskentior
adulēscēns	aduleːskens
adumbrāte	adumbraːte
adumbrātiō	adumbraːtioː
adumbrō	adumbroː
aduna	aduna
aduncitās	adunkitaːs
aduncus	adunkus
adurgeō	adurɡeoː
adusque	aduskʷe
aduste	aduste
aduātuca	aduaːtuka
advectō	adu̯ektoː
advehō	adu̯ehoː
advena	adu̯ena
adveneror	adu̯eneror
advenientis	adu̯enientis
advenit	adu̯enit
advenit	adu̯eːnit
adveniō	adu̯enioː
adventor	adu̯entor
adventus	adu̯entus
adventātum	adu̯entaːtum
adventīcius	adu̯entiːkius
adventītius	adu̯entiːtius
adventō	adu̯entoː
advenīmus	adu̯eniːmus
advenīmus	adu̯eːnimus
adverberō	adu̯erberoː
adverbia	adu̯erbia
adverbium	adu̯erbium
adverbiālis	adu̯erbiaːlis
adverbiāliter	adu̯erbiaːliter
adversa	adu̯ersa
adversitās	adu̯ersitaːs
adversor	adu̯ersor
adversus	adu̯ersus
adversāria	adu̯ersaːria
adversārius	adu̯ersaːrius
advertō	adu̯ertoː
advesperāscit	adu̯esperaːskit
advigilātum	adu̯iɡilaːtum
advigilō	adu̯iɡiloː
advocātus	adu̯okaːtus
advocō	adu̯okoː
advolvō	adu̯olu̯oː
advolātus	adu̯olaːtus
advolātus	adu̯olaːtuːs
advolō	adu̯oloː
advortō	adu̯ortoː
advēlō	adu̯eːloː
advēnerimus	adu̯eːnerimus
advēnerimus	adu̯eːneriːmus
advēneris	adu̯eːneris
advēneris	adu̯eːneriːs
advēneritis	adu̯eːneritis
advēneritis	adu̯eːneriːtis
advīvō	adu̯iːu̯oː
adytus	adytus
adzēlor	adzeːlor
adāctiō	adaːktioː
adāctus	adaːktus
adā̆gium	adaɡium
adā̆gium	adaːɡium
adēscō	adeːskoː
adēsuriō	adeːsurioː
adīnspectō	adinspektoː
adōnidium	adoːnidium
adōnis	adoːnis
adōnium	adoːnium
adōrandō	adoːrandoː
adōrante	adoːrante
adōrantēs	adoːranteːs
adōrantī	adoːrantiː
adōrantō	adoːrantoː
adōrat	adoːrat
adōrdinō	adoːrdinoː
adōrer	adoːrer
adōreus	adoːreus
adōreī	adoːreiː
adōreīs	adoːreiːs
adōrnā	adoːrnaː
adōrnō	adoːrnoː
adōror	adoːror
adōrābilis	adoːraːbilis
adōrārem	adoːraːrem
adōrārās	adoːraːraːs
adōrārēs	adoːraːreːs
adōrās	adoːraːs
adōrāsse	adorasse
adōrāssem	adoːraːssem
adōrāssēs	adoːraːsseːs
adōrāta	adoːraːta
adōrāta	adoːraːtaː
adōrāte	adoːraːte
adōrātī	adoːraːtiː
adōrātō	adoːraːtoː
adōrēs	adoːreːs
adōrō	adoːroː
adōsculor	adoːskulor
adūlandō	aduːlandoː
adūlor	aduːlor
adūlātor	aduːlaːtor
adūlātōrius	aduːlaːtoːrius
adūlō	aduːloː
adūnāta	aduːnaːta
adūnāta	aduːnaːtaː
adūnātiō	aduːnaːtioː
adūnō	aduːnoː
adūrō	aduːroː
adūtor	aduːtor
aeacēs	ae̯akeːs
aebura	ae̯bura
aebūtius	ae̯buːtius
aecae	ae̯kae̯
aeculānum	ae̯kulaːnum
aedesa	ae̯desa
aedicula	ae̯dikula
aedificium	ae̯difikium
aedificātum	ae̯difikaːtum
aedificātus	ae̯difikaːtus
aedificō	ae̯difikoː
aedis	ae̯dis
aeditumor	ae̯ditumor
aedituālis	ae̯dituaːlis
aedituēns	ae̯dituens
aeduī	ae̯duiː
aedēpsus	ae̯deːpsus
aedēs	ae̯deːs
aedīlis	ae̯diːlis
aedīlīcius	ae̯diːliːkius
aefula	ae̯fula
aegae	ae̯ɡae̯
aegaeus	ae̯ɡae̯us
aeger	ae̯ɡer
aegiae	ae̯ɡiae̯
aegialus	ae̯ɡialus
aegida	ae̯ɡida
aegides	ae̯ɡides
aegidēs	ae̯ɡideːs
aegimurus	ae̯ɡimurus
aeginium	ae̯ɡinium
aegipius	ae̯ɡipius
aegis	ae̯ɡis
aegisthe	ae̯ɡistʰe
aegisthus	ae̯ɡistʰus
aegisthō	ae̯ɡistʰoː
aegithus	ae̯ɡitʰus
aegitium	ae̯ɡitium
aegocephalos	ae̯ɡokepʰalos
aegreō	ae̯ɡreoː
aegrimōnia	ae̯ɡrimoːnia
aegritūdō	ae̯ɡrituːdoː
aegrē	ae̯ɡreː
aegrēscō	ae̯ɡreːskoː
aegrōtus	ae̯ɡroːtus
aegrōtātiōnibus	ae̯ɡrotationibus
aegrōtātum	ae̯ɡroːtaːtum
aegrōtātīcius	ae̯ɡroːtaːtiːkius
aegrōtō	ae̯ɡroːtoː
aegyptiace	ae̯ɡyptiake
aegyptiacus	ae̯ɡyptiakus
aegyptiacē	ae̯ɡyptiakeː
aegyptius	ae̯ɡyptius
aegyptus	ae̯ɡyptus
aegātēs	ae̯ɡaːteːs
aegīdius	ae̯ɡiːdius
aegīna	ae̯ɡiːna
aegīra	ae̯ɡiːra
aegōlios	ae̯ɡoːlios
aegūsa	ae̯ɡuːsa
aelius	ae̯lius
aellō	aelloː
aemidus	ae̯midus
aemilius	ae̯milius
aeminium	ae̯minium
aemulanter	ae̯mulanter
aemulor	ae̯mulor
aemulus	ae̯mulus
aemulātiō	ae̯mulaːtioː
aemulātor	ae̯mulaːtor
aemulātrīx	ae̯mulaːtriːks
aemyndus	ae̯myndus
aenigma	ae̯niɡma
aenigmaticus	ae̯niɡmatikus
aeningia	ae̯ninɡia
aenona	ae̯nona
aenāria	ae̯naːria
aenēae	ae̯neːae̯
aenēā	ae̯neːaː
aenē̆a	ae̯nea
aenē̆a	ae̯neːa
aenē̆is	ae̯neis
aenē̆is	ae̯neːis
aeoliae	ae̯oliae̯
aequaevus	ae̯kʷae̯u̯us
aequanimae	ae̯kʷanimae̯
aequanimam	ae̯kʷanimam
aequanime	ae̯kʷanime
aequanimem	ae̯kʷanimem
aequanimia	ae̯kʷanimia
aequanimibus	ae̯kʷanimibus
aequanimis	ae̯kʷanimis
aequanimitās	ae̯kʷanimitaːs
aequanimium	ae̯kʷanimium
aequanimum	ae̯kʷanimum
aequanimus	ae̯kʷanimus
aequanimīs	ae̯kʷanimiːs
aequicus	ae̯kʷikus
aequidistāns	ae̯kʷidistans
aequidistō	ae̯kʷidistoː
aequifōrmis	ae̯kʷifoːrmis
aequilavium	ae̯kʷilau̯ium
aequilībris	ae̯kʷiliːbris
aequilībrium	ae̯kʷiliːbrium
aequinoctium	ae̯kʷinoktium
aequinoctiālis	ae̯kʷinoktiaːlis
aequiperō	ae̯kʷiperoː
aequipollēns	ae̯kʷipollens
aequisonus	ae̯kʷisonus
aequiter	ae̯kʷiter
aequitās	ae̯kʷitaːs
aequivalentia	ae̯kʷiu̯alentia
aequivaleō	ae̯kʷiu̯aleoː
aequivocus	ae̯kʷiu̯okus
aequor	ae̯kʷor
aequoreus	ae̯kʷoreus
aequābilis	ae̯kʷaːbilis
aequābiliter	ae̯kʷaːbiliter
aequābilitās	ae̯kʷaːbilitaːs
aequālis	ae̯kʷaːlis
aequāliter	ae̯kʷaːliter
aequālitās	ae̯kʷaːlitaːs
aequātis	ae̯kʷaːtis
aequātiō	ae̯kʷaːtioː
aequātor	ae̯kʷaːtor
aequātus	ae̯kʷaːtus
aequātīs	ae̯kʷaːtiːs
aequātōria	ae̯kʷaːtoːria
aequātōriālis	ae̯kʷaːtoːriaːlis
aequātōriēnsis	ae̯kʷaːtoːriensis
aequāverimus	ae̯kʷaːu̯erimus
aequāverimus	ae̯kʷaːu̯eriːmus
aequāveris	ae̯kʷaːu̯eris
aequāveris	ae̯kʷaːu̯eriːs
aequāveritis	ae̯kʷaːu̯eritis
aequāveritis	ae̯kʷaːu̯eriːtis
aequē	ae̯kʷeː
aequī	ae̯kʷiː
aera	ae̯ra
aere	ae̯re
aereus	ae̯reus
aeribus	ae̯ribus
aerinus	ae̯rinus
aeripēs	ae̯ripeːs
aeris	ae̯ris
aerum	ae̯rum
aerumnōsus	ae̯rumnoːsus
aeruscātor	ae̯ruskaːtor
aeruscō	ae̯ruskoː
aerāmen	ae̯raːmen
aerārium	ae̯raːrium
aerārius	ae̯raːrius
aerātus	ae̯raːtus
aerī	ae̯riː
aerō	ae̯roː
aerōsus	ae̯rosus
aerūginātum	ae̯ruːɡinaːtum
aerūginō	ae̯ruːɡinoː
aerūginōsa	ae̯ruːɡinoːsa
aerūginōsa	ae̯ruːɡinoːsaː
aerūginōsus	ae̯ruːɡinoːsus
aerūgō	ae̯ruːɡoː
aes	ae̯s
aeschinēs	ae̯skʰineːs
aeschriōn	ae̯skʰrioːn
aeschylus	ae̯skʰylus
aesculeus	ae̯skuleus
aesculus	ae̯skulus
aesculētum	ae̯skuleːtum
aesernia	ae̯sernia
aesis	ae̯sis
aesius	ae̯sius
aestifer	ae̯stifer
aestimābilis	ae̯stimaːbilis
aestimāre	ae̯stimaːre
aestimātiō	ae̯stimaːtioː
aestimō	ae̯stimoː
aestiī	ae̯stiiː
aestus	ae̯stus
aestuābundus	ae̯stuaːbundus
aestuārium	ae̯stuaːrium
aestuāriānus	ae̯stuaːriaːnus
aestuō	ae̯stuoː
aestuōsus	ae̯stuoːsus
aestās	ae̯staːs
aestīvus	ae̯stiːu̯us
aestīvātum	ae̯stiːu̯aːtum
aestīvō	ae̯stiːu̯oː
aesyros	ae̯syros
aesēpus	ae̯seːpus
aesōn	ae̯soːn
aesōpicus	ae̯soːpikus
aeternitās	ae̯ternitaːs
aeternus	ae̯ternus
aeternālis	ae̯ternaːlis
aeternāliter	ae̯ternaːlis
aethalia	ae̯tʰalia
aethaliae	ae̯tʰaliae̯
aethaliam	ae̯tʰaliam
aethalidēn	ae̯tʰalideːn
aethalidēs	ae̯tʰalideːs
aethalon	ae̯tʰalon
aethalos	ae̯tʰalos
aethalus	ae̯tʰalus
aetherius	ae̯tʰerius
aethiopia	ae̯tʰiopia
aethiopicus	ae̯tʰiopikus
aethiopius	ae̯tʰiopius
aethiopus	ae̯tʰiopus
aethlius	aetʰlius
aethra	ae̯tʰra
aethēr	ae̯tʰeːr
aetna	ae̯tna
aetnē	ae̯tneː
aetās	ae̯taːs
aetātis	ae̯taːtis
aetōlia	ae̯toːlia
aeviternitās	ae̯u̯iternitas
aeviternitātibus	ae̯u̯iternitatibus
aeviternus	ae̯u̯iternum
aevitās	ae̯u̯itaːs
aevum	ae̯u̯um
aezarī	ae̯zzariː
aeōn	ae̯oːn
afa	afa
afannae	afannae̯
affatim	affatim
affectiō	affektioː
affectiōnātus	affektioːnaːtus
affectiōsus	affektioːsus
affector	affektor
affectuōsus	affektuoːsus
affectātiō	affektaːtioː
affectātor	affektaːtor
affectātrīx	affektaːtriːks
affectē	affekteː
affectīvus	affektiːu̯us
affectō	affektoː
afferō	afferoː
afficiō	affikioː
affigūrāta	affiɡuːraːta
affigūrāta	affiɡuːraːtaː
affigūrāte	affiɡuːraːte
affigūrō	affiɡuːroː
affilae	affilae̯
affingō	affinɡoː
affirmātīvus	affirmaːtiːu̯us
affirmō	affirmoː
afflectō	afflektoː
affleō	affleoː
affluēns	affluens
affluō	affluoː
afflātus	afflatus
afflīctus	affliːktus
afflīgō	affliːɡoː
afflō	affloː
affodiō	affodioː
affor	affor
afformīdō	afformiːdoː
affricō	affrikoː
affriō	affrioː
affulgeō	affulɡeoː
affundō	affundoː
affābilis	affaːbilis
affābilitās	affaːbilitaːs
affābilitātibus	affabilitatibus
affāmen	affaːmen
affīdāvit	affiːdaːu̯it
affīdō	affiːdoː
affīgō	affiːɡoː
affīnis	affiːnis
afghanus	afɡhanus
afgānia	afɡaːnia
afrānius	afraːnius
aga	aɡa
agaga	aɡaɡa
agamatae	aɡamatae̯
agamus	aɡamus
agandeī	aɡandeiː
agapē	aɡapeː
agaricum	aɡarikum
agasiās	aɡasiaːs
agassae	aɡassae̯
agatha	aɡatʰa
agathoclēs	aɡatʰokleːs
agathyrna	aɡatʰyrna
agathyrsī	aɡatʰyrsiː
agedum	aɡedum
ageladās	aɡeladaːs
agellus	aɡellus
agendicum	aɡendikum
agendus	aɡendus
agent	aɡent
ager	aɡer
ageris	aɡeris
ageris	aɡeːris
agessinātēs	aɡessinaːteːs
aggaudeō	aɡɡau̯deoː
aggenerō	aɡɡeneroː
aggeniculor	aɡɡenikulor
agger	aɡɡer
agglomerō	aɡɡlomeroː
agglūtinō	aɡɡluːtinoː
aggravō	aɡɡrau̯oː
aggredior	aɡɡredior
aggregō	aɡɡreɡoː
aggressiō	aɡɡressioː
aggressor	aɡɡressor
aggubernō	aɡɡubernoː
aggāvīsus	aɡɡaːu̯iːsus
aggāvīsūrus	aɡɡaːu̯iːsuːrus
agilis	aɡilis
agiliter	aɡiliter
agilitās	aɡilitaːs
aginnum	aɡinnum
agitur	aɡitur
agitātor	aɡitaːtor
agitātrīx	aɡitaːtriːks
agmen	aɡmen
agminālis	aɡminaːlis
agmināte	aɡminaːte
agnella	aɡnella
agnellus	aɡnellus
agnitiō	aɡnitioː
agnus	aɡnus
agnāscor	aɡnaːskor
agnīna	aɡniːna
agnīnus	aɡniːnus
agnōmen	aɡnoːmen
agnōmentum	aɡnomentum
agnōminātiōnibus	aɡnominationibus
agnōscō	aɡnoːskoː
agolum	aɡolum
agora	aɡora
agorae	aɡorae̯
agorās	aɡoraːs
agraeī	aɡrae̯iː
agrellus	aɡrellus
agrestis	aɡrestis
agrestēs	aɡresteːs
agrianēs	aɡrianeːs
agricola	aɡrikola
agricola	aɡrikolaː
agricolor	aɡrikolor
agricultor	aɡrikultor
agricultōrēs	aɡrikultoːreːs
agricultōrī	aɡrikultoːriː
agricultūra	aɡrikultuːra
agricultūrāle	aɡrikultuːraːle
agricultūrālis	aɡrikultuːraːlis
agrimōnia	aɡrimoːnia
agripeta	aɡripeta
agriānēs	aɡriaːneːs
agron	aɡron
agrārius	aɡraːrius
agrāticum	aɡraːtikum
agrīmēnsor	aɡriːmensor
agrīmēnsōre	aɡriːmensoːre
agrīmēnsōrēs	aɡriːmensoːreːs
agrīmēnsōrī	aɡriːmensoːriː
agrōsus	aɡroːsus
aguntum	aɡuntum
aguranis	aɡuranis
agustus	aɡustus
agyrium	aɡyrium
agāmus	aɡaːmus
agāsō	aɡaːsoː
agēa	aɡeːa
agēma	aɡeːma
agēns	aɡens
agēsilāus	aɡeːsilaːus
agō	aɡoː
agōn	aɡoːn
agōnium	aɡoːnium
agōnālia	aɡoːnaːlia
ah	ah
aharna	aharna
ahēneus	aheːneus
ahēnum	aheːnum
aiiō	ai̯i̯oː
ainuānus	ainuaːnus
ais	ais
ait	ait
aiācem	ai̯i̯aːkem
aiō	ai̯i̯oː
ajō	ai̯i̯oː
alabamēnsis	alabamensis
alabanda	alabanda
alabaster	alabaster
alabastros	alabastros
alabastrum	alabastrum
alabis	alabis
alabrum	alabrum
alabāma	alabaːma
alacer	alaker
alacritās	alakritaːs
alaea	alae̯a
alaesa	alae̯sa
alander	alander
alarīcus	alariːkus
alasca	alaska
alascus	alaskus
alaskēnsis	alaskensis
alatheus	alatʰeus
alauda	alau̯da
alba	alba
albae	albae̯
albam	albam
albe	albe
albem	albem
alberta	alberta
albertus	albertus
albeō	albeoː
albicant	albikant
albiceps	albikeps
albicillus	albikillus
albicolor	albikolor
albicomus	albikomus
albicornis	albikornis
albicostus	albikostus
albicāns	albikans
albicō	albikoː
albidulus	albidulus
albidus	albidus
albiflōrus	albifloːrus
albimanus	albimanus
albingaunum	albinɡau̯num
albinia	albinia
albinius	albinius
albinucha	albinukʰa
albionēs	albiones
albipennis	albipennis
albipēs	albipeːs
albipūnctus	albipuːnktus
albipūnctātus	albipuːnktaːtus
albirōstris	albiroːstris
albis	albis
albitarsis	albitarsis
albitūdō	albituːdoː
albius	albius
albiventris	albiu̯entris
albofasciātus	albofaskiaːtus
albogilvus	alboɡilu̯us
albogulāris	alboɡulaːris
albolineātus	albolineaːtus
albomaculātus	albomakulaːtus
albomarginātus	albomarɡinaːtus
albor	albor
albula	albula
albulus	albulus
album	album
alburnum	alburnum
alburnus	alburnus
albus	albus
albāmentum	albaːmentum
albāna	albaːna
albāna	albaːnaː
albānia	albaːnia
albānicus	albaːnikus
albānus	albaːnus
albānī	albaːniː
albārium	albaːrium
albārius	albaːrius
albārum	albaːrum
albās	albaːs
albātus	albaːtus
albātī	albaːtiː
albēdō	albeːdoː
albēns	albens
albēscō	albeːskoː
albī	albiː
albīnus	albiːnus
albīs	albiːs
albōpictus	alboːpiktus
albōrum	alboːrum
albōrī	alboːriː
albōs	alboːs
albūcius	albuːkius
albūgō	albuːɡoː
albūmen	albuːmen
alcali	alkali
alcalēscentēs	alkaleːskenteːs
alcalēscēns	alkaleːskens
alcalīnus	alkaliːnus
alchimia	alkʰimia
alchymicus	alkʰymikus
alchymista	alkʰymista
alchēmista	alkʰeːmista
alcibiadēs	alkibiadeːs
alcis	alkis
alcis	alkiːs
alcium	alkium
alcoholicus	alkoholikus
alcum	alkum
alcyonē	alkyoneː
alcyōn	alkyoːn
alcēdō	alkeːdoː
alcēs	alkeːs
alcēsimarchus	alkeːsimarkʰus
alcō	alkoː
aldabrēnsis	aldabrensis
alectoria	alektoria
alelē	aleleː
alemanicus	alemanikus
alemannus	alemannus
alembīcum	alembiːkum
alembīcus	alembiːkus
alemānnia	alemaːnnia
aleos	aleos
alesiaeum	alesiae̯um
aletūdō	aletuːdoː
alexander	aleksander
alexandreus	aleksandreus
alexandrīnus	aleksandriːnus
alexipharmacon	aleksipʰarmakon
alexius	aleksius
alfius	alfius
alfēnus	alfeːnus
alga	alɡa
algae	alɡae̯
algebra	alɡebra
algebraicus	alɡebraikus
algebraista	alɡebraista
algeō	alɡeoː
algida	alɡida
algida	alɡidaː
algide	alɡide
algidus	alɡidus
algidī	alɡidiː
algidō	alɡidoː
alginolyticus	alɡinolytikus
algor	alɡor
algorithmus	alɡoritʰmus
algēns	alɡens
algēnsis	alɡensis
algēscō	alɡeːskoː
algōsus	alɡoːsus
alibilis	alibilis
alibī	alibiː
alica	alika
alicastrum	alikastrum
alicubi	alikubi
alicui	alikui̯
alienor	alienor
alienora	alienora
alimenta	alimenta
alimentum	alimentum
alimentātiō	alimentatio
alimentī	alimentiː
alimentīs	alimentiːs
alimentō	alimentoː
alimōnia	alimoːnia
aliorsum	aliorsum
aliphēra	alipʰeːra
aliquantulus	alikʷantulus
aliquantus	alikʷantus
aliquis	alikʷis
aliquod	alikʷod
aliquot	alikʷot
aliquālis	alikʷaːlis
aliquātenus	alikʷaːtenus
aliquī	alikʷiː
alisma	alisma
alisontia	alisontia
alita	alita
alita	alitaː
aliud	aliud
alius	alius
aliēna	alieːna
aliēna	alieːnaː
aliēnam	alieːnam
aliēnandō	alieːnandoː
aliēne	alieːne
aliēnem	alieːnem
aliēnigenus	alieːniɡenus
aliēnissimōrum	alienissimorum
aliēnus	alieːnus
aliēnārem	alieːnaːrem
aliēnārās	alieːnaːraːs
aliēnārēs	alieːnaːreːs
aliēnās	alieːnaːs
aliēnāsse	alieːnaːsse
aliēnāssem	alieːnaːssem
aliēnāssēs	alieːnaːsseːs
aliēnātiō	alienatio
aliēnēs	alieːneːs
aliēnī	alieːniː
aliō	alioː
aliōquī	alioːkʷiː
aliōs	alioːs
allabōrō	allaboːroː
allacrimō	allakrimoː
allaudō	allau̯doː
allectātiō	allektatio
allectō	allektoː
alledius	alledius
alleghaniēnsis	alleɡhaniensis
alleviō	alleu̯ioː
allex	alleks
allia	allia
allicefaciō	allikefakioː
allicefactum	allikefaktum
allicefactūrus	allikefaktuːrus
alliciō	allikioː
alligātiō	alliɡaːtioː
alligātor	alliɡaːtor
alligō	alliɡoː
allinō	allinoː
allium	allium
allobrogēs	allobroɡeːs
allocō	allokoː
allocūtiō	allokuːtioː
alloquium	allokʷium
alloquor	allokʷor
alluvium	alluu̯ium
alluvius	alluu̯ius
alluviō	alluu̯ioː
alluō	alluoː
allābor	allaːbor
allātrō	allaːtroː
allātus	allaːtus
allēc	alleːk
allēctīve	alleːktiːu̯e
allēctīvus	alleːktiːu̯us
allēgoria	alleːɡoria
allēgoricus	alleːɡorikus
allēgorizō	alleːɡorizzoː
allī	alliː
allīdō	alliːdoː
allīfae	alliːfae̯
allūceō	alluːkeoː
allūctor	alluːktor
allūde	alluːde
allūdiō	alluːdioː
allūdō	alluːdoː
allūsiō	alluːsioː
allūsiōnem	alluːsioːnem
almitiēs	almitieːs
almus	almus
almō	almoː
almōpēs	almoːpeːs
alnus	alnus
alogia	aloɡia
alopē	alopeː
aloxinum	aloksinum
aloē	aloeː
alpha	alpʰa
alphabētum	alpʰabeːtum
alphaeus	alpʰae̯us
alpharidēs	alpharideːs
alphēus	alpʰeːus
alpicolus	alpikolus
alpēs	alpeːs
alpēstris	alpeːstris
alpēstrus	alpeːstrus
alpīnus	alpiːnus
alpīnālis	alpiːnaːlis
alsa	alsa
alsinē	alsineː
altae	altae̯
altaicus	altaikus
altar	altar
alte	alte
altellus	altellus
alter	alter
altercor	alterkor
alterculum	alterkulum
alternante	alternante
alternantēs	alternanteːs
alterniflorus	alterniflorus
alternus	alternus
alternātīva	alternaːtiːu̯a
alternātīva	alternaːtiːu̯aː
alternātīve	alternaːtiːu̯e
alternātīvus	alternaːtiːu̯us
alternātīvās	alternaːtiːu̯aːs
alternātīvī	alternaːtiːu̯iː
alternātīvō	alternaːtiːu̯oː
alternātīvōs	alternaːtiːu̯oːs
alternō	alternoː
alteruter	alteruter
alterātiō	alteraːtioː
althaea	altʰae̯a
alticolus	altikolus
altilis	altilis
altirōstris	altiroːstris
altisonus	altisonus
altispīnus	altispiːnus
altispīnōsus	altispiːnoːsus
altissimus	altissimus
altitia	altitia
altitonus	altitonus
altitonāns	altitonans
altitūdō	altituːdoː
altiusculus	altiuskulus
altivolāns	altiu̯olans
altiō	altioː
altor	altor
altrīnsecus	altrinsekus
altum	altum
altōre	altoːre
alumnor	alumnor
aluntium	aluntium
aluta	aluta
alveolus	alu̯eolus
alveolātus	alu̯eolaːtus
alveus	alu̯eus
alvona	alu̯ona
alvārium	alu̯aːrium
alx	alks
alyattēs	alyatteːs
alysson	alysson
alyzia	alyzzia
alās	alaːs
alāzona	alaːzzona
alāzone	alaːzzone
alāzōn	alaːzzoːn
alēscō	aleːskoː
alētium	aleːtium
alētrium	aleːtrium
alētrīnās	aleːtriːnaːs
alētrīnātēs	aleːtriːnaːteːs
alētrīnēnsis	aleːtriːnensis
alīpta	aliːpta
alīptēs	aliːpteːs
alō	aloː
alōpeconnēsus	aloːpekonneːsus
alōpecūros	aloːpekuːros
alōrus	aloːrus
alūmen	aluːmen
alūminium	aluːminium
alūminiō	aluːminioː
alūtiae	aluːtiae̯
alȳpon	alyːpon
ama	ama
amadocus	amadokus
amadocī	amadokiː
amafinius	amafinius
amandum	amandum
amandus	amandus
amandī	amandiː
amandō	amandoː
amantia	amantia
amardus	amardus
amardī	amardiː
amarynthus	amaryntʰus
amastris	amastris
amasēnus	amaseːnus
amasīa	amasiːa
amathūs	amatʰuːs
amaurōsis	amau̯roːsis
amauēnsis	amau̯ensis
ambactus	ambaktus
ambarrī	ambarriː
ambedō	ambedoː
ambeō	ambeoː
ambiguus	ambiɡuus
ambigō	ambiɡoː
ambilatrī	ambilatriː
ambiorīx	ambioriːks
ambisontēs	ambisonteːs
ambitiō	ambitioː
ambitiōsus	ambitioːsus
ambitus	ambitus
ambituī	ambituiː
ambivius	ambiu̯ius
ambiānī	ambiaːniː
ambiēns	ambiens
ambiō	ambioː
amblyōpia	amblyoːpia
amblyōpiam	amblyoːpiam
amblyōpicus	amblyoːpikus
amblyōpicīs	amblyoːpikiːs
amblyōpicōrum	amblyoːpikoːrum
amblyōpiās	amblyoːpiaːs
amboinēnsis	amboinensis
