ং	ŋ
আমাদের	amad̪eɾ
আমানত	amanɔt̪
আমার	amaɾ
আমারে	amaɹeˑ
আমারে	amaɾeˑ
আমাশয়	amaʃɔe̯
আমি	amiˑ
আমীর	amiɹ
আমীর	amiɾ
আমেজ	amedʑ
আমেজ	amedʒ
আমেজ	amez
আমেরিকা	ameɹikaˑ
আমেরিকা	ameɾikaˑ
আয়না	ae̯naˑ
আয়াতুল্লাহ	ae̯at̪olːah
আয়াতুল্লাহ	ae̯at̪ulːah
আয়ু	ai̯uˑ
আয়ুর্বেদ	ae̯uɹbed̪
আয়ুর্বেদ	ae̯uɾbed̪
আয়েশা	ae̯ʃaˑ
আযান	adʑan
আযান	adʒan
আযাব	adʑab
আযাব	adʒab
আর	aɹ
আর	aɾ
আর	aːɾ
আরও	aro
আরজ	aɹodʑ
আরজ	aɾodʒ
আরজু	aɹdʑuˑ
আরজু	aɾdʒuˑ
আরজুমান্দ	aɹdʑuman
আরজুমান্দ	aɹdʑumand̪
আরজুমান্দ	aɾdʒuman
আরজুমান্দ	aɾdʒumand̪
আরতি	aɹot̪iˑ
আরতি	aɾot̪iˑ
আরব	aɹɔb
আরব	aɾɔb
আরম্ভ	aɹɔmbʱoˑ
আরম্ভ	aɹɔmvoˑ
আরম্ভ	aɹɔmβɔˑ
আরম্ভ	aɾɔmbʱoˑ
আরম্ভ	aɾɔmvoˑ
আরম্ভ	aɾɔmβɔˑ
আরশি	aɹʃiˑ
আরশি	aɾʃiˑ
আরাফাত	aɾafat̪
আরাম	aɹam
আরাম	aɾam
আরিফ	aɾif
আরে	aɹeˑ
আরে	aɾeˑ
আরেক	aɹɛk
আরেক	aɾæk
আরোগ্য	aɹogːoˑ
আরোগ্য	aɾogːoˑ
আর্জি	aɹdʑiˑ
আর্জি	aɾdʒiˑ
আর্তব	äɾt̪oˑb̥᪽
আর্দ্র	aɹd̪ːɹoˑ
আর্দ্র	aɾd̪ːɾoˑ
আর্মেনিয়া	aɹmeni̯aˑ
আর্মেনিয়া	aɾmeni̯aˑ
আর্য	aɹdʑoˑ
আর্য	aɾdʒoˑ
আল	al
আল	aːl
আলকাতরা	alkat̪ːɹaˑ
আলকাতরা	alkat̪ːɾaˑ
আলগা	algaˑ
আলপনা	alponaˑ
আলবেনিয়া	albeni̯aˑ
আলভী	ɐlbʱiˑ
আলভী	ɐlviˑ
আলভী	ɐlβiˑ
আলভী	ɐlᵊbʱiˑ
আলভী	ɐlᵊviˑ
আলভী	ɐlᵊβiˑ
আলম	alom
আলমারি	almaɹiˑ
আলমারি	almaɾiˑ
আলাদা	alad̪aˑ
আলামত	alamot̪
আলামত	alamɔt̪
আলী	aliˑ
আলু	aluˑ
আলেকজান্ডার	alegdʑandaɹ
আলেকজান্ডার	alegdʒaɳɖaɾ
আলেম	alem
আলো	aloˑ
আলোক	alok
আলোচনা	alotɕɔnaˑ
আলোচনা	alotʃɔnaˑ
আল্লাহ	ɐlːäː
আল্লাহ	ɐlːäːʰ
আল্লাহ	ɐlːäːʱ
আল্লাহ	ɐlːɐ
আল্লাহ্	alːaˑ
আশমান	asman
আশমান	aʃman
আশা	aʃaˑ
আশিন	aʃin
আশীর্বাদ	aʃiɹbad̪
আশীর্বাদ	aʃiɾbad̪
আশুরা	aʃuɹaˑ
আশুরা	aʃuɾaˑ
আশেক	aʃek
আশ্চর্য	astɕɔɹdʑoˑ
আশ্চর্য	astʃɔɾdʒoˑ
আশ্চর্য	aʃtɕɔɹdʑoˑ
আশ্চর্য	aʃtʃɔɾdʒoˑ
আশ্চর্যজনকভাবে	astɕoɹdʑodʑɔnokvabeˑ
আশ্চর্যজনকভাবে	astʃoɾdʒodʒɔnokvabeˑ
আশ্চর্যজনকভাবে	aʃtɕoɹdʑodʑɔnokbʱabeˑ
আশ্চর্যজনকভাবে	aʃtʃoɾdʒodʒɔnokbʱabeˑ
আশ্বিন	aʃːin
আশ্রম	asɹɔm
আশ্রম	asɾɔm
আশ্রয়	asɹɔe̯
আশ্রয়	asɾɔe̯
আষাঢ়	aʃaɹ
আষাঢ়	aʃaɽ
আষাঢ়	aʃaɾ
আসগর	asgɔɹ
আসগর	asgɔɾ
আসবাব	aʃbab
আসবাব	aʒbab
আসমা	asmaˑ
আসমান	asman
আসর	asoɹ
আসর	asoɾ
আসর	aʃoɹ
আসর	aʃoɾ
আসল	aʃol
আসলে	asleˑ
আসলে	aʃoleˑ
আসা	aʃaˑ
আসান	aʃan
আসানী	aʃaniˑ
আসাম	asam
আসিয়া	asi̯aˑ
আসিয়া	aʃi̯aˑ
আস্তাবল	ast̪abol
আস্তে	ast̪eˑ
আস্থা	ast̪ʰaˑ
আস্পদ্দা	aʃpɔd̪ːaˑ
আহনাফ	ahnaf
আহমদ	ahmod̪
আহসান	ahsan
আহ্বান	au̯bʱan
আহ্বান	au̯van
ইঁদুর	id̪uɹ
ইঁদুর	ĩd̪uɾ
ইংরেজ	iŋɾedʑ
ইংরেজ	iŋɾedʒ
ইংরেজ	iŋɾɛd̪z
ইংরেজ	iŋɾɛz
ইংরেজি	iŋɹɛziˑ
ইংরেজি	iŋɾedʑiˑ
ইংরেজি	iŋɾedʒiˑ
ইংরেজি	iŋɾɛd̪ziˑ
ইংল্যান্ড	iŋlæɳɖ
ইংল্যান্ড	iŋlɛnd
ইউক্রেন	iu̯kɾeˑn
ইউনান	iu̯nan
ইউনানি	iu̯naniˑ
ইউনিয়ন	iu̯ni̯on
ইউনিয়ন	iu̯ni̯ɔn
ইউরেনাস	iu̯ɹenaʃ
ইউরেনাস	iu̯ɾenaʃ
ইউরেশিয়া	iu̯ɹeʃi̯aˑ
ইউরেশিয়া	iu̯ɾeʃi̯aˑ
ইউরোপ	iu̯ɹop
ইউরোপ	iu̯ɾop
ইকুয়েডর	iku̯edɔɹ
ইকুয়েডর	iku̯eɖɔɾ
ইচলা	itɕɔlaˑ
ইচলা	itʃɔlaˑ
ইচ্ছা	itɕʰːaˑ
ইচ্ছা	itʃʰːaˑ
ইজতেমা	idzt̪emaˑ
ইজতেমা	idʒt̪emaˑ
ইজতেমা	izt̪emaˑ
ইজরায়েল	idʑɹae̯l
ইজরায়েল	idʒɾae̯l
ইজরায়েল	izɹae̯l
ইজরায়েল	izɾae̯l
ইজাজত	idʑadʑot̪
ইজাজত	idʒadʒot̪
ইজাফা	izafaˑ
ইজ্জত	idʑːot̪
ইজ্জত	idʑːɔt̪
ইজ্জত	idʒdʒot̪
ইজ্জত	idʒdʒɔt̪
ইজ্জত	izzot̪
ইজ্জত	izzɔt̪
ইজ্জত	iz̪̪dʒot̪
ইজ্জত	iz̪̪dʒɔt̪
ইঞ্জিল	indʑil
ইঞ্জিল	indʒil
ইট	ĩʈ
ইতস্তত	it̪ost̪ot̪oˑ
ইতস্তত	it̪ɔst̪ɔt̪oˑ
ইতিমধ্যে	it̪imod̪ʱːeˑ
ইতিহাস	it̪ihaʃ
ইতোমধ্যে	it̪omod̪ʱːeˑ
ইত্তেফাক	it̪ːefak
ইত্যাদি	it̪ːad̪iˑ
ইদানীং	id̪aniŋ
ইনকিলাব	inkilab
ইনকিলাব	inxilab
ইনকিলাব	iŋkilab
ইনকিলাব	iŋxilab
ইনকিলাবি	inkilabiˑ
ইনফ্লুয়েঞ্জা	influ̯endʑaˑ
ইনফ্লুয়েঞ্জা	influ̯endʒaˑ
ইনফ্লুয়েঞ্জা	influ̯enzaˑ
ইনসান	insan
ইনসানিয়াত	inʃani̯at̪
ইনাম	inam
ইনি	iniˑ
ইন্তেকাল	int̪ekal
ইন্তেজার	int̪edʑaɹ
ইন্তেজার	int̪edʒaɾ
ইন্তেজারি	int̪edʑaɹiˑ
ইন্তেজারি	int̪edʒaɾiˑ
ইন্দু	ind̪uˑ
ইন্দ্র	ind̪ːɾoˑ
ইন্সাফ	insaf
ইফতার	ift̪aɾ
ইফতেখার	ift̪ekʰaɹ
ইফতেখার	ift̪ekʰaɾ
ইব্রাহীম	ibɹahim
ইব্রাহীম	ibɾahim
ইমতেহান	imt̪ehan
ইমরান	imɹan
ইমরান	imɾan
ইমাম	imam
ইয়াদ	i̯ad̪
ইয়াসমিন	i̯asmin
ইয়াসিন	i̯asin
ইয়োরোপ	i̯oɹop
ইয়োরোপ	i̯oɾop
ইরফান	iɾfan
ইরাক	iɹak
ইরাক	iɾak
ইরান	iɹan
ইরান	iɾan
ইরিত্রিয়া	iɹit̪ːɹi̯aˑ
ইরিত্রিয়া	iɾit̪ːɾi̯aˑ
ইলিয়াস	ili̯as
ইলিশ	iliʃ
ইশক	iʃk
ইশক	iʃok
ইশক	iʃoq
ইশক	iʃq
ইস	iʃ
ইস	iːʃ
ইসবগুল	isbɔgul
ইসরায়েল	izɹae̯l
ইসরায়েল	izɾae̯l
ইসলাম	islam
ইস্কুল	iskul
ইস্কুল	iʃkul
ইস্তাম্বুল	ist̪ambul
ইস্তোনিয়া	ist̪oni̯aˑ
ইস্পাত	iʃpat̪
ঈগল	igɔl
ঈদ	id̪
ঈদগাহ	id̪gaˑ
ঈমান	iman
ঈশানী	iʃaniˑ
ঈশ্বর	iʃːɔɹ
ঈশ্বর	iʃːɔɾ
ঈসা	isaˑ
ঈসা	iʃaˑ
ঈস্ট	ist
ঈস্ট	isʈ
ঈস্ট	iʂʈ
উইকিঅভিধান	u̯iki̯ɔbʱid̪ʱan
উইকিঅভিধান	u̯iki̯ɔvid̪ʱan
উইকিপিডিয়া	u̯ikipidi̯aˑ
উইকিপিডিয়া	u̯ikipiɖi̯aˑ
উইল	u̯il
উইলিয়াম	u̯ili̯am
উকিল	ukil
উকুন	ukun
উখড়ানো	ukʰɹanoˑ
উখড়ানো	ukʰɽanoˑ
উখড়ানো	ukʰɾanoˑ
উচিত	utɕit̪
উচিত	utʃit̪
উচ্চাকাঙ্ক্ষী	utɕːakaŋkʰiˑ
উচ্চাকাঙ্ক্ষী	utʃːakaŋkʰiˑ
উচ্চারণ	utɕʰːaɹon
উচ্চারণ	utʃʰːaɾon
উচ্ছব	usːɔb
উচ্ছব	utɕʰːɔb
উচ্ছব	ut̪sːɔb
উচ্ছব	utʃʰːɔb
উচ্ছিষ্ট	usːiʃtɔˑ
উচ্ছিষ্ট	utɕʰːistoˑ
উচ্ছিষ্ট	utɕʰːiʃtoˑ
উচ্ছিষ্ট	ut̪sːiʃtɔˑ
উচ্ছিষ্ট	utʃʰːiʂʈoˑ
উচ্ছ্বাস	usːsaʃ
উচ্ছ্বাস	utɕːtɕʰaʃ
উচ্ছ্বাস	ut̪st̪sːaʃ
উচ্ছ্বাস	utʃːtʃʰaʃ
উছব	usɔb
উছব	utɕʰɔb
উছব	ut̪s̪ɔb
উছব	utʃʰɔb
উজির	udʑiɹ
উজির	udʒiɾ
উজির	uziɹ
উজির	uziɾ
উট	ut
উট	uʈ
উট	uːt
উট	uːʈ
উঠান	utʰan
উঠান	uʈʰan
উড়া	uɹaˑ
উড়া	uɽaˑ
উড়া	uɾaˑ
উড়িষ্যা	uɹiʃːaˑ
উড়িষ্যা	uɽiʃːaˑ
উড়িষ্যা	uɾiʃːaˑ
উড়োজাহাজ	uɹodʑahadʑ
উড়োজাহাজ	uɹodʑahaz
উড়োজাহাজ	uɽodʒahadʒ
উড়োজাহাজ	uɽodʒahaz
উড়োজাহাজ	uɾodʒahadʒ
উড়োজাহাজ	uɾodʒahaz
উতরানো	ut̪ːɹanoˑ
উতরানো	ut̪ːɾanoˑ
উত্তম	ut̪ːɔm
উত্তরাখণ্ড	ut̪ːɔɹakʰɔndoˑ
উত্তরাখণ্ড	ut̪ːɔɾakʰɔɳɖoˑ
উদয়	ud̪ɔe̯
উদাহরণ	ud̪ahɔɹon
উদাহরণ	ud̪ahɔɾon
উদ্দেশ্য	ud̪ːeʃːoˑ
উদ্বোধন	ud̪bod̪ʱɔn
উদ্ভিদ	ud̪bʱid̪
উদ্ভিদ	ud̪vid̪
উদ্যোগ	ud̪ːog
উধাও	ud̪ʱao̯
উনআশি	unaʃiˑ
উনি	uniˑ
উন্মত্ততা	unmɔt̪ːɔt̪aˑ
উপকার	upokaɹ
উপকার	upokaɾ
উপচানো	uptɕanoˑ
উপচানো	uptʃanoˑ
উপজেলা	upɔzelaˑ
উপড়ানো	upɹanoˑ
উপড়ানো	upɽanoˑ
উপড়ানো	upɾanoˑ
উপদেশ	upod̪eʃ
উপদ্বীপ	upɔd̪ːip
উপনয়ন	upɔnoe̯ɔn
উপনিষদ	uponiʃɔd̪
উপনীত	uponit̪oˑ
উপন্যাস	uponːaʃ
উপমহাদেশ	upɔmɔhad̪eʃ
উপর	upoɹ
উপর	upoɾ
উপাধ্যায়	upad̪ʱːae̯
উপায়	upae̯
উপাসক	upaʃɔk
উপাসনা	upaʃɔnaˑ
উফ	uf
উফ	uːf
উভ	ubʱoˑ
উভ	uvoˑ
উভকামী	ubʱɔkamiˑ
উভকামী	uvɔkamiˑ
উম্মত	umːɔt̪
উরশ্ছদ	uɹɔstɕʰɔd̪
উরশ্ছদ	uɹɔʃtɕʰɔd̪
উরশ্ছদ	uɾɔstʃʰɔd̪
উরশ্ছদ	uɾɔʃtʃʰɔd̪
উর্দু	uɹd̪uˑ
উর্দু	uɾd̪uˑ
উলঙ্গ	ulɔ̜ŋgɔ̝̜ˑ
উলু	uluˑ
উলুখাগড়া	ulukʰagɹaˑ
উলুখাগড়া	ulukʰagɽaˑ
উলুখাগড়া	ulukʰagɾaˑ
উষ্ট্র	ustːɹoˑ
উষ্ট্র	uʂʈːɾoˑ
উষ্ট্র	uʃtːɹoˑ
উষ্ণ	uʃnoˑ
উৎপল	ut̪pɔˑl
উৎস	ut̪ʃoˑ
উৎসব	ut̪ʃɔb
উৎসর্গ	ut̪ʃɔɹgoˑ
উৎসর্গ	ut̪ʃɔɾgoˑ
উৎসাহ	ut̪ʃaho
উৎসাহিত	ut̪ʃahit̪oˑ
ঊ	uˑ
ঊরু	uɹuˑ
ঊরু	uɾuˑ
ঊর্ধ্ব	uɾd̪ʱoˑ
ঊর্ধ্বতন	uɹd̪ʱːɔt̪on
ঊর্ধ্বতন	uɾd̪ʱːɔt̪on
ঋক্ষ	rikʰːoˑ
ঋক্ষ	ɹikʰːoˑ
ঋণ	rin
ঋণ	riːn
ঋণ	ɹin
ঋতু	rit̪uˑ
ঋতু	ɹit̪uˑ
ঋষি	riʃiˑ
ঋষি	ɹiʃiˑ
এঁকে	ekeˑ
এঁকে	ẽkeˑ
এঁদের	ed̪eɹ
এঁদের	ẽd̪eɾ
এই	ei̯
এইখানে	ei̯kʰane
এইরকম	ei̯ɹɔkom
এইরকম	ei̯ɾɔkom
এক	æk
এক	æːk
এক	ɛk
এক	ɛːk
একগুঁয়ে	ɛkgu̯eˑ
একগুঁয়ে	ɛkgũeˑ
একচল্লিশ	ektɕɔlːiʃ
একচল্লিশ	ektʃɔlːiʃ
একজিবিশন	ekzibiʃɔn
একজিবিশন	egzibiʃɔn
একটু	ektuˑ
একটু	ekʈuˑ
একতা	ækot̪aˑ
একত্রিশ	ekɔt̪ːɹiʃ
একত্রিশ	ekɔt̪ːɾiʃ
একবার	ekbaɹ
একবার	ekbaɾ
একলব্য	æklobːoˑ
একলা	æklaˑ
একলা	ɛklaˑ
একাকী	ekakiˑ
একাডেমি	ækaɖemiˑ
একাডেমি	ɛkademiˑ
একাত্তর	ekat̪ːɔɹ
একাত্তর	ekat̪ːɔɾ
একামত	ekamɔt̪
একামত	ikamɔt̪
একুশে	ekuʃeˑ
একে	eke
একেবারে	ekebaɹeˑ
একেবারে	ekebaɾeˑ
এখতিয়ার	ekt̪i̯aɹ
এখতিয়ার	ekt̪i̯aɾ
এখতিয়ার	ext̪i̯aɹ
এখতিয়ার	ext̪i̯aɾ
এখান	ekʰan
এখানে	ekʰane
এগারো	egaɹoˑ
এগারো	egaɾoˑ
এগুলা	egulaˑ
এজাজতনামা	edʑazɔt̪namaˑ
এজাজতনামা	edʒazɔt̪namaˑ
এটা	etaˑ
এটা	eʈaˑ
এটি	etiˑ
এটি	eʈiˑ
এডমন্টন	edɔmɔntɔn
এডমন্টন	eɖɔmɔɳʈɔn
এত	æt̪oˑ
এত	ɛt̪oˑ
এদের	ed̪eɹ
এদের	ed̪eɾ
এনসাফ	ensaf
এনসাফ	insaf
এন্ড্রু	ændːɹuˑ
এন্ড্রু	æɳɖɻuˑ
এন্তেজার	ent̪edʑaɹ
এন্তেজার	ent̪edʒaɾ
এন্তেজার	ent̪ezaɹ
এন্তেজার	ent̪ezaɾ
এন্তেজার	int̪edʑaɹ
এন্তেজার	int̪edʒaɾ
এন্তেজার	int̪ezaɹ
এন্তেজার	int̪ezaɾ
এন্তেজার	int̪ɛd̪zaɾ
এন্তেজার	int̪ɛzaɹ
এন্তেজার	ɛnt̪ɛd̪zaɾ
এন্তেজার	ɛnt̪ɛzaɹ
এন্তেজারি	ent̪edʑaɹiˑ
এন্তেজারি	ent̪edʒaɾiˑ
এন্থনি	ænt̪ʰoniˑ
এন্থনি	ɛnt̪ʰoniˑ
এপ্রিল	epɹil
এপ্রিল	epɾil
এবং	eboŋ
এবং	ebɔŋ
এবার	ebar
এমন	æmon
এমন	ɛmon
এমনকী	æmɔnkiˑ
এমনকী	ɛmɔnkiˑ
এর	eɹ
এর	eɾ
এর	eːɾ
এরশাদ	eɹʃad̪
এরশাদ	eɾʃad̪
এরা	eɹaˑ
এরা	eɾaˑ
এলজাম	elzam
এলজাম	el̪dʑam
এলজাম	el̪dʒam
এলজিবিটি	el̪dʑibitiˑ
এলজিবিটি	el̪dʒibiʈiˑ
এলা	elaˑ
এলাকা	elakaˑ
এলাচ	elatɕ
এলাচ	elatʃ
এলাহাবাদ	elahabad̪
এলেম	elem
এলোহিম	elohim
এস্তেমাল	est̪emal
এস্রাজ	esɹadʑ
এস্রাজ	esɾadʒ
ঐতিহাসিক	oi̯t̪ihaʃik
ঐনকা	oi̯nɔkaˑ
ওঁ	om
ওঁ	ou̯m
ওঁ	oũm
ওঁ	õm
ওঁম	om
ওঁম	ou̯m
ওঁম	oũm
ওঁম	oːm
ওঁম	õm
ওঁম্	om
ওঁম্	ou̯m
ওঁম্	oũm
ওঁম্	oːm
ওঁম্	õm
ওঁর	oɹ
ওঁর	õɹ
ওঁর	õɾ
ওঁরা	oɹaˑ
ওঁরা	õɹaˑ
ওঁরা	õɾaˑ
ওক্ত	okt̪
ওক্ত	okt̪oˑ
ওক্‌ত	okt̪
ওখান	okʰan
ওখানে	okʰaneˑ
ওগো	ogoˑ
ওজন	odʑon
ওজন	odʒon
ওজর	odʑɔɹ
ওজর	odʒɔɾ
ওজু	odʑuˑ
ওজু	od̪zuˑ
ওজু	odʒuˑ
ওজু	ozuˑ
ওঝা	odʑʱaˑ
ওঝা	odʒʱaˑ
ওড়না	oɽnaˑ
ওড়া	oɹaˑ
ওড়া	oɽaˑ
ওড়া	oɾaˑ
ওড়িশা	oɹiʃaˑ
ওড়িশা	oɽiʃaˑ
ওড়িশা	oɾiʃaˑ
ওতফ	ot̪ɔfɔˑ
ওদের	od̪eɹ
ওদের	od̪eɾ
ওফাত	ofat̪
ওম	om
ওম	ou̯m
ওম	oũm
ওম	oːm
ওম	õm
ওমর	omoɹ
ওমর	omoɾ
ওম্	om
ওম্	ou̯m
ওম্	oũm
ওম্	oːm
ওম্	õm
ওয়াইন	o̯ai̯n
ওয়াকফ	o̯akf
ওয়াকফ	o̯akɔf
ওয়াকেফ	o̯akef
ওয়াক্ত	o̯akt̪
ওয়াক্ত	o̯akt̪oˑ
ওয়াক্ত	o̯aqt̪
ওয়াক্ত	o̯aqt̪oˑ
ওয়াক্ত	o̯ɔkt̪
ওয়াক্ত	o̯ɔkt̪oˑ
ওয়াক্‌ফ	o̯akf
ওয়াজ	o̯adʑ
ওয়াজ	o̯adʒ
ওয়াজ	o̯az
ওয়াজিব	o̯adʑib
ওয়াজিব	o̯adʒib
ওয়াতন	o̯at̪ɔn
ওয়াদা	o̯ad̪aˑ
ওয়ারিস	o̯aɹiʃ
ওয়ারিস	o̯aɾiʃ
ওয়ালেদ	o̯aled̪
ওয়ালেদা	o̯aled̪aˑ
ওয়াশিংটন	o̯aʃiŋtɔn
ওয়াশিংটন	o̯aʃiŋʈɔn
ওয়াস্তা	o̯ast̪aˑ
ওয়াহেগুরু	o̯aheguɹuˑ
ওয়াহেগুরু	o̯aheguɾuˑ
ওরফে	oɾofeˑ
ওরফে	oɾopʰeˑ
ওল	ol
ওল	oːl
ওলদ	olod̪
ওলন্দাজ	olond̪adʑ
ওলন্দাজ	olond̪adʒ
ওলানচাষী	olantɕaʃiˑ
ওলানচাষী	olantʃaʃiˑ
ওলি	oliˑ
ওশেনিয়া	oʃeni̯aˑ
ওষুধ	oʃud̪
ওষুধ	oʃud̪ʱ
ওষ্ঠ্য	ostʰːoˑ
ওষ্ঠ্য	oʂʈʰːoˑ
ওষ্ঠ্য	oʃtʰːoˑ
ওসমান	osman
ওস্তাদ	ost̪ad̪
ওহাইও	ohai̯oˑ
ঔঁ	om
ঔঁ	ou̯m
ঔঁ	oũm
ঔঁ	oːm
ঔঁ	õm
ঔষধ	ou̯ʃɔd̪
ক	kɔː
ক	kɔˑ
কই	koi̯
কওয়া	kɔo̯aˑ
কক্সবাজার	kɔksbadʒaɾ
কক্সবাজার	kɔksesbadʒaɾ
কক্সবাজার	kɔksezbadʒaɾ
কক্সবাজার	kɔksezbazaɾ
কক্সবাজার	kɔgzbadʒaɾ
কক্সবাজার	kɔgzbazaɾ
কখন	kɔkʰɔn
কখন	kɔxɔn
কখন	xɔxɔn
কখনো	kɔkʰonoˑ
কঙ্কাল	kɔŋkal
কচু	kɔtɕuˑ
কচু	kɔtʃuˑ
কচুয়া	kɔtɕu̯aˑ
কচুয়া	kɔtʃu̯aˑ
কটা	kɔʈa
কঠিন	kɔtʰin
কঠিন	kɔʈʰin
কঠোর	kɔt̪ʰaɹ
কঠোর	kɔt̪ʰaɾ
কড়াই	kɔɽ̟ai̯
কণা	kɔnaˑ
কণ্ঠ্য	kɔntʰːoˑ
কণ্ঠ্য	kɔɳʈʰːoˑ
কথন	kɔt̪ʰɔn
কথা	kɔt̪ʰaˑ
কথাবার্তা	kɔt̪ʰabaɹt̪aˑ
কথাবার্তা	kɔt̪ʰabaɾt̪aˑ
কথ্য	kot̪ʰːoˑ
কদবেল	kɔd̪bel
কদর	kɔd̪oɹ
কদর	kɔd̪oɾ
কদাচিৎ	kɔd̪atɕit̪
কদাচিৎ	kɔd̪atʃit̪
কনক	kɔnok
কনুই	konu̯iˑ
কপাল	kɔpal
কপি	kopiˑ
কপিত্থ	kopit̪ʰːoˑ
কফ	kɔf
কফ	kɔɸ
কফ	kɔːf
কফ	xɔɸ
কফি	kɔfiˑ
কবর	kɔboɹ
কবর	kɔboɾ
কবর	qɔboɹ
কবর	qɔboɾ
কবি	kobiˑ
কবিতা	kobit̪aˑ
কবুল	kobul
কবে	kɔbeˑ
কম	kɔm
কম	kɔːm
কমলা	kɔmlaˑ
কমলা	kɔmolaˑ
কমা	kɔma
কমানো	kɔmano
কম্পিউটার	kɔmpiu̯taɹ
কম্পিউটার	kɔmpiu̯ʈaɾ
কম্পিউটিং	kɔmpiu̯tiŋ
কম্পিউটিং	kɔmpiu̯ʈiŋ
কম্বল	kɔmbol
কয়থ	kɔe̯ot̪
কয়লা	kɔe̯laˑ
কয়লাখনি	kɔe̯lakʰoniˑ
কয়েক	kɔek
কয়েতবেল	kɔe̯et̪bel
কয়েথ	kɔet̪
কয়েদ	kɔed̪
করানো	kɔrano
করিম	koɹim
করিম	koɾim
করে	koɹeˑ
করে	koɾeˑ
করোনা	kɔɹonaˑ
করোনা	kɔɾonaˑ
করোনাভাইরাস	kɔɹonabʱai̯ɹas
করোনাভাইরাস	kɔɹonavai̯ɹas
করোনাভাইরাস	kɔɾonabʱai̯ɾas
করোনাভাইরাস	kɔɾonavai̯ɾas
কর্কট	kɔɹkɔt
কর্কট	kɔɾkɔt
কর্কট	kɔɾkɔʈ
কর্কট	xɔɹxɔt
কর্ণ	kɔɹnoˑ
কর্ণ	kɔɾnoˑ
কর্ণপাত	kɔɹnopat̪
কর্ণপাত	kɔɾnopat̪
কর্ণাটক	kɔɹnatɔk
কর্ণাটক	kɔɾnaʈɔk
কর্তৃত্ব	koɹt̪ːɹit̪ːoˑ
কর্তৃত্ব	koɾt̪ːɾit̪ːoˑ
কর্পূর	kɔɹpuɹ
কর্পূর	kɔɾpuɾ
কর্ম	kɔɹmoˑ
কর্ম	kɔɾmoˑ
কর্মকর্তা	kɔɹmɔkɔɹt̪aˑ
কর্মকর্তা	kɔɾmɔkɔɾt̪aˑ
কলকাতা	kolkat̪aˑ
কলম	kɔlom
কলহ	kɔlohoˑ
কলা	kɔläˑ
কলিকাতা	kolikat̪aˑ
কলিজা	kolidʑaˑ
কলিজা	kolidʒaˑ
কলেজ	kɔledʑ
কলেজ	kɔledʒ
কষ্ট	kɔstoˑ
কষ্ট	kɔʂʈoˑ
কষ্ট	kɔʃtoˑ
কসম	kɔsom
কসম	qɔsom
কস্তুর	kost̪uɹ
কস্তুর	kost̪uɾ
কস্তুরী	kost̪uɹiˑ
কস্তুরী	kost̪uɾiˑ
কাঁকই	kãkoi
কাঁকড়া	kakɹaˑ
কাঁকড়া	kãkɽaˑ
কাঁকড়া	kãkɾaˑ
কাঁকন	kakɔn
কাঁকন	kãkɔn
কাঁকন	xaxɔn
কাঁকাল	kakal
কাঁকাল	kãkal
কাঁচা	katɕaˑ
কাঁচা	kãtʃaˑ
কাঁচি	katɕiˑ
কাঁচি	kãtʃiˑ
কাঁঠাল	katʰal
কাঁঠাল	kãʈʰal
কাঁড়	kaɹ
কাঁড়	kaɾ
কাঁড়	kãɽ
কাঁড়	kãɾ
কাঁড়	xaɹ
কাঁদা	kad̪aˑ
কাঁদা	kãd̪aˑ
কাঁধ	kãd̪ʱ
কাঁপা	kãpaˑ
কাউন	kau̯n
কাউয়া	kau̯aˑ
কাউর	kau̯ɹ
কাউর	kau̯ɾ
কাকতালীয়	kakot̪ali̯oˑ
কাকতালীয়	kakt̪ali̯oˑ
কাকাতুয়া	kakat̪u̯aˑ
কাগজ	kagodʑ
কাগজ	kagod̪z
কাগজ	kagodʒ
কাগজ	kagoz
কাগজ	kaɣoz
কাগজ	xagoz
কাগজ	xaɣoz
কাচ	katɕ
কাচ	katʃ
কাচ	kãtʃ
কাচা	katɕaˑ
কাচা	katʃaˑ
কাছ	katɕ
কাছ	katʃ
কাছা	katɕʰaˑ
কাছা	katʃʰaˑ
কাছে	katɕʰeˑ
কাছে	katʃʰeˑ
কাজ	kadʑ
কাজ	kadʒ
কাজাখস্তান	kazakʰst̪an
কাজী	kadʑiˑ
কাজী	kadʒiˑ
কাটা	kataˑ
কাটা	kaʈaˑ
কাঠ	katʰ
কাঠ	kaʈ
কাঠ	kaːʈ
কাঠি	kaʈ̟ʰi
কাঠিপোকা	käʈ̟ʰipokäˑ
কাড়া	kaɹaˑ
কাড়া	kaɽaˑ
কাড়া	kaɾaˑ
কাণ্ড	kandoˑ
কাণ্ড	kaɳɖoˑ
কাতার	kat̪aɹ
কাতার	kat̪aɾ
কাথিয়াবাড়	kat̪ʰiabaɹ
কাথিয়াবাড়	kat̪ʰiabaɽ
