一蕊花	tsit˧ lui˥ hue˧
伊三不五時就來阮兜行踏。	i˧ sam˧put˧gɔ˦si˩ to˦ lai˩ guan˥ tau˧ kĩã˩ta˧̍h.
伊三不五時會有新作品出版。	i˧ sam˧put˧gɔ˦si˩ e˦ u˧ sin˧ tsokpʰin˥ tsʰutpan˥.
你這款土公仔性著愛改啦！	li˥ tsit kʰuan˥ tʰɔ˥koŋ˧a˥siŋ˨ tioʔ˩ai˨ kai˥laʔ˧!
伊就是彼款土公仔性，你莫佮伊計較。	i˧ to˦ si˦ hit˧ kʰuan˥ tʰɔ˥koŋ˧a˥siŋ˨, li˥ mai˨ kaʔ˧ i˧ ke˨kau˨.
請上天保庇咱臺灣會當安定佮富裕。	tsʰia˥˧ sioŋ˦tʰian˧ po˥pi˨ lan˥ tai˩uan˧˥ e˦taŋ˨ an˧tiŋ˦ kaʔ˧ hu˨dzu˦.
彼項工夫伊已經學上手矣。	hit˧ haŋ˦ kaŋ˧hu˧ i˧ i˥kiŋ˧ o˧̍h tsiu˧˧tsʰiu˥aʔ˧.
諞仙仔錢諞上手就溜旋矣。	pian˥sian˧a˥ tsi˧˥˧ pian˥ tsiu˧˧tsʰiu˥ to˦ liu˧suan˧aʔ˧.
彼口井敢閣有咧上水？	hit˧ kʰau˥ te˥˧ kam˥ koʔ˧ u˧ teʔ˧ tsʰiu˧˧tsui˥?
先下手為強	siŋ˧ he˦tsʰiu˥ ui˧˥ kioŋ˩
下水湯	ha˦sui˥tʰŋ̩˧
伊出手真大方，攏袂凍霜。	i˧ tsʰuttsʰiu˥ tsin tai˦hoŋ˧, loŋ˥ be˦ taŋ˨sŋ̩˧.
伊今仔日的穿插真大方。	i˧ kin˧a˥dzit˩ e˩ tsʰiŋ˧tsʰaʔ tsin tai˦hoŋ˧.
今仔日是大日，真濟人嫁娶。	kin˧a˥dzit˩ si˦ tua˧dzit˩, tsin tse˧ laŋ˩ ke˨tsʰua˧.
運動會閣拄著出大日，逐家一定會曝甲烏趖趖。	un˧toŋ˦hue˦ koʔ˧ tu˥tioʔ˩ tsʰuttua˧dzit˩, ta˧̍kke˧ it˧tiŋ˦ e˦ pʰa˧̍k kaʔ˧ ɔ˧so˩so˩.
你若欲做衫，愛先量寸尺。	li˥ na˦ beʔ˧ tso˩ sã˧, ai˨ siŋ˧ niu˩ tsʰun˩tsʰioʔ.
囡仔人騎車愛小心，毋通騎傷緊。	gn˥a˥laŋ˩ kʰia˩tsʰia ai˨ sio˥sim˧, m̄tʰaŋ˧ kʰia˩ sĩũ˧ kin˥.
舊曆的小月干焦二十九工爾爾。	ku˦li˧̍k e˩ sio˥gueʔ˩ kan˧na˧ dzi˦tsap˧kau˥ kaŋ˧ nia˦nia˦.
這個月是小月，來阮店交關的人客有較少。	tsit ko˨ gueʔ˩ si˦ sio˥gueʔ˩, lai˩ guan˥ tiam˨ kau˧kuan˧ e˩ laŋ˩kʰeʔ˧ u˧ kʰaʔ˧ tsio˥.
伊是做小木的。	i˧ si˦ tso˩ sio˥bak˩e˩.
這馬練工夫真時行。	tsitma˥ lian˦ kaŋ˧hu˧ tsin si˩kĩã˩.
這條手巾仔做了有夠工夫。	tsit tiau˩ tsʰiu˥kin˧a˥ tso˩ liau˥ u˧kau˨ kaŋ˧hu˧.
咱攏是熟似人，毋免遐工夫。	lan˥ loŋ˥ si˦ si˧̍ksai˦laŋ˩, m̄bian˥ hiaʔ˧ kaŋ˧hu˧.
你做代誌毋通三心兩意。	li˥ tso˩ tai˦tsi˩ m̄tʰaŋ˧ sam˧sim˧lioŋ˥i˨.
伊拍球拍甲大心氣。	i˧ pʰaʔ˧kiu˩ pʰaʔ˧ kaʔ˧ tua˧sim˧kʰui˨.
你閣會曉西瓜倚大爿，知影欲綴阮行。	li˥ koʔ˧ e˦hiau˥ si˧kue˧ ua˥ tua˧piŋ˩, tsaiĩã˥ beʔ˧ tue˩ guan˥ kĩã˩.
你的年歲比我較濟，大爿讓予你坐。	li˥ e˩ ni˩hue˨ pi˥ gua˥ kʰaʔ˧ tse˧, tua˧piŋ˩ niu˦ hɔ˦ li˥ tse˧.
冊愛用巾仔包咧。	tsʰeʔ ai˨ iŋ˦ kin˧a˥ pau˧leʔ˧.
啥人叫你大主大意做這件代誌？	sĩã˥laŋ˩ kio˨ li˥ tua˧tsu˥tua˧i˨ tso˩ tsit kĩã˦ tai˦tsi˩?
這毋是啥物大代誌。	tse m̄ si˦ sĩã˥miʔ˧ tua˧ tai˦tsi˩.
遮的上加是兩百箍。	tsiae˩ sioŋ˦ke˧ si˦ nn̩˦paʔ˧ kʰɔ˧.
上北的火車	tsiu˧˧pak˧ e˩ hue˥tsʰia
小可仔代誌毋免囥佇心肝內。	sio˥kʰua˥a˥ tai˦tsi˩ m̄bian˥ kʰŋ̩˨ ti˦ sim˧kuã˧lai˦.
這馬柑仔大四界。	tsitma˥ kam˧a˥ tua˧si˨ke˨.
伊攏愛等甲下半暝才睏會落眠。	i˧ loŋ˥ ai˨ tan˥ kaʔ˧ e˦puã˨me˩ tsiaʔ kʰun˨ e˦ lo˧̍hbin˩.
股票上市	kɔ˥pʰio˨ tsiu˧˧tsʰi˧
做生理愛敢下本，才會成功。	tso˩siŋ˧li˥ ai˨ kã˥ he˦pun˥, tsiaʔ e˦ siŋ˩koŋ˧.
大本蕹菜	tua˧pun˥ iŋ˨tsʰai˩
伊是這个歌仔戲班的小旦。	i˧ si˦ tsit e˩ kua˧a˥hi˨pan˧ e˩ sio˥tua˩˧.
伊看別人無上目。	i˧ kʰuã˨ pa˧̍tlaŋ˩ bo˩ tsiu˧˧bak˩.
欲予伊看會上目無簡單。	beʔ˧ hɔ˦ i˧ kʰuã˨ e˦ tsiu˧˧bak˩ bo˩ kan˥tan˧.
伊隨上台就袂記得愛唸口白。	i˧ sui˩ tsiu˧˧tai˩ to˦ be˦ki˨tit˧ ai˨ liam˦ kʰau˥pe˧̍h.
大目新娘揣無灶。	tua˧bak˩ sin˧niu˩ tsʰue˧bo˩ tsau˩.
彼个小生真緣投。	hit˧ e˩ sio˥siŋ˧ tsin ian˩tau˩.
伊明仔載欲上任矣。	i˧ bin˩a˥tsai˩ beʔ˧ tsiu˧˧dzim˦aʔ˧.
我無欲放伊干休。	gua˥ bo˩ beʔ˧ paŋ˨ i˧ kan˧hiu˧.
請問你的大名是？	tsʰia˥˧mn̩˦ li˥ e˩ tua˧mia˩ si˦?
伊的大名，大部份的人攏知。	i˧ e˩ tua˧mia˩, tua˧pɔ˦hun˦ e˩ laŋ˩ loŋ˥ tsai.
較早踮厝內，大囝的責任較重。	kʰaʔ˧tsa˥ tiam˨ tsʰu˩lai˦, tua˧kĩã˥ e˩ tsikdzim˦ kʰaʔ˧ taŋ˦.
你這个臭小囝，哪會無代無誌共人拍？	li˥ tsit e˩ tsʰau˩sio˥kĩã˥, na˥ e˦ bo˩tai˦bo˩tsi˩ ka˦ laŋ˩ pʰaʔ˧?
彼个唱歌唱了上好的人，是阮姊仔。	hit˧ e˩ tsʰiu˩˧kua˧ tsʰiu˩˧ liau˥ sioŋ˦ ho˥ e˩ laŋ˩, si˦ guan˥ tsi˥a˥.
這件代誌你上好是莫管。	tsit kĩã˦ tai˦tsi˩ li˥ sioŋ˦ho˥ si˦ mai˨ kuan˥.
有也好，無也好。	u˧ ia˦ ho˥, bo˩ ia˦ ho˥.
下早仔去較袂熱。	e˧tsai˥a˥ kʰi˨ kʰaʔ˧ be˦ dzuaʔ˩.
下早仔伊有來揣你。	e˧tsai˥a˥ i˧ u˧ lai˩ tsʰue˧li˥.
伊是一个大耳豬。	i˧ si˦ tsit˧ e˩ tua˧hĩ˦ ti˧.
我若緊張就會大舌，話攏講袂清楚。	gua˥ na˦ kin˥tĩũ˧ to˦ e˦ tua˧tsiʔ˧, ue˧ loŋ˥ koŋ˥ be˦ tsʰiŋtsʰo˥.
母舅坐大位。	bu˥ku˦ tse˧ tua˧ui˧.
好田地不如好子弟。	ho˥ tsʰan˧˥te˦ put˧dzu˩ ho˥ tsu˥te˦.
恁小弟今年幾歲矣？	lin˥ sio˥ti˦ kin˧ni˩ kui˥ hue˨aʔ˧?
小弟真歡喜來到貴寶地。	sio˥ti˦ tsin huã˧hi˥ lai˩kau˨ kui˨ po˥te˦.
請問這位小弟按怎稱呼？	tsʰia˥˧mn̩˦ tsit ui˧ sio˥ti˦ an˥tsua˥˧ tsʰiŋhɔ˧?
三更半暝	sã˧kẽ˧puã˨me˩
伊昨昏三更半暝才轉來。	i˧ tsahŋ̩˧ sã˧kẽ˧puã˨me˩ tsiaʔ tŋ̩˥lai˩.
這个庄頭無偌大，蹛無幾口灶。	tsit e˩ tsŋ̍tʰau˩ bo˩ gua˦ tua˧, tua˩ bo˩ kui˥ kʰau˥tsau˩.
伊有一个大肚胿，做啥物代誌攏真無方便。	i˧ u˧ tsit˧ e˩ tua˧tɔ˦kui˧, tso˩ sĩã˥miʔ˧ tai˦tsi˩ loŋ˥ tsin bo˩ hoŋ˧pian˦.
伊親像大肚胿，一頓會當食六碗飯。	i˧ tsʰintsʰiu˧˧ tua˧tɔ˦kui˧, tsit˧ tŋ̩˨ e˦taŋ˨ tsiaʔ˧ lak˩ ua˥˧ pŋ̩˦.
伊揹一个大肚胿，嘛仝款拋拋走。	i˧ pʰãĩ˦ tsit˧ e˩ tua˧tɔ˦kui˧, ma˦ kaŋ˦kʰuan˥ pʰa˧pʰa˧tsau˥.
三角銀	sã˧ kak˧ gn˩
陳的！久見久見！近來攏咧無閒啥？	tan˩e˩! kiu˥kian˨kiu˥kian˨! kin˦lai˩ loŋ˥ teʔ˧ bo˩iŋ˩ sĩãʔ˧?
三角窗的厝來做店面上好。	sã˧kak˧tʰaŋ˧ e˩ tsʰu˩ lai˩ tso˩ tiam˨bin˦ sioŋ˦ ho˥.
伊上愛提千里鏡看稀罕的鳥仔。	i˧ sioŋ˦ ai˨ tʰe˧̍h tsʰianli˥kĩã˨ kʰuã˨ hi˧han˥ e˩ tsiau˥a˥.
我若無提醒，你久來就會袂記得矣。	gua˥ na˦ bo˩ tʰe˩tsʰe˥˧, li˥ ku˥lai˩ to˦ e˦ be˦ki˨tit˧aʔ˧.
伊去予警察召去問口供。	i˧ kʰi˨ hɔ˦ kiŋ˥tsʰat tiau˨kʰi˨ mn̩˦ kʰau˥kiŋ˧.
大事化小事，小事化無事。	tua˧su˦ hua˨ sio˥su˦, sio˥su˦ hua˨ bo˩ su˦.
這擺的工事真順利。	tsit pai˥ e˩ kaŋ˧su˦ tsin sun˦li˦.
大嫂疼小叔。	tua˧so˥ tʰĩã˨ sio˥tsik.
這片山坪種足濟茶欉。	tsit pʰian˨ suã˧pʰĩã˩ tsiŋ˩ tsiok tse˧ te˩tsaŋ˧˥.
阮丈姆明仔載欲來。	guan˥ tĩũ˦m̩˥ bin˩a˥tsai˩ beʔ˧ lai˩.
伊是阮小妹。	i˧ si˦ guan˥ sio˥mue˦.
小妹感謝逐家的疼惜。	sio˥mue˦ kam˥sia˦ ta˧̍kke˧ e˩ tʰĩã˨sioʔ˧.
物件收佇屜仔下底。	mi˧̍hkĩã˦ siu˧ ti˦ tʰuaʔ˧a˥ e˦te˥.
翁婿的老爸，愛稱呼伊大官。	aŋ˧sai˨ e˩ lau˦pe˦, ai˨ tsʰiŋhɔ˧ i˧ ta˧kuã˧.
伊生本較土性，你莫佮伊計較。	i˧ sẽ˧pun˥ kʰaʔ˧ tʰɔ˥siŋ˨, li˥ mai˨ kaʔ˧ i˧ ke˨kau˨.
伊驚見赴袂著車幫，下性命走。	i˧ kĩã˧kĩ˨ hu˨ be˦ tioʔ˩ tsʰiapaŋ˧, he˦sẽ˨mia˦ tsau˥.
屘叔仔明仔下昏才會轉來。	ban˧tsika˥ bin˩a˥ e˧hŋ̩˧ tsiaʔ e˦ tŋ̩˥lai˩.
我下昏欲去看電影。	gua˥ e˧hŋ̩˧ beʔ˧ kʰi˨ kʰuã˨ tian˦ĩã˥.
伊的人較土直，毋才較會去得失人。	i˧ e˩ laŋ˩ kʰaʔ˧ tʰɔ˥ti˧̍t, m̄tsiaʔ kʰaʔ˧ e˦ kʰi˨ tik˧sit˧laŋ˩.
恁這位千金生做真媠。	lin˥ tsit ui˧ tsʰiankim˧ sẽ˧tso˩ tsin sui˥.
春宵一刻值千金。	tsʰun siau˧ it˧ kʰik˧ ti˧̍t tsʰiankim˧.
你若是有啥物三長兩短，叫我欲按怎活落去？	li˥ na˦si˦ u˧ sĩã˥miʔ˧ sã˧tn̩˩nn̩˦te˥, kio˨ gua˥ beʔ˧ an˥tsua˥˧ uaʔ˧lo˧̍hkʰi˨?
石頭浸久嘛會上青苔。	tsioʔ˧tʰau˩ tsim˩ ku˥ ma˦ e˦ tsʰiu˧˧tsʰe˧tʰi˩.
久長病，無孝子。	ku˥tn̩˩pẽ˦, bo˩ hau˨tsu˥.
三思而後行。	sam˨su˧ dzi˩ hio˦ hiŋ˩.
伊講伊大後日會倒轉來。	i˧ koŋ˥ i˧ tua˧au˦dzit˩ e˦ to˨tŋ̩˥lai˩.
伊這過出國，著愛大後年才會當倒轉來。	i˧ tsitkue˨ tsʰutkok˧, tioʔ˩ai˨ tua˧au˦ni˩ tsiaʔ e˦taŋ˨ to˨tŋ̩˥lai˩.
你閣按怎講，伊也是聽袂入耳。	li˥ koʔ˧ an˥tsua˥˧ koŋ˥, i˧ ia˦ si˦ tʰĩã˧ be˦ dzip˩ni˥.
伊是老師，也是學生。	i˧ si˦ lau˦su˧, ia˦ si˦ ha˧̍ksiŋ˧.
彼个人才是歹人。	hit˧ e˩ laŋ˩ tsiaʔsi˦ pʰãĩ˥laŋ˩.
年節時仔愛攢三牲來拜拜。	ni˩tseʔsi˩a˥ ai˨ tsʰuan˧˥ sam˧siŋ˧ lai˩ pai˨pai˨.
人若肯拍拚，乞食也會出頭天。	laŋ˩ na˦ kʰiŋ˥ pʰaʔ˧pĩã˨, kʰit˧tsiaʔ˧ ia˦ e˦ tsʰuttʰau˩tʰĩ˧.
算命的講伊生來是乞食命，毋過伊認真拍拚，這馬已經是大頭家矣。	sŋ̩˨mia˦e˩ koŋ˥ i˧ sẽ˧lai˩ si˦ kʰit˧tsiaʔ˧mia˦, m̄koʔ˧ i˧ dzin˦tsin pʰaʔ˧pĩã˨, tsitma˥ i˥kiŋ˧ si˦ tua˧ tʰau˩ke˧aʔ˧.
彼个人有夠大面神，攏毋知影通歹勢。	hit˧ e˩ laŋ˩ u˧kau˨ tua˧bin˦sin˩, loŋ˥ m̄ tsaiĩã˥ tʰaŋ˧ pʰãĩ˥se˨.
相爭做乞食頭。	sio˧te˧ tso˩ kʰit˧tsiaʔ˧tʰau˩.
彼个頭家有夠土匪。	hit˧ e˩ tʰau˩ke˧ u˧kau˨ tʰɔ˥hui˥.
古早有的老大人會家己買大厝。	kɔ˥tsa˥ u˧ e˩ lau˦tua˧laŋ˩  e˦ ka˧ki˦ be˥ tua˧tsʰu˩.
伊佇彼間銀行有一个口座。	i˧ ti˦ hit˧ kiŋ˧ gn˩haŋ˩ u˧ tsit˧ e˩ kʰau˥tso˧.
你是咱兜的大孫。	li˥ si˦ lan˥ tau˧ e˩ tua˧sun˧.
阮大家誠疼我。	guan˥ ta˧ke˧ tsia˧˥˧ tʰĩã˨gua˥.
這个山崁誠懸。	tsit e˩ suã˧kʰam˨ tsia˧˥˧ kuan˩.
來來來！逐家上桌食飯。	lai˩ lai˩ lai˩! ta˧̍kke˧ tsiu˧˧toʔ˧ tsiaʔ˧pŋ̩˦.
頭家捀菜上桌。	tʰau˩ke˧ pʰaŋ˩ tsʰai˩ tsiu˧˧toʔ˧.
伊的口氣真大。	i˧ e˩ kʰau˥kʰi˨ tsin tua˧.
走甲大氣喘袂離。	tsau˥ kaʔ˧ tua˧kʰui˨ tsʰuan˥ be˦ li˦.
我真討厭別人干涉我的代誌。	gua˥ tsin tʰo˥ia˨ pa˧̍tlaŋ˩ kan˧sia˧̍p gua˥ e˩ tai˦tsi˩.
這罐芳水較低級，毋是高級貨。	tsit kuan˨ pʰaŋ˧tsui˥ kʰaʔ˧ ke˦kip˧, m̄ si˦ ko˧kip˧ hue˨.
較低級的職位。	kʰaʔ˧ ke˦kip˧ e˩  tsitui˧.
這陣人誠大陣。	tsit tin˦ laŋ˩ tsia˧˥˧ tua˧ tin˦.
莫戴小鬼仔殼佇遐共人嚇驚。	mai˨ ti˨ siau˥kui˥a˥kʰak˧ ti˦ hia˧ ka˦ laŋ˩ heʔ˧kĩã˧.
薪水予伊三除四扣就賰無偌濟矣。	sin˧sui˥ hɔ˦ i˧ sã˧tu˧˥si˨kʰau˨ to˦ tsʰun bo˩ gua˦tse˧aʔ˧.
欲上崎矣，莫行遐緊。	beʔ˧ tsiu˧˧kia˦aʔ˧, mai˨ kĩã˩ hiaʔ˧ kin˥.
金水嬸仔三个後生攏誠有才情，毋是經理，就是董事長。	kim˧tsui˥ tsim˥a˥ sã˧ e˩ hau˦sẽ˧ loŋ˥ tsia˧˥˧ u˧ tsai˧˥tsiŋ˧˥, m̄ si˦ kiŋ˧li˥, to˦ si˦ taŋ˥su˦tĩũ˥.
伊哪會遐才情。	i˧ na˥ e˦ hiaʔ˧ tsai˧˥tsiŋ˧˥.
三教九流	sam˧kau˨kiu˥liu˩
下晝阮欲來去圖書館讀冊。	e˦tau˨ guan˥ beʔ˧ lai˩kʰi˨ tɔ˩su˧kuan˥ tʰak˩tsʰeʔ.
試看大細會合袂？	tsʰi˩ kʰuã˨ tua˧se˨ e˦ ha˧̍hbe˦?
做序大的人對待囡仔毋通大細心。	tso˩ si˦tua˧ e˩ laŋ˩ tui˩tʰai˦ gn˥a˥ m̄tʰaŋ˧ tua˧se˨sim˧.
你看人大細目，早慢會出代誌。	li˥ kʰuã˨ laŋ˩ tua˧se˨bak˩, tsa˥ban˦ e˦ tsʰuttai˦tsi˩.
大富由天，小富由人。	tua˧pu˨ iu˩ tʰĩ˧, sio˥pu˨ iu˩ dzin˩.
像這款大寒的天，食一寡燒的上好。	tsʰiu˧˧ tsit kʰuan˥ tua˧kuã˩ e˩ tʰĩ˧, tsiaʔ˧ tsit˧ kua˥ sio˧e˩ sioŋ˦ ho˥.
禮拜欲大摒掃，毋通走出去耍。	le˥pai˨ beʔ˧ tua˧pĩã˨sau˨, m̄tʰaŋ˧ tsau˥ tsʰutkʰi˨ sŋ̩˥.
伊對下港起來臺北食頭路。	i˧ tui˩ e˦kaŋ˥ kʰi˥lai˩ tai˩pak˧ tsiaʔ˧tʰau˩lɔ˦.
大港無崁蓋。	tua˧kaŋ˥ bo˩ kʰam˨kua˨.
水足大港	tsui˥ tsiok tua˧kaŋ˥
風足大港	hoŋ˧ tsiok tua˧kaŋ˥
氣象報告講今仔日有大湧，你毋通去釣魚。	kʰi˨sioŋ˦ po˨ko˨ koŋ˥ kin˧a˥dzit˩ u˧ tua˧iŋ˥, li˥ m̄tʰaŋ˧ kʰi˨ tio˨hi˩.
干焦賰遮的菜爾爾，你欲無？	kan˧na˧ tsʰun tsiae˩ tsʰai˩ nia˦nia˦, li˥ beʔ˧bo˩?
一屑仔代誌都辦袂好勢，真下痟！	tsit˧sut˧a˥ tai˦tsi˩ to˧ pan˦ be˦ ho˥se˨, tsin ha˦siau˧!
上等料理	sioŋ˦tiŋ˥ liau˦li˥
注大筒的	tsu˩ tua˧taŋ˩e˩
小等一下！	sio˥tan˥tsit˧e˦!
大量生產才算會和。	tai˦lioŋ˦ siŋ˧san˥ tsiaʔ sŋ̩˨e˦ho˩.
喙共弓開才會當灌藥仔。	tsʰui˩ ka˦ kiŋ˧kʰui˧ tsiaʔ e˦taŋ˨ kuan˨ io˧̍ha˥.
天遐爾仔烏，等咧凡勢會落雨。	tʰĩ˧ hiaʔ˧ni˦a˥ ɔ˧, tan˥leʔ˧ huan˦se˨ e˦ lo˧̍hhɔ˦.
咱蹛這角圍仔，山勢較低。	lan˥ tua˩ tsit kak˧ui˧˥a˥, suã˧se˨ kʰaʔ˧ ke˦.
這款代誌曷使閣問，土想嘛知。	tsit kʰuan˥ tai˦tsi˩ a˧̍hsai˥ koʔ˧ mn̩˦, tʰɔ˥sĩũ˦ ma˦ tsai.
下暗欲來阮兜予阮請無？	e˧am˨ beʔ˧ lai˩ guan˥ tau˧ hɔ˦ guan˥ tsʰia˥˧bo˩?
伊先共我拍，我才會共伊拍。	i˧ siŋ˧ ka˦ gua˥ pʰaʔ˧, gua˥ tsiaʔ e˦ ka˦ i˧ pʰaʔ˧.
伊跋落去山溝，跤骨摔斷去。	i˧ puaʔ˩ lo˧̍hkʰi˨ suã˧kau˧, kʰa˧kut˧ siak˧tn̩˦kʰi˨.
下落不明	he˦lo˧̍h put˧biŋ˩
你出門在外，家己千萬愛小心。	li˥ tsʰutmn̩˩ tsai˧ gua˦, ka˧ki˦ tsʰianban˦ ai˨ sio˥sim˧.
千萬人	tsʰianban˦ laŋ˩
貓睏佇椅仔下跤。	niau˧ kʰun˨ ti˦ i˥a˥ e˦kʰa˧.
土人講土話。	tʰɔ˥laŋ˩ koŋ˥ tʰɔ˥ue˧.
毋通定定講大話。	m̄tʰaŋ˧ tĩã˦tĩã˦ koŋ˥ tua˧ue˧.
較早有真濟山賊佇遮出入。	kʰaʔ˧tsa˥ u˧ tsin tse˧ suã˧tsʰa̍t ti˦ tsia tsʰutdzip˩.
我有一雙大跤胴。	gua˥ u˧ tsit˧ siaŋ˧ tua˧kʰa˧taŋ˩.
三跤貓笑一目狗。	sã˧kʰa˧niau˧ tsʰio˩ tsit˧ bak˩ kau˥.
你真正有夠低路，連這款工課都袂曉做。	li˥ tsintsia˩˧ u˧kau˨ ke˦lɔ˦, lian˩ tsit kʰuan˥ kʰaŋ˧kʰue˨ to˧ be˦hiau˥ tso˩.
按這條大路直直去就到阮兜矣。	an˨ tsit tiau˩ tua˧lɔ˦ ti˧̍tti˧̍t kʰi˨ to˦ kau˨ guan˥ tau˧aʔ˧.
你著較大路咧，毋通遐凍霜。	li˥ tioʔ˩ kʰaʔ˧ tua˧lɔ˦leʔ˧, m̄tʰaŋ˧ hiaʔ˧ taŋ˨sŋ̩˧.
這條小路真歹行。	tsit tiau˩ sio˥lɔ˦ tsin pʰãĩ˥ kĩã˩.
阮阿公七十歲大壽的時陣，阮兜有辦桌請人。	guan˥ a˧koŋ˧ tsʰittsap˧ hue˨ tua˧siu˦ e˩ si˩tsun˧, guan˥ tau˧ u˧ pan˦toʔ˧ tsʰia˥˧laŋ˩.
你今仔五十歲爾爾，哪會未曾未就共大壽買好矣。	li˥ tã˧a˥ gɔ˦tsap˧ hue˨ nia˦nia˦, na˥ e˦ bue˦tsiŋ˧˥bue˦ to˦ ka˦ tua˧siu˦ be˥ ho˥aʔ˧.
伊生做足大漢。	i˧ sẽ˧tso˩ tsiok tua˧han˨.
囡仔若大漢，爸母就輕鬆矣。	gn˥a˥ na˦ tua˧han˨, pe˦bu˥ to˦ kʰin˧saŋ˧aʔ˧.
伊是大漢的。	i˧ si˦ tua˧han˨e˩.
伊傷大箍矣。	i˧ sĩũ˧ tua˧kʰɔ˧aʔ˧.
彼箍柴真大箍。	hit˧ kʰɔ˧ tsʰa˧˥ tsin tua˧kʰɔ˧.
一箍是大箍抑細箍？	tsit˧ kʰɔ˧ si˦ tua˧kʰɔ˧ ia˧̍h se˨kʰɔ˧?
這上緊嘛著愛到後日才會好。	tse sioŋ˦ kin˥ ma˦ tioʔ˩ai˨ kau˨ au˦dzit˩ tsiaʔ e˦ ho˥.
上蓋媠	sioŋ˦kai˨ sui˥
上蓋好	sioŋ˦kai˨ ho˥
牽亡魂	kʰan˧boŋ˩hun˩
這過買的三層肉真好食。	tsitkue˨ be˥ e˩ sam˧tsan˧˥baʔ˧ tsin ho˥tsiaʔ˧.
這小數錢，毋免計較。	tse sio˥sɔ˨ tsi˧˥˧, m̄bian˥ ke˨kau˨.
囡仔當咧拍干樂。	gn˥a˥ tŋ̩˧teʔ˧ pʰaʔ˧ kan˧lo˧̍k.
規日無閒甲若干樂咧。	kui˧dzit˩ bo˩iŋ˩ kaʔ˧ na˥ kan˧lo˧̍kleʔ˧.
彼个查某囡仔講話真大範。	hit˧ e˩ tsabɔ˥ gn˥a˥ koŋ˥ue˧ tsin tua˧pan˦.
彼領洋裝看著真大範。	hit˧ nia˥ ĩũ˩tsɔŋ kʰuã˨ tioʔ˩ tsin tua˧pan˦.
老師當咧課堂上課。	lau˦su˧ tŋ̩˧teʔ˧ kʰo˨tn̩˩ sioŋ˦kʰo˨.
學生囡仔逐工攏愛去學校上課。	ha˧̍ksiŋ˧ gn˥a˥ ta˧̍kkaŋ˧ loŋ˥ ai˨ kʰi˨ ha˧̍khau˦ sioŋ˦kʰo˨.
我的工課足濟的。	gua˥ e˩ kʰaŋ˧kʰue˨ tsiok tse˧e˩.
伊真有才調，律師牌一擺就考過！	i˧ tsin u˧ tsai˧˥tiau˦, lu˧̍tsu˧pai˩ tsit˧ pai˥ to˦ kʰo˥kue˨!
阮遮干焦做大賣，無咧賣零星的。	guan˥ tsia kan˧na˧ tso˩ tua˧be˦, bo˩ teʔ˧ be˦ lan˩san˧e˩.
小賣的價數一定比大賣較貴。	sio˥be˦ e˩ ke˨siau˨ it˧tiŋ˦ pi˥ tua˧be˦ kʰaʔ˧ kui˨.
我感覺山豬仔肉較好食。	gua˥ kam˥kak˧ suã˧ti˧a˥baʔ˧ kʰaʔ˧ ho˥tsiaʔ˧.
下頦尖尖	e˦hai˩ tsiamtsiam
大學畢業了後就愛揣頭路。	tai˦ha˧̍k pit˧gap˩ liau˥au˦ to˦ ai˨ tsʰue˧ tʰau˩lɔ˦.
阮的工頭看起來猶閣真少年。	guan˥ e˩ kaŋ˧tʰau˩ kʰuã˨kʰi˥lai˩ iau˥koʔ˧ tsin siau˨lian˩.
工頭工尾攏愛顧予好。	kaŋ˧tʰau˩kaŋ˧bue˥ loŋ˥ ai˨ kɔ˨ hɔ˦ ho˥.
伊的大頭拇予刀仔割著矣。	i˧ e˩ tua˧tʰau˩bu˥ hɔ˦ to˧a˥ kuaʔ˧tioʔ˩aʔ˧.
伊食上濟。	i˧ tsiaʔ˧ sioŋ˦ tse˧.
上濟錢了去爾爾。	sioŋ˦tse˧ tsi˧˥˧ liau˥kʰi˨ nia˦nia˦.
你講話毋好遐大聲。	li˥ koŋ˥ue˧ m̄ho˥ hiaʔ˧ tua˧sĩã˧.
好大膽	ho˥ tua˧tã˥
伊足愛講大聲話。	i˧ tsiok ai˨ koŋ˥ tua˧sĩã˧ue˧.
我下擺毋敢矣！	gua˥ e˦pai˥ m̄ kã˥aʔ˧!
這个小嬸誠尊重大伯。	tsit e˩ sio˥tsim˥ tsia˧˥˧ tsuntioŋ˦ tua˧peʔ˧.
男天平，女下顎。	lam˩ tʰian˧piŋ˩, li˥ e˦kok˧.
無聊的時陣，就來變工藝。	bo˩liau˩ e˩ si˩tsun˧, to˦ lai˩ pĩ˨kaŋ˧ge˦.
真大龐	tsin tua˧pʰiaŋ˦
稻仔發甲誠大欉矣。	tiu˦a˥ huat˧ kaʔ˧ tsia˧˥˧ tua˧tsaŋ˧˥aʔ˧.
不孝	put˧hau˨
不幸	put˧hiŋ˦
三不五時	sam˧put˧gɔ˦si˩
姑不將	kɔ˧put˧tsiɔŋ
丑時	tʰiu˥si˩
小丑	sio˥tʰiu˥
做天嘛袂中眾人意。	tso˩ tʰĩ˧ ma˦ be˦ tiŋ˨ tsiŋ˩laŋ˩ i˨.
中央	tioŋ˧ŋ̩˧
學期中	ha˧̍kki˩ tioŋ˧
夢中	baŋ˦tioŋ˧
中學	tioŋ˧ha˧̍k
中等	tioŋ˧tiŋ˥
中狀元	tioŋ˨ tsiɔŋ˧guan˩
