Ⴀ	ɑ
არაკომპეტენტურად	aɾakʼompʼetʼentʼuɾatʰ
არაკონსტიტუციურად	aɾakʼonstʼitʼutsʰiuɾatʰ
არაკოორდინირებული	aɾakʼooɾdiniɾebuli
არაკორექტულად	aɾakʼoɾekʰtʼuɫatʰ
არაკორექტული	aɾakʼoɾekʰtʼuli
არალეგიტიმური	aɾaleɡitʼimuɾi
არალეგიტიმურობა	aɾaleɡitʼimuɾoba
არალოგიკურად	aɾaɫoɡikʼuɾatʰ
არალოგიკური	aɾaɫoɡikʼuɾi
არალოიალურად	aɾaɫoiaɫuɾatʰ
არამაგობრულად	aɾamaɡobɾuɫatʰ
არამეგობრული	aɾameɡobɾuli
არამედ	aɾametʰ
არამეცნიერულად	aɾametsʰnieɾuɫatʰ
არამზადა	aɾamzada
არამიმზიდველად	aɾamimzidʷeɫatʰ
არამოდურად	aɾamoduɾatʰ
არამორწმუნე	aɾamoɾtsʼmune
არამოხდენილად	aɾamoχdeniɫatʰ
არამსგავსი	aɾamsɡafsi
არამუსიკალურად	aɾamusikʼaɫuɾatʰ
არამყარად	aɾamχʼaɾatʰ
არამყარი	aɾamχʼaɾi
არამყარობა	aɾamχʼaɾoba
არანაირად	aɾanaiɾatʰ
არანაირი	aɾanaiɾi
არანორმალურად	aɾanoɾmaɫuɾatʰ
არანორმალური	aɾanoɾmaɫuɾi
არაორაზროვნად	aɾaoɾazɾovnatʰ
არაორგანულად	aɾaoɾɡanuɫatʰ
არაორგანული	aɾaoɾɡanuli
არაოფიციალურად	aɾaopʰitsʰiaɫuɾatʰ
არაოფიციალური	aɾaopʰitsʰiaɫuɾi
არაპატრიოტულად	aɾapʼatʼɾiotʼuɫatʰ
არაპირდაპირად	aɾapʼiɾdapʼiɾatʰ
არაპირდაპირი	aɾapʼiɾdapʼiɾi
არაპროდუქტიულად	aɾapʼɾodukʰtʼiuɫatʰ
არაპროპორციულად	aɾapʼɾopʼoɾtsʰiuɫatʰ
არაპროფესიონალი	aɾapʼɾopʰesionali
არაპროფესიონალური	aɾapʼɾopʰesionaɫuɾi
არარაობა	aɾaɾaoba
არარატი	aɾaɾatʼi
არარეალისტურად	aɾaɾealistʼuɾatʰ
არარეალისტური	aɾaɾealistʼuɾi
არარეალობა	aɾaɾeaɫoba
არარეალოისტურად	aɾaɾeaɫoistʼuɾatʰ
არარეალურად	aɾaɾeaɫuɾatʰ
არარეალური	aɾaɾeaɫuɾi
არარეგულარულად	aɾaɾeɡuɫaɾuɫatʰ
არარენტაბელურად	aɾaɾentʼabeɫuɾatʰ
არარომანტიკულად	aɾaɾomantʼikʼuɫatʰ
არასავალდებულო	aɾasavaldebuɫo
არასავალდებულოდ	aɾasavaldebuɫotʰ
არასაიმედო	aɾasaimedo
არასაიმედოდ	aɾasaimedotʰ
არასაკმაო	aɾasakʼmao
არასაკმარისად	aɾasakʼmaɾisatʰ
არასაკმარისი	aɾasakʼmaɾisi
არასამართლიანად	aɾasamaɾtʰlianatʰ
არასამართლიანი	aɾasamaɾtʰliani
არასამართლიანობა	aɾasamaɾtʰlianoba
არასამთავრობო	aɾasamtʰavɾobo
არასანდო	aɾasando
არასანუგეშო	aɾasanuɡeʃo
არასასიამოვნოდ	aɾasasiamovnotʰ
არასასურველი	aɾasasuɾʷeli
არასაფრენი	aɾasapʰɾeni
არასაჭირო	aɾasatʃʼiɾo
არასდროს	aɾasdɾos
არასეზონურად	aɾasezonuɾatʰ
არასეზონური	aɾasezonuɾi
არასექსუალურად	aɾasekʰsuaɫuɾatʰ
არასექსუალური	aɾasekʰsuaɫuɾi
არასისტემატურად	aɾasistʼematʼuɾatʰ
არასკრუპულოზურად	aɾaskʼɾupʼuɫozuɾatʰ
არასოდეს	aɾasodes
არასპეციფიკურად	aɾaspʼetsʰipʰikʼuɾatʰ
არასპორტულად	aɾaspʼoɾtʼuɫatʰ
არასრულად	aɾasɾuɫatʰ
არასრული	aɾasɾuli
არასრულყოფილად	aɾasɾulχʼopʰiɫatʰ
არასწორად	aɾastsʼoɾatʰ
არასწორი	aɾastsʼoɾi
არატიპიურად	aɾatʼipʼiuɾatʰ
არატიპური	aɾatʼipʼuɾi
არაუკუქცევადი	aɾaukʼukʰtsʰevadi
არაუკუქცევადობა	aɾaukʼukʰtsʰevadoba
არაფერი	aɾapʰeɾi
არაფერს	aɾapʰeɾs
არაფორმალურად	aɾapʰoɾmaɫuɾatʰ
არაფორმალური	aɾapʰoɾmaɫuɾi
არაფრის	aɾapʰɾis
არაქათი	aɾakʰatʰi
არაქისი	aɾakʰisi
არაყი	aɾaχʼi
არაყიშვილი	aɾaχʼiʃʷili
არაშთამბეჭდავად	aɾaʃtʰambetʃʼdavatʰ
არაჩაშვილი	aɾatʃʰaʃʷili
არაჩვეულებრივად	aɾatʃʰʷeulebɾivatʰ
არაჩვეულებრივი	aɾatʃʰʷeulebɾivi
არაწესიერად	aɾatsʼesieɾatʰ
არაწესიერი	aɾatsʼesieɾi
არახელსაყრელად	aɾaχelsaχʼɾeɫatʰ
არახჩინი	aɾaχtʃʰini
არაჯანსაღი	aɾadʒansaʁi
არაჰიგიენურად	aɾahiɡienuɾatʰ
არაჰიგიენური	aɾahiɡienuɾi
არაჰუმანურად	aɾahumanuɾatʰ
არაჰუმანური	aɾahumanuɾi
არბილებს	aɾbilebs
არბიტრი	aɾbitʼɾi
არბოლაშვილი	aɾboɫaʃʷili
არბოლიშვილი	aɾboliʃʷili
არგამოყენება	aɾɡamoχʼeneba
არგანაშვილი	aɾɡanaʃʷili
არგენტინა	aɾɡentʼina
არგენტინად	aɾɡentʼinatʰ
არგენტინამ	aɾɡentʼinam
არგენტინას	aɾɡentʼinas
არგენტინით	aɾɡentʼinitʰ
არგენტინის	aɾɡentʼinis
არგო	aɾɡo
არგონავტი	aɾɡonaftʼi
არგონი	aɾɡoni
არგუმენტაცია	aɾɡumentʼatsʰia
არგუმენტი	aɾɡumentʼi
არგუსი	aɾɡusi
არდადეგები	aɾdadeɡebi
არდაზიშვილი	aɾdaziʃʷili
არდემანაშვილი	aɾdemanaʃʷili
არდი	aɾdi
არე	aɾe
არეგულირებს	aɾeɡuliɾebs
არევაძე	aɾevadze
არენა	aɾena
არენბი	aɾenbi
არესი	aɾesi
არეულდარეულობა	aɾeuldaɾeuɫoba
არეული	aɾeuli
არეულობა	aɾeuɫoba
არეშიძე	aɾeʃidze
ართავს	aɾtʰafs
ართვინი	aɾtʰʷini
ართურმა	aɾtʰuɾma
არია	aɾia
არიან	aɾian
არიერგარდი	aɾieɾɡaɾdi
არიზონა	aɾizona
არითმეტიკა	aɾitʰmetʼikʼa
არითმეტიკულად	aɾitʰmetʼikʼuɫatʰ
არითმეტიკული	aɾitʰmetʼikʼuli
არითმომეტრი	aɾitʰmometʼɾi
არიმანი	aɾimani
არის	aɾis
არისტოკრატი	aɾistʼokʼɾatʼi
არისტოკრატია	aɾistʼokʼɾatʼia
არისტოკრატულად	aɾistʼokʼɾatʼuɫatʰ
არისტოტელე	aɾistʼotʼele
არიული	aɾiuli
არიფი	aɾipʰi
არკანზასი	aɾkʼanzasi
არმატურა	aɾmatʼuɾa
არმეგონაშვილი	aɾmeɡonaʃʷili
არმენისტიკა	aɾmenistʼikʼa
არმენოლოგია	aɾmenoɫoɡia
არმია	aɾmia
არმიად	aɾmiatʰ
არმიამ	aɾmiam
არმიას	aɾmias
არმიით	aɾmiitʰ
არმიის	aɾmiis
არმოსავლეთისა	aɾmosavletʰisa
არმცოდნე	aɾmtsʰodne
არნახული	aɾnaχuli
არნიკა	aɾnikʼa
აროდეს	aɾodes
არომანტიკული	aɾomantʼikʼuli
არომანტიკულობა	aɾomantʼikʼuɫoba
არომატი	aɾomatʼi
არომატულად	aɾomatʼuɫatʰ
არომატული	aɾomatʼuli
არომატულობა	aɾomatʼuɫoba
არს	aɾs
არსად	aɾsatʰ
არსანიძე	aɾsanidze
არსება	aɾseba
არსებები	aɾsebebi
არსებითად	aɾsebitʰatʰ
არსებითი	aɾsebitʰi
არსებობ	aɾsebopʰ
არსებობა	aɾseboba
არსებობს	aɾsebobs
არსებული	aɾsebuli
არსენალი	aɾsenali
არსენაძე	aɾsenadze
არსი	aɾsi
არსიაშვილი	aɾsiaʃʷili
არსით	aɾsitʰ
არსოშვილი	aɾsoʃʷili
არტაანი	aɾtʼaani
არტალა	aɾtʼaɫa
არტემაშვილი	aɾtʼemaʃʷili
არტემიდა	aɾtʼemida
არტემიდე	aɾtʼemide
არტემისი	aɾtʼemisi
არტერია	aɾtʼeɾia
არტერიული	aɾtʼeɾiuli
არტიკულირებულად	aɾtʼikʼuliɾebuɫatʰ
არტილერია	aɾtʼileɾia
არტილერისტი	aɾtʼileɾistʼi
არტისტი	aɾtʼistʼi
არტისტიზმი	aɾtʼistʼizmi
არტისტულად	aɾtʼistʼuɫatʰ
არტისტული	aɾtʼistʼuli
არტიშოკი	aɾtʼiʃokʼi
არუბა	aɾuba
არუნაშვილი	aɾunaʃʷili
არფა	aɾpʰa
არქაიზმი	aɾkʰaizmi
არქანია	aɾkʰania
არქაული	aɾkʰauli
არქეოზოოლოგია	aɾkʰeozooɫoɡia
არქეოლოგი	aɾkʰeoɫoɡi
არქეოლოგია	aɾkʰeoɫoɡia
არქეოლოგიური	aɾkʰeoɫoɡiuɾi
არქეტიპული	aɾkʰetʼipʼuli
არქეტიპური	aɾkʰetʼipʼuɾi
არქიდიაკონი	aɾkʰidiakʼoni
არქივარიუსი	aɾkʰivaɾiusi
არქივი	aɾkʰivi
არქიპელაგი	aɾkʰipʼeɫaɡi
არქიტექტორი	aɾkʰitʼekʰtʼoɾi
არქიტექტურა	aɾkʰitʼekʰtʼuɾa
არქიტექტურულად	aɾkʰitʼekʰtʼuɾuɫatʰ
არქიტექტურული	aɾkʰitʼekʰtʼuɾuli
არქმევს	aɾkʰmefs
არქტიკა	aɾkʰtʼikʼa
არქტიკული	aɾkʰtʼikʼuli
არღანი	aɾʁani
არღუთაშვილი	aɾʁutʰaʃʷili
არღუნაშვილი	aɾʁunaʃʷili
არყი	aɾχʼi
არყოფნა	aɾχʼopʰna
არშიყობა	aɾʃiχʼoba
არჩევა	aɾtʃʰeva
არჩევანი	aɾtʃʰevani
არჩევითი	aɾtʃʰevitʰi
არჩევნები	aɾtʃʰevnebi
არჩევს	aɾtʃʰefs
არჩემაშვილი	aɾtʃʰemaʃʷili
არჩვი	aɾtʃʰʷi
არჩილ	aɾtʃʰil
არჩილი	aɾtʃʰili
არჩუაშვილი	aɾtʃʰuaʃʷili
არც	aɾtsʰ
არცერთი	aɾtsʰeɾtʰi
არცნობა	aɾtsʰnoba
არცოდნა	aɾtsʰodna
არწივი	aɾtsʼivi
არწყევს	aɾtsʼχʼefs
არხეინი	aɾχeini
არხი	aɾχi
არხოზაშვილი	aɾχozaʃʷili
არხოშაშვილი	aɾχoʃaʃʷili
არჯაკელი	aɾdʒakʼeli
ასათაურებს	asatʰauɾebs
ასაკაშვილი	asakʼaʃʷili
ასაკობრივი	asakʼobɾivi
ასატანად	asatʼanatʰ
ასაქცევი	asakʰtsʰevi
ასაშვილი	asaʃʷili
ასახავს	asaχafs
ასახელებს	asaχelebs
ასახიჩრებს	asaχitʃʰɾebs
ასეიშვილი	aseiʃʷili
ასემბლერი	asembleɾi
ასექსუალობა	asekʰsuaɫoba
ასექსუალურად	asekʰsuaɫuɾatʰ
ასექსუალური	asekʰsuaɫuɾi
ასთავიშვილი	astʰaviʃʷili
ასიმეტრია	asimetʼɾia
ასიმეტრიულად	asimetʼɾiuɫatʰ
ასიმეტრიული	asimetʼɾiuli
ასიმილაცია	asimiɫatsʰia
ასიმპტოტურად	asimpʼtʼotʼuɾatʰ
ასისტიშვილი	asistʼiʃʷili
ასკეტურად	askʼetʼuɾatʰ
ასკეტური	askʼetʼuɾi
ასკილაშვილი	askʼiɫaʃʷili
ასლამაზიშვილი	asɫamaziʃʷili
ასლამაძე	asɫamadze
ასლანიშვილი	asɫaniʃʷili
ასლოკინებს	asɫokʼinebs
ასმაგად	asmaɡatʰ
ასოთამწყობი	asotʰamtsʼχʼobi
ასომთავრული	asomtʰavɾuli
ასორტი	asoɾtʼi
ასოციაცია	asotsʰiatsʰia
ასპარეზი	aspʼaɾezi
ასპექტური	aspʼekʰtʼuɾi
ასპიდისტრა	aspʼidistʼɾa
ასპინძელაშვილი	aspʼindzeɫaʃʷili
ასპირატი	aspʼiɾatʼi
ასპირინი	aspʼiɾini
ასრათაშვილი	asɾatʰaʃʷili
ასრულებს	asɾulebs
ასტეროიდები	astʼeɾoidebi
ასტეროიდი	astʼeɾoidi
ასტრა	astʼɾa
ასტრალური	astʼɾaɫuɾi
ასტრობიოლოგია	astʼɾobioɫoɡia
