अंकगणित	əŋkəgəɳiːt̪
अडचणीचा	əɖəʈʈiːtʃə
अडचणींचाही	əɖtɕɳiːn̪tɕʰɑːi
अडचणीचे	əɖəʈɲiːtʃe
अडचणीच्या	əɖtɕɳiːtɕʰə
अडचणीत	əɖəʈɳiːt̪
अडचणीतून	əɖəʈɲiːtuːn
अडचणींना	əɖtɕəɳiːnːa
अडचणींमध्ये	əɖtɕəɳiːmʤʰe
अडचणींमुळे	əɖtɕɳiːmmuɭe
अडचणीवर	əɖəʈɲiʋəɾ
अडचणींवर	əɖtɕəɳiːvəɾ
अडथळा	əɖəʈʰɭə
अडथळाही	əɖəʈʰəɭəɦiː
अडथळे	əɖəʈʰɭ̆e
अंडय़ाचा	əɳɖjɑtʃə
अंडय़ाचे	əɳɖjɑtʃe
अंडय़ांचे	əɳɖjəɳtʃe
अंडय़ाच्या	əɳɖjɑːtʃʰe
अंडय़ात	əɳɖjɑːt
अंडय़ातील	əɳɖjɑːt̪iːl̪
अंडर	əɳɖəɾ
अंडरग्राऊंड	əɳɖəgɾaʊ̯nd̪
अँडरसन	əɳɖɾəs̪n̪
अँडरसनने	əɳɖɾəsənne
अडला	əɖəla
अडवण्यात	əɖəʋəɳjɑt̪
अडवला	əɖəʋlə
अडवाणी	əɖʋaːɳiː
अडवानी	əɖʋaːni
अडवून	əɖʋun
अडसर	əɖəsaɾ
अंडाकृती	əɳɖaːkɾiːt̪i
अँडी	ə̃ɳɖi
अंडी	əɳɖi
अडीच	əɖitʃ
अडीचशे	əɖiːtʃʃʰe
अंडे	əɳɖe
अंड्या	əɳɖjə
अंड्याचा	əɳɖjəʧə
अंड्याचे	əɳɖjɛtʃe
अंड्याच्या	əɳɖjəʧə
अंड्यात	əɳɖjɑt̪
अंड्यातील	əɳɖjatiːl
अंड्यामध्ये	əɳɖjɑːmʈʰe
अँड्रय़ू	əɳɖɾjoː
अँड्राइड	əɳɖɾaɪɖ
अँड्राईड	əɳɖɾaɪɖ
अँड्राईडवर	əɳɖɾaiɖʋəɾ
अँड्राॅईड	əɳɖɾɔɪɖ
अड्रिनो	əɖɾiːnoː
अँड्रू	əɳɖɾuː
अँड्रॉइड	əɳɖɾoɪɖ
अँड्रॉईड	əɳɖɾoːɪɖ
अँड्रॉईडच्या	əɳɖɾoːɪɖtʃʰə
अँड्रॉईडमध्ये	əɳɖroɪɖmɖʱe
अढळ	əɖʌɭ
अढी	əɖi
अणि	əɳi
अण्णा	əɳɳə
अण्णासाहेब	əɳɳaːsaːɦeːb
अंत	əɳʈ
अंतर	ənt̪əɾ
अंतरंगात	ənt̪əɾəŋgɑːt̪
अतरंगी	əʈəɾəŋi
अतरंगीपणा	əʈəɾəŋiːpəɳə
अंतराचा	ənt̪əɾɔtʃə
अंतराची	ənt̪əɾətʃi
अंतराच्या	ənt̪əɾəɕːə
अंतरात	ənt̪əɾaːt̪
अंतरानंतर	ənt̪əɾɾɑːnt̪əɾ
अंतराने	ənt̪əɾɑːne
अंतराळ	ənt̪əɾɑːɭ
अंतराळवीर	ənt̪əɾɑːɭʋiːɾ
अंतराळात	ənt̪əɾɑːɭɑːt̪
अंतरावर	ənt̪əɾɑːʋəɾ
अंतर्गत	ənt̪əɾgət̪
अंतर्भाव	ənt̪ɾbʱɑːʋ
अंतर्मुख	ənt̪ərmukʰ
अंतर्वस्त्र	əɳt̪ɾʋəsʈɾ
अताउल्ला	ətaʊlːə
अंताक्षरी	ə̃t̪əkʂɾi
अति	əɭi
अतिआत्मविश्वास	əʈiːɑːt̪ʋɪɕʋaːs
अतिउंचावरील	əʈiʋəɳtɕɑːʋiɾil
अतिगरम	əʈɪgəɾə
अतिथी	ət̪iːt̪ʰiː
अतिदक्षता	ətɪdɑkʂt̪ə
अतिनिदान	əʈɪnɪdaːn
अतिनील	əʈiɳiːl
अतिप्रक्रिया	əʈɪpɾkɾiə
अतिप्रमाणात	əʈɪpɾəmaːɳaːt̪
अंतिम	əɳɭ̆iːm
अतिरक्तदाब	əʈɪɾəkʈəɖɑːb
अतिरंजित	əʈɪɾɪɳdʒɪt̪
अतिरिक्त	ət̪iɾikʈʈʰ
अतिरेक	ətɪɾek
अतिरेकी	əʈiɾeːki
अतिलठ्ठ	ətɪlɭəʈːʰ
अतिवापर	ətɪʋaːpəɾ
अतिवापरामुळे	əɭiʋaːpaɾaːmuɭe
अतिशय	əʈɪɕəj
अतिशयोक्ती	ətɪʃojoʈʈi
अतिशा	əʈɪɕə
अतिसंवेदनशील	əʈɪsəɱʋeːdənʃiːl
अतिसार	ətɪsaːr
अतिसेवन	ətɪseʋən
अतिसेवनामुळे	əɭiɕeʋən̪aːmuɭe
अती	əʈi
अंतीम	ə̃ʈiːm
अतुट	əʈuʈ
अतुल	ətul
अतुलनीय	ətʊln̪iː
अतूट	ətoːʈ
अतोनात	ətoːnaːt̪
अत्तर	əʈːəɾ
अत्यंत	əʈəɳʈ
अंत्ययात्रा	əɳʈjajɑːɳtɾɑː
अत्यल्प	əʈəɭp
अंत्यसंस्कार	əɳɖʑəsaŋskɑːɾ
अत्याचार	əʈjɑːtɕɑːr
अत्याचाराचा	ət̪jɑːtɕɑːɾɑːtʃə
अत्याचाराची	əʈʌjɑːtɕɑːtʃi
अत्याचाराचे	əʈjaːɾɑːtʃe
अत्याचाराच्या	əʈjaːɾaːtɕʰeː
अत्याचारावर	əʈjɑːtɑːɾəʋəɾ
अत्याचाराविरोधात	əʈjɑːʈʰɑːɾɑːʋiɾod̪ʱɑːt̪
अत्याधुनिक	əʈjɑːd̪ʱun̪ɪk
अत्यावश्यक	əʈjɑːʋʌɕɪk
अत्युच्च	əʈʏʋtɕː
अत्राचली	əʈɾɑːtʃəliː
अत्री	əʈɾiː
अत्रे	əʈɾe
अथक	əʈkə
अँथनी	ə̃t̪ʰni
अथर्व	əʈʰəɾʋ
अथवा	əʈʋə
अथांग	əʈʰaːŋ
अथिया	əʈʰiə
अदनान	əɖəɳəɳ
अंदमान	əɳɖəmaːn
अदा	əɖə
अदाकारी	əɖaːkaːɾi
अंदाज	əɳɖɑːdʒ
अंदाजही	əɳd̪ədʒiː
अंदाजात	əɳd̪aːdʒɑːt̪
अंदाजातील	əɳɖaːdʒaːtiːl
अंदाजानुसार	əɳɖaːd̪aːnʊsaːr
अंदाजासाठी	əɳɖaːʐaːsɑːʈʈi
अंदाजे	əɳd̪ədʒe
अदांनी	əɖəɳi
अदार	əɖaːr
अदालत	əɖaːlət̪
अदिती	əɖiːtiː
अदित्य	əɖiʈʰ
अदिल	ədɪl
अदृश्य	əɖɾʐj
अद्दल	əd̪d̪əl
अद्भुत	əɖbʱʊt̪
अद्भूत	əɖbʱuːt̪
अद्ययावत	əɖjəʋət
अद्याप	əd̪jɑːp̚
अद्यापही	əɖjɑpʰi
अद्यावत	əɖʋɑːʋət̪
अद्वितीय	əɖʋiʈiː
अद्वैत	əɖʋait̪
अंध	əɳɖʱ
अधटराव	əɖʈəɾɑːʋ
अंधत्व	əɳɖʈʋ
अंधश्रद्धा	əɳɖʂrɑɳɖʰɑ
अंधार	əɳɖʌɾ
अंधारात	əɳɖʌɾɑːt̪
अंधारे	əɳɖɑːɾe
अधिक	əɖʱik
अधिकच	əɖʱɪkʈʂ
अधिकचा	əɖʱikʈa
अधिकची	əɖʱiktɕi
अधिकच्या	əɖʱikts̪e
अधिकतर	əɖʱik̪t̪əɾ
अधिका	əɖʱigə
अधिकाअधिक	əɖʱigaɖʱig
अधिकाधिक	əɖʱikəɖʱik
अधिकाधीक	əɖʱikəɖʱiːk
अधिकार	əɖʱiːkɑːɾ
अधिकारी	əɖʱiˈkɑːɾi
अधिकाऱ्यांकडून	əɖʱiːkɑːɾjɑːŋkɯːn
अधिकाऱ्याची	əɖʱiːkɑːɾɨtʃiː
अधिकाऱ्यांची	əɖʱiːkɑːɾjɑːtɕiː
अधिकाऱ्यांचे	əɖʱiːkɑːɾjɑːtʃe
अधिकाऱ्याच्या	əɖʱiːkəɾjəɭʲə
अधिकाऱ्यांच्या	əɖʱiːkəɾjɛːɳʈʰiː
अधिकाऱ्यांना	əɖʱiːkɑːɾʌɳɑː
अधिकाऱ्यांनी	əɖʱiːkɑːɾjɑɳɳi
अधिकाऱ्याने	əɖʱiːkɑːɾjɑːne
अधिकाऱ्याला	əɖʱiːkɑːɾjɑːlɑ
अधिकाऱ्याशी	əɖʱiːkɑːɾjɑːʃiː
अधिकृत	əɖʱɪkɾɪt̪
अधिकृतपणे	əɖʱɪkɾʈəpəɳe
अधिकृतरित्या	əɖʱigɾiʈəɾiɭjə
अधिकृतरीत्या	əɖʱikɾiʈɾiːt̪ə
अधिराज्य	əɖʱɪɾɑːdʒjə
अधिस्वीकृती	əɖʱiɕʋiːkɾʈiː
अधीक्षक	əɖʱiːkʂəg
अंधुक	əɳɖʊk
अधू	əɖʱu
अधूनमधून	əɖʱuːn̪əɖʱuːn̪
अधेमधे	əɖʱeːmɖʱeː
अंधेरी	əɳd̪ʱeːri
अंधेरीतील	əɳɖeːɾiːt̪iːl̪
अधोरेखित	əɖʱoɾekʰɪt̪
अध्यक्ष	əɖʱjəkʂ
अध्यक्षतेखाली	əɖʱʌkʂt̪eːkʰaːliː
अध्यक्षपद	əɖʱjəkʂəpəd̪
अध्यक्षपदाचा	əɖʱjəkʂəpəɖətɕə
अध्यक्षपदाच्या	əɖʱjəkʂəpəɖɑːtʃʰə
अध्यक्षपदावरून	əɖʱjəkʂəpəɖɑːrəʋuːn
अध्यक्षपदासाठी	əɖʱjəkʂpəɖɑːɕʈʰiː
अध्यक्षपदी	əɖʱjəkʂpəɖi
अध्यक्षा	əɖʱjəksə
अध्यक्षांच्या	əɖʱjəkʂoɳɳo
अध्यक्षांना	əɖʱjəkʂɑːn̪n̪ə
अध्यक्षांनी	əɖʱjəkʂɑɳɳi
अध्यक्षीय	əɖʱjəkʂiː
अध्ययन	əɖʱjəɳ
अध्यापन	əɖʱjɑːpən
अध्याय	əɖʱəj
अध्र्या	əɖʱɾjɑ
अन	ən
अनइव्हन	əɳɪʋʱəɳ
अनटोल्ड	əɳʈoːɭɖ
अनंत	əɳəɳʈ
अनंतेश्वर	ənaːnt̪eʃʋəɾ
अनधिकृत	əɳɖʱɪkɾɪt̪
अननस	ənənəs
अनन्यसाधारण	ənənjəsɑːɽʱəɾɳ
अनन्या	ənnjə
अनन्याने	ənnəɲɛ
अनपेक्षित	əɳpɛkɕɪt̪
अनपेक्षितपणे	əɳpɛkʂɪt̪pəɳe
अनफॉलो	ənfoːloː
अनभिज्ञ	ənbʱigɲ
अनभिषिक्त	əɳbʱiʂkʈə
अनमोल	ənəmoːl
अनलिमिटेड	ənlɪmʈiːd̪
अनलिमीटेड	ənl̪iːmɪt̪eːd̪
अनलॉक	ənlɔk
अनवधानाने	ənʋd̪ʱɑːɳɑːnɛ
अनवाणी	ənʋaːɲi
अनस	əns
अनसॅच्युरेटेड	ənsəʈʃuɾeʈeːd̪
अनसेंड	əns̪eɳɖ
अनाथ	ənaːtʰ
अनादर	ənaːd̪əɾ
अनारकली	ənaːɾkliː
अनारसे	ənɑːɾse
अनारा	ənɑːrɑː
अनारोग्यकारक	ənɑːrɔːgjɑːkɑːrɑk
अनावधानाने	ənɑːʋd̪ʱɑːɳɑːnɛ
अनावर	ənɑːʋəɾ
अनावरण	ənaːvaɾəɳ
अनावश्यक	ənaːʋʐɨkəɾ
अनास	ənɑːs
अनासने	ənɑːs̪n̪e
अनिकेत	ənɪkʰeːʈ
अनिता	əɳɪt̪ə
अनियंत्रित	əɳijəɳʈɾɪt̪
अनियमित	əɳiːjəɳɪt̪
अनियमितता	əɳiːjəmit̪t̪aː
अनिरुद्ध	ənɪɾʊd̪ʱ
अनिर्णित	əɳiɳɪt̪
अनिर्णीत	əɳiɳiːt̪
अनिल	ənɪl
अनिलच्या	ənɪltsə
अनिलने	ənɪlnɛ
अनिवार्य	əɳɪʋaːɾɪ
अनिवासी	əɳɪʋaːsiː
अनिश	ənɪɕ
अनिश्चित	ənɪɕtʃɪt̪
अनिश्चितता	əɳɪɕtʃɪt̪t̪ɑː
अनिष	əɳɪʂ
अनिष्ट	ənɪʂʈ
अनीश	əɳiːʃ
अनीस	əɳiːs
अनु	ənu
अनुकरण	ənuːkəɾəɳ
अनुकूल	ənʊkuːl
अनुक्रमे	ənʊkrəmɛ
अनुचित	ənʊtɕɪt̪
अनुजा	ənʊdʒə
अनुत्तरित	ənʊt̪t̪əɾɪt̪
अनुदान	ənuːd̪aːn̪
अनुप	ənʊp
अनुपने	ənʊpne
अनुपम	ənʊpəm
अनुपमा	ənupəmə
अनुपस्थित	ənʊpəʂt̪ʰɪt̪
अनुपस्थिती	ənupəs̪t̪ʰit̪i
अनुपस्थितीचा	ənupsəʈʈiːtʃə
अनुपस्थितीत	ənupsəʈʈiːt̪
अनुभव	ənʊbʱəʋ
अनुभवणे	ənʊbʰəʋɳe
अनुभवण्याची	ənʊbʰəʋɳjəʧiː
अनुभवत	ənʊbʰəʋət̪
अनुभवता	ənʊbʱəʋt̪ə
अनुभवताना	ənʊbʰəʋətaːnə
अनुभवला	ənʊbʱəʋlə
अनुभवली	ənʊbʰəʋliː
अनुभवले	ənʊbʰəʋlə
अनुभवही	ənʊbʱəʋʱiː
अनुभवाचा	ənʊbʰəʋɔtʃə
अनुभवाची	ənʊbʰəʋɑːtʃi
अनुभवाच्या	ənʊbʰəʋaːtɕi
अनुभवातून	ənʊbʱʌʋaːt̪uːn̪
अनुभवाने	ənʊbʰəʋɑːnɛ
अनुभवायचं	ənʊbʱəʋɑjʧəɳ
अनुभवायचा	ənʊbʰəʋɑːtɕə
अनुभवायला	ənʊbʰəʋɑjɑː
अनुभवाला	ənʊbʰəʋɑːlɑ
अनुभवाविषयी	ənʊbʰəʋɑːʋɪɕjiː
अनुभवी	ənʊbʱʋi
अनुभूती	ənʊbʱuːti
अनुयायी	ənʊjɑːjɪ
अनुराग	ənʊɾɑg
अनुरागची	ənuɾɑgtʃi
अनुरागने	ənuɾaːgne
अनुराधा	ənʊɾɑːd̪ʱə
अनुरूप	ənʊɾuːp
अनुवाद	ənuʋaːd̪
अनुवांशिक	ənuʋaːɳʃɪk
अनुषंगाने	ənuʂəŋəne
अनुष्का	ənuʂkə
अनुष्काचं	ənuʂkɑːtɕəɳ
अनुष्काचा	ənuʂkɑtʃə
अनुष्काची	ənuʂkɑːtʃi
अनुष्काचे	ənuʂkɑtʃe
अनुष्काच्या	ənuʂkɑːdʑe
अनुष्काने	ənuʂkɑːne
अनुष्कानेही	ənuʂkɑːnehi
अनुष्काला	ənuʂkɑːlɑː
अनुष्कालाही	ənuʂkaːlaːhiː
अनुष्कावर	ənuʂkɔːʋəɾ
अनुष्कावरील	ənuʂkaːʋiɾil
अनुष्कासोबत	ənuʂkaːsɔbət
अनुष्कासोबतचा	ənuʂkaːsɔbtɕə
अनुष्ठान	ənuʂʈʰɑːn
अनुसरुन	ənʊsəɾʊn
अनुसरून	ənʊsɾuːn
अनुसूचित	ənʊsutʃit̪
अनू	ənuː
अनेक	ənɛk
अनेकजण	ənekdʐəɳ
अनेकदा	ənɛkɖə
अनेकविध	ənekʋɪdʱ
अनेकवेळा	ənekʋeɭə
अनेकांकडून	ənekəŋkɑːɳ
अनेकांकडे	ənekəŋkəɳe
अनेकांचं	ənɛkɑːɳtɕə
अनेकांचच	ənɛkɑːnʧɑːtʃ
अनेकांचा	ənekɑːɲtɕə
अनेकांची	ənekɑːɳtɕi
अनेकांचीच	ənekɑːɲtɕiː
अनेकांचे	ənekɑːɳtɕe
अनेकांचेच	ənɛkɑːnʧɛʈʈʰ
अनेकांच्या	ənekɛɳʈʰa
अनेकांच्याच	ənekɑːɲtʃjə
अनेकांना	ənɛkɑːn̪n̪ə
अनेकांनाच	ənɛkɑːɳɑːtʃ
अनेकांनी	ənɛkiɳi
अनेकांनीच	ənekɪɳʧʰ
अनेकांमध्ये	ənɛkɑːmɳɖʱe
अनेकांवर	ənekɑːnʋəɾ
अनेकांसाठी	ənɛkɑːɳʂiː
अनेकांसाठीच	ənekɑːɳsɑːʈʈiː
अनैतिक	ənaːt̪ɪk
अनोखा	ənoːkʰə
अनोखी	ənokʰi
अनोखे	ənokʰe
अनोख्या	ənokʰjɑ
अनोळखी	ənɔɭkʰiː
अनौपचारिक	ənaupɕaːɾɪk
…अन्	əɳ
अन्	əɳ
अन्न	ən̪n̪
अन्नघटक	əɳgʱʈək
अन्नघटकांचा	əɳgʱʈəkɑːɳtʃə
अन्ननलिका	ənnənlɪkə
अन्ननलिकेचा	əɳɳəlikeʧə
अन्नपचन	ənnəpətɕʰəɳ
अन्नपदार्थ	ənnəpəd̪əɾʈʰ
अन्नपदार्थाचे	əɳəpɖəɾʈətɕe
अन्नपदार्थामध्ये	əɳəpɖəɾʈʰaːmdʑe
अन्नपदार्थावर	ən̪n̪pəɖəɾət̪ʰəʋəɾ
अन्नपूर्णा	ənnəpuɳɳə
अन्नाचा	əɳətɕə
अन्नाचे	əɳɑtʃe
अन्नाच्या	ən̪ɳəɕɛ
अन्नात	ənaːt̪
अन्नातून	əɳɳaːtuːn
अन्नावरची	ən̪n̪əʋəɾtʃi
अन्नू	ənːu
अन्य	əɳj
अन्यत्र	əɳjəʈɾə
अन्यथा	əɳjəθə
अन्याय	əɳjɑːj
अन्यायाला	əɳjɑːjɑːlɑː
अन्वर	ənʋəɾ
अन्वेषण	əɳʋeʂɳ
अन्सारी	ənsɑːɾiː
अप	əp
अपंग	əpəŋ
अपंगत्व	əpaŋʈʋ
अपग्रेड	əpgɾeːɖ
अपघात	əpgʱɑːt̪
अपघाताचा	əpgʱɑːt̪ɔːtʃə
अपघातात	əpgʱɑːt̪ɑːt̪
अपघातानंतर	əpgʱɑːt̪ɑːn̪t̪əɾ
अपघाती	əpgʱaːti
अपचन	əpətɕʰəɳ
अपचनाचा	əpətɕəɳɔtɕə
अपडेट	əpɖeʈ
अपडेटनुसार	əpɖeʈn̪usɑːr
अपडेटस	əpɖeʈs
अपडेटेड	əpɖeʈeːɖ
अपडेट्स	əpɖeʈs
अपत्य	əpəʈi
अपना	əp̪nə
अपने	əpne
अपभ्रंश	əpəɳɳɕʰ
अपमान	əpəmaːn
अपमानास्पद	əpəmaːnəspəɖ
अपयश	əpəjəʃ
अपयशाचा	əpəjəʃɔtɕə
अपयशानंतर	əpəjəʃɑːnt̪əɾ
अपयशामुळे	əpəjəʃəmuɭe
अपयशाला	əpəjəʃɑːlə
अपयशी	əpəɕi
अपरलिप्स	əpəɾəɭɪpʂ
अपराजित	əpəɾɑːdʒɪt̪
अपराजित्व	əpəɾaːdʒɪt̪ʋ
अपराधी	əpəɾɑːɖʱiː
अपरिहार्य	əpəɾiɦaːɾə
अपर्चर	əpɾtɕəɾ
अपर्णा	əpəɳɳə
अपलोड	əploːɖ
अपवाद	əpʋaːd̪
अपवादात्मक	əpʋaːd̪ət̪kʰ
अपव्यय	əpʋjəj
अपशब्द	əpəʂbɖ
अपहरण	əpəɾɳ
अपात्र	əpɑːt̪r̩
अपाय	əpɑj
अपायकारक	əpaːjkaːɾkə
अंपायर	ə̃mpəɪr
अपार	əpaːr
अपारदर्शी	əpaːɾəd̪ɾɕiː
अपार्टमेंटच्या	əpaːrʈəment̪tɕe
अपार्टमेण्टमध्ये	əpaːɾʈəment̪əɳʈə
अपील	əpiːl
अपुरा	əpuɾa
अपुरी	əpuɾi
अपुरे	əpuɾe
अपुरेच	əpuɾeʈʈʰ
अपुऱ्या	əpuɾjə
अपूर्ण	əpɯɳ
अपूर्व	əpuːrv
अपूर्वने	əpuːrvn̪e
अपूर्वा	əpuːrvə
अपूर्वी	əpuːrv̪i
अपेक्षा	əpɛkʂə
अपेक्षाच	əpɛkʂɑtʃ
अपेक्षाभंग	əpɛkʂɑbʱəŋg
अपेक्षाही	əpɛkʂɑːhiː
अपेक्षित	əpɛkʂɪt̪
अपेक्षेइतका	əpeːkʂeɪt̪ka
अपेक्षेइतकी	əpɛkʂɛɪt̪ki
अपेक्षेइतके	əpɛkʂɛɪ̯t̪kɛ
अपेक्षेनुसार	əpɛkʂənuːsɑːr
अपेक्षेने	əpɛkʂɛnɛ
अपेक्षेपेक्षा	əpɛkʂɛpɛkʂə
अपेक्षेप्रमाणे	əpɛkʂɛpɾəmaːɳe
अपॉईंटमेंट	əpoːint̪mẽːʈ
अपोलो	əpoːlo
अप्पर	əpːəɾ
अप्रतिम	əpɾəɭiːm
अप्रतिमरीत्या	əpɾət̪ɪmɾiːt̪jə
अप्रत्यक्ष	əpɾəɭjəkʂ
अप्रत्यक्षपणे	əpɾəɭjəkʂəpəɳe
अप्रत्यक्षरित्या	əpɾəɭjəksɾɪt̪jɑ
अप्रत्यक्षरीत्या	əpɾəʈɕɾiːt̪jə
अप्रदर्शित	əpɾəɖəɾʃɪt̪
अप्रूप	əpɾuːp
अप्लाय	əpɭəj
अप्सरा	əpsɾə
अफगाणिस्तान	əpgaɳiːsʈɑn
अफगाणिस्तानकडून	əɸəgaːɳiːsʈaːŋkəɳuː
