一下咬指甲	liam˨˦mi˥˥ka˧˧tsiŋ˥˧kaʔ˨
我對車子很在行	ɡua˥˧tui˨˩kʰi˨˩tsʰia˥˥tsin˥˥lai˧˧haŋ˨˦
我就感到非常生氣	ɡua˥˧to˧˧hue˥˧tua˧˧
我已經支撐不住了	ɡua˥˧i˥˧kiŋ˥˥tsi˥˥tsʰi˨˦be˧˧tiau˨˦aʔ˨
我已經答應人家了	ɡua˥˧to˥˥in˥˧laŋ˨˦aʔ˨
我希望你們支持我	ɡua˥˧hi˥˥baŋ˧˧lin˥˧ka˧˧ɡua˥˧tsi˥˥tsʰi˨˦
我常常去圖書館查資料	ɡua˥˧su˨˩sioŋ˨˦kʰi˨˩tɔ˨˦su˥˥kuan˥˧tsʰa˨˦tsu˥˥liau˧˧
我弟弟最愛看丑角表演	ɡuan˥˧sio˥˧ti˧˧sioŋ˧˧ai˨˩kʰũã˨˩tʰiu˥˧a˥˧piau˥˧ian˥˧
我很討厭別人干預我的事	ɡua˥˧tsin˥˥tʰo˥˧ia˨˩pat˦laŋ˨˦kan˥˥siap˦ɡua˥˧e˨˦tai˧˧tsi˨˩
我很高興來到貴寶地。這句話也是走江湖的開場白	sio˥˧ti˧˧tsin˥˥hũã˥˥hi˥˧lai˨˦kau˨˩kui˨˩po˥˧te˧˧
我忘了寫作業	ɡua˥˧be˧˧ki˨˩tit˨sia˥˧koŋ˥˥kʰo˨˩
我忽然覺得手腳痠軟	ɡua˥˧hioŋ˨˦hioŋ˨˦kam˥˧kak˨kʰa˥˥sŋ˥˥tsʰiu˥˧nńg1
我想要趕快將你娶進門	ɡua˥˧sĩũ˧˧beʔ˨kũã˥˧kin˥˧ka˧˧li˥˧tsʰua˧˧dzip˦mŋ˥˥
我手掌的握力不夠	ɡua˥˧tsʰiu˥˧bue˥˧lat˦bo˨˦kau˨˩
我才不相信你說的話	ɡua˥˧tsiaʔ˨bo˨˦beʔ˨sioŋ˥˥sin˨˩li˥˧koŋ˥˧e˨˦ue˧˧
我才剛剛入門	ɡua˥˧tu˥˧dzip˦mŋ˥˥
我才剛剛進門而已	ɡua˥˧tã˥˥a˥˧tsiaʔ˨dzip˦mŋ˥˥nia˧˧nia˧˧
我才會打他	ɡua˥˧tsiaʔ˨e˧˧ka˧˧i˥˥pʰaʔ˨
我挑選的人都是很優秀的	ɡua˥˧kiŋ˥˧e˨˦laŋ˨˦loŋ˥˧si˧˧dzin˨˦dzin˨˦dzin˨˦e˨˦
我放在桌上的文件是誰拿走了	ɡua˥˧khǹg1ti˧˧toʔ˨tiŋ˥˧e˨˦bun˨˦kĩã˧˧si˧˧sĩã˥˧laŋ˨˦tʰeʔ˦kʰi˨˩
我整晚翻來覆去睡不著	ɡua˥˧kui˥˥me˨˦piŋ˥˧lai˨˦piŋ˥˧kʰi˨˩kʰun˨˩be˧˧kʰi˨˩
我明天要請半天假	ɡua˥˧bin˨˦a˥˧tsai˨˩beʔ˨tsʰiŋ˥˧pũã˨˩kaŋ˥˥e˨˦ka˥˧
我是外地搬來的	ɡua˥˧si˧˧ɡua˧˧ui˧˧pũã˥˥lai˨˦e˨˦
我是特別來看你的	ɡua˥˧si˧˧tiau˥˥ti˨˦lai˨˦kʰũã˨˩li˥˧e˨˦
我會加倍還給你	ɡua˥˧e˧˧ka˥˥pue˧˧hiŋ˨˦li˥˧
我會很難過	ɡua˥˧e˧˧tsin˥˥m˥˥kam˥˥
我會這樣做都是不得已的	ɡua˥˧e˧˧an˥˧ne˥˥tso˨˩loŋ˥˧si˧˧put˨tik˨i˥˧e˨˦
我月初要繳房租	ɡua˥˧ɡueʔ˦tʰau˨˦ai˨˩lap˦tsʰu˨˩sue˨˩tsĩ˨˦
我有一雙蘿蔔腿	ɡua˥˧u˧˧tsit˦siaŋ˥˥tua˧˧kʰa˥˥taŋ˨˦
我沒時間去買禮物	ɡua˥˧bo˨˦si˨˦kan˥˥tʰaŋ˥˥kʰi˨˩be˥˧le˥˧but˦
我沒有多餘的時間跟你聊天	ɡua˥˧bo˨˦hit˨lo˧˧iŋ˨˦kaŋ˥˥kaʔ˨li˥˧kʰai˥˥kaŋ˥˧
我爺爺七十歲生日的時候	ɡuan˥˧a˥˥koŋ˥˥tsʰit˨tsap˦hue˨˩tua˧˧siu˧˧e˨˦si˨˦tsun˧˧
我爺爺拿了耙子要去整理菜園	ɡuan˥˧a˥˥koŋ˥˥ɡiaʔ˦dziau˥˧a˥˧beʔ˨kʰi˨˩tsiŋ˥˧li˥˧tsʰai˨˩hŋ˥˥
我爺爺玩股票賠光了錢	ɡuan˥˧a˥˥koŋ˥˥sńg1kɔ˥˧pʰio˨˩su˥˥liau˥˧liau˥˧
我爺爺的書房裡有很多古書	ɡuan˥˧a˥˥koŋ˥˥e˨˦tsʰeʔ˨paŋ˨˦lai˧˧te˥˧u˧˧tsin˥˥tse˧˧kɔ˥˧tsʰeʔ˨
我用人格跟你保證	ɡua˥˧ioŋ˧˧dzin˨˦keʔ˨ka˧˧li˥˧po˥˧tsiŋ˨˩
我的妻子回娘家去了	ɡuan˥˧bɔ˥˧tńg1kʰi˨˩ɡua˧˧ke˥˥aʔ˨
我的岳母明天要來	ɡuan˥˧tĩũ˧˧ḿ1bin˨˦a˥˧tsai˨˩beʔ˨lai˨˦
我的岳父明天要北上到臺北	ɡuan˥˧tĩũ˧˧laŋ˨˦bin˨˦a˥˧tsai˨˩beʔ˨kʰi˥˧lai˨˦tai˨˦pak˨
我的工作很多	ɡua˥˧e˨˦kʰaŋ˥˥kʰue˨˩tsiok˨tse˧˧e˨˦
我的心肝寶貝	ɡua˥˧sim˥˥kũã˥˥a˥˧kĩã˥˧e˨˦
我的胸口正在痛	ɡua˥˧e˨˦sim˥˥kũã˥˥kʰut˨a˥˧tŋ˥˥teʔ˨tʰĩã˨˩
我的腳底長一顆水泡	ɡua˥˧kʰa˥˥te˥˧sẽ˥˥tsit˦liap˦tsui˥˧pʰa˧˧
我的衣服最喜歡由他來縫製	ɡua˥˧e˨˦sã˥˥sioŋ˧˧ai˨˩hɔ˧˧i˥˥tso˨˩
我看他做的壞事不只這樣而已	ɡua˥˧kʰũã˨˩i˥˥tso˨˩e˨˦pʰãĩ˥˧tai˧˧tsi˨˩m˥˥na˧˧an˥˧ne˥˥nia˧˧nia˧˧
我看你去找其他人比較好	ɡua˥˧kʰũã˨˩li˥˧kʰi˨˩tsʰue˧˧pat˦laŋ˨˦kʰaʔ˨ho˥˧
我看你還是再找一個人跟你去好了	ɡua˥˧kʰũã˨˩li˥˧koʔ˨tsʰue˧˧tsit˦e˨˦laŋ˨˦kaʔ˨li˥˧kʰi˨˩ho˥˧aʔ˨
我真不甘心	ɡua˥˧tsĩã˨˦m˥˥ɡuan˧˧
我等你老半天了	ɡua˥˧tan˥˧li˥˧kui˥˥pũã˨˩pɔ˥˥aʔ˨
我給你一個月的時間	ɡua˥˧han˧˧li˥˧tsit˦ɡueʔ˦dzit˦i˥˧lai˧˧
我給你一個面子	ɡua˥˧hɔ˧˧li˥˧tsit˦e˨˦bin˧˧tsu˥˧
我胃痛又發作了	ɡua˥˧ui˧˧tʰĩã˨˩koʔ˨ɡia˨˦kʰi˥˧lai˨˦aʔ˨
我若沒有提醒你	ɡua˥˧na˧˧bo˨˦tʰe˨˦tsʰẽ˥˧
我若緊張就會口吃	ɡua˥˧na˧˧kin˥˧tĩũ˥˥to˧˧e˧˧tua˧˧tsiʔ˦
我被蚊子叮到	ɡua˥˧hɔ˧˧baŋ˥˧a˥˧tiŋ˨˩tioʔ˨
我要去買一本小筆記本回來記帳	ɡua˥˧beʔ˨kʰi˨˩be˥˧tsit˦pun˥˧tsʰiu˥˧tsiʔ˨pʰɔ˧˧a˥˧tńg1lai˨˦ki˨˩siau˨˩
我要回去了	ɡua˥˧beʔ˨tńg1kʰi˨˩aʔ˨
我要往那個方向去才能找到這項物品	ɡua˥˧ai˨˩tui˨˩to˥˧tsit˦hoŋ˥˥bin˧˧kʰi˨˩tsiaʔ˨tsʰue˧˧e˧˧tioʔ˨tsit˨haŋ˧˧miʔ˦kĩã˧˧
我要準備下山了	ɡua˥˧beʔ˨tsun˥˧pi˧˧ha˧˧san˥˥aʔ˨
我要讓他難堪	ɡua˥˧beʔ˨hɔ˧˧i˥˥pʰãĩ˥˧kʰũã˨˩
我要走運了	ɡua˥˧beʔ˨tsʰut˨un˧˧aʔ˨
我覺得野豬肉比較好吃	ɡua˥˧kam˥˧kak˨sũã˥˥ti˥˥a˥˧baʔ˨kʰaʔ˨ho˥˧tsiaʔ˦
我認為我們應該堅持到底	ɡua˥˧tsu˥˧tĩũ˥˥lan˥˧ai˨˩kian˥˥tsʰi˨˦kau˨˩te˥˧
我走到半路就遇見他了	ɡua˥˧kĩã˨˦kau˨˩tioŋ˥˥tɔ˨˦to˧˧tu˥˧tioʔ˨i˥˥aʔ˨
我這件衣服的裡子破掉了	ɡua˥˧tsit˨nia˥˧sã˥˥e˨˦lai˧˧li˥˧pʰua˨˩kʰi˨˩aʔ˨
我這裡有一些古書可以借給你	ɡua˥˧tsia˥˥u˧˧tsit˦kua˥˧kɔ˥˧tsu˥˥e˧˧iŋ˧˧tit˨tsioʔ˨li˥˧
我還沒吃飯	ɡua˥˧iau˥˧bue˧˧tsiaʔ˦pŋ˥˥
我都可以看到五彩繽紛的燈光閃爍不停	ɡua˥˧loŋ˥˧u˧˧kʰũã˨˩tioʔ˨ŋɔ˥˧tsʰai˥˧e˨˦tiŋ˥˥hue˥˧siam˥˧siam˥˧siʔ˨siʔ˨
我馬上來	ɡua˥˧sui˨˦lai˨˦
戲院五點才能進場	hi˨˩hŋ˥˥ɡɔ˧˧tiam˥˧tsiaʔ˨e˧˧sai˥˧dzip˦tĩũ˨˦
房子是祖父遺留下來的	tsʰu˨˩si˧˧a˥˥koŋ˥˥e˨˦tsʰiu˥˧bue˥˧paŋ˨˩loʔ˨lai˨˦e˨˦
所以下午就請假回家	sɔ˥˧i˥˧e˧˧pɔ˥˥to˧˧tsʰiŋ˥˧ka˥˧tńg1kʰi˨˩
所以我沒有要參加	sɔ˥˧i˥˧ɡua˥˧bo˨˦beʔ˨tsʰam˥˥ka˥˥
所以才會被老師罵	m˥˥tsiaʔ˨e˧˧hɔ˧˧lau˧˧su˥˥me˧˧
所以才要請他來幫忙	m˥˥tsiaʔ˨ai˨˩tsʰĩã˥˧i˥˥lai˨˦tau˨˩sã˥˥kaŋ˧˧
所以比較容易得罪別人	m˥˥tsiaʔ˨kʰaʔ˨e˧˧kʰi˨˩tik˨sit˨laŋ˨˦
所以沒有到班	tsiaʔ˨e˧˧bo˨˦lai˨˦sioŋ˧˧pan˥˥
手勢不太對	tsʰiu˥˧se˨˩bo˨˦sĩã˥˧tioʔ˨
手工精緻	tsʰiu˥˧lɔ˧˧tsin˥˥iu˨˩
手帕	tsʰiu˥˧kin˥˥a˥˧
手毛	tsʰiu˥˧mɔ˨˦
手頭現金很多	tsʰiu˥˧bin˧˧tsin˥˥tua˧˧
手黑黑的去摸牆壁會有手印	tsʰiu˥˧ɔ˥˥ɔ˥˥kʰi˨˩boŋ˥˥piaʔ˨e˧˧u˧˧tsʰiu˥˧hun˨˦
才不會傳染給別人	tsiaʔ˨be˧˧kʰi˨˩ka˧˧laŋ˨˦ue˨˩tioʔ˨
才不會老是覺得煩悶	kʰaʔ˨be˧˧sim˥˥bun˧˧
才不會虧本	tsiaʔ˨be˧˧liau˥˧pun˥˧
才不會被火花噴到	m˥˥tʰaŋ˥˥kʰi˨˩hɔ˧˧hue˥˧tsʰẽ˥˥pʰun˨˩tioʔ˨
才幹，姿態	bin˧˧tsui˥˧
才會成功	tsiaʔ˨e˧˧siŋ˨˦koŋ˥˥
才會有出人頭地的一天	tsiaʔ˨u˧˧tsʰut˨tʰau˨˦e˨˦tsit˦dzit˦
才會有出人頭地的那一天	tsiaʔ˨e˧˧tsʰut˨tʰau˨˦tʰĩ˥˥
才會有出息	tsiaʔ˨e˧˧u˧˧tsʰut˨tʰuat˨
才會遭到報應	tsiaʔ˨e˧˧siu˧˧tioʔ˨po˨˩iŋ˨˩
才沒約你	m˥˥tsiaʔ˨bo˨˦ka˧˧li˥˧tsio˥˥
扒飯	pe˥˥pŋ˥˥
打三下	pʰaʔ˨sã˥˥e˧˧
打叉做記號	pʰaʔ˨tsʰe˥˥tso˨˩ki˨˩ho˧˧
打定主意	sim˥˥tʰau˨˦liaʔ˦hɔ˧˧i˥˥tĩã˧˧
打點滴、靜脈注射	tsu˨˩tua˧˧taŋ˨˦e˨˦
把你打到求饒	pʰaʔ˨kaʔ˨hɔ˧˧li˥˧kio˨˩m˥˥kã˥˧
把我的錢拿去賭博輸光光	ka˧˧ɡua˥˧e˨˦tsĩ˨˦tʰeʔ˦kʰi˨˩puaʔ˦kiau˥˧su˥˥liau˥˧liau˥˧
把欠的錢還完	ka˧˧kʰiam˨˩e˨˦tsĩ˨˦hiŋ˨˦liau˥˧
把被子裝進被套裡	dzip˦pʰue˧˧
把這塊田地承租下來耕作	ka˧˧tsit˨te˨˩tsʰan˨˦pau˥˥pak˦loʔ˨lai˨˦tsiŋ˨˩tsoʔ˨
把食物或其他東西端上桌	tsĩũ˧˧toʔ˨
抬貨	ɡia˨˦hue˨˩
抽屜卡住了	tʰuaʔ˨a˥˧kʰaʔ˦tiau˨˦leʔ˨
拜天地	pai˨˩tʰĩ˥˥te˧˧
拜託他就沒錯	pai˨˩tʰok˨i˥˥to˧˧bo˨˦m˥˥tioʔ˨
拜託別人代為寫信	iaŋ˥˥laŋ˨˦sia˥˧pʰue˥˥
指嘴巴大的人比較有口福	kʰuaʔ˨tsʰui˨˩tsiaʔ˦si˨˩hŋ˥˥
按預先講好的來做	tsiau˨˩pʰin˥˧tsiau˨˩kĩã˨˦
捨不得買來吃	be˧˧tsʰut˨tit˨be˥˧lai˨˦tsiaʔ˦
掌管各項漁業資源調查、開發、漁業養殖技術等業務的中央政府機關	tsui˥˧san˥˧tsʰi˨˩ɡiam˧˧sɔ˥˧
掐別人的脖子	tsʰe˥˥laŋ˨˦e˨˦am˧˧kun˥˧
提不起來	kũã˧˧be˧˧kʰi˥˧lai˨˦
搶購熱烈	tsʰĩũ˥˧tsʰi˧˧
撐開他的嘴才能夠灌藥	tsʰui˨˩ka˧˧kiŋ˥˥kʰui˥˥tsiaʔ˨e˧˧taŋ˨˩kuan˨˩ioʔ˨a˥˧
擁有良田美地，不如養育上進乖巧的好子孫	ho˥˧tsʰan˨˦te˧˧put˨dzu˨˦ho˥˧tsu˥˧te˧˧
收入	siu˥˥dzip˦
改天我們再一起吃飯	liŋ˧˧dzit˦lan˥˧tsiaʔ˨tso˨˩hue˥˧tsiaʔ˦pŋ˥˥
攻打	koŋ˥˥tã˥˧
故意	tiau˥˥kaŋ˥˥
故意	tiau˥˥kɔ˨˩i˨˩
教子有方	kau˨˩tsu˥˧iu˥˧hoŋ˥˥
整個社會充滿了快樂的氣氛	kui˥˥e˨˦sia˧˧hue˧˧tsʰioŋ˥˥buan˥˧kʰuai˨˩lok˨e˨˦kʰi˨˩hun˥˥
整天忙得像陀螺	kui˥˥dzit˦bo˨˦iŋ˨˦kaʔ˨na˥˧kan˥˥lok˨leʔ˨
整間屋子靜悄悄的	kui˥˥kiŋ˥˥tsʰu˨˩tiam˧˧tiam˧˧bo˨˦sĩã˥˥
文化中心	bun˨˦hua˨˩tioŋ˥˥sim˥˥
文言與白話交雜	puan˨˩bun˨˦puan˨˩peʔ˦
新店溪以南	sin˥˥tiam˨˩kʰe˥˥i˥˧lam˨˦
新死者、剛過世的人	sin˥˥boŋ˨˦
新的一年剛剛開始	sin˥˥tsĩã˥˥ni˨˦tʰau˨˦
施放煙火的時候要小心	paŋ˨˩ian˥˥hue˥˧e˨˦si˨˦tsun˧˧ai˨˩tsu˨˩i˨˩
旁邊	pĩ˥˥a˥˧
日月	dzit˦ɡuat˦
日月潭是一個很有名的風景區	dzit˦ɡuat˦tʰam˨˦si˧˧tsit˦e˨˦tsin˥˥tsʰut˨mia˨˦e˨˦hoŋ˥˥kiŋ˥˧kʰu˥˥
日本人	a˥˥pun˥˧a˥˧
早上五點至七點	bau˥˧si˨˦
早上去比較不會熱	e˥˥tsai˥˧a˥˧kʰi˨˩kʰaʔ˨be˧˧dzuaʔ˦
早期在家裡	kʰaʔ˨tsa˥˧tiam˨˩tsʰu˨˩lai˧˧
旱地或指山很多的地區	sũã˥˥te˧˧
旱田	sũã˥˥hŋ˥˥
明天以前必須把事情處理好	bin˨˦a˥˧tsai˨˩i˥˧tsiŋ˨˦ai˨˩ka˧˧tai˧˧tsi˨˩tso˨˩hɔ˧˧i˥˥ho˥˧se˨˩
明天晚上會停電	bin˨˦a˥˧am˨˩e˧˧tʰiŋ˨˦tian˧˧
明明都說好了	biŋ˨˦biŋ˨˦to˥˥koŋ˥˧ho˥˧aʔ˨
星期日要大掃除	le˥˧pai˨˩beʔ˨tua˧˧pĩã˨˩sau˨˩
昨夜我很難入眠	tsa˥˥me˨˦ɡua˥˧tsin˥˥pʰãĩ˥˧kʰun˨˩
昨天他的病情明明有比較好了	i˥˥tsa˥˥hŋ˥˥to˥˥u˧˧kʰaʔ˨ho˥˧aʔ˨
是一萬還是一塊錢	tsit˦kʰɔ˥˥si˧˧tua˧˧kʰɔ˥˥iaʔ˦se˨˩kʰɔ˥˥
是你不嫌棄啦	si˧˧li˥˧m˥˥kam˥˥hiam˨˦laʔ˨
是誰答應你這件事情的	si˧˧sĩã˥˧laŋ˨˦in˥˧li˥˧tsit˨kĩã˧˧tai˧˧tsi˨˩e˨˦
時代	si˨˦tai˧˧
時令	si˨˦liŋ˧˧
時間一久你就會忘記了	li˥˧ku˥˧lai˨˦to˧˧e˧˧be˧˧ki˨˩tit˨aʔ˨
時間已經不早	tʰĩ˥˥sik˨i˥˧kiŋ˥˥bo˨˦tsa˥˧
時間過得真快	dzit˦tsi˥˧kue˨˩liau˥˧tsin˥˥kin˥˧
時間還很充足	si˨˦kan˥˥koʔ˨tsin˥˥lioŋ˧˧
時間還早	tsʰit˨tsa˥˧peʔ˨tsa˥˧
晚上十一點至第二天凌晨一點	tsu˥˧si˨˦
晚上坐在窗邊	am˨˩si˨˦tse˧˧ti˧˧tʰaŋ˥˥a˥˧mŋ˥˥pĩ˥˥
書店	tsʰeʔ˨tiam˨˩
書要用布巾包著	tsʰeʔ˨ai˨˩iŋ˧˧kin˥˥a˥˧pau˥˥leʔ˨
最好	sioŋ˧˧ho˥˧
最好	sioŋ˧˧kai˨˩ho˥˧
最漂亮	sioŋ˧˧kai˨˩sui˥˧
最近卻為了生意的事情不合	kin˧˧lai˨˦suaʔ˨ui˧˧tioʔ˨siŋ˥˥li˥˧e˨˦tai˧˧tsi˨˩huan˥˧bok˨
最近手頭比較寬裕	tsue˨˩kin˧˧tsʰiu˥˧tʰau˨˦kʰaʔ˨liŋ˧˧
最近都在忙些什麼	kin˧˧lai˨˦loŋ˥˧teʔ˨bo˨˦iŋ˨˦sĩãʔ˨
會很不光彩	e˧˧tsin˥˥pʰãĩ˥˧tʰĩã˥˥
月亮	ɡueʔ˦niu˨˦
月刊	ɡueʔ˦kʰan˥˥
月形如眉	ɡueʔ˦bai˨˦i˨˩
月琴	ɡueʔ˦kʰim˨˦
月餅	ɡueʔ˦pĩã˥˧
有Y字型開叉竹竿的樹椏	tik˨ko˥˥tsʰe˥˥
有一次	u˧˧tsit˦tau˥˧
有也好	u˧˧ia˧˧ho˥˧
有事情隨時都能來找我	u˧˧tai˧˧tsi˨˩put˨kuan˥˧si˨˦loŋ˥˧e˧˧sai˥˧lai˨˦tsʰue˧˧ɡua˥˧
有人在敲門	u˧˧laŋ˨˦teʔ˨kio˨˩mŋ˥˥
有人說會成為夫妻是因為上輩子互相欠債	laŋ˨˦koŋ˥˧e˧˧tso˨˩aŋ˥˥a˥˧bɔ˥˧si˧˧tiŋ˥˧si˨˩laŋ˨˦sio˥˥kʰiam˨˩tse˨˩
有什麼好囂張的	u˧˧sĩã˥˧miʔ˨ho˥˧hiau˥˥pai˥˥e˨˦
有其他人要來嗎	kam˥˧koʔ˨u˧˧liŋ˧˧ɡua˧˧e˨˦laŋ˨˦beʔ˨lai˨˦
有其父必有其子	iu˥˧ki˨˦hu˧˧pit˨iu˥˧ki˨˦tsu˥˧
有包內餡的是包子	u˧˧pau˥˥ã˧˧e˨˦si˧˧pau˥˥a˥˧
有去無回	u˧˧kʰi˨˩bo˨˦hue˨˦
有口無心	u˧˧tsʰui˨˩bo˨˦sim˥˥
有地位有名望的人	tua˧˧dzin˨˦but˦
有很多生意人備牲祭拜土地公和孤魂野鬼	u˧˧tsin˥˥tse˧˧siŋ˥˥li˥˧laŋ˨˦tso˨˩ɡe˨˦
有志氣而勇敢剛毅的男子	tai˧˧tioŋ˧˧hu˥˥
有押韻	u˧˧tau˨˩ku˨˩
有的沒有的事情	ɡɔ˧˧si˨˩sã˥˥
有空酒瓶或者用過的壞器具、紙張可以回收利用的東西要賣嗎？摘自民間歌謠	u˧˧tsiu˥˧kan,1tʰaŋ˥˥be˧˧bo,5pʰãĩ˥˧taŋ˨˦ku˧˧siaʔ˨pʰɔ˧˧a˥˧tsua˥˧tʰaŋ˥˥be˧˧bo˨˦
有緣份才可以成為夫妻	u˧˧ian˨˦tsiaʔ˨e˧˧taŋ˨˩tso˨˩hu˥˥tsʰe˥˥
有這種可能	u˧˧tsit˨kʰuan˥˧kʰo˥˧liŋ˨˦
朋友	piŋ˨˦iu˥˧
服務費包含在裡面	hok˨bu˧˧hui˨˩pau˥˥tsai˧˧lai˧˧
木匠	tso˨˩bak˦e˨˦
木字旁	bok˨dzi˧˧piŋ˨˦
木工	bak˦kaŋ˥˥
木本	bok˨pun˥˧
木材	bok˨tsai˨˦
未來社會會變怎樣	bi˧˧lai˨˦sia˧˧hue˧˧e˧˧pian˨˩an˥˧tsũã˥˧
未免	bi˧˧bian˥˧
未滿二十歲	bi˧˧buan˥˧dzi˧˧tsap˦hue˨˩
末梢	bue˥˧a˥˧
本事、能力	tsai˨˦tiau˧˧
本人	pun˥˧laŋ˨˦
本名	pun˥˧mia˨˦
本土	pun˥˧tʰɔ˥˧
本年度	pun˥˧ni˨˦tɔ˧˧
本錢	pun˥˧tsĩ˨˦
李兄	li˥˧hĩã˥˥
村莊裡頭請戲班子來演戲的錢都是大家一起分攤的	tsŋ˥˥tʰau˨˦tso˨˩hi˨˩e˨˦tsĩ˨˦loŋ˥˧si˧˧kui˥˥tsŋ˥˥tʰau˨˦koŋ˥˥kʰui˥˥e˨˦
東方	taŋ˥˥hoŋ˥˥
東西不要撒得滿地都是	miʔ˦kĩã˧˧m˥˥tʰaŋ˥˥ia˧˧kaʔ˨tsit˦si˨˩ke˨˩
東西攢在他手裡	miʔ˦kĩã˧˧lak˦ti˧˧i˥˥e˨˦tsʰiu˥˧te˥˧
東西收在抽屜下面	miʔ˦kĩã˧˧siu˥˥ti˧˧tʰuaʔ˨a˥˧e˧˧te˥˧
東西沒地方放	miʔ˦kĩã˧˧bo˨˦ui˧˧tʰaŋ˥˥he˧˧
東西買中古的比較便宜	miʔ˦kĩã˧˧be˥˧dzi˧˧tsʰiu˥˧e˨˦kʰaʔ˨siok˨
東西還好好的你就不要了	miʔ˦kĩã˧˧iau˥˧koʔ˨ho˥˧ho˥˧li˥˧to˧˧m˥˥tiʔ˦aʔ˨
東邊	taŋ˥˥piŋ˨˦
林宅	lim˨˦koŋ˥˥kuan˥˧
校長叫他去校長室	hau˧˧tĩũ˥˧kio˨˩i˥˥kʰi˨˩hau˧˧tĩũ˥˧sik˨
根本	kin˥˥pun˥˧
棋子	ki˨˦dzi˥˧
樹木	tsʰiu˧˧bak˦
樹木全部燒光了	tsʰiu˧˧a˥˧loŋ˥˧sio˥˥liau˥˧liau˥˧
機械修護工人	ɔ˥˥tsʰiu˥˧
歡樂的時光是很美好可貴的	tsʰun˥˥siau˥˥it˨kʰik˨tit˦tsʰian˥˥kim˥˥
止痛	tsi˥˧tʰĩã˨˩
死命地跑	he˧˧sẽ˨˩mia˧˧tsau˥˧
死後一定會上天堂	si˥˧liau˥˧au˧˧it˨tiŋ˧˧e˧˧tsĩũ˧˧tʰian˥˥toŋ˨˦
死心	si˥˧sim˥˥
死棋	oŋ˨˦kian˨˩oŋ˨˦
毀於一旦	hui˥˧i˨˦it˨tan˨˩
母親想念在當兵的兒子	lau˧˧bu˥˧sim˥˥bun˧˧teʔ˨tso˨˩piŋ˥˥e˨˦kĩã˥˧
每個人都很喜歡可愛的動物	tak˦e˨˦laŋ˨˦loŋ˥˧tsĩã˨˦kaʔ˨i˨˩kʰo˥˧ai˨˩e˨˦toŋ˧˧but˦
每個人都有自己的想法	kok˨laŋ˨˦u˧˧kok˨laŋ˨˦e˨˦sim˥˥i˨˩
每個字都寫得很端正	tak˦dzi˧˧to˥˥sia˥˧kaʔ˨tsin˥˥si˨˩tsĩã˨˩
每個小孩都是父母的心肝寶貝	tak˦e˨˦ɡin˥˧a˥˧loŋ˥˧si˧˧pe˧˧bu˥˧e˨˦sim˥˥kũã˥˥a˥˧po˥˧pue˨˩
每樣東西都要吃	tak˦haŋ˧˧miʔ˦kĩã˧˧loŋ˥˧ai˨˩tsiaʔ˦
比力氣	pi˥˧kʰui˨˩lat˦
比喻家喻戶曉	mia˨˦sĩã˥˥tʰaŋ˨˩su˨˩hai˥˧
比喻走霉運	un˧˧tɔ˨˦kĩã˨˦ti˧˧bau˥˧dzi˧˧
比喻頑固嘴硬的人	tʰiʔ˨kʰi˥˧taŋ˨˦ɡe˨˦tso˨˦
比才能	pi˥˧tsai˨˦liŋ˨˦
比數差這麼多	pi˥˧sɔ˨˩tsʰa˥˥hiaʔ˨tse˧˧
比方說他若跟你借錢	pi˥˧lun˧˧koŋ˥˧i˥˥na˧˧ka˧˧li˥˧tsioʔ˨tsĩ˨˦
比武招親是歌仔戲才有的把戲	pi˥˧bu˥˧tsio˥˥tsʰin˥˥si˧˧kua˥˥a˥˧hi˨˩tsiaʔ˨u˧˧e˨˦tsʰut˨tʰau˨˦
比賽有贏有輸沒有一個定數	pi˥˧sai˨˩e˧˧ĩã˨˦e˧˧su˥˥bo˨˦pau˥˥un˥˧e˨˦
毛巾	bin˧˧kin˥˥
毛毛雨	hɔ˧˧mŋ˥˥a˥˧
毛遂	mɔ˨˦sui˧˧
毛髮的邊際要修一修嗎	mŋ˥˥kʰa˥˥beʔ˨siu˥˥bo˨˦
氏族	si˧˧tsok˨
氣得說不出話來	kʰi˨˩tsit˦e˧˧be˧˧koŋ˥˧ue˧˧
氣虛	tan˥˥tian˨˦bo˨˦lat˦
氣象報告說今天會有大浪	kʰi˨˩sioŋ˧˧po˨˩ko˨˩koŋ˥˧kin˥˥a˥˧dzit˦u˧˧tua˧˧iŋ˥˧
水井	tsui˥˧tsẽ˥˧
水果	kue˥˧tsi˥˧
水桶咚的一聲就投進水井內了	kũã˧˧tʰaŋ˥˧a˥˧tom˨˦tsit˦sĩã˥˥to˧˧lak˨dzip˦kʰi˨˩kɔ˥˧tsẽ˥˧lai˧˧aʔ˨
水流量非常大	tsui˥˧tsiok˨tua˧˧kaŋ˥˧
水稻長得很飽滿	tiu˧˧a˥˧kiat˨liau˥˧tsĩã˨˦pa˥˧sui˧˧
水面上	tsui˥˧bin˧˧sioŋ˧˧
求仙	kiu˨˦sian˥˥
求雨	kʰit˨hɔ˧˧
沒得比	be˧˧pi˥˧tit˨
沒惡意	bo˨˦pʰãĩ˥˧i˨˩
沒拿到冠軍真不甘心	bo˨˦tʰeʔ˦tioʔ˨kuan˥˥kun˥˥tsin˥˥m˥˥kam˥˥ɡuan˧˧
沒有也好	bo˨˦ia˧˧ho˥˧
