а	a
авансират	avɐnsirɐt
авансирате	avɐnsirɐtɛ
авансирах	avɐnsirɐx
авансираха	avɐnsirɐxɐ
авансирахме	avɐnsirɐxmɛ
авансирахте	avɐnsirɐxtɛ
авансираш	avɐnsirɐʃ
авансираше	avɐnsirɐʃɛ
авансиращ	avɐnsirɐʃt
авансираща	avɐnsirɐʃtɐ
авансиращата	avɐnsirɐʃtɐtɐ
авансиращи	avɐnsirɐʃti
авансиращите	avɐnsirɐʃtitɛ
авансиращия	avɐnsirɐʃtijɐ
авансиращият	avɐnsirɐʃtijɐt
авансиращо	avɐnsirɐʃto
авансиращото	avɐnsirɐʃtoto
авансов	ɐvansof
авансова	avansovɐ
авансовата	avansovɐtɐ
авансови	avansovi
авансовите	avansovitɛ
авансовия	avansovijɐ
авансовият	avansovijɐt
авансово	avansovo
авансовото	avansovoto
авансцена	ɐvanstsɛnɐ
аванта	ɐvantɐ
авантаджийка	ɐvɐntɐdʒijkɐ
авантаджийски	ɐvantɐdʒijski
авантаджийство	ɐvantɐdʒijstvo
авантаджия	ɐvantɐdʒijɐ
авантаж	ɐvɐntaʃ
авантюра	ɐvɐntʲu̟rɐ
авантюрен	ɐvɐntʲu̟rɛn
авантюризъм	ɐvɐntʲo̟rizɐm
авантюрист	ɐvɐntʲo̟rist
авантюристичен	ɐvɐntʲo̟ristitʃɛn
авантюристически	ɐvɐntʲo̟ristitʃɛski
авантюристична	avɐntʲo̟ristitʃnɐ
авантюристичната	avɐntʲo̟ristitʃnɐtɐ
авантюристични	avɐntʲo̟ristitʃni
авантюристичните	avɐntʲo̟ristitʃnitɛ
авантюристичния	avɐntʲo̟ristitʃnijɐ
авантюристичният	avɐntʲo̟ristitʃnijɐt
авантюристично	avɐntʲo̟ristitʃno
авантюристичното	avɐntʲo̟ristitʃnoto
авантюристка	ɐvɐntʲo̟riskɐ
авар	ɐvar
авариен	avɐriɛn
аварийна	avɐrijnɐ
аварийната	avɐrijnɐtɐ
аварийни	avɐrijni
аварийните	avɐrijnitɛ
аварийния	avɐrijnijɐ
аварийният	avɐrijnijɐt
аварийно	avɐrijno
аварийното	avɐrijnoto
аварин	ɐvarin
авария	ɐvarijɐ
аварка	ɐvarkɐ
аварска	avarskɐ
аварската	avarskɐtɐ
аварски	avarski
аварските	avarskitɛ
аварския	avarskijɐ
аварският	avarskijɐt
аварско	avarsko
аварското	avarskoto
авгиев	avɡiɛf
авгиева	avɡiɛvɐ
авгиевата	avɡiɛvɐtɐ
авгиеви	avɡiɛvi
авгиевите	avɡiɛvitɛ
авгиевия	avɡiɛvijɐ
авгиевият	avɡiɛvijɐt
авгиево	avɡiɛvo
авгиевото	avɡiɛvoto
август	avɡost
августейша	avɡostɛjʃɐ
августейшата	avɡostɛjʃɐtɐ
августейши	avɡostɛjʃi
августейшите	avɡostɛjʃitɛ
августейшия	avɡostɛjʃijɐ
августейшият	avɡostɛjʃijɐt
августейшо	avɡostɛjʃo̟
августейшото	avɡostɛjʃo̟to
августов	avɡostof
августовска	avɡostofskɐ
августовската	avɡostofskɐtɐ
августовски	avɡostofski
августовските	avɡostofskitɛ
августовския	avɡostofskijɐ
августовският	avɡostofskijɐt
августовско	avɡostofsko
августовското	avɡostofskoto
авджи	ɐvdʒi
авджийка	ɐvdʒijkɐ
авджийски	ɐvdʒijski
авджилък	ɐvdʒiɫɤk
авджия	ɐvdʒijɐ
авеню	ɐvɛnʲu̟
авиатор	ɐviator
авиаторка	ɐviatorkɐ
авиаторска	aviatorskɐ
авиаторската	aviatorskɐtɐ
авиаторски	aviatorski
авиаторските	aviatorskitɛ
авиаторския	aviatorskijɐ
авиаторският	aviatorskijɐt
авиаторско	aviatorsko
авиаторското	aviatorskoto
авиаторство	ɐviatorstvo
авиационен	aviɐtsiɔnɛn
авиационна	aviɐtsiɔnnɐ
авиационната	aviɐtsiɔnnɐtɐ
авиационни	aviɐtsiɔnni
авиационните	aviɐtsiɔnnitɛ
авиационния	aviɐtsiɔnnijɐ
авиационният	aviɐtsiɔnnijɐt
авиационно	aviɐtsiɔnno
авиационното	aviɐtsiɔnnoto
авиация	ɐviatsijɐ
авиоас	ɐvioas
авиобомба	aviobɔmbɐ
авиобос	aviobos
авиобранш	aviobrɐnʃ
авиобранш	ɐviobranʃ
авиоджет	aviodʒɛt
авиоклуб	aviokɫop
авион	ɐviɔn
авиони	ɐviɔni
авиопарк	aviopɐrk
авиополк	ɐviopɔɫk
авиоспорт	ɐviospɔrt
авиотакси	aviotɐksi
авиофлот	aviofɫot
авиофлот	ɐviofɫɔt
авитаминоза	avitɐminɔzɐ
авитаминоза	ɐvitɐminɔzɐ
авлига	ɐvliɡɐ
авлия	ɐvlijɐ
авоар	ɐvoar
авокадо	ɐvokado
австралиец	ɐfstrɐliɛts
австралийка	ɐfstrɐlijkɐ
австралийски	ɐfstrɐlijski
австриец	ɐfstriɛts
австрийка	ɐfstrijkɐ
австрийски	ɐfstrijski
автаркия	ɐftarkijɐ
автентичен	ɐftɛntitʃɛn
автентична	aftɛntitʃnɐ
автентичната	aftɛntitʃnɐtɐ
автентични	aftɛntitʃni
автентичните	aftɛntitʃnitɛ
автентичния	aftɛntitʃnijɐ
автентичният	aftɛntitʃnijɐt
автентично	aftɛntitʃno
автентичност	ɐftɛntitʃnost
автентичното	aftɛntitʃnoto
автобаза	aftobazɐ
автобиографичен	ɐftobioɡrɐfitʃɛn
автобиографически	ɐftobioɡrɐfitʃɛski
автобиографично	ɐftobioɡrɐfitʃno
автобиография	ɐftobioɡrafijɐ
автоблокировка	aftobɫokirɔfkɐ
автобус	ɐftobus
автобусен	ɐftobusɛn
автовлак	aftovɫɐk
автогара	aftoɡarɐ
автогол	aftoɡɔɫ
автограф	ɐftoɡraf
автодрезина	aftodrɛzinɐ
автокар	ɐftokar
автокефален	ɐftokɛfalɛn
автокефалност	ɐftokɛfaɫnost
автоклав	ɐftokɫaf
автоклуб	aftokɫop
автоколона	aftokoɫɔnɐ
автокрос	aftokrɔs
автокрос	ɐftokrɔs
автомагистрала	aftomɐɡistraɫɐ
автомагистрален	ɐftomɐɡistralɛn
автомат	ɐftomat
автоматизация	ɐftomɐtizatsijɐ
автоматизирам	ɐftomɐtizirɐm
автоматичен	ɐftomɐtitʃɛn
автоматически	ɐftomɐtitʃɛski
автоматично	ɐftomɐtitʃno
автоматчик	ɐftomattʃik
автомобил	ɐftomobiɫ
автомобилен	ɐftomobilɛn
автомобилист	ɐftomobilist
автомобилистка	ɐftomobiliskɐ
автомобилостроене	ɐftomobiɫostroɛnɛ
автомобилче	ɐftomobiɫtʃɛ
автомотриса	aftomotrisɐ
автономен	aftonɔmɛn
автономист	ɐftonomist
автономия	ɐftonɔmijɐ
автономна	aftonɔmnɐ
автономната	aftonɔmnɐtɐ
автономни	aftonɔmni
автономните	aftonɔmnitɛ
автономния	aftonɔmnijɐ
автономният	aftonɔmnijɐt
автономно	aftonɔmno
автономност	ɐftonɔmnost
автономното	aftonɔmnoto
автопилот	ɐftopiɫɔt
автоплуг	aftopɫok
автоплуг	aftopɫuk
автоплуг	ɐftopɫuk
автопортрет	ɐftoportrɛt
автор	aftor
автореферат	ɐftorɛfɛrat
авторизирам	ɐftorizirɐm
авторитарен	ɐftoritarɛn
авторитаризъм	ɐftoritɐrizɐm
авторитет	ɐftoritɛt
авторитетен	aftoritɛtɛn
авторитетна	aftoritɛtnɐ
авторитетната	aftoritɛtnɐtɐ
авторитетни	aftoritɛtni
авторитетните	aftoritɛtnitɛ
авторитетния	aftoritɛtnijɐ
авторитетният	aftoritɛtnijɐt
авторитетно	aftoritɛtno
авторитетност	ɐftoritɛtnost
авторитетното	aftoritɛtnoto
авторка	aftorkɐ
авторски	aftorski
авторство	aftorstvo
автостоп	aftostɔp
автострада	aftostradɐ
автотранспорт	ɐftotrɐnspɔrt
автотранспортен	ɐftotrɐnspɔrtɛn
автохтонен	ɐftoxtɔnɛn
авточаст	ɐftotʃa̟st
ага	ɐɡa
агале	ɐɡalɛ
агалък	ɐɡɐɫɤk
агарянец	ɐɡɐrʲa̟nɛts
агарянин	ɐɡɐrʲa̟nin
агарянка	ɐɡɐrʲa̟ŋkɐ
агарянски	ɐɡɐrʲa̟nski
агент	ɐɡɛnt
агентин	ɐɡɛntin
агентка	ɐɡɛntkɐ
агентпровокаторски	ɐɡɛntprovokatorski
агентство	ɐɡɛnstvo
агентура	ɐɡɛnturɐ
агентурен	ɐɡɛnturɛn
агенция	ɐɡɛntsijɐ
агитатор	ɐɡitator
агитаторка	ɐɡitatorkɐ
агитаторски	ɐɡitatorski
агитационен	ɐɡitɐtsiɔnɛn
агитация	aɡitatsijɐ
агитирам	ɐɡitirɐm
агитка	ɐɡitkɐ
агитпроп	ɐɡitprop
агитпроп	ɐɡitprɔp
агитпропски	ɐɡitprɔpski
агитпропчик	ɐɡitprɔptʃik
агитпункт	ɐɡitpoŋkt
агитпункт	ɐɡitpuŋkt
агиттабло	ɐɡittɐbɫɔ
аглика	ɐɡlikɐ
агне	aɡnɛ
агнец	aɡnɛts
агнец	ɐɡnɛts
агнешки	aɡnɛʃki
агнешко	aɡnɛʃko
агностик	ɐɡnostik
агностици	ɐɡnostitsi
агностицизъм	ɐɡnostitsizɐm
агностичка	ɐɡnostitʃkɐ
агностичката	ɐɡnostitʃkɐtɐ
агностички	ɐɡnostitʃki
агностичките	ɐɡnostitʃkitɛ
агня	aɡnʲɐ
агня	aɡnʲɐsɛ
агонизирам	ɐɡonizirɐm
агония	ɐɡɔnijɐ
агора	ɐɡɔrɐ
агорафобия	ɐɡorɐfɔbijɐ
агорида	ɐɡoridɐ
аграрен	ɐɡrarɛn
агрегат	ɐɡrɛɡat
агрегатен	ɐɡrɛɡatɛn
агрегация	ɐɡrɛɡatsijɐ
агреман	ɐɡrɛman
агресивен	ɐɡrɛsivɛn
агресивност	ɐɡrɛsivnost
агресия	ɐɡrɛsijɐ
агресор	ɐɡrɛsor
агресорка	ɐɡrɛsorkɐ
агрикултура	ɐɡrikoɫturɐ
агрикултурен	ɐɡrikoɫturɛn
агрикултурна	ɐɡrikoɫturnɐ
агрикултурни	ɐɡrikoɫturni
агрикултурно	ɐɡrikoɫturno
агробиолог	aɡrobioɫɔk
агробиологичен	ɐɡrobioɫoɡitʃɛn
агробиологична	ɐɡrobioɫoɡitʃnɐ
агробиологични	ɐɡrobioɫoɡitʃni
агробиологично	ɐɡrobioɫoɡitʃno
агробиология	ɐɡrobioɫɔɡijɐ
агробиоложка	aɡrobioɫɔʃkɐ
агрометеоролог	ɐɡromɛtɛoroɫɔk
агрометеорологичен	ɐɡromɛtɛoroɫoɡitʃɛn
агрометеорологична	ɐɡromɛtɛoroɫoɡitʃnɐ
агрометеорологични	ɐɡromɛtɛoroɫoɡitʃni
агрометеорологично	ɐɡromɛtɛoroɫoɡitʃno
агрометеорология	ɐɡromɛtɛoroɫɔɡijɐ
агрометеороложка	ɐɡromɛtɛoroɫɔʃkɐ
агрометеороложки	ɐɡromɛtɛoroɫɔʃki
агрометеоролози	ɐɡromɛtɛoroɫɔzi
агроном	ɐɡronɔm
агрономичен	ɐɡrnomitʃɛn
агрономически	ɐɡronomitʃɛski
агрономия	ɐɡronɔmijɐ
агрономка	ɐɡronɔmkɐ
агрономска	ɐɡronɔmskɐ
агрономски	ɐɡronɔmski
агрономско	ɐɡronɔmsko
агрономство	ɐɡronɔmstvo
агротехник	ɐɡrotɛxnik
агротехника	ɐɡrotɛxnikɐ
агротехническа	ɐɡrotɛxnitʃɛskɐ
агротехнически	ɐɡrotɛxnitʃɛski
агротехническо	ɐɡrotɛxnitʃɛsko
агротехничка	ɐɡrotɛxnitʃkɐ
агрохимик	aɡroximik
агрохимичка	aɡroximitʃkɐ
агъл	ɐɡɤɫ
агънце	aɡɐntsɛ
ад	at
адажио	ɐdaʒio
адамит	ɐdɐmit
адамитска	ɐdɐmitskɐ
адамитски	ɐdɐmitski
адамитско	ɐdɐmitsko
адамитство	ɐdɐmitstvo
адамов	ɐdamof
адаптационен	ɐdɐptɐtsiɔnɛn
адаптационна	ɐdɐptɐtsiɔnnɐ
адаптационни	ɐdɐptɐtsiɔnni
адаптационно	ɐdɐptɐtsiɔnno
адаптация	ɐdɐptatsijɐ
адаптивен	ɐdɐptivɛn
адаптивна	ɐdɐptivnɐ
адаптивни	ɐdɐptivni
адаптивно	ɐdɐptivno
адаптивност	ɐdɐptivnost
адаптивността	ɐdɐptivnosta
адаптирам	ɐdɐptirɐm
адаш	ɐdaʃ
адвентен	ɐdvɛntɛn
адвентизъм	ɐdvɛntizɐm
адвентист	ɐdvɛntist
адвентистка	ɐdvɛntiskɐ
адвербиален	ɐdvɛrbialɛn
адвербиална	ɐdvɛrbiaɫnɐ
адвербиални	ɐdvɛrbiaɫni
адвербиално	ɐdvɛrbiaɫno
адвокат	ɐdvokat
адвокатин	ɐdvokatin
адвокатка	ɐdvokatkɐ
адвокатлък	ɐdvokɐtɫɤk
адвокатска	ɐdvokatskɐ
адвокатски	ɐdvokatski
адвокатско	ɐdvokatsko
адвокатствам	ɐdvokatstvɐm
адвокатство	ɐdvokatstvo
адвокатствувам	ɐdvokatstvovɐm
адвокатура	ɐvdokɐturɐ
адвокатщина	ɐdvokatʃtinɐ
адекватен	ɐdɛkvatɛn
адекватност	ɐdɛkvatnost
адепт	ɐdɛpt
адепти	ɐdɛpti
адет	ɐdɛt
аджаба	adʒɐbɐ
аджамийка	ɐdʒɐmijkɐ
аджамийски	ɐdʒɐmijski
аджамилък	ɐdʒɐmiɫɤk
аджамилъшки	ɐdʒɐmiɫɤʃki
аджамия	ɐdʒɐmijɐ
аджеба	adʒɛbɐ
аджемийка	ɐdʒɛmijkɐ
аджемийски	ɐdʒɛmijski
аджемилък	ɐdʒɛmiɫɤk
аджемилъшки	ɐdʒɛmiɫɤʃki
аджемия	ɐdʒɛmijɐ
административен	ɐdministrɐtivɛn
администратор	ɐdministrator
администраторка	ɐdministratorkɐ
администраторска	ɐdministratorskɐ
администраторски	ɐdministratorski
администраторско	ɐdministratorsko
администрация	ɐdministratsijɐ
администрирам	ɐdministrirɐm
администриране	ɐdministrirɐnɛ
адмирал	ɐdmiraɫ
адмиралов	ɐdmiraɫof
адмиралова	ɐdmiraɫovɐ
адмиралови	ɐdmiraɫovi
адмиралово	ɐdmiraɫovo
адмиралска	ɐdmiraɫskɐ
адмиралски	ɐdmiraɫski
адмиралско	ɐdmiraɫsko
адмиралство	ɐdmiraɫstvo
адмиралтейска	ɐdmirɐɫtɛjskɐ
адмиралтейски	ɐdmirɐɫtɛjski
адмиралтейско	ɐdmirɐɫtɛjsko
адмиралтейство	ɐdmirɐɫtɛjstvo
адмирации	ɐdmiratsii
адмирация	ɐdmiratsijɐ
адмирирам	ɐdmirirɐm
адмириране	ɐdmirirɐnɛ
адов	adof
адреналин	ɐdrɛnɐlin
адрес	ɐdrɛs
адреса	ɐdrɛsɐ
адресант	ɐdrɛsant
адресанта	ɐdrɛsantɐ
адресанти	ɐdrɛsanti
адресантка	ɐdrɛsantkɐ
адресантки	ɐdrɛsantki
адресат	ɐdrɛsat
адресата	ɐdrɛsatɐ
адресати	ɐdrɛsati
адресатка	ɐdrɛsatkɐ
адресатки	ɐdrɛsatki
адресен	ɐdrɛsɛn
адресира	adrɛsirɐ
адресирай	adrɛsirɐj
адресирайки	adrɛsirɐjki
адресирайте	adrɛsirɐjtɛ
адресирал	adrɛsirɐɫ
адресирала	adrɛsirɐɫɐ
адресиралата	adrɛsirɐɫɐtɐ
адресирали	adrɛsirɐli
адресиралите	adrɛsirɐlitɛ
адресиралия	adrɛsirɐlijɐ
адресиралият	adrɛsirɐlijɐt
адресирало	adrɛsirɐɫo
адресиралото	adrɛsirɐɫoto
адресирам	ɐdrɛsirɐm
адресираме	adrɛsirɐmɛ
адресиран	adrɛsirɐn
адресирана	adrɛsirɐnɐ
адресираната	adrɛsirɐnɐtɐ
адресиране	adrɛsirɐnɛ
адресиранета	adrɛsirɐnɛtɐ
адресиранетата	adrɛsirɐnɛtɐtɐ
адресирането	adrɛsirɐnɛto
адресирани	adrɛsirɐni
адресираните	adrɛsirɐnitɛ
адресирания	adrɛsirɐnijɐ
адресираният	adrɛsirɐnijɐt
адресиранията	adrɛsirɐnijɐtɐ
адресирано	adrɛsirɐno
адресираното	adrɛsirɐnoto
адресират	adrɛsirɐt
адресирате	adrɛsirɐtɛ
адресирах	adrɛsirɐx
адресираха	adrɛsirɐxɐ
адресирахме	adrɛsirɐxmɛ
адресирахте	adrɛsirɐxtɛ
адресираш	adrɛsirɐʃ
адресираше	adrɛsirɐʃɛ
адресиращ	adrɛsirɐʃt
адресираща	adrɛsirɐʃtɐ
адресиращата	adrɛsirɐʃtɐtɐ
адресиращи	adrɛsirɐʃti
адресиращите	adrɛsirɐʃtitɛ
адресиращия	adrɛsirɐʃtijɐ
адресиращият	adrɛsirɐʃtijɐt
адресиращо	adrɛsirɐʃto
адресиращото	adrɛsirɐʃtoto
адресна	ɐdrɛsnɐ
адресни	ɐdrɛsni
адресник	ɐdrɛsnik
адресника	ɐdrɛsnikɐ
адресници	ɐdrɛsnitsi
адресно	ɐdrɛsno
адресувам	ɐdrɛsuvɐm
адресът	ɐdrɛsɐt
адриатически	ɐdriɐtitʃɛski
адски	atski
адсорбент	ɐtsorbɛnt
адсорбирам	ɐtsorbirɐm
адсорбиране	ɐtsorbirɐnɛ
адсорбция	ɐtsɔrptsijɐ
адютант	ɐdʲo̟tant
адютантска	ɐdʲo̟tantskɐ
адютантски	ɐdʲo̟tantski
адютантско	ɐdʲo̟tantsko
аеробика	ɐɛrɔbikɐ
аеробиката	ɐɛrɔbikɐtɐ
аерогара	aɛroɡarɐ
аероклуб	aɛrokɫop
аеролит	ɐɛrolit
аерометър	aɛromɛtɐr
аероплан	ɐɛropɫan
аеропорт	aɛroport
аеропорт	ɐɛropɔrt
аероснимка	aɛrosnimkɐ
аеротакси	aɛrotɐksi
ажур	ɐʒu̟r
аз	as
азалия	ɐzalijɐ
азбест	azbɛst
азбестов	azbɛstof
азбука	azbokɐ
азбучен	azbotʃɛn
азбучник	azbotʃnik
азе	azɛ
азербайджанец	ɐzɛrbɐjdʒa̟nɛts
азербайджанка	ɐzɛrbɐjdʒa̟ŋkɐ
азербайджански	ɐzɛrbɐjdʒa̟nski
азиатец	ɐziatɛts
азиатка	ɐziatkɐ
азиатски	ɐziatski
азот	ɐzɔt
азотен	ɐzɔtɛn
азотист	ɐzotist
