ஃ	ʔ
அடைந்ததால்	əɳɖai̯n̪d̪əɽɑːl
அடைந்தது	ɐɖai̯n̪t̪u
அடைந்ததை	əɖai̯n̪t̪əɾəj
அடைந்தன	ɐɖai̯n̪t̪an̪
அடைந்தனர்	ɑɖɨn̪t̪ɾʌɾ
அடைந்தவர்	əɳɖai̯nʋəɾə
அடைந்தவர்கள்	ɐɖai̯n̪d̪əgaɾi
அடைந்தார்	əɖai̯n̪taːr
அடைந்தாலும்	ɐɖai̯n̪d̪ɐɭɯ
அடைந்தால்	əɳɖai̯n̪ɭɔː
அடைந்திருக்கிறார்	əɖai̯n̪t̪iɾukːiɾɑːr
அடைந்திருக்கும்	ɑɖai̯n̪d̪iɾukːu
அடைந்திருந்த	ɐɖai̯n̪t̪irun̪t̪
அடைந்து	ɐɖai̯n̪u
அடைந்துள்ள	ɐɖai̯n̪uɭ̩
அடைந்துள்ளதாக	əɳɖai̯nulɭɑːgɑ
அடைந்துள்ளதாகவும்	əɖai̯n̪uɭɭəɖɑgum
அடைந்துள்ளது	əɳɖai̯n̪uɭɯɭ
அடைந்துள்ளன	əɖai̯n̪uɭːn̪
அடைந்துள்ளனர்	əɖai̯n̪uɭ̩ɭɯɳɾɐ
அடைந்துள்ளார்	ɐɖai̯n̪uɭɭɑːr
அடைந்துவிட்டதாக	əɖai̯n̪t̪uʋit̪tagɯ
அடைந்துவிட்டேன்	əɳɖai̯n̪ɯviʈːæːn̪
அடைந்தேன்	əɳɖai̯n̪eːn
அடைப்பு	ɐɖɐɪ̯pːɯ
அடைப்பு	əɖaɪpu
அடைப்புப்	ɐɖaɪpː
அடைமொழி	ɐɖɐɪ̯mɔɻi
அடைமொழியுடன்	əɖaimoɻijud̪an
அடைய	əɖaɪ
அடையச்	əɖaɪtɕ
அடையவில்லை	əɖaɪʋɨlːi
அடையாத	əɖaɪaːɖ
அடையாமல்	əɖaɪ̯aːməl
அடையாறில்	əɖaɪɑːɾɪl
அடையாறு	əɖaɪɾuː
அடையாள	əɖaɪjɑːɭ
அடையாளங்கள்	əɖaɪʌːɭəŋgə
அடையாளத்துடன்	əɖaɪjɑːɭːɯ̆ɭ̪ːɯ̆ɳ
அடையாளத்தை	əɖaɪʔɑːɭɑːt̪ɑɪ̯
அடையாளப்படுத்திக்	əɖaɪjɑɭp̚aɭut̪ːik
அடையாளமாக	əɖaɪjɑːlɑːmɑːgɑ
அடையாளமான	əɖaɪɑːɭəmoːnə
அடையாளமே	əɖaɪjɑːlɑːmeː
அடையாளம்	əɖaɪjɑːɭəm
அடையும்	ɐɖɐjʉ̯m
அடைவது	ɐɖaɪ̯v̪u̯d̪o
அடைவார்கள்	əɖaɪʋaːɾkɯ
அட்சரம்	ɐʈsɐɾɐm
அட்ஜஸ்ட்	ɐɖɣɯs̪t̪
அட்டகத்தி	əʈːəgət̪ːi
அட்டகாசமாக	əʈːəgaːsəmaːgɑː
அட்டகாசமான	ɐɖːɐgaːsamaːn̪
அட்டகாசம்	əʈːəgaːsəm
அட்டக்கத்தி	əʈːəkːəɖi
அட்டர்	ɐʈːɐr
அட்டவணை	əʈːəʋəɳaɪ
அட்டவணையில்	əʈːəʋəɳaɪ̯
அட்டவணையை	ɐʈːəʋəɲɐj
அட்டாக்	ɐʈːaːg̊
அட்டை	ɐʈːaɪ̯
அட்டைகளை	ɐʈːaɪɾaɪ
அட்டைகள்	əʈːaɪgai̯
அட்டையால்	əɖːajɑːɭ
அட்டையுடன்	ɐʈːɐjʊʈ̪an
அட்டையை	əʈːai
அட்மிட்	ɑɖmɪɖ̪
அட்மின்	ɑɖmin
அட்ராசிட்டி	ɑɖɾɑːsɪt̪ːi
அட்ரி	əɖɾi
அட்ரியான்	əɖɾiɑːɾiɑːn
அட்லி	ɑɖɭi
அட்லீ	ɑɖliː
அட்லீயின்	ɑɖliːjn̪
அட்லீயுடன்	ɑɖliːʔɯʈan
அட்லீயை	ɐɖliːjɐj
அட்லீஸ்ட்	ɐɖliːs̪t̪
அட்லெடிகோ	ɐɖlɛt̪igo
அட்வான்ஸ்	əɖʋaːns
அட்வைஸ்	əɖʋaɪs
அணங்கு	ɐɳɐŋgɯ
அணாவு	ɐɳaːʋɯ
அணி	ɐɳi
அணி	əɳi
அணிஃ	əɳi
அணிகளாக	əɳikɨɾɑːgɑ
அணிகளான	əɳikɨɾɑːn̪
அணிகளால்	əɳikɨɾɑːɭ
அணிகளிடம்	əɳikɨɾɨɭʈam
அணிகளின்	əɳiɳiɾi
அணிகளிலும்	əɳikɨɾilam
அணிகளில்	əɳikɨɾil
அணிகளுக்காக	əɳikɨrʊkɑːgɑ
அணிகளுக்கான	əɳikʌrukɑːn
அணிகளுக்கிடையே	əɳikʌɾukːiɖaɪe
அணிகளுக்கு	əɳikɨruki
அணிகளுக்குமே	əɳikʌrukumeː
அணிகளுக்கும்	əɳikːʌɾʌkːu
அணிகளுடன்	əɳikʌɾʌʈ̪an
அணிகளுமே	əɳikiruːmɛ
அணிகளும்	əɳikiruʋ
அணிகளே	əɳikɨɾeː
அணிகளை	əɳiɳəɾai
அணிகளைச்	əɳikɨɾɨtʃ
அணிகளையும்	əɳikiriʲə
அணிகள்	əɳiɭəɭ
அணிக்காக	əɳikɑːgɑː
அணிக்காகவும்	əɳikɑːgɑːʋu
அணிக்கான	əɳikːaːn
அணிக்கு	əɳikːu
அணிக்குத்	əɳikːʊt̪
அணிக்குத்தான்	əɳikːʊt̪ːaːn̪
அணிக்கும்	əɳikːum
அணிக்குள்	əɳikɯɭ
அணிக்கெதிரான	əɳikːeːd̪iɾaːn̪
அணிக்கே	əɳikːeː
அணிச்	əɳitɕ
அணிதான்	əɳit̪aːn̪
அணித்	əɳit̪
அணிந்த	əɳint̪
அணிந்தபடி	əɳint̪əpɖi
அணிந்திருக்கும்	əɳint̪iɾukːu
அணிந்திருந்த	əɳint̪uɾiɳt̪ə
அணிந்திருந்தனர்	əɳint̪irʌnt̪uɾɯn̪d̪ɯr
அணிந்திருந்தார்	əɳint̪iɾun̪daːr
அணிந்து	əɳintu
அணிந்துகொண்டு	əɳint̪ugon̪ɳu
அணிந்தும்	əɳintu
அணிந்துள்ள	əɳin̪d̪uɭ̩
அணிந்துள்ளார்	əɳint̪uɭɯːɾɑːr
அணிய	əɳi
அணியா	əɳijə
அணியாக	əɳiɑgɑ
அணியாகவும்	əɳigɑːkum
அணியாகவே	əɳigɐʋeː
அணியாகும்	əɳigaːm
அணியான	əɳijɑːn
அணியானாலும்	əɳijɑːnɑːlʌm
அணியாமல்	əɳijɑːməl
அணியாலும்	əɳijɑːlɯ
அணியால்	əɳijɑːl
அணியிடமிருந்து	əɳigiɖəɾiɳdu
அணியிடமும்	əɳigiɖəm
அணியிடம்	əɳigɨɭɨm
அணியினரால்	əɳiɳəɾaːɭ
அணியினரின்	əɳiɳiɾin
அணியினருக்கு	əɳiɳəɾukːu
அணியினருக்கும்	əɳiɳəɾukːu
அணியினருடன்	əɳiɾiˈnɾud̪əɳ
அணியினரும்	əɳijin̪ːuɾu
அணியினரை	əɳiɳiɾaɪ
அணியினர்	əɳiɳiɾə
அணியின்	əɳiɲ
அணியில	əɳijil
அணியிலிருக்கும்	əɳijilirukum
அணியிலிருந்து	əɳiɾund̪u
அணியிலும்	əɳiɭiɭʌ
அணியிலேயே	əɳijilejɛ
அணியில்	əɳiɲ
அணியில்தான்	əɳijil̪d̪aːn
அணியுடனான	əɳiʏɳɐːn̪ɐ
அணியுடனும்	əɳijud̪an̪um
அணியுடன்	əɳijud̪ːə
அணியுமே	əɳijumeː
அணியும்	əɳijum
அணியே	əɳijɛ
அணியை	əɳijai
அணியைக்	əɳijɨk
அணியைச்	əɳijɪtʃ
அணியைத்	əɳijɨt̪
அணியைப்	əɳijɪp̚
அணியையும்	əɳijəj
அணியைவிட	əɳijəʋiɖ
அணியோ	əɳijoː
அணில்	əɳil
அணிவகு	ɐɳɪʋɐgɯ
அணிவகுத்து	əɳiʋakuʈːu
அணிவது	əɳivɯ
அணிவிக்க	əɳiʋikː
அணிவித்தார்	əɳivɨt̪ːaːr
அணிவித்து	əɳiʋit̪ːu
அணி’	əɳi
அணி”	əɳi
அணு	ɐɳɯ
அணு	əɳu
அணுக	əɳuk
அணுகி	əɳugi
அணுகினார்	əɳugiˈnɑːr
அணுகிய	əɳugi
அணுகியதாகவும்	əɳugijɐdɐguʋu
அணுகியது	əɳugijə
அணுகியுள்ளார்	əɳugijulɨɾɑːr
அணுகு	ɐɳʊgɯ
அணுகுண்டு	əɳugunɖu
அணுகுமுறை	əɳugumruj
அணுகுமுறையால்	əɳukumrujɑːl
அணுகுமுறையை	əɳugumurɐji
அணுகும்	əɳugum
அணுகுவது	əɳuguʋɾɯ
அணுதரிசினி	ɐɳʊd̪ɐɾɪsɪni
அணை	əɳaɪ
அணைகளின்	əɳaɪɾin
அணைகளில்	əɳaɪɾil
அணைகளும்	əɳaɪɾum
அணைகளை	əɳaɪɾaɪ
அணைகள்	əɳaɪlɛː
அணைக்கட்டு	ɐɳɐɪ̯kːɐʈːɯ
அணைக்கு	əɳaɪkːu
அணைத்து	əɳait̪ːu
அணையின்	əɳaɪɳ
அணையிலிருந்து	əɳaiɾɨndu
அணையில்	əɳaɪ̯
அணையை	əɳaɪ
அண்டசராசரம்	ɐɳɖɐsɐɾaːsɐɾɐm
அண்டர்	ɑ̃ɳɖəɾ
அண்டு	ɐɳɖu
அண்டை	əɳɖaɪ
அண்ட்	ɑ̃ɳɖ
அண்ணனிடம்	əɳːəɳiɖəm
அண்ணனின்	əɳːɳi
அண்ணனுக்கு	əɳːn̪uːkːu
அண்ணனும்	əɳːən̪um
அண்ணனை	ɑɳɳəɳai
அண்ணனோட	ɑɳɳɑnɔːɖ
அண்ணன்	əɳːɳ
அண்ணன்கள்	əɳːəŋgəɭ
அண்ணா	ɑɳɳa
அண்ணாசாலை	əɳːaːsaːlaɪ
அண்ணாசாலையில்	əɳːaːsaːlaɪ̯
அண்ணாச்சி	ɐɳːaːtɕːi
அண்ணாச்சி	əɳɳaːtɕːi
அண்ணாதுரை	əɳɳɑːd̪uɾɑj
அண்ணாநகரில்	əɳːaŋkəriɭ
அண்ணாநகர்	əɳːaːngɐr
அண்ணாமலை	əɳːaːmɑːliː
அண்ணாவின்	əɳːaːvi
அண்ணாவும்	əɳːaːʋum
அண்ணி	ɐɳːi
அண்ணி	ɑɳɲi
அண்ணே	əɳːe
அண்மை	əɳmaɪ
அண்மைக்	əɳmaɪk
அண்மைக்கால	əɳmaɪkaːl
அண்மைக்காலமாக	əɳmaɪkɑːlɑːmɑːgɑː
அண்மைக்காலமாகவே	əɳmaɪkɑːl̪mɑːgəʋeː
அண்மையில்	əɳmaɪ
அத	əɖ
அதகளப்படுத்தி	əɾəkɐɭəpəɾut̪ːi
அதகளம்	ədagɐləm
அதனடிப்படையில்	əɾəɳəɖipːɑɖaɪ̯l
அதனால	əɖənɑːl
அதனாலதான்	əɖənɑːɭəɖaːn
அதனாலேயே	əɖənɑːlɛjɛː
அதனாலேயோ	əɾənaːleːjoː
அதனால்	əɖəɳaːl
அதனால்தான்	ɐd̪ənɐl̪taːn
அதனுடன்	əɾəɳuɳ
அதனுடைய	əɖənuɖəɪ
அதனை	ɐt̪ənaɪ
அதனைக்	ədaniːk
அதனைச்	ɐt̪aːɲɪtʃ
அதனைத்	əɾəɾəj
அதனைப்	əɖənɛɪ̯
அதனையடுத்து	əɾəɳəjɐgʊt̪u
அதனையும்	əɾəɾaɪm
அதன்	əɖən
அதன்படி	əɾənpɑɻi
அதன்படிதான்	əɖənpiɖiɖɑːn
அதன்படியே	ɐd̪ənp̚ɐɖi̯eː
அதன்பின்	əɖənpiɳ
அதன்பின்னர்	ɐt̪anpɪnːəɾ
அதன்பின்பு	ɐt̪anpiɳpu
அதன்பிறகு	əɾənpɪɾgu
அதன்பிறகுதான்	əɾənt̪ɾəgʊɾɯ̆taːn
அதன்பிறகும்	əɾənpɪɾəkum
அதன்பிறகே	əɾənpɪɾkɛ
அதன்பிற்கு	əɾənpɪɾuki
அதன்பேரில்	ɐt̪ənbeːɾil
அதன்மீது	ɐt̪əmʲiːdu
அதன்மூலம்	ɐt̪əmuːl̪am
அதரவு	ɐd̪ɐɾɐʋu
அதர்வா	ɐd̪ɐɾʋɑ
அதற்கடுத்த	ətaɾkɔtːɛː
அதற்கடுத்ததாக	ɐtɐrkuɖɯt̪ːəɖɐgɐ
அதற்கடுத்து	əɾɾɐkːɐɖʊt̪u
அதற்காக	əɾɾɐkɑːgɐ
அதற்காகத்தான்	əɾɾɐkɑːgɑːt̪aːn̪
அதற்காகவே	əɾɾɐkɐgɐʋeː
அதற்கான	ɐtɐrkaːn̪
அதற்கு	ɐdɐrki
அதற்குக்	əɾɯkːu
அதற்குத்	ɐt̪əɾkɯt̪
அதற்குப்	ɐtɐɾkɔp
அதற்கும்	ətaɾkum
அதற்குரிய	ɐd̪əɾkuri
அதற்குள்	əɾɾɯgɭ̪
அதற்குள்ளாக	ətaɾkuɭɭaːg
அதற்குள்ளாகவே	əɾɾɐkːuɭːɐgʋeː
அதற்கெல்லாம்	ɐt̪əɾkɛlːaːm
அதற்கேற்ப	ətaɾk̬eːɾp̚
அதற்கேற்ற	əɾɾəgeːɾː
அதற்கேற்றபடி	əɾʈəkeːɾːəpaɾɾi
அதற்கேற்றவாறு	əɾɾəgeːɾːəʋoːɾu
அதற்கேற்றாற்போல	əɾʈəgeːɾɾɑːɾpoːl
அதற்க்கான	ɐtɐrggaːn
அதற்க்கு	ətaɾkːu
அதல	ɐd̪ɐl̪
அதாங்க	ətaːŋkʌ
அதான்	əɾɐɾ
அதாவது	ɐt̪ɑːvɔː
அதி	əɖi
அதிக	ɐd̪ig
அதிகக்	əɖigək
அதிகநேரம்	əɖɪgənəɾəm
அதிகபட்ச	əɖɪgəɓɑɭʈʂ
அதிகபட்சமாக	ɐd̪igəpɐɖːɕɐmaːgɐ
அதிகபட்சமாகும்	əɖikəɓɑɻʂəmaːguːm
அதிகபட்சமான	ɐt̪ikəpɐʈʂəmaːn̪
அதிகபட்சம்	ɐd̪igəbaɖʂɐm
அதிகப்படியாக	əɖigəɾiɑjɑgɑ
அதிகப்படியான	əɖigəpaɖijaːn
அதிகப்படுத்த	əɖɪgəpaːɖːu
அதிகப்படுத்தி	əɖigəpaɖʈi
அதிகப்படுத்தியுள்ளது	əɾɪkəpaɾɯɳɟijɯɾɯɭ
அதிகப்படுத்தும்	əɖikəpaɖʈum
அதிகமா	əɖɪgəmaː
அதிகமாக	əɖigəmaːgə
அதிகமாகக்	əɖɪgəmaːk
அதிகமாகவே	əɖigəmaːgəʋeː
அதிகமாகி	əɖɪgəmaːgi
அதிகமாகிக்கொண்டே	ɐd̪igəmaːgikːoɳɳeː
அதிகமாகின	ɐd̪igəmaːgin
அதிகமாகியுள்ளது	ɐd̪igəmaːgijɯɭ̩t̪u
அதிகமாகும்	əɖigəmaːgum
அதிகமான	əɖɪgəmaːn̪
அதிகமானது	ɐd̪igəmaːn̪d̪u
அதிகமானோர்	ɐtɪgəmoːr̩
அதிகமுறை	əɖikəmuɽai̯
அதிகமுள்ள	əɖɪgəmulːə
அதிகம்	ədigam
அதிகரி	ɐd̪ɪgɐɾi
அதிகரிக்க	ɐd̪igɐɾikːɐ
அதிகரிக்கப்பட்டுள்ளது	əɖɪgəɾiŋkəɳt̪uɭəɭʌ̃
அதிகரிக்கிறது	ɐd̪igəɾikːiɳɖoɾʈʈu
அதிகரிக்கும்	əɖɪgərɪkːum
அதிகரித்த	ɐd̪igəɾit̪ː
அதிகரித்தது	əɖɪgəɾɪtːɯ
அதிகரித்திருக்கிறது	ɐtɪkɐɾit̪ːuɾuk̬ːɪɾɪ
அதிகரித்திருக்கும்	əɖɪgəɾɪt̪ːɪɾʊkːu
அதிகரித்து	əɖɪgəɾɪt̪ːu
அதிகரித்துக்	ɐd̪igəɾit̪ːuk̟
அதிகரித்துக்கொண்டே	ɐd̪igəɾit̪ːukːoɳɳeː
அதிகரித்துள்ள	əɖɪgəɾɪt̪uɭ̩
அதிகரித்துள்ளதாக	əɖɪgəɾɪt̪ːuɭ̩ɭ̩ɑgɑ
அதிகரித்துள்ளதால்	əɖɪgəɾɪt̪ːuɭ̩ɭ̩ɖɑːl̪
அதிகரித்துள்ளது	ɐtɪgəɾɪt̪ːuɭ̪ɭ̪uɭ̪
அதிகரித்துவிட்டது	ɐd̪igəɾit̪ːuʋit̪ːɐ
அதிகளவிலான	ɐt̪iɾəʋilɐn
அதிகளவில்	ɐd̪iɾəviɭ
அதிகளவு	ɐd̪iɾɐʋu
அதிகவிலை	ɐd̪igəʋilɐj
அதிகார	əɖigɑːr
அதிகாரங்களை	əɖɪgɑːɾəŋkaɭi
அதிகாரத்தின்	ɐd̪igɑːɾɐt̪ːim
அதிகாரத்தில்	ɐd̪igaːɾt̪iɭ
அதிகாரத்துக்கு	əɖɪgɑːɾət̪ːugːu
அதிகாரத்தை	əɖɪgɑːɾɑːt̪ːai̯
அதிகாரத்தைப்	ɐtɪgɑːɾɑːt̪ːɑɪ̯
அதிகாரத்தையும்	ədigaːɾət̪ːijə
அதிகாரபூர்வ	əɖɪgɑːɾɑb̪uːɾʋ
அதிகாரபூர்வமாக	ɐd̪igaːɾɐpuːɾʋəmagɐ
அதிகாரபூர்வமான	əɖɪgɑːɾɑːbuːɾʋɑːmɑːn̪
அதிகாரப்	əɖɪgɑːɾəp̚
அதிகாரப்பூர்வ	əɖɪgaːɾɐpːuːɾʋ
அதிகாரப்பூர்வமற்ற	əɾɪkɑːɾɑːpuːɾʋəmaɾːə
அதிகாரப்பூர்வமாக	əɖɪgɑːɾɑpːuːɾʋəmagɑ
அதிகாரப்பூர்வமான	ɐd̪igaːɾːɐpuːɾʋəmoːnə
அதிகாரமிக்க	əɖigaːɾamikː
அதிகாரமும்	ədigaːɾəm
அதிகாரம்	ɐd̪igɑːɾəm
அதிகாரி	ɐd̪ɪgaːɾi
அதிகாரி	əɖigaːɾi
அதிகாரிகளாக	ɐtɪgaːɾɨlaːgɑː
அதிகாரிகளால்	ɐd̪igaːɾilɐːɭ
அதிகாரிகளிடம்	əɖɪgaːɾiɭɨɭ
அதிகாரிகளின்	ɐd̪igaːɾiɾin
அதிகாரிகளுக்கு	əɖɪgaːɾɪkɯː
அதிகாரிகளுக்கும்	ɐd̪igaːɾikːuɭ
அதிகாரிகளுடன்	ɐd̪igaːɾikɯɾɯɳ
அதிகாரிகளும்	əɖɪgaːɾɪɾum
அதிகாரிகளே	ɐd̪igaːɾikɪɾeː
அதிகாரிகளை	əɖigaːɾiɭai̯
அதிகாரிகளையும்	ɐd̪igaːɾikɐjəm
அதிகாரிகள்	əɖigaːɾiɭ
அதிகாரிக்கு	ɐd̪igaːrikːu
அதிகாரியாக	ɐtɪgaːɾijɐkɐ
அதிகாரியாகவும்	əɖɪgaːɾiʲəgəwə
அதிகாரியான	əɖigaːɾiʲaːn
அதிகாரியிடம்	əɖɪgaːɾijɪɖɐm
அதிகாரியின்	ɐd̪igaːɾi
அதிகாரியும்	ɐtɪgaːɾijum
அதிகாரியை	əɖɪgaːɾijɛ
அதிகாலை	ɐd̪igaːlaɪ̯
அதிகாலையிலேயே	əɖɪgaːɭajilɛː
அதிகாலையில்	əɖɪgaːlaɪ̯l
அதிசயமாக	ɐt̪iɕəjəmagɐ
அதிசயம்	ɐt̪iɕɐjəm
அதிசயராஜ்	əɾɪtɕəɾɑːɻ
அதிதி	ɐd̪ɪd̪i
அதிதி	əɖiɖi
அதிதீவிர	əɖiɾiːʋɪr
அதிநவீன	ədi̤nʌʋiːn
அதிபர்	ɐd̪ibər
அதிபர்கள்	əɾɨpərgɨ
அதிமுக	ɐt̪imuk̟
அதிமுகதான்	ɐt̪imukədaːn
அதிமுகவால்	ədimuɣəʋɑːl
அதிமுகவினரால்	ɐt̪imukəviɳɐːl
அதிமுகவினரிடையே	əɾɪmukəviɳəɾɪɖaɪ̯e
அதிமுகவினரின்	ɐt̪imukəviɳɐɾin
அதிமுகவினருக்கு	ədimugəʋinəɾuːkːu
