અં	ə̃ː
જેતૂન	dʒeːt̪un
જેરૂસલેમ	dʒeːɾusleːm
જેલમ	dʒeːləm
જૈન	dʒəɪn
જોકે	dʒokeː
જોડ	dʒoɖ
જોશી	dʒoʃi
જ્ઞ	gnə
જ્ઞાન	gjɑn
જ્યાં	dʒjɑ̃
જ્યોતિષ	dʒjot̪ɪʂ
જ્યોર્જિયા	dʒjɔɾdʒɪjɑ
ઝ	dʒʱə
ઝરૂખો	dʒʱəɾukʰo
ઝાંટ	dʒʱɑ̃ʈ
ઝાંસી	dʒʱɑ̃si
ઝાડ	dʒʱɑɖ
ઝાડુ	dʒʱɑɖu
ઝારખંડ	dʒʱɑɾkʰəɳɖ
ઝીંગા	dʒʱiŋgɑ
ઝીણા	dʒʱiɳɑ
ઝુહરા	dʒʱuʱɾɑ
ઝૂ	dʒʱuː
ઝૂ	zuː
ઝૂમખું	dʒʱumkʰũ
ઝેર	dʒʱeːɾ
ઞ	ɲə
ટ	ʈə
ટમલર	ʈəmləɾ
ટાંકી	ʈɑ̃ki
ટાગોર	ʈɑgoɾ
ટાબર	ʈɑbəɾ
ટામેટું	ʈɑmeːʈũ
ટિકિટ	ʈɪkɪʈ
ટિફિન	ʈɪfɪn
ટિફિન	ʈɪpʰɪn
ટીપું	ʈipũ
ટેક્સી	ʈeːksi
ટેવ	ʈeːʋ
ટોપી	ʈopi
ટ્રેન	ʈɾeːn
ઠ	ʈʰə
ઠંડ	ʈʰəɳɖ
ઠંડું	ʈʰəɳɖũ
ઠઠ્ઠો	ʈʰəʈʈʰɔ
ઠાણ	ʈʰɑɳ
ઠેકાણું	ʈʰeːkɑɳũ
ઠોકર	ʈʰokəɾ
ડ	ɖə
ડગલો	ɖəglɔ
ડરવું	ɖəɾʋũ
ડસવું	ɖəsʋũ
ડાક	ɖɑk
ડાકો	ɖɑkɔ
ડિસેમ્બર	ɖɪseːmbəɾ
ડીલ	ɖil
ડુંગળી	ɖuŋgəɭi
ડૉક્ટર	ɖɔkʈəɾ
ડોકું	ɖokũ
ઢ	ɖʱə
ઢાંકણ	ɖʱɑ̃kəɳ
ઢાંકવું	ɖʱɑ̃kʋũ
ઢાકા	ɖʱɑkɑ
ઢીંગલી	ɖʱĩgli
ઢેપું	ɖʱeːpũ
ઢેલ	ɖʱeːl
ઢોર	ɖʱoɾ
ઢોલ	ɖʱol
ઢોસા	ɖʱosɑ
ણ	ɳə
ત	tə
તંદૂર	t̪ənd̪uɾ
તંબોળી	t̪əmboɭi
તડકો	t̪əɖko
તબલાં	t̪əblɑ̃
તબિયત	t̪əbɪjət̪
તમંચો	t̪əməɲtʃɔ
તમિળનાડુ	t̪əmɪɭnɑɖu
તમે	t̪əmɛ
તરંગરૂપ	t̪əɾəŋgɾup
તરબૂચ	t̪əɾbutʃ
તલ	t̪əl
તલવાર	t̪əlʋɑɾ
તલાક	t̪əlɑk
તલાટી	t̪əlɑʈi
તળવું	t̪əɭʋũ
તળસી	t̪əɭsi
તવો	t̪əʋɔ
તસવીર	t̪əsʋiɾ
તસ્બીહ	t̪əsbiʱ
તહજ્જુદ	t̪əɦədʒdʒud̪
તહેવાર	t̪əɦɛʋɑɾ
તહેવાર	t̪ɛ̤ʋɑɾ
તાઇવાન	t̪ɑɪʋɑn
તાજ	t̪ɑdʒ
તાજદાર	t̪ɑdʒd̪ɑɾ
તાતારી	t̪ɑt̪ɑɾi
તાપ	t̪ɑp
તામિળ	t̪ɑmɪɭ
તારયંત્ર	t̪ɑɾjənt̪ɾə
તારીખ	t̪ɑɾikʰ
તારીખિયું	t̪ɑɾikʰɪjũ
તારું	t̪ɑɾũ
તારો	t̪ɑɾɔ
તાલિબ	t̪ɑlɪb
તાળું	t̪ɑɭũ
તાવ	t̪ɑʋ
તાવીજ	t̪ɑʋidʒ
તિપિટક	t̪ɪpɪʈək
તિબેટ	t̪ɪbeːʈ
તિમિ	t̪ɪmɪ
તિરાના	t̪ɪɾɑnɑ
તીખું	t̪ikʰũ
તીતર	t̪it̪əɾ
તું	t̪ũ
તુકમ	t̪ukəm
તુફંગ	t̪upʰəŋg
તુર્ક	t̪uɾk
તુર્કસ્તાન	t̪uɾkəst̪ɑn
તુર્કી	t̪uɾki
તુલસી	t̪ulsi
તુલા	t̪ulɑ
તૂટવું	t̪uʈʋũ
તેણે	t̪eːɳɛ
તેર	teɾ
તેલ	t̪eːl
તેલુગુ	t̪eːlugu
તૈમુર	t̪əɪmuɾ
તોરત	t̪oɾət̪
ત્રણ	t̪ɾɔɳ
ત્રિશૂળ	t̪ɾɪʃuɭ
ત્વરિત	t̪ʋəɾɪt̪
થ	tʰə
થડ	t̪ʰəɖ
થળ	t̪ʰəɭ
થાકવું	t̪ʰɑkʋũ
થાળી	t̪ʰɑɭi
થી	t̪ʰi
થેલી	t̪ʰeːli
દ	də
દક્ષિણ	d̪əkʃɪɳ
દમ	d̪əm
દયા	d̪əjɑ
દરગાહ	d̪əɾgɑʱ
દરબાર	d̪əɾbɑɾ
દરવાજો	d̪əɾʋɑdʒo
દરાખ	d̪əɾɑkʰ
દરિયાલાલ	d̪əɾɪjɑlɑl
દરિયો	d̪əɾɪjo
દરૂન	d̪əɾun
દર્પણ	d̪əɾpəɳ
દલડું	d̪əlɖũ
દવે	d̪əʋeː
દશ	dəʃ
દસ	dəs
દસ્તાર	d̪əst̪ɑɾ
દસ્તૂર	d̪əst̪uɾ
દહાડો	d̪əɦɑɖo
દહીં	d̪əɦĩ
દહીં	d̪ə̤ĩ
દહેજ	d̪əɦeːdʒ
દાઈ	d̪ɑi
દાક્તર	d̪ɑkt̪əɾ
દાડમ	d̪ɑɽəm
દાઢી	d̪ɑɖʱi
દાદરો	d̪ɑd̪ɾɔ
દાદા	d̪ɑd̪ɑ
દાદી	d̪ɑd̪i
દાબિસ્તાન	d̪ɑbɪst̪ɑn
દાર	d̪ɑɾ
દારાબ	d̪ɑɾɑb
દાર્જીલિંગ	d̪ɑɾdʒilɪŋg
દાળ	d̪ɑɭ
દાસ	d̪ɑs
દિન	d̪ɪn
દિયર	d̪ɪjəɾ
દિલ	d̪ɪl
દિલબર	d̪ɪlbəɾ
દિલરુબા	d̪ɪlɾubɑ
દિલિપ	d̪ɪlɪp
દિલ્હી	d̪ɪlɦi
દિવસ	d̪ɪʋəs
દિવાળી	d̪ɪʋɑɭi
દિવેલ	d̪ɪʋeːl
દીકરો	d̪ikɾɔ
દીદી	d̪id̪i
દીપ	d̪ip
દીપક	d̪ipək
દીપિકા	d̪ipɪkɑ
દીવાનું	d̪iʋɑnũ
દીવાલ	d̪iʋɑl
દીવો	d̪iʋɔ
દુઃસ્વપ્ન	d̪uʰsʋəpnə
દુઆ	d̪uɑ
દુકાન	d̪ukɑn
દુકાનદાર	d̪ukɑnd̪ɑɾ
દુખ્તર	d̪ukʰt̪əɾ
દુનિયા	d̪unɪjɑ
દુરૂદ	d̪uɾud̪
દુર્ગા	d̪uɾgɑ
દુર્રાજ	d̪uɾɾɑdʒ
દૂધ	dṳd
દૂધી	d̪ud̪ʱi
દૂર	d̪uɾ
દૂરદર્શન	d̪uɾd̪əɾʃən
દૂરબીન	d̪uɾbin
દેખવું	d̪eːkʰʋũ
દેડકી	d̪eːɖki
દેડકું	d̪eːɖkũ
દેડકો	d̪eːɖko
દેરું	d̪eːɾũ
દેલ	d̪eːl
દેવ	d̪eːʋ
દેવનાગરી	d̪eːʋnɑgɾi
દેવી	d̪eːʋi
દેશ	d̪eːʃ
દેસ	d̪eːs
દેસાઈ	d̪eːsɑi
દેસી	d̪eːsi
દોખમું	d̪okʰmũ
દોડવું	d̪ǒɖʋũ
દોરી	d̪oɾi
દોલત	d̪olət̪
દ્વારકા	d̪ʋɑɾkɑ
દ્વીપ	d̪ʋip
ધ	dʱə
ધણીધણિયાણી	d̪ʱəɳid̪ʱɳɪjɑɳi
ધન્યવાદ	d̪ʱənjəʋɑd̪
ધાણા	d̪ʱɑɳɑ
ધાન	d̪ʱɑn
ધીરું	d̪ʱiɾũ
ધીવર	d̪ʱiʋəɾ
ધૂતા	d̪ʱut̪ɑ
ધૂપ	d̪ʱup
ધૂમ્રપાન	d̪ʱumɾəpɑn
ધૂય	d̪ʱujə
ધૂળ	d̪ʱuɭ
ધોતી	d̪ʱot̪i
ધોરીમાર્ગ	d̪ʱoɾimɑɾg
ધ્વનિ	d̪ʱʋənɪ
ન	nə
નંબર	nəmbəɾ
નણંદ	nəɳənd̪
નથ	nət̪ʰ
નદી	nəd̪i
નપુંસકલિંગ	nəpũsəklɪŋg
નબી	nəbi
નમવું	nəmʋũ
નમસ્કાર	nəməskɑɾ
નમસ્તે	nəməst̪eː
નમાજ	nəmɑdʒ
નરગિસ	nəɾgɪs
નરઘું	nəɾgʱũ
નરમ	nəɾəm
નરસંહાર	nəɾsãɦɑɾ
નરિમાન	nəɾɪmɑn
નરેન્દ્ર	nəɾeːnd̪ɾə
નળ	nəɭ
નવ	nəʋ
નવજોત	nəʋdʒot̪
નવરાત્રિ	nəʋɾɑt̪ɾɪ
નવરોજ	nəʋɾodʒ
નવવર્ષ	nəʋəʋəɾʂ
નવાપુર	nəʋɑpuɾ
નવાબ	nəʋɑb
નવેમ્બર	nəʋeːmbəɾ
નસીબ	nəsib
નસ્ક	nəsk
નસ્તાલીક	nəst̪ɑlik
નાક	nɑk
નાકું	nɑkũ
નાખવું	nɑkʰʋũ
નાગપુર	nɑgpuɾ
નાગું	nɑgũ
નાચવું	nɑtʃʋũ
નાટક	nɑʈək
નાતાલ	nɑt̪ɑl
નાથ	nɑt̪ʰ
નાન	nɑn
નાનકપંથી	nɑnəkpənt̪ʰi
નાના	nɑnɑ
નાની	nɑni
નાન્યતર	nɑnjət̪əɾ
નામ	nɑm
નાર	nɑɾ
નારંગી	nɑɾəŋgi
નારંજ	nɑɾəɲdʒ
નારી	nɑɾi
નાવ	nɑʋ
નાશિક	nɑʃɪk
નાસ્તો	nɑst̪o
નિકાબ	nɪkɑb
નિકાસ	nɪkɑs
નિકાહ	nɪkɑʱ
નિબંધ	nɪbənd̪ʱ
નિબંધકાર	nɪbənd̪ʱkɑɾ
નિર્ણય	nɪɾɳəjə
નિશાળ	nɪʃɑɭ
નિહાળવું	nɪɦɑɭʋũ
નીંદર	nĩd̪əɾ
નીચું	nitʃũ
નીર	niɾ
નીલું	nilũ
નૂતન	nut̪ən
નૂર	nuɾ
નૂહ	nuʱ
નૃત્ય	nɾʊt̪jə
ને	neː
નેપાળ	neːpɑɭ
નેહ	neːʱ
નોકર	nokəɾ
નોકરી	nokɾi
નોમ	nɔm
નોળિયો	noɭɪjo
પ	pə
પંખી	pəŋkʰi
પંખીઘર	pəŋkʰigʱəɾ
પંખેરું	pəŋkʰeːɾũ
પંખો	pəŋkʰɔ
પંજાબ	pəɲdʒɑb
પંડિત	pəɳɖɪt̪
પંદર	pəndəɾ
પક્ષી	pəkʃi
પખવાડિયું	pəkʰʋɑɖɪjũ
પગલૂછણિયું	pəglutʃʰɳɪjũ
પગોડા	pəgoɖɑ
પટણા	pəʈɳɑ
પટવારી	pəʈʋɑɾi
પટેલ	pəʈeːl
પઠાણ	pəʈʰɑɳ
પડવું	pəɖʋũ
પડી	pəɖi
પડોશ	pəɖoʃ
પડોશી	pəɖoʃi
પઢવું	pəɖʱʋũ
પણ	pəɳ
પતંગ	pət̪əŋg
પતંગિયું	pət̪əŋgɪjũ
પતિ	pət̪ɪ
પત્ની	pət̪ni
પદ્મ	pəd̪mə
પનીર	pəniɾ
પપૈયું	pəpəɪjũ
પરદા	pəɾd̪ɑ
પરદાદા	pəɾd̪ɑd̪ɑ
પરદેશ	pəɾd̪eːʃ
પરમદિવસ	pəɾəmd̪ɪʋəs
પરમેશ્વર	pəɾmeːʃʋəɾ
પરવાના	pəɾʋɑnɑ
પરવીન	pəɾʋin
પરાઠા	pəɾɑʈʰɑ
પરિવાર	pəɾɪʋɑɾ
પરિસ્તોમ	pəɾɪst̪om
પરિસ્થિતિ	pəɾɪst̪ʰɪt̪ɪ
પરીક્ષા	pəɾikʃɑ
પરીખ	pəɾikʰ
પરોઢ	pəɾoɖʱ
પર્વત	pəɾʋət̪
પલંગ	pələŋg
પળ	pəɭ
પવન	pəʋən
પવિત્ર	pəʋɪt̪ɾə
પશમીના	pəʃminɑ
પશુધન	pəʃud̪ʱən
પશ્તો	pəʃt̪o
પસંદ	pəsənd̪
પસીનો	pəsino
પહાડ	pəɦɑɖ
પહેલું	pəɦeːlũ
પહોંચવું	pɔ̤̃tʃʋũ
પહોંચવું	pəɦɔ̃tʃʋũ
પાંચ	pɑ̃tʃ
પાંસળી	pɑ̃səɭi
પાઉં	pɑũ
પાકિસ્તાન	pɑkɪst̪ɑn
પાઘડી	pɑgʱɖi
પાટણ	pɑʈəɳ
પાઠવવું	pɑʈʰəʋʋũ
પાણી	pɑɳi
પાણીપુરી	pɑɳipuɾi
પાદરી	pɑd̪ɾi
પાનખર	pɑnkʰəɾ
પાનું	pɑnũ
પાપડ	pɑpəɽ
પાયજામો	pɑjdʒɑmo
પારકું	pɑɾkũ
પારસી	pɑɾsi
પારેખ	pɑɾeːkʰ
પારેવું	pɑɾeːʋũ
પાલક	pɑlək
પાવની	pɑʋəni
પાસ્ખા	pɑskʰɑ
પિતા	pɪt̪ɑ
પિતૃદેશ	pɪt̪ɾud̪eːʃ
પિત્તળ	pɪt̪t̪əɭ
પિયર	pɪjəɾ
પિસર	pɪsəɾ
પિસ્તોલ	pɪst̪ol
પીંછું	pĩtʃʰũ
પીછું	pitʃʰũ
પીઠ	piʈʰ
પીઠી	piʈʰi
પીઠું	piʈʰũ
પીપળો	pɪpɭɔ
પીર	piɾ
પીરોઝ	piɾodʒʱ
પીવું	piʋũ
પુંલિંગ	pũlɪŋg
પુત્ર	put̪ɾə
પુત્રી	put̪ɾi
પુર	puɾ
પુરી	puɾi
પુલાવ	pulɑʋ
પુષ્પ	puʃpə
પુષ્પપાત્ર	puʃpəpɑt̪ɾə
પુસ્તક	pust̪ək
પુસ્તકાલય	pust̪əkɑljə
પૂંજી	pũdʒi
પૂજા	pudʒɑ
પૂત	put̪
પૂના	punɑ
પૂરી	puɾi
પૃથ્વી	pɾut̪ʰʋi
પેટ્રોલ	peːʈɾol
પેન	peːn
પેરુ	peːɾu
પેશવા	peːʃʋɑ
પેશાવર	peːʃɑʋəɾ
પૈસા	pəɪsɑ
પોપૈયું	popəɪjũ
પોર્ટુગલ	poɾʈugəl
પોર્ટુગીઝ	poɾʈugidʒʱ
પોલંડ	poləɳɖ
પોલિશ	polɪʃ
પોળ	poɭ
પ્યાજ	pjɑdʒ
પ્યાર	pjɑɾ
પ્યારું	pjɑɾũ
પ્યાલો	pjɑlo
પ્રકાર	pɾəkɑɾ
પ્રકાશ	pɾəkɑʃ
પ્રકાશિત	pɾəkɑʃɪt̪
પ્રગટવું	pɾəgəʈʋũ
પ્રજાપતિ	pɾədʒɑpət̪ɪ
પ્રણામ	pɾəɳɑm
પ્રથમ	pɾət̪ʰəm
પ્રદૂષણ	pɾəd̪uʃəɳ
પ્રધાન	pɾəd̪ʱɑn
પ્રશ્ન	pɾəʃnə
પ્રાંગાર	pɾɑ̃gɑɾ
પ્રાકૃત	pɾɑkɾʊt̪
પ્રાચી	pɾɑtʃi
પ્રાચીન	pɾɑtʃin
પ્રાણ	pɾɑɳ
પ્રાણી	pɾɑɳi
પ્રાર્થના	pɾɑɾt̪ʰənɑ
પ્રેમ	pɾeːm
પ્રેમિકા	pɾeːmɪkɑ
ફ	f
ફ	pʰə
ફ	ɸ
ફજર	fədʒəɾ
ફજર	pʰədʒəɾ
ફરજ	fəɾdʒ
ફરજ	pʰəɾdʒ
ફરમાન	pʰəɾmɑn
ફરવર્દીન	pʰəɾʋəɾd̪in
ફરહાદ	fəɾɦɑd̪
ફરહાદ	pʰəɾɦɑd̪
ફરાસીસી	pʰəɾɑsisi
ફળ	pʰəɭ
ફાતિમા	pʰɑt̪ɪmɑ
ફાનસ	fɑnəs
ફાનસ	pʰɑnəs
ફારૂક	pʰɑɾuk
ફાલુદા	pʰɑlud̪ɑ
ફિરંગ	pʰɪɾəŋg
ફિરદોસ	fɪɾd̪os
ફિરદોસ	pʰɪɾd̪os
ફિરદોસી	pʰɪɾd̪osɪ
ફિરસ્તો	fɪɾəst̪o
ફિરસ્તો	pʰɪɾəst̪o
ફિલસ્તીન	fɪləst̪in
ફિલસ્તીન	pʰɪləst̪in
ફિલ્મ	fɪlm
ફિલ્મ	fɪləm
ફિલ્મ	pʰɪlm
ફિલ્મ	pʰɪləm
ફુઆ	pʰuɑ
ફુવાદ	fuʋɑd̪
ફુવાદ	pʰuʋɑd̪
ફૂંકવું	pʰũkʋũ
ફૂલ	pʰul
ફેઝ	pʰeːdʒʱ
ફેબ્રુઆરી	pʰeːbɾuɑɾi
ફોઈ	foi
ફોઈ	pʰoi
ફ્રાંસ	pʰɾɑ̃s
ફ્રાંસીસી	pʰɾɑ̃sisi
બ	bə
બંગડી	bəŋgɖi
બંગાળ	bəŋgɑɭ
બંદો	bənd̪o
બંબો	bəmbo
બકરી	bəkɾi
બકરું	bəkɾũ
બકરો	bəkɾɔ
બગડવું	bəgəɽʋũ
બગદાદ	bəgd̪ɑd̪
બગલ	bəgəl
બચ્ચી	bətʃtʃi
બચ્ચું	bətʃtʃũ
બચ્ચો	bətʃtʃo
બજાર	bədʒɑɾ
બજાર	bəzɑɾ
બટાટા	bəʈɑʈɑ
બતક	bət̪ək
બદર	bəd̪əɾ
બદામ	bəd̪ɑm
બદ્ર	bəd̪ɾə
બનફશા	bənəpʰʃɑ
બમણું	bəmɳũ
બરણી	bəɾɳi
બરાક	bəɾɑk
બરામદા	bəɾɑməd̪ɑ
બરોડા	bəɾoɖɑ
બલૂચ	bəlutʃ
બલૂચિસ્તાન	bəlutʃɪst̪ɑn
બલૂત	bəlut̪
બળવાન	bəɭʋɑn
બસ	bəs
બહાનું	bəɦɑnũ
બહાર	ba̤r
બહાર	bəɦɑɾ
બહુ	bəɦu
બહુજન	bəɦudʒən
બહેન	bəɦeːn
બહેન	bɛ̤n
બહેરામ	bəɦeːɾɑm
બહેરું	bəɦeːɾũ
બહેરું	bɛ̤ɾũ
બા	bɑ
બાંગ	bɑ̃g
બાંગ્લાદેશ	bɑɳglɑd̪eːʃ
બાંડિયો	bɑ̃ɖɪjɔ
બાંધવું	bɑ̃d̪ʱʋũ
બાઇબલ	bɑɪbəl
બાઈડી	bɑiɖi
બાગ	bɑg
બાજુ	bɑdʒu
બાટલી	bɑʈli
બાદરંગ	bɑd̪ɾəŋg
બાદશાહ	bɑd̪ʃɑʱ
બાપ	bɑp
બાપા	bɑpɑ
બાપ્તિસ્મા	bɑpt̪ɪsmɑ
બાફવું	bɑpʰʋũ
બાબર	bɑbəɾ
બાબો	bɑbo
બાર	bɑɾ
બારણું	bɑɾɳũ
બારી	bɑɾi
બાલદી	bɑld̪i
બાલ્કન	bɑlkən
બાળ	bɑɭ
બાળક	bɑɭək
બાળપણ	bɑɭpəɳ
બાવળ	bɑʋəɭ
બિંદાસ	bɪnd̪ɑs
બિંદી	bɪnd̪i
બિંદુ	bɪnd̪u
બિરયાની	bɪɾjɑni
બિસ્કિટ	bɪskɪʈ
બિસ્મિલ્લા	bɪsmɪllɑ
બિહાર	bɪɦɑɾ
બીજ	bidʒ
બુંદેલખંડ	bund̪eːlkʰəɳɖ
બુખારા	bukʰɑɾɑ
બુત	but̪
બુતાન	but̪ɑn
બુદ્ધ	bud̪d̪ʱ
બુદ્ધિ	bud̪d̪ʱɪ
બુધ	bud̪ʱ
બુધવાર	bud̪ʱʋɑɾ
બુરખો	buɾkʰɔ
બુલબુલ	bulbul
બૂચ	butʃ
બૂઝવવું	budʒʱəʋʋũ
બૂડવું	buɖʋũ
બે	bɛ
બેંગલુરુ	beːŋgluɾu
બેંગલોર	beːŋgloɾ
બેગમ	beːgəm
બેવકૂફ	beːʋəkupʰ
બેસવું	beːsʋũ
બૈરક	bəɪɾək
બોબડું	bobɖũ
બોબા	bobɑ
બોસા	bosɑ
બ્રહ્મદેશ	bɾəʱməd̪eːʃ
બ્રહ્મપુત્ર	bɾəʱməput̪ɾə
બ્રિંજલ	bɾɪɲdʒəl
બ્રિટન	bɾɪʈən
ભ	bʱə
ભગવાન	bʱəgʋɑn
ભજન	bʱədʒən
ભઠ્ઠી	bʱəʈʰʈʰi
ભણવું	bʱəɳʋũ
ભરવું	bʱəɾʋũ
ભરૂચ	bʱəɾutʃ
ભવાઇ	bʱəʋɑɪ
ભવું	bʱəʋũ
ભસમ	bʱəsəm
ભાંડ	bʱɑ̃ɖ
ભાઈ	bʱɑi
ભાડ	bʱɑɖ
ભાત	bʱɑt̪
ભાભી	bʱɑbʱi
ભારત	bʱɑɾət̪
ભારતીય	bʱɑɾt̪ijə
ભાર્યા	bʱɑɾjɑ
ભાવનગર	bʱɑʋnəgəɾ
ભાષણ	bʱɑʃəɳ
ભાષા	bʱɑʃɑ
ભિસ્તી	bʱɪst̪i
ભીંડો	bʱiɳɖɔ
ભીખ	bʱikʰ
ભીલ	bʱil
ભુઠ્ઠો	bʱuʈʈʰɔ
ભૂખ	bʱukʰ
ભૂખહડતાળ	bʱukʰɦəɖt̪ɑɭ
ભૂલવું	bʱulʋũ
ભૃગુવાર	bʱɾuguʋɑɾ
ભેંસ	bʱɛ̃s
ભેંસો	bʱẽso
ભેજવું	bʱeːdʒʋũ
ભોં	bʱõ
ભોજન	bʱodʒən
ભોપાળ	bʱopɑɭ
ભોર	bʱoɾ
મ	mə
મંગળ	məŋgəɭ
મંગળવાર	məŋgəɭʋɑɾ
મંચુરિયા	məɲtʃuɾɪjɑ
મંદિર	mənd̪ɪɾ
મકદુનિયા	məkd̪unɪjɑ
મકબરો	məkbəɾo
મકાન	məkɑn
મક્કા	məkkɑ
મગ	məg
મગજ	məgədʒ
મગર	məgəɾ
મગરિબ	məgɾɪb
મચ્છર	mətʃtʃʰəɾ
મટવું	məʈʋũ
મણિપુર	məɳɪpuɾ
મત	mət̪
મથુરા	mət̪ʰuɾɑ
મદીના	məd̪inɑ
મદ્રાસ	məd̪ɾɑs
મદ્રાસી	məd̪ɾɑsi
મધ	məd̪ʱ
મધમાખી	məd̪ʱmɑkʰi
મધુ	məd̪ʱu
મધ્યપ્રદેશ	məd̪ʱjəpɾəd̪eːʃ
મન	mən
મનીષા	məniʃɑ
મને	mən
મને	məneː
મફત	məpʰət̪
મમમમ	məmməm
મમ્મા	məmmɑ
મમ્મી	məmmi
મરણ	məɾəɳ
મરવું	məɾʋũ
મરિયમ	məɾɪjəm
મર્ચન્ટ	məɾtʃənʈ
મલબાર	məlbɑɾ
મલાયા	məlɑjɑ
મસીત	məsit̪
મસીદ	məsid̪
મસીહ	məsiʱ
મસ્જિદ	məsdʒɪd̪
મસ્તિષ્ક	məst̪ɪʃk
મહત્ત્વ	məɦət̪t̪ʋə
મહમૂદ	məʱmud̪
મહર	məɦəɾ
મહારાણી	məɦɑɾɑɳi
મહારાષ્ટ્ર	məɦɑɾɑʂʈɾə
મહિનો	məɦɪno
મહિનો	məɪno
મહિલા	məɦɪlɑ
મહેક	məɦeːk
મહેસાણા	məɦeːsɑɳɑ
મહોબત	məɦobət̪
માં	mɑ̃
માંચી	mɑ̃tʃi
માંડો	mɑ̃ɖo
માંસ	mɑ̃s
માઓવાદ	mɑoʋɑd̪
માખણ	mɑkʰəɳ
માગ	mɑg
માછલી	mɑtʃʰli
માટે	mɑʈe
માણસ	mɑɳəs
માતા	mɑt̪ɑ
માથું	mɑt̪ʰũ
મામા	mɑmɑ
મામી	mɑmi
માયા	mɑjɑ
મારતોલ	mɑɾt̪ol
મારવાડ	mɑɾʋɑɖ
મારા	mɑɾɑ
મારી	mɑɾi
માર્ગ	mɑɾg
માર્ચ	mɑɾtʃ
માળી	mɑɭi
માવડી	mɑʋɖi
માશાલ્લાહ	mɑʃɑllɑʱ
માસા	mɑsɑ
માસી	mɑsi
માહ	mɑʱ
મિનારો	mɪnɑɾo
મિનિટ	mɪnɪʈ
મિયાં	mɪjɑ̃
મિસર	mɪsəɾ
મિસરી	mɪsɾi
મિસ્ટર	mɪsʈəɾ
મિહર	mɪɦəɾ
મિહરાબ	mɪʱɾɑb
મીઠાઈ	miʈʰɑi
મીરાંબાઈ	miɾɑ̃bɑi
મુખ	mukʰ
મુઘલ	mugʱəl
મુબારક	mubɑɾək
મુમતાજ	mumt̪ɑdʒ
મુમતાજ	mumt̪ɑz
મુરબ્બો	muɾəbbo
મુરાદાબાદ	muɾɑd̪ɑbɑd̪
મુલતાન	mult̪ɑn
મુસલમાની	musəlmɑni
મુસલ્લો	musəllɔ
મુહર્રમ	muɦəɾɾəm
મુહલ્લા	muɦəllɑ
મૂછ	mutʃʰ
મૂડીવાદ	muɖiʋɑd̪
મે	meː
મેંદી	mɛnd̪i
મેકવાન	meːkʋɑn
મેક્સિકો	meːksɪko
મેઘ	meːgʱ
મેઘધનુષ	meːgʱəd̪ʱənuʂ
મેઘના	meːgʱnɑ
મેમ	meːm
મેમણ	meːməɳ
મેરઠ	meːɾəʈʰ
મેહ	meːʱ
મૈથુન	məɪt̪ʰun
મોં	mõ
મોકો	mokɔ
મોટરસાયકલ	moʈəɾsɑjəkəl
મોડું	moɽũ
મોમો	momo
મોર	moɾ
મોસંબી	mosəmbi
મોસ્કો	mosko
મોહબત	moʱbət̪
મોહમ્મદ	moɦəmməd̪
મ્યાઉં	mjɑũ
ય	jə
યંત્ર	jənt̪ɾə
યઝત	jədʒʱət̪
યમન	jəmən
યમુના	jəmunɑ
યવન	jəʋən
યહૂદી	jəɦud̪i
યાત્રા	jɑt̪ɾɑ
યાર	jɑɾ
યાસમીન	jɑsmin
યુગોસ્લાવિયા	jugoslɑʋɪjɑ
યૂક્રેઇન	jukɾeːɪn
યેન	jeːn
યોગી	jogi
યોનિ	jonɪ
ર	ɾə
રંગ	ɾəŋg
રંગવું	ɾəŋgʋũ
રક્ત	ɾəkt̪
રક્ષા	ɾəkʃɑ
રજનીગંધા	ɾədʒnigənd̪ʱɑ
રણ	ɾəɳ
રણવાસ	ɾəɳʋɑs
રથ	ɾət̪ʰ
રમકડું	ɾəməkɖũ
રમજાન	ɾəmdʒɑn
રમજાન	ɾəmzɑn
રમઝાન	ɾəmdʒʱɑn
રમત	ɾəmət̪
રવિ	ɾəʋɪ
રવિવાર	ɾəʋɪʋɑɾ
રશિયા	ɾəʃɪjɑ
રસ	ɾəs
રસી	ɾəsi
રસૂલ	ɾəsul
રસોઈ	ɾəsoi
રસોડું	ɾəsoɖũ
રસ્તો	ɾəst̪ɔ
રહેમાન	ɾəɦeːmɑn
રાંધણ	ɾɑ̃d̪ʱəɳ
રાંધવું	ɾɑ̃d̪ʱʋũ
રાઈતું	ɾɑit̪ũ
રાખ	ɾɑkʰ
રાખવું	ɾɑkʰʋũ
રાખસ	ɾɑkʰəs
રાજ	ɾɑdʒ
રાજકોટ	ɾɑdʒkoʈ
રાજધાની	ɾɑdʒd̪ʱɑni
રાજપૂત	ɾɑdʒput̪
રાજમાર્ગ	ɾɑdʒmɑɾg
રાજસ્થાન	ɾɑdʒəst̪ʰɑn
રાજા	ɾɑdʒɑ
રાજીવ	ɾɑdʒiʋ
રાજ્ય	ɾɑdʒjə
રાધેકૃષ્ણ	ɾɑd̪ʱeːkɾuʃɳ
રામાયણ	ɾɑmɑjəɳ
રાય	ɾɑjə
રાષ્ટ્રગીત	ɾɑʂʈɾəgit̪
રાષ્ટ્રભાષા	ɾɑʃʈɾəbʱɑʃɑ
રાહુલ	ɾɑɦul
રિક્ષા	ɾɪkʃɑ
રિચાર્ડ	ɾɪtʃɑɾɖ
