吖笨	aa˥ ban˨
暗徑	am˧ ging˧
暗角	am˧ gok˧
暗光鳥	am˧ gwong˥ niu˩˧
暗黑	am˧ hak˥
暗合	am˧ hap˨
暗器	am˧ hei˧
暗河	am˧ ho˨˩
暗香疏影	am˧ hoeng˥ so˥ jing˧˥
暗害	am˧ hoi˨
暗號	am˧ hou˨
暗胸朱雀	am˧ hung˥ zyu˥ zoek˧
黯然銷魂飯	am˧ jin˨˩ siu˥ wan˨˩ faan˨
暗影	am˧ jing˧˥
暗語	am˧ jyu˩˧
暗喻	am˧ jyu˨
暗坎	am˧ kaan˧˥
暗簡	am˧ kaan˧˥
暗渠	am˧ keoi˨˩
暗虧	am˧ kwai˥
暗鷺	am˧ lou˨
暗戀	am˧ lyun˧˥
暗物質	am˧ mat˨ zat˥
暗網	am˧ mong˩˧
暗昧	am˧ mui˨
暗盤	am˧ pun˧˥
暗殺	am˧ saat˧
暗事	am˧ si˨
暗示	am˧ si˨
暗色鴉雀	am˧ sik˥ aa˥ zoek˧
暗線	am˧ sin˧
暗線光譜	am˧ sin˧ gwong˥ pou˧˥
暗星	am˧ sing˥
暗笑	am˧ siu˧
暗鎖	am˧ so˧˥
暗傷	am˧ soeng˥
暗箱	am˧ soeng˥
暗箱操作	am˧ soeng˥ cou˥ zok˧
暗爽	am˧ song˧˥
暗算	am˧ syun˧
暗探	am˧ taam˧
暗灘	am˧ taan˥
暗滯	am˧ zai˨
暗疾	am˧ zat˨
暗井	am˧ zeng˧˥
暗自	am˧ zi˨
暗箭	am˧ zin˧
暗箭傷人	am˧ zin˧ soeng˥ jan˨˩
暗礁	am˧ ziu˥
暗中	am˧ zung˥
暗中摸索	am˧ zung˥ mo˧˥ sok˧
暗轉	am˧ zyun˧˥
奀咕咕	an˥ gu˨˩ gu˨˩
䟴身䟴勢	an˧ san˥ an˧ sai˧
鶯歌燕舞	ang˥ go˥ jin˧ mou˩˧
鶯鳥	ang˥ niu˩˧
哽耳	ang˧˥ ji˩˧
哽心	ang˧˥ sam˥
哽心哽肺	ang˧˥ sam˥ ang˧˥ fai˧
哽住哽住	ang˧˥ zyu˨ ang˧˥ zyu˨
噏得就噏	ap˥ dak˥ zau˨ ap˥
噏耷	ap˥ dap˥
罨耷	ap˥ dap˥
噏東噏西	ap˥ dung˥ ap˥ sai˥
噏下	ap˥ haa˩˧
噏下噏下	ap˥ haa˩˧ ap˥ haa˩˧
噏撈	ap˥ lou˥
噏三噏四	ap˥ saam˥ ap˥ sei˧
罨汁	ap˥ zap˥
醃臢	ap˥ zap˥
歐亞鴝	au˥ aa˧ keoi˨˩
歐當歸	au˥ dong˥ gwai˥
歐金斑鴴	au˥ gam˥ baan˥ hang˨˩
歐金翅雀	au˥ gam˥ ci˧ zoek˧
歐根紗	au˥ gan˥ saa˥
歐吉桑	au˥ gat˥ song˥
歐幾里德	au˥ gei˧˥ lei˩˧ dak˥
歐歌鶇	au˥ go˥ dung˥
歐夜鷹	au˥ je˨ jing˥
歐裔	au˥ jeoi˨
歐若拉	au˥ joek˨ laai˥
歐陽	au˥ joeng˨˩
歐元	au˥ jyun˨˩
歐拉碟	au˥ laai˥ dip˧˥
歐羅	au˥ lo˨˩
歐羅巴	au˥ lo˨˩ baa˥
歐米伽	au˥ mai˩˧ gaa˥
歐盟	au˥ mang˨˩
歐美	au˥ mei˩˧
歐姆	au˥ mou˩˧
歐姆定律	au˥ mou˩˧ ding˨ leot˨
歐西	au˥ sai˥
歐式幾何	au˥ sik˥ gei˧˥ ho˨˩
漚仔婆	au˥ zai˧˥ po˧˥
歐洲	au˥ zau˥
歐洲杯	au˥ zau˥ bui˥
歐洲山楊	au˥ zau˥ saan˥ joeng˨˩
鷗嘴噪鷗	au˥ zeoi˧˥ cou˧ au˥
嘔白泡	au˧˥ baak˨ paau˥
嘔出物	au˧˥ ceot˥ mat˨
毆打	au˧˥ daa˧˥
毆鬥	au˧˥ dau˧
嘔電	au˧˥ din˨
嘔氣	au˧˥ hei˧
嘔血	au˧˥ hyut˧
嘔完	au˧˥ jyun˨˩
嘔晒	au˧˥ saai˧
嘔心	au˧˥ sam˥
嘔心瀝血	au˧˥ sam˥ lik˥ hyut˧
嘔死	au˧˥ sei˧˥
嘔吐	au˧˥ tou˧
嘔吐物	au˧˥ tou˧ mat˨
毆跛	au˧ bai˥
熰火	au˧ fo˧˥
慪氣	au˧ hei˧
漚雨	au˧ jyu˩˧
漚爛晒	au˧ laan˨ saai˧
漚霉	au˧ mui˨˩
漚仔	au˧ zai˧˥
漚仔婆	au˧ zai˧˥ po˧˥
巴巴閉	baa˥ baa˥ bai˧
巴巴閉閉	baa˥ baa˥ bai˧ bai˧
巴巴多斯	baa˥ baa˥ do˥ si˥
巴巴結結	baa˥ baa˥ git˧ git˧
爸爸媽咪	baa˥ baa˥ maa˥ mi˥
巴巴喳喳	baa˥ baa˥ zaa˥ zaa˥
巴敗	baa˥ baai˨
巴閉	baa˥ bai˧
巴閉喇	baa˥ bai˧ laa˧
巴不得	baa˥ bat˥ dak˥
巴比龍	baa˥ bei˧˥ lung˨˩
巴比通	baa˥ bei˧˥ tung˥
巴寶莉	baa˥ bou˧˥ lei˨
巴布亞新畿內亞	baa˥ bou˧ aa˧ san˥ gei˥ noi˨ aa˧
巴布狗	baa˥ bou˧ gau˧˥
巴前算後	baa˥ cin˨˩ syun˧ hau˨
巴塞	baa˥ coi˧
巴松	baa˥ cung˨˩
巴松管	baa˥ cung˨˩ gun˧˥
巴打	baa˥ daa˧˥
爸打	baa˥ daa˧˥
巴旦杏	baa˥ daan˧ hang˨
巴旦木	baa˥ daan˧ muk˨
芭達雅	baa˥ daat˨ ngaa˩˧
巴豆殼	baa˥ dau˧˥ hok˧
巴豆屬	baa˥ dau˧˥ suk˨
巴格達	baa˥ gaak˧ daat˨
巴膠	baa˥ gaau˥
鈀金	baa˥ gam˥
巴基斯坦	baa˥ gei˥ si˥ taan˧˥
巴基斯坦文	baa˥ gei˥ si˥ taan˧˥ man˧˥
巴結	baa˥ git˧
巴哈伊	baa˥ haa˥ ji˥
巴哈馬	baa˥ haa˥ maa˩˧
疤痕	baa˥ han˨˩
疤痕組織	baa˥ han˨˩ zou˧˥ zik˥
巴爾幹半島	baa˥ ji˩˧ gon˧ bun˧ dou˧˥
䰾魚	baa˥ jyu˧˥
巴拉圭	baa˥ laai˥ gwai˥
巴勒斯坦	baa˥ laak˨ si˥ taan˧˥
巴辣	baa˥ laat˨
巴辣臭寸	baa˥ laat˨ cau˧ cyun˧
巴黎	baa˥ lai˨˩
巴黎綠	baa˥ lai˨˩ luk˨
巴黎帽	baa˥ lai˨˩ mou˧˥
巴黎鐵塔	baa˥ lai˨˩ tit˧ taap˧
巴黎造型	baa˥ lai˨˩ zou˨ jing˨˩
巴林	baa˥ lam˨˩
巴撚閉	baa˥ lan˧˥ bai˧
巴厘	baa˥ lei˨˩
巴厘島	baa˥ lei˨˩ dou˧˥
笆籬子	baa˥ lei˨˩ zi˧˥
峇里島	baa˥ lei˩˧ dou˧˥
巴里島	baa˥ lei˩˧ dou˧˥
巴叻	baa˥ lek˥
芭蕾舞	baa˥ leoi˨˩ mou˩˧
巴蕾舞團	baa˥ leoi˨˩ mou˩˧ tyun˨˩
芭樂	baa˥ lok˨
巴拿芬蠟	baa˥ naa˨˩ fan˥ laap˨
巴拿馬	baa˥ naa˨˩ maa˩˧
巴拿馬運河	baa˥ naa˨˩ maa˩˧ wan˨ ho˨˩
吧女	baa˥ neoi˧˥
巴甫洛夫	baa˥ pou˧˥ lok˨ fu˥
巴三覽四	baa˥ saam˥ laam˩˧ sei˧
巴山夜雨	baa˥ saan˥ je˨ jyu˩˧
巴山蜀水	baa˥ saan˥ suk˨ seoi˧˥
巴西	baa˥ sai˥
巴西龜	baa˥ sai˥ gwai˥
巴西美食	baa˥ sai˥ mei˩˧ sik˨
巴西戰舞	baa˥ sai˥ zin˧ mou˩˧
巴絲	baa˥ si˥
巴斯克語	baa˥ si˥ hak˥ jyu˩˧
巴士	baa˥ si˧˥
巴屎閉	baa˥ si˧˥ bai˧
巴屎閉閉	baa˥ si˧˥ bai˧ bai˧
巴士飛	baa˥ si˧˥ fei˥
巴士佬	baa˥ si˧˥ lou˧˥
巴士司機	baa˥ si˧˥ si˥ gei˥
巴士線	baa˥ si˧˥ sin˧
巴士站	baa˥ si˧˥ zaam˨
巴士專線	baa˥ si˧˥ zyun˥ sin˧
巴士迷	baa˥ si˨ mai˨˩
巴氏殺菌	baa˥ si˨ saat˧ kwan˧˥
巴氏試驗	baa˥ si˨ si˧ jim˨
巴仙	baa˥ sin˥
巴頭探腦	baa˥ tau˨˩ taam˧ nou˩˧
吧檯	baa˥ toi˧˥
巴塘	baa˥ tong˨˩
巴喳	baa˥ zaa˥
巴揸	baa˥ zaa˥
巴渣	baa˥ zaa˥
巴扎	baa˥ zaat˧
巴之閉	baa˥ zi˥ bai˧
巴唧	baa˥ zik˥
巴唧巴唧	baa˥ zik˥ baa˥ zik˥
芭蕉	baa˥ ziu˥
芭蕉葉	baa˥ ziu˥ jip˨
芭蕉扇	baa˥ ziu˥ sin˧
巴掌	baa˥ zoeng˧˥
把握	baa˧˥ ak˥
㞎㞎	baa˧˥ baa˧˥
把柄	baa˧˥ beng˧
把春	baa˧˥ ceon˥
把持	baa˧˥ ci˨˩
把持不定	baa˧˥ ci˨˩ bat˥ ding˨
把火	baa˧˥ fo˧˥
把風	baa˧˥ fung˥
把幾火	baa˧˥ gei˧˥ fo˧˥
把關	baa˧˥ gwaan˥
把鬼	baa˧˥ gwai˧˥
把鬼火	baa˧˥ gwai˧˥ fo˧˥
把口	baa˧˥ hau˥
把口臭	baa˧˥ hau˧˥ cau˧
把口啷過油	baa˧˥ hau˧˥ long˧˥ gwo˧ jau˨˩
把口瑯過油	baa˧˥ hau˧˥ long˧˥ gwo˧ jau˨˩
把口𠺘過油	baa˧˥ hau˧˥ long˧˥ gwo˧ jau˨˩
把口唔修	baa˧˥ hau˧˥ m˨˩ sau˥
把口唔收	baa˧˥ hau˧˥ m˨˩ sau˥
把戲	baa˧˥ hei˧
罷啦	baa˧˥ laa˥
罷喇	baa˧˥ laa˥
把撚	baa˧˥ lan˧˥
把馬子	baa˧˥ maa˩˧ zi˧˥
把脈	baa˧˥ mak˨
把乜春	baa˧˥ mat˥ ceon˥
把炮	baa˧˥ paau˧
把屁	baa˧˥ pei˧
把屁咩	baa˧˥ pei˧ me˥
把勢	baa˧˥ sai˧
靶心	baa˧˥ sam˥
把心一橫	baa˧˥ sam˥ jat˥ waang˨˩
把心唔定	baa˧˥ sam˥ m˨˩ ding˨
把守	baa˧˥ sau˧˥
把手	baa˧˥ sau˧˥
把死臭口	baa˧˥ sei˧˥ cau˧ hau˧˥
把屎	baa˧˥ si˧˥
靶船	baa˧˥ syun˨˩
把舦	baa˧˥ taai˩˧
把軚	baa˧˥ taai˩˧
把舵	baa˧˥ to˨˩
把托	baa˧˥ tok˧
把穩	baa˧˥ wan˧˥
把酒言歡	baa˧˥ zau˧˥ jin˨˩ fun˥
靶子	baa˧˥ zi˧˥
靶紙	baa˧˥ zi˧˥
霸道	baa˧ dou˨
霸個位	baa˧ go˧ wai˧˥
霸氣	baa˧ hei˧
霸權	baa˧ kyun˨˩
霸靚位	baa˧ leng˧ wai˧˥
把撛	baa˧ leon˩˧
霸凌	baa˧ ling˨˩
霸掗	baa˧ ngaa˨
霸𦜖	baa˧ ngaa˨
覇位	baa˧ wai˧˥
霸位	baa˧ wai˧˥
霸王	baa˧ wong˨˩
霸王鴨	baa˧ wong˨˩ aap˧
霸王鞭	baa˧ wong˨˩ bin˥
霸王餐	baa˧ wong˨˩ caan˥
霸王花	baa˧ wong˨˩ faa˥
霸王飯	baa˧ wong˨˩ faan˨
霸王雞	baa˧ wong˨˩ gai˥
霸王雞乸	baa˧ wong˨˩ gai˥ naa˧˥
霸王客	baa˧ wong˨˩ haak˧
霸王龍	baa˧ wong˨˩ lung˨˩
霸王硬上弓	baa˧ wong˨˩ ngaang˨ soeng˩˧ gung˥
霸佔	baa˧ zim˧
霸主	baa˧ zyu˧˥
霸住晒	baa˧ zyu˨ saai˧
霸住屎坑唔屙屎	baa˧ zyu˨ si˧˥ haang˥ m˨˩ o˥ si˧˥
霸住屎坑唔痾屎	baa˧ zyu˨ si˧˥ haang˥ m˨˩ o˥ si˧˥
爸爸	baa˨˩ baa˥
叭叭聲	baa˨˩ baa˧˥ seng˥
吧吧聲	baa˨˩ baa˧˥ seng˥
罷斥	baa˨ cik˥
罷課	baa˨ fo˧
罷教	baa˨ gaau˧
罷官	baa˨ gun˥
罷工	baa˨ gung˥
罷學	baa˨ hok˨
罷休	baa˨ jau˥
罷了	baa˨ liu˩˧
罷買	baa˨ maai˩˧
罷免	baa˨ min˩˧
罷駛	baa˨ sai˧˥
罷手	baa˨ sau˧˥
罷市	baa˨ si˩˧
罷就	baa˨ zau˨
罷黜	baa˨ zyut˨
拜拜	baai˥ baai˧
拜拜肉	baai˥ baai˧ juk˨
拜拜你條尾	baai˥ baai˧ nei˩˧ tiu˨˩ mei˩˧
掰扯	baai˥ ce˧˥
掰手腕	baai˥ sau˧˥ wun˧˥
掰彎	baai˥ waan˥
掰腕子	baai˥ wun˧˥ zi˧˥
擺薄落	baai˧˥ bok˨ lok˥
擺佈	baai˧˥ bou˧
擺設	baai˧˥ cit˧
擺長龍	baai˧˥ coeng˨˩ lung˨˩
擺彩	baai˧˥ coi˧˥
擺低錢	baai˧˥ dai˥ cin˧˥
擺低一蚊	baai˧˥ dai˥ jat˥ man˥
擺堆	baai˧˥ deoi˥
擺定	baai˧˥ ding˨
擺檔	baai˧˥ dong˧
擺檔口	baai˧˥ dong˧ hau˧˥
擺蕩	baai˧˥ dong˨
擺到明	baai˧˥ dou˧ ming˨˩
擺動	baai˧˥ dung˨
擺花架子	baai˧˥ faa˥ gaa˧˥ zi˧˥
擺返低	baai˧˥ faan˥ dai˥
擺晃	baai˧˥ fong˧˥
擺放	baai˧˥ fong˧
擺款	baai˧˥ fun˧˥
擺闊佬	baai˧˥ fut˧ lou˧˥
擺架子	baai˧˥ gaa˧ zi˧˥
擺街	baai˧˥ gaai˥
擺街邊	baai˧˥ gaai˥ bin˥
擺街檔	baai˧˥ gaai˥ dong˧
擺結婚酒	baai˧˥ git˧ fan˥ zau˧˥
擺供	baai˧˥ gung˧
擺開架生	baai˧˥ hoi˥ gaa˧ saang˥
擺樣子	baai˧˥ joeng˨ zi˧˥
擺柳	baai˧˥ lau˩˧
擺擂臺	baai˧˥ leoi˨˩ toi˨˩
擺列	baai˧˥ lit˨
擺老門	baai˧˥ lou˩˧ mun˨˩
擺老烏	baai˧˥ lou˩˧ wu˥
擺路祭	baai˧˥ lou˨ zai˧
擺龍門陣	baai˧˥ lung˨˩ mun˨˩ zan˨
擺唔低	baai˧˥ m˨˩ dai˥
擺賣	baai˧˥ maai˨
擺尾	baai˧˥ mei˩˧
擺明	baai˧˥ ming˨˩
擺明車馬	baai˧˥ ming˨˩ geoi˥ maa˩˧
擺門	baai˧˥ mun˨˩
擺門面	baai˧˥ mun˨˩ min˨
擺平	baai˧˥ ping˨˩
擺平佢	baai˧˥ ping˨˩ keoi˩˧
擺甫士	baai˧˥ pou˥ si˧˥
擺譜	baai˧˥ pou˧˥
擺手擺臂	baai˧˥ sau˧˥ baai˧˥ bei˧
擺事實	baai˧˥ si˨ sat˨
擺線	baai˧˥ sin˧
擺上檯	baai˧˥ soeng˩˧ toi˧˥
擺攤子	baai˧˥ taan˥ zi˧˥
擺脫	baai˧˥ tyut˧
擺脫危機	baai˧˥ tyut˧ ngai˨˩ gei˥
擺橫	baai˧˥ waang˨˩
擺位	baai˧˥ wai˧˥
擺烏龍	baai˧˥ wu˥ lung˧˥
擺祭	baai˧˥ zai˧
擺陣	baai˧˥ zan˨
擺酒	baai˧˥ zau˧˥
擺造型	baai˧˥ zou˨ jing˨˩
擺鐘	baai˧˥ zung˥
拜別	baai˧ bit˨
拜懺	baai˧ caam˧
拜祠堂	baai˧ ci˨˩ tong˧˥
拜大忌	baai˧ daai˨ gei˨
拜大壽	baai˧ daai˨ sau˨
拜得神多自有神庇佑	baai˧ dak˥ san˨˩ do˥ zi˨ jau˩˧ san˨˩ bei˧ jau˨
拜墊	baai˧ din˧˥
拜讀	baai˧ duk˨
拜科努爾	baai˧ fo˥ nou˩˧ ji˩˧
拜訪	baai˧ fong˧˥
拜服	baai˧ fuk˨
拜金	baai˧ gam˥
拜見	baai˧ gin˧
拜下神	baai˧ haa˩˧ san˥
拜候	baai˧ hau˨
拜人爲師	baai˧ jan˨˩ wai˨˩ si˥
拜老公	baai˧ lou˩˧ gung˥
拜老師	baai˧ lou˩˧ si˥
拜物教	baai˧ mat˨ gaau˧
拜廟	baai˧ miu˨
拜望	baai˧ mong˨
拜五臟廟	baai˧ ng˩˧ zong˨ miu˧˥
拜五臟神	baai˧ ng˩˧ zong˨ saan˨˩
拜五臟神	baai˧ ng˩˧ zong˨ san˨˩
拜年	baai˧ nin˨˩
拜年卡	baai˧ nin˨˩ kaak˥
拜年咭	baai˧ nin˨˩ kaak˥
拜案	baai˧ on˧
拜山	baai˧ saan˥
拜神	baai˧ san˨˩
拜神唔見雞	baai˧ san˨˩ m˨˩ gin˧ gai˥
拜壽	baai˧ sau˨
拜夀	baai˧ sau˨
拜四角	baai˧ sei˧ gok˧
拜師	baai˧ si˥
拜天地	baai˧ tin˥ dei˨
拜帖	baai˧ tip˧˥
拜檯	baai˧ toi˧˥
拜託	baai˧ tok˧
拜堂	baai˧ tong˨˩
拜會	baai˧ wui˨
拜祭	baai˧ zai˧
拜氈	baai˧ zin˥
拜袓先	baai˧ zou˧˥ sin˥
敗北	baai˨ bak˥
敗筆	baai˨ bat˥
敗不成軍	baai˨ bat˥ sing˨˩ gwan˥
敗兵	baai˨ bing˥
敗兵折將	baai˨ bing˥ zit˧ zoeng˧
敗德	baai˨ dak˥
敗家	baai˨ gaa˥
敗家仔	baai˨ gaa˥ zai˧˥
敗家子	baai˨ gaa˥ zi˧˥
敗家精	baai˨ gaa˥ zing˥
敗軍	baai˨ gwan˥
敗軍之將不可言勇	baai˨ gwan˥ zi˥ zoeng˧ bat˥ ho˧˥ jin˨˩ jung˩˧
敗光	baai˨ gwong˥
敗興而歸	baai˨ hing˧ ji˨˩ gwai˥
敗血	baai˨ hyut˧
敗血病	baai˨ hyut˧ beng˨
敗血症	baai˨ hyut˧ zing˧
憊賴	baai˨ laai˨
敗柳殘花	baai˨ lau˩˧ caan˨˩ faa˥
敗類	baai˨ leoi˨
敗露	baai˨ lou˨
敗水軍師	baai˨ seoi˧˥ gwan˥ si˥
敗絮	baai˨ seoi˩˧
敗絮其中	baai˨ seoi˩˧ kei˨˩ zung˥
敗訴	baai˨ sou˧
敗選	baai˨ syun˧˥
敗退	baai˨ teoi˧
敗壞	baai˨ waai˨
敗陣	baai˨ zan˨
敗走	baai˨ zau˧˥
敗者爲寇	baai˨ ze˧˥ wai˨˩ kau˧
敗仗	baai˨ zoeng˧
敗將	baai˨ zoeng˧
迫切希望	baak˥ cit˧ hei˥ mong˨
迫於形勢	baak˥ jyu˥ jing˨˩ sai˧
啪紐	baak˥ nau˧˥
啪鈕	baak˥ nau˧˥
廹鈕	baak˥ nau˧˥
迫鈕	baak˥ nau˧˥
㩧手指綟	baak˥ sau˧˥ zi˧˥ lit˧
伯伯	baak˧ baak˧
白鼻哥	baak˧ bei˨ go˥
百變星君	baak˧ bin˧ sing˥ gwan˥
百變造型	baak˧ bin˧ zou˨ jing˨˩
百寶囊	baak˧ bou˧˥ nong˨˩
百寶箱	baak˧ bou˧˥ soeng˥
百步穿楊	baak˧ bou˨ cyun˥ joeng˨˩
百般	baak˧ bun˥
百般巴結	baak˧ bun˥ baa˥ git˧
百般刁難	baak˧ bun˥ diu˥ naan˨˩
百般奉承	baak˧ bun˥ fung˨ sing˨˩
百尺竿頭	baak˧ cek˧ gon˥ tau˨˩
百尺竿頭，更進一步	baak˧ cek˧ gon˥ tau˨˩ gang˧ zeon˧ jat˥ bou˨
柏青哥	baak˧ cing˥ go˥
伯賽大	baak˧ coi˧ daai˨
百川歸海	baak˧ cyun˥ gwai˥ hoi˧˥
百搭	baak˧ daap˧
伯特蘭	baak˧ dak˨ laan˨˩
伯特蘭德	baak˧ dak˨ laan˨˩ dak˥
百屌成材	baak˧ diu˧˥ sing˨˩ coi˨˩
百屌成纔	baak˧ diu˧˥ sing˨˩ coi˨˩
百度一下	baak˧ dok˨ jat˥ haa˩˧
百毒不侵	baak˧ duk˨ bat˥ cam˥
百讀不厭	baak˧ duk˨ bat˥ jim˧
百端待舉	baak˧ dyun˥ doi˨ geoi˧˥
百花齊放	baak˧ faa˥ cai˨˩ fong˧
百花油	baak˧ faa˥ jau˨˩
百花怒放	baak˧ faa˥ nou˨ fong˧
百花爭艷	baak˧ faa˥ zang˥ jim˨
百發百中	baak˧ faat˧ baak˧ zung˧
百廢待舉	baak˧ fai˧ doi˨ geoi˧˥
百廢俱興	baak˧ fai˧ keoi˥ hing˥
百廢具興	baak˧ fai˧ keoi˥ hing˥
百分百	baak˧ fan˨ baak˧
百分比	baak˧ fan˨ bei˧˥
百分點	baak˧ fan˨ dim˧˥
百分率	baak˧ fan˨ leot˨
百分數	baak˧ fan˨ sou˧
百分制	baak˧ fan˨ zai˧
百分之	baak˧ fan˨ zi˥
百科詞典	baak˧ fo˥ ci˨˩ din˧˥
百科全書	baak˧ fo˥ cyun˨˩ syu˥
百科事典	baak˧ fo˥ si˨ din˧˥
百科知識	baak˧ fo˥ zi˥ sik˥
百貨	baak˧ fo˧
百貨公司	baak˧ fo˧ gung˥ si˥
百貨應百客	baak˧ fo˧ jing˧ baak˧ haak˧
百貨商場	baak˧ fo˧ soeng˥ coeng˨˩
百夫長	baak˧ fu˥ zoeng˧˥
伯父	baak˧ fu˨
百家福	baak˧ gaa˥ fuk˥
百加利	baak˧ gaa˥ lei˧˥
百家樂	baak˧ gaa˥ lok˨
百家姓	baak˧ gaa˥ sing˥
百家爭鳴	baak˧ gaa˥ zang˥ ming˨˩
百佳	baak˧ gaai˥
百計千方	baak˧ gai˧ cin˥ fong˥
百金花	baak˧ gam˥ faa˥
百感交集	baak˧ gam˧˥ gaau˥ zaap˨
百斤加一	baak˧ gan˥ gaa˥ jat˥
百潔布	baak˧ git˧ bou˧
伯公	baak˧ gung˥
百果	baak˧ gwo˧˥
百合	baak˧ hap˨
百合花	baak˧ hap˨ faa˥
百合匙	baak˧ hap˨ si˨˩
百合子	baak˧ hap˨ zi˧˥
百口莫辯	baak˧ hau˧˥ mok˨ bin˨
百香果汁	baak˧ hoeng˥ gwo˧˥ zap˥
百孔千瘡	baak˧ hung˧˥ cin˥ cong˥
百日宴	baak˧ jat˨ jin˧
百日咳	baak˧ jat˨ kat˥
柏油	baak˧ jau˨˩
伯友	baak˧ jau˩˧
伯有	baak˧ jau˩˧
伯爺公	baak˧ je˥ gung˥
伯爺婆	baak˧ je˥ po˧˥
伯爺	baak˧ je˨˩
百厭	baak˧ jim˧
百厭鬼	baak˧ jim˧ gwai˧˥
百厭星	baak˧ jim˧ sing˥
百葉窗	baak˧ jip˨ coeng˥
百葉簾	baak˧ jip˨ lim˧˥
百越	baak˧ jyut˨
百里香	baak˧ lei˩˧ hoeng˥
伯理璽天德	baak˧ lei˩˧ saai˧˥ tin˥ dak˥
百利士	baak˧ lei˨ si˨
伯利茲	baak˧ lei˨ zi˥
百裏挑一	baak˧ leoi˩˧ tiu˥ jat˥
百煉鋼	baak˧ lin˨ gong˧
百煉成鋼	baak˧ lin˨ sing˨˩ gong˧
百靈鳥	baak˧ ling˨˩ niu˩˧
百倮宴	baak˧ lo˨˩ jin˧
伯樂	baak˧ lok˨
伯勞	baak˧ lou˨˩
伯勞鳥	baak˧ lou˨˩ niu˩˧
百萬	baak˧ maan˨
百萬富翁	baak˧ maan˨ fu˧ jung˥
百萬赫茲	baak˧ maan˨ haak˥ zi˥
百萬位	baak˧ maan˨ wai˧˥
百米賽跑	baak˧ mai˩˧ coi˧ paau˧˥
百聞不如一見	baak˧ man˨˩ bat˥ jyu˨˩ jat˥ gin˧
百密一疏	baak˧ mat˨ jat˥ so˥
百物騰貴	baak˧ mat˨ tang˨˩ gwai˧
百忙	baak˧ mong˨˩
百忙當中	baak˧ mong˨˩ dong˥ zung˥
百無一長	baak˧ mou˨˩ jat˥ coeng˨˩
百無一失	baak˧ mou˨˩ jat˥ sat˥
百無聊賴	baak˧ mou˨˩ liu˨˩ laai˨
伯母	baak˧ mou˩˧
百冇	baak˧ mou˩˧
百衲本	baak˧ naap˨ bun˧˥
百衲衣	baak˧ naap˨ ji˥
伯顏	baak˧ ngaan˨˩
百眼巨人	baak˧ ngaan˩˧ geoi˨ jan˨˩
百年大計	baak˧ nin˨˩ daai˨ gai˧
百年典藏	baak˧ nin˨˩ din˧˥ cong˨˩
百年故事	baak˧ nin˨˩ gu˧ si˨
百年歸老	baak˧ nin˨˩ gwai˥ lou˩˧
百年糊塗	baak˧ nin˨˩ wu˨˩ tou˨˩
百鳥朝鳳	baak˧ niu˩˧ ciu˨˩ fung˨
百鳥居	baak˧ niu˩˧ geoi˥
百鳥歸巢	baak˧ niu˩˧ gwai˥ caau˨˩
伯娘	baak˧ noeng˨˩
百腦匯	baak˧ nou˩˧ wui˨
伯婆	baak˧ po˨˩
百獸之王	baak˧ sau˧ zi˥ wong˨˩
百歲雞	baak˧ seoi˧ gai˥
百歲老人	baak˧ seoi˧ lou˩˧ jan˨˩
百思莫解	baak˧ si˥ mok˨ gaai˧˥
百事	baak˧ si˨
百事輕怡	baak˧ si˨ hing˥ ji˨˩
百事可樂	baak˧ si˨ ho˧˥ lok˨
百事俱廢	baak˧ si˨ keoi˥ fai˧
百事通	baak˧ si˨ tung˥
百姓	baak˧ sing˧
百姓廟	baak˧ sing˧ miu˧˥
百上加斤	baak˧ soeng˨ gaa˥ gan˥
伯叔	baak˧ suk˥
伯叔祖母	baak˧ suk˥ zou˧˥ mou˩˧
百彈齋主	baak˧ taan˨˩ zaai˥ zyu˧˥
百團大戰	baak˧ tyun˨˩ daai˨ zin˧
百卉千葩	baak˧ wai˧˥ cin˥ paa˥
百姿千態	baak˧ zi˥ cin˥ taai˧
百子櫃	baak˧ zi˧˥ gwai˨
百褶裙	baak˧ zip˧ kwan˨˩
百折不撓	baak˧ zit˧ bat˥ naau˨˩
百折不回	baak˧ zit˧ bat˥ wui˨˩
伯爵	baak˧ zoek˧
百足	baak˧ zuk˥
百足咁多爪	baak˧ zuk˥ gam˧ do˥ zaau˧˥
伯仲叔季	baak˧ zung˨ suk˥ gwai˧
伯仲之間	baak˧ zung˨ zi˥ gaan˥
白翳	baak˨ ai˧
白白	baak˨ baak˨
白白癡癡	baak˨ baak˨ ci˥ ci˥
白白淨淨	baak˨ baak˨ zing˨ zing˨
白斑病	baak˨ baan˥ beng˨
白斑症	baak˨ baan˥ zing˧
白板	baak˨ baan˧˥
白板筆	baak˨ baan˧˥ bat˥
白板車	baak˨ baan˧˥ ce˥
白板仔	baak˨ baan˧˥ zai˧˥
白鼻哥陪考	baak˨ bei˨ go˥ pui˨˩ haau˧˥
白鼻子	baak˨ bei˨ zi˧˥
白璧微瑕	baak˨ bik˥ mei˨˩ haa˨˩
白璧無瑕	baak˨ bik˥ mou˨˩ haa˨˩
白表	baak˨ biu˧˥
白布鞋	baak˨ bou˧ haai˨˩
白報紙	baak˨ bou˧ zi˧˥
白背磯鶇	baak˨ bui˧ gei˥ dung˥
白背兀鷲	baak˨ bui˧ ngat˨ zau˨
白茶	baak˨ caa˨˩
白車	baak˨ ce˥
