-al	al
akrobatický	akrobatɪtskˈiː
akrofonický	akrofonɪtskɪː
akromegalie	akromɛgalɪjɛ
akronym	akronɪm
akronymech	akronɪmɛx
akronymem	akronɪmɛm
akronymu	akronɪmu
akronymum	akronɪmum
akronymy	akronɪmɪ
akronymům	akronɪmuːm
akropole	akropolɛ
akrostich	akrostɪx
akrylové	akrɪlovɛːn
akrylovým	akrɪlovˈiːm
akrů	akɾuː
aksamit	aksamɪt
akt	ˈakt
aktinium	aktiːnɪjum
aktinoid	aktɪnojt
aktinoid	aktɪnoɪt
aktiv	ˈaktɪf
aktivace	aktɪvatstsɛ
aktiva bilance	aktivapɪlantsɛ
aktivismus	akcɪvɪzmus
aktivista	aktsɪvɪsta
aktivistka	aktɪvɪstka
aktivisté	aktɪvjstɛː
aktivisté	ʔaktɪvɪstɛː
aktivistů	ʔaktɪvɪstuː
aktivita	aktɪvɪta
aktivita záření	aktɪvɪtazaːr̝ɛɲiː
aktivity	aktɪvɪtɪ
aktivitám	aktɪvɪtaːm
aktivizmus	akcɪvɪzmus
aktivizovat	aktɛvizovat
aktivní	aktɪvɪniː
aktivní	ʔaktɪvɲiː
aktivní expanzi	aktɪvɲiːɛkspansɪ
aktivní prostředí	aktɪvɲˈiːprostr̝ɛɟiː
aktivně	aktiːvɲɛ
aktivně	aktɪvɲɛ
aktivně probíhá	aktɪvɲɛprobiːɦaː
aktivované uhlí	aktɪvovanɛːuɦliː
aktivovaný	aktɪvovaniː
aktivovat	aktɪvovat
aktivovati	aktɪvovacɪ
aktivován	aktɪvovaːn
aktivovány	aktɪvovaːnɪ
aktivování	aktivovˈaːniː
aktivují	aktɪvujiː
aktivum	aktivum
aktovečka	aktovɛtʃka
aktovka	aktɔfka
aktovka	ˈaktofka
aktualismus	aktualɪzmus
aktualita	aktualita
aktualizaci	aktualizatsɪ
aktualizmus	aktualɪzmus
aktualizovaného	aktualizavanɛːɦo
aktualizovaný	aktualɪzovaniː
aktualizovat	aktualizovat
aktuálnost	aktuaːlnˈost
aktuální	aktuaːniː
aktuální	ˈaktuˌaːlɲiː
aktuálních	aktuaːlɲiːx
aktuálně	aktuaːlɲɛ
akty	aktɨ
aktér	aktɛr
akumulace	ʔakumulatsɛ
akumulační schopnost	akumulatʃɲiːsxopnost
akumulovat	akumulavat
akumulátor	akumulator
akumulátor	ˈakumˌulaːtor
akumulátoroví	ˈakumˌulaːtˌoroviː
akumulátorový	ˈakumˌulaːtˌoroviː
akupunktura	akupunktura
akuratesní	akuratɛsɲiː
akurátní	akvraːtɲiː
akustický	akustɪtskˈiː
akustika	akustika
akustika	akustɪka
akutní	ˈakutɲiː
akuty	akutɨ
akuzativ	akuzatɪf
akušroubovák	akuʃroubovaːk
akvabela	akvabɛla
akvadukt	ˈakvadukt
akvakultura	akvakul̪t̪uɾa
akvalung	akvaluŋk
akvamarín	akvamarijn
akvamarín	ˈakvamˌariːn
akvamarínový	ˈakvamˌariːnˌoviː
akvapark	ˈakvapark
akvarel	akvarɛl
akvatorium	akvatorjum
akvinský	ʔakvɪnskiː
akvisice	akvɪzɪtsɛ
akvitánie	akvɪtaːɲɪɛ
akvitánský	akvɪtaːnskiː
akvizice	akvɪzɪtsɛ
akvárium	akvaːrɪjum
akyn	akˈɪn
akácie	akaːtsiɛ
akácie	akaːtsɪjɛ
akán	ˈakaːn
akánci	akaːntsɪ
akánec	akaːnɛts
akáni	akaːɲɪ
akánka	akaːnka
akánsky	akaːnskɪ
akánčanka	akaːntʃanka
akánština	akaːnʃcɪna
akát	agaːt
akát	akat
akát	ˈakaːt
akátový	ˈakaːtˌoviː
akční	ˈaktʃɲiː
akční rádius	aktɕɲiːraːdɪus
akčňák	ˈaktʃɲaːk
ala	ˈala
alabama	ˈalabˌama
alabastr	alabastr
alabastroví	ˈalabˌastroviː
alabastrový	ˈalabˌastroviː
alamos	alamos
alamánie	alamaːnɪjɛ
alanův	alanuːf
alarm	ˈalarm
alasy	alasip
alaš	ˈalaʃ
alb	ˈalp
alba	ˈalba
albatros	ˈalbatros
albedo	albɛdo
albem	albɛm
albert	alberts
albert	albɛrt
alberta	albɛrta
albertovi	albɛrtovɪ
albertově	albɛrtovjɛ
albertův	albɛrtuːf
albinismus	albɪnɪzmus
albinizmus	albɪnɪzmus
albrechtice	albrɛxcɪtsɛ
albrechtický	albrɛxcɪtskiː
albrechtičanky	ʔalbrɛxcɪtʃankɪ
albrechtičský	albrɛxcɪtʃskiː
albrechtův	albrɛxtuːf
albrightová	ʔoːlbrajtovaː
albu	albu
album	ˈalbum
albumin	albumen
albumin	ʔalbumɪn
albuminurie	albumɪnurɪjɛ
alby	albe
albánec	ʔalbaːnɛts
albánie	albaːnɪjɛ
albánie	alˈbˈaːnɪðˈ
albánka	albanka
albánka	ʔalbaːnka
albánsky	albaːnskɪ
albánský	ˈalbaːnskiː
albánština	albaːnʃcɪna
albánština	albaːnʃtʃɪna
albín	ˈalbiːn
albínka	albiːnka
albínský	ˈalbiːnskiː
albínův	albiːnuːf
alchymie	alxɪmɪjɛ
alchymista	alxjmista
alchymista	alxɪmɪsta
alchymistický	alxɪmɪstɪtskiː
aldehyd	aldɛɦɪt
aldosteronismus	aldostɛronɪzmus
aldosteronizmus	aldostɛronɪzmus
aldrovandka	ˈaldrovˌantka
ale	ala
ale	ɛɪl
alef	alɛf
alef	alˈɛf
alegorický	alɛgorɪtskiː
alegorický	alɛgˈorɪtskiː
alej	ale
alej	alɛj
aleje	aleje
alejoví	alɛjoviː
alejový	alɛjoviː
alela	alɛla
alelismus	alɛlɪzmus
alelizmus	alɛlɪzmus
aleluja!	alaluja
alely	alɛli
alemánie	alɛmaːnɪjɛ
alemánii	alɛmaːnɪjɪ
alemánií	alɛmaːnɪjiː
alena	alɛna
alena	alɛnɔ
alence	ʔalɛntsɛ
alenka	alɛnka
alenku	ʔalɛnku
alergen	alɛrgɛn
alergická	alɛrgɪtskaː
alergický	alɛrgɪtskiː
alergie	alɛrgɪjɛ
alergii	alɛrgɪjɪ
alespoň	ʔalɛspoɲ
aleuty	aleutɪ
aleutština	alɛutʃtɛna
alex	alɛks
alexandr	alɛksandr
alexandra	alɛksandra
alexandrie	ʔalɛksandrɪjɛ
alexandrijský	alɛksandrɪjskiː
alexandrinismus	alɛksandrɪnɪzmus
alexandrinizmus	alɛksandrɪnɪzmus
alexandrův	alɛksandruːf
alexe	alɛksɛ
alexie	alɛksɪjɛ
ale koncem	alɛkˈontsɛm
ale o autorství	alɛoautorstviː
ale poté	alɛpotɛː
ale skutečnost	alɛskvdɪtʃnˈost
ale sotva	alɛsɔdva
ale vyjednávání	alɛvɪjɛdnaːvaːniː
ale všechny ony byly	alɛfʃɛxnɨonɪbɪlɪ
aleš	alɛʃ
alešův	alɛʃuːf
alfa	ˈalfa
alfabet	alfabɛt
alfabeta	alfabɛta
alfonsův	alfonzuːf
alfrédův	alfrɛːduːf
alfy	alfit
algava	algˈava
algebra	algɛbra
algologie	algologɪjɛ
algor	algoɾa
algoritmický	alɣorɛtmɛtskiː
algoritmus	algorɪtmus
algoritmy	algɔrɪtmɪ
alhambra	alɦambra
alhidáda	alɦɪdaːda
aliance	alijantsɛ
alibi	alɛbɨ
alibi	alɪbɪ
alibismus	alɪbɪzmus
alibisticky	ʔalɪbɪstɪtskɪ
alibizmus	alɪbɪzmus
alicante	alɪkantɛ
alice	alɪtsɛ
alienace	alɪjɛnatsɛ
aligátor	alɪgaːtor
aligátoři	alɛgaːtor̝ɪ
aligátoří	alɪgaːtor̝iː
alikvotní	arɪkvotniː
alimenty	alimɛntɪ
alimenty	alɪmɛntɪ
alimentární	alɪmɛntaːrɲiː
aljašce	aljaʃtso
aljaška	ˈaljaʃka
aljašský	ˈaljaʃskiː
alka	ʔalka
alkalická reakce	alkalitskaːrɛaktsɛ
alkalické prostředí	alkalɪtskɛːprostr̝ɛɟiː
alkalofyt	alkalofɪt
alkaloidy	alkalojdi
alkin	alkĩn
alko	ʔalko
alkohol	alkoɦol
alkoholem	alkoɦolɛm
alkoholický	alkoholɪtskiː
alkoholický	alkoɦolɪtskiː
alkoholik	alkoɦolɪk
alkoholikův	alkoɦolɪkuːf
alkoholismus	alkoɦolɪzmus
alkoholizmus	alkoɦolɪzmus
alkoholička	alkoɦolɪtʃka
alkoholu	alkoɦolu
alkovna	ʔalkovna
alku	ˈalku
alky	alke
alkyd	alkɛt
alkyl	alkɪl
allegro	alɛgro
alláh	ˈalaːx
alláhův	alaːɦuːf
alma-ata	ˈalmaˈata
almanach	ˈalmanax
almanachoví	ˈalmanˌaxoviː
almanachový	ˈalmanˌaxoviː
almara	ˈalmara
almaroví	ˈalmarˌoviː
almarový	ˈalmarˌoviː
almaty	almatɪ
almey	almei
almud	alut
almužna	ˈalmuʒna
almužnička	almuʒɲɪtʃka
almužník	ˈalmuʒɲiːk
almy	alme
almárka	ˈalmaːrka
aloe	alɔɛ
alogismus	alogɪzmus
alogizmus	alogɪzmus
aloi	aloi
alois	alojs
alois	alojʃ
aloisie	aloɪsɪɛ
aloisův	aloɪzuːf
alojzovský	ˈalojzˌofskiː
alokace	aɫokatsɛ
alokovat	ˈalokˌovat
alokuje	alokujɛ
alooví	ˈaloˌoviː
aloový	ˈaloˌoviː
alotropický	aɫotropɪtskiː
alotropismus	alotropɪzmus
alotropizmus	alotropɪzmus
alou	alou
alp	al
alp	alp
alpaka	ˈalpaka
alpakoví	ˈalpakˌoviː
alpakový	ˈalpakˌoviː
alpid	alpɛt
alpinismus	alpɪnɪzmus
alpinista	ʔalpɪnɪsta
alpinizmus	alpɪnɪzmus
alpinka	alpɪnka
alpinský	alpɪnskiː
alpský	ˈalpskiː
alpy	alpe
alpy	alpɪ
alpínka	alpiːnka
alsasanka	alsasanka
alsaska	ˈalsaska
alsasko	ˈalsasko
alsasky	alsaskɪ
alsaská	ˈalsaskaː
alsaský	ˈalsaskiː
alt	aʊt
alt	ˈalt
altaj	ˈaltaj
altajský	ˈaltajskiː
altajský kraj	altajskiːkraːj
alternativ	altɛrnatɪf
alternativa	alternatɪva
alternativní	altɛrnatiːvɲiː
alternativní	altɛrnatɪvɲiː
alternativně	altɛrnatɪvɲɛ
alternativu	ʔaltɛrnatɪvu
alternativě	altɛrnatɪvjɛ
alternátor	altɛrnaːtor
alternátoroví	altɛrnaːtoroviː
alternátorový	altɛrnaːtoroviː
altistka	aɫtɪstka
altner	altnɛr
altnera	altnɛra
altnerovi	ʔaltnɛrovɪ
altnerův	altnɛruːf
altocumulus	ʔaltokumulus
altový	altovi
altruismus	altrujɪzmus
altruista	altruɪsta
altruistka	altruɪstka
altruistku	altruɪstku
altruizmus	altrujɪzmus
alty	alte
altán	altaːn
altán	ˈaltaːn
aluminioví	alumɪnɪjoviː
aluminiový	alumɪnɪjoviː
alumogel	alumogɛl
alumínioví	alumiːnɪjoviː
alumíniový	alumiːnɪjoviː
alund	alum
alury	alurid
aluta	alutˈa
aluviální	aluvɪjaːlɲiː
aluze	aluʑɛ
alveolopalatála	ʔalvɛolopalataːla
alveolára	ʔalvɛolaːra
aly	ali
alšovský	ˈalʃofskiː
alžběta	alʒbjɛta
alžbětinka	alʒbjɛcɪnka
alžbětka	alʑbjɛtka
alžír	ˈalʒiːr
alžírsko	ˈalʒiːrsko
alžírský	ˈalʒiːrskiː
alžířan	ˈalʒiːr̝an
alžířanka	alʒiːr̝anka
alžířanův	alʒiːr̝anuːf
amadeus	amaːdeus
amalgám	amalgaːm
amalgáme	amalgaːmɛ
amalgámový	amalgaːmoviː
aman	aman
amant	ʔamant
amarouny	amarounɪ
amatér	amatɛr
amatér	ʔamatɛːr
amatérismus	amatɛːrɪzmus
amatérizmus	amatɛːrɪzmus
amatérka	amatɛrka
amatérské	amatɛːrskɛː
amatérský	amatɛrskiː
amatérský	amatɛːrskiː
amatérským	amatɛːrskiːm
amatérským	amatɛːrskiːn
amatérův	amatɛːruːf
amazon	amazan
amazonka	amazonka
amazonský	amazonskʰiː
amazonský	ˈamazˌonskiː
ambasador	ʔambasador
ambasadorem	ambasadorɛm
ambasáda	ambasada
ambasádě	ambasaːɟɛ
ambažúra	ʔambaʒuːra
ambice	ambɪtsɛ
ambiciózní	ambɪtsɪoːzɲiː
ambiciózní	ampɪtsɪozɲˈiː
ambicím	ambɪtsiːm
ambigram	ambɪgram
ambit	ambɪt
amblyopický	ʔamblɪjopɪtskiː
ambo	ˈambo
ambona	ˈambona
ambra	ˈambra
ambrosie	ambrozjɛ
ambroví	ˈambroviː
ambrový	ˈambroviː
ambrožův	ambroʒuːf
ambulance	ambulantsa
ambulance	ʔambulantsɛ
ambulantní	ambulantnˈiˈ
amen	amɛn
amen	aːmɛn
amen	ɑˈmɛn
amensalismus	amɛnzalɪzmus
amenzalizmus	amɛnzalɪzmus
americe	amɛrɪtsɛ
americium	amɛriːtsɪjum
americkém	amɛrɪtskɛːm
americký	amerɪtskiː
americký	amɛrɪtskiː
americkým	amɛrɪtskiːm
amerika	amerika
amerika	amɛrɪka
amerika	ʔamɛrɪka
amerikanismus	amɛrɪkanɪzmus
amerikanizmus	amɛrɪkanɪzmus
ameriku	ʔamɛrɪku
amerikánka	amɛrɪkaːnka
američan	amɛrɪtʃan
američanka	amɛrɪtʃanka
američanka	amɛrɪtʃaŋka
američanovi	amɛrɪtʃanovɪ
američtí	amɛrɪtʃciː
ametyst	amɛtɪst
ametystový	amɛtɪstoviː
amfibolit	amfɪbolɪt
amfiteátr	ʔamfɪtɛaːtr
amfora	ˈamfora
amharština	ʔamɦarʃcɪna
amikt	ɑmɪkt
aminokyselina	amɪnokɪsɛlɪna
ammán	amaːn
ammánský	amaːnskiː
amnestie	amnastjɛ
amnestie	amnɛstɪjɛ
amnestii	amnɛstɪjɪ
amnestovat	amnɛstovat
amnestovat	amnɛstɔvat
amnestovati	amnɛstovacɪ
amnézie	ʔamnɛːzɪjɛ
amok	amo
amok	ˈamok
amoky	amoke
amoleta	amolɛta
amoniak	amonɪjak
amoniakoví	amonɪjakoviː
amoniakový	amonɪjakoviː
amoralismus	amoralɪzmus
amoralizmus	amoralɪzmus
amorfismus	amorfɪzmus
amorfizmus	amorfɪzmus
amorfní	amorfiniː
amorfní	ˈamorfɲiː
amortizace	amorcɪzatsɛ
amortizace	amortɨzatsɛ
amortizovat	amortizavat
amorální	amoraːlɲiː
amorální	ˈamorˌaːlɲiː
amos	ˈamos
amosův	amosuːf
amplituda	amplɪtuda
amplituda vibrací	amplɪtudavɪbratsiː
amplitudě	amplɪtuɟɛ
amplión	amplɪoːn
ampule	ampula
ampule	ampulɛ
amputace	amputatsɛ
amputovaný	ˈamputˌovaniː
amputovat	amputavat
amputovat	ˈamputˌovat
amputovati	amputovacɪ
ampér	ampɛr
ampér	ampɛːr
ampérhodina	ʔampɛːrɦoɟɪna
ampérmetr	ampɛːrmɛtr
ampéroví	ampɛːroviː
ampérový	ampɛːroviː
amsterdam	amstɛrdam
amsterodam	amstɛrodam
amtsták	ʔamtstaːk
amu	ˈamu
amudarja	ˈamudˌarja
amulet	amulɛt
amur	ˈamur
amurský	ˈamurskiː
amygdala	amɪgdala
amyl	amɛl
amálie	amaːlɪjɛ
amálka	amalka
améba	amɛba
améba	amɛːba
amélie	amɛːlɪɛ
an	ˈan
ana	ˈana
anabaptismus	anabaptɪzmus
anabaptizmus	anabaptɪzmus
anabaze	anabaza
anabaze	anabazɛ
anabolismus	anabolɪzmus
anabolizmus	anabolɪzmus
anabáze	anabaːzɛ
anachronismus	anaxronismuz
anachronismus	anaxronɪzmus
anachronizmus	anaxronɪzmus
anacionalismus	anatsɪonalɪzmus
anacionalizmus	anatsɪonalɪzmus
anadromní	ˈanadrˌomɲiː
anaerobní	anaɛrobɲiː
anafylaktický	anafɪlaktɪtskiː
anaglyf	anaglɪf
anagram	anagram
anakolut	ˈanakˌolut
anakonda	anakõn̪d̪a
anakonda	ʔanakonda
analfabet	anɑːlfabɛt
analfabetismus	analfabɛtɪzmus
analfabetismus	anˈalfabetɪsmʊs
analfabetizmus	analfabɛtɪzmus
analfabetka	anaɫfabɛtka
analgetický	analgɛtɪtskiː
analgetikum	analgɛtɪkum
analgetikum	anɛlgɛtɪkum
analogickým	analogɛtskiːm
analogie	ʔanalogɪjɛ
analogový signál	anaɫogoviːsɪgnaːl
analogový záznam	onaɫogoviːzaːznam
analysa	analiːza
analyse	analiːzɛ
analytický	ʔanalɪtɪtskiː
analytik	analitˈɪk
analytismus	analɪtɪzmus
analytizmus	analɪtɪzmus
analyzovat	analɪzovat
analyzovati	analɪzovacɪ
analyzování	onalɪzofaːniː
analyzují	analɪzujiː
analýz	analiz
analýza	analiːzɛ
analýza	ˈanalˌiːza
analýzou	analizou
analýzy	analiːzi
ananas	anˈaˈnaˈs
ananas	ˈananas
ananasovník	ˈananˌasovɲiːk
ananasovou	ananasovou
ananasová	ˈananˌasovaː
ananasové	ananasovɛː
ananasového	ananasovɛːɦo
ananasovém	ananasovɛːm
ananasovému	ananasovɛːmu
ananasoví	ˈananˌasoviː
ananasový	ananasovˈiː
ananasový	ˈananˌasoviː
ananasových	ˈananˌasoviːx
ananasovým	ˈananˌasoviːm
ananasovými	ananasoviːmɪ
ananym	ananɪm
anarchie	anarxɪ
anarchie	anarxɪjɛ
anarchismus	anarxɪzmus
anarchista	anarxista
anarchista	anarxɪsta
anarchistický	anarxɪscɪtskiː
anarchistka	anarxɪstka
anarchizmus	anarxɪzmus
anarchokomunismus	anarxokomunɪzmus
anarchokomunizmus	anarxokomunɪzmus
anarchosyndikalismus	anarxosɪndɪkalɪzmus
anarchosyndikalizmus	anarxosɪndɪkalɪzmus
anastázie	anastaːzɪɛ
anatolie	anatolɪjɛ
anatolský	ˈanatˌolskiː
anatolák	ˈanatˌolaːk
anatom	ˈanatom
anatomický	anatomɪtskiː
anatomie	alatomjɛ
anatomie	anatomɪjɛ
anatomy	anatomɪ
anaž	anɑʃ
and	ˈant
andalusanka	andalusanka
andalusie	andaluzɪɛ
andalusie	andaluːzɪjɛ
andalusit	andalusɪt
andante	andantɛ
andezit	andɛzɪt
andezitový	andɛzɪtoviː
andohaniandranomena	ʔandoɦanɪjandranomɛna
andorra	ˈandora
andorrský	ˈandorskiː
andořan	ˈandor̝an
andořanka	andor̝anka
andragogika	andragogɪka
andrej	andrɛj
andrejevich	andrɛjavix
andrejův	andrɛjuːf
androfil	androfɪl
androfilie	androfiːlɪɛ
androfilní	androfɪlɲiː
androgenní	androgɛɲiː
androgynní	androgɪɲiː
androgén	andrˈogɛn
android	androɪt
androidní	androjdɲiː
andromeda	andromɛda
andré	andrɛː
andský	ˈantskiː
andulka	antˈulka
andulák	ˈandulaːk
andy	andɪ
andílek	anɟiːlɛk
anděl	anɟɛl
andělika	anɟɛlɪka
andělikový	anɟɛlɪkoviː
andělin	anɟɛlɪn
andělinův	anɟɛlɪnuːf
andělička	anɟɛlɪtʃka
andělskohorský	anɟɛlskoɦorskiː
andělský	anɟɛlskiː
andělí	anɟɛliː
andělín	anɟɛliːn
andělínův	anɟɛliːnuːf
andělíček	andɛliːtʃɛk
andělíček	anɟɛliːtʃɛk
andělíčkářka	ʔanɟɛliːtʃkaːr̝ka
andělův	anɟɛluːf
aneb	anet
aneb	anɛp
anekdota	anɛgdota
anekdotický	anɛgdotɪtskiː
anekdotický	anɛgrotɪtskiː
anektovala	anɛktovala
anektovaný	anɛktovaniː
anektovat	anɛktɔvat
anekumena	anɛkumɛna
anemický	anɛmɪtskiː
anemofilní	anɛmofɪlɲiː
anemogamie	anɛmogamɪjɛ
anemometr	anɛmomɛtr
anemónka	anɛmoːnka
anenskostudánecký	anɛnskostudaːnɛtskiː
aneroid	anɛroɪt
anestetikum	anɛstɛtɪkum
anesteziologicko-resuscitační	anɛstɛzɪjologɪtskorɛsustsɪtatʃɲiː
anesteziologickoresuscitační	anɛstɛzɪjologɪtskorɛsustsɪtatʃɲiː
anesteziologie	anɛstɛzɪjologɪjɛ
anestézie	anɛstɛzjɛ
aneta	anɛta
anetka	anɛtka
anety	anɛtɪ
aneurysma	aneurɪzma
aneuryzma	aneurɪzma
anex	neks
anexe	anɛksɛ
anexe	unɛkse
anexi	anɛksɪ
anexionismus	anɛksɪonɪzmus
anexionizmus	anɛksɪonɪzmus
anexí	anɛksiː
anežka	anɛʃka
anežka	panɛʃka
angara	aŋgara
angažmá	angaʒmaː
angažmá	aŋgaʒmaː
angina	angɪnɛ
angioplastika	angɪjoplastɪka
anglicismus	anglɪtsɪzmus
anglicizmus	anglɪtsɪzmus
anglicko	anglɪtsko
anglicky	anglɪtskɪ
anglická	anglɛtska
anglické	anglɪtskɛ
anglické	anglɪtskɛː
anglický	anglɪtskiː
anglie	anglɪjɛ
anglikanismus	anglɪkanɪzmus
anglikanizmus	anglɪkanɪzmus
anglikánský	anglɪkaːnskiː
anglista	angljstˈa
anglista	anglɪsta
anglistika	ʔanglɪstɪka
anglistka	angljst̪ka
angličan	ˈanglɪtʃan
angličance	anglɪtʃantsɛ
angličanka	anglɪtʃanka
angličina	anglɪtʃɪna
angličtin	anglɪtʃcɪn
angličtina	anglɪtʃcɪna
angličtinami	anglɪtʃcɪnamɪ
angličtino	anglɪtʃcɪno
angličtinou	anglɪtʃcɪnou
angličtinu	anglɪtʃcɪnu
angličtiny	anglɪtʃcɪnɪ
angličtiny	anɣlɛtʃtɛnɪ
angličtinách	anglɪtʃcɪnaːx
angličtinám	anglɪtʃcɪnaːm
angličtinář	anglɪtʃcɪnaːr
angličtině	anglɪtʃcɪɲɛ
angličák	ʔanglɪtʃaːk
anglokatolicismus	anglokatolɪtsɪzmus
anglokatolicizmus	anglokatolɪtsɪzmus
anglosaský	anglosaskiː
anglosaština	anglosaʃcɪna
angola	angola
angola	aŋgola
angolský	angolskiː
angorismus	angorɪzmus
angorizmus	angorɪzmus
angorský	angorskiː
angorák	angoraːk
angrešt	angræʃt
angrešt	angrɛʃt
angrešt	aŋgrɛʃt
angström	ankstrɛːm
angína	angiːna
angínoví	angiːnoviː
angínový	angiːnoviː
angíně	angiːɲɛ
anhaltovat	anɦaltovat
ani	anˈe
ani	ʔaɲɪ
anima	anima
animace	animatsɛ
animace	anɪmatsɛ
animatismus	anɪmatɪzmus
animatizmus	anɪmatɪzmus
anime	animɛ
animismus	anɪmɪzmus
animizmus	anɪmɪzmus
animo	animo
animovaný	anɪmovanˈiː
animozita	ʔanɪmozɪta
animák	aɲɪmaːk
animální	anɪmaːlɲiː
animírka	anɛmiːrka
anion	anion
anisotropní	anɪzotropɲiː
anitin	anɪcɪn
anitina	anɪcɪna
anizochronismus	anɪzoxronɪzmus
anizochronizmus	anɪzoxronɪzmus
anizotropní	anɪzotropɲiː
anička	aɲitʃka
anička	aɲɪtʃka
aniččin	aɲɪtʃtʃɪn
aniččina	aɲɪtʃtʃɪna
aniž	aɲɪʃ
ankara	ankara
ankerit	ʔankɛrɪt
anketa	ankɛta
anketa	aːnketa
anketními	ankɛtnˈiːmɪ
ankety	ankɛtɪ
anna	ˈana
annin	aɲɪn
ano	ˈano
anoda	ˈanoda
anodické pokovování	anodɪtskɛːpˈokovovaːniː
anodický	anodɪtskiː
anodka	ˈanotka
anodová vrstva	anodouvaːvrstva
anofelismus	anofɛlɪzmus
anofelizmus	anofɛlɪzmus
anomálie	anomalɪɛ
anomálie	ʔanomaːlɪɛ
anomální	anomaːlɲiː
anona	anon
anona	ˈanona
anonce	anˈontsə
anony	anone
anonym	anonim
anonym	ʔanonɪm
anonyme	ʔanonɪmɛ
anonymita	anonɪmɪta
anonymita vkladů	ananɛmɪtafkladuː
anonymní	ʔanonɪmɲiː
anonymnímu	anonɪmɲiːmu
anonymně	ananɪmɲɛ
anonymně	anonɪmɲɛ
anotace	anotatstsa
anotace	anotatsɛ
ansámbl	ansaːmbl
anta	aŋta
antagonismus	antagonɪzmus
antagonista	antagonɪsta
antagonizmus	antagoɲɪzmus
antalův	antaluːf
antananarivo	antananarɪvo
antarktický	antarktɪtskɪ
antarktida	antarktiːda
antarktis	antarktɪs
antedatovaný	antɛdatovaniː
antedatování	antɛdatavaːniː
antepartální	antɛpartaːlɲiː
antiafrodiziakální	antɪafrodɪzɪjakaːlɲiː
antialkoholismus	antɪalkoɦolɪzmus
antialkoholizmus	antɪalkoɦolɪzmus
antibiotika	antɪbɪɔtɪkˈa
antibiotikum	antɪbɪjotɪkum
anticena	antɪtsɛna
anticharta	antɪxarta
antické	antitskɛː
antický	antɪtskiː
antických	antːitskˈiːx
anticyklóna	antɪtsɪkloːna
antidemokratismus	antɪdɛmokratɪzmus
antidemokratizmus	antɪdɛmokratɪzmus
antidepresivum	antɪdɛprɛsiːvum
antidogmatismus	antɪdogmatɪzmus
antidogmatizmus	antɪdogmatɪzmus
antidopingoví	antɪdopɪngoviː
antidopingový	antɪdopɪngoviː
antidotum	antidotˈum
antietatismus	antɪɛtatɪzmus
antietatizmus	antɪɛtatɪzmus
antifašismus	antɛfaʃɪsmʊs
antifašismus	antɪfaʃɪzmus
antifašismus	antˈjfˈaʃɪsmˈs
antifašistického	antɪfaʃɪstɪtskɛːɦo
antifašistický	antɪfaʃɪstɪtskiː
antifašisté	antifaʃɪstɛː
antifašizmus	antɪfaʃɪzmus
antifeminismus	antɪfɛmɪnɪzmus
antifeminizmus	antɪfɛmɪnɪzmus
antiferomagnetismus	antɪfɛromagnɛtɪzmus
antiferomagnetizmus	antɪfɛromagnɛtɪzmus
antigen	antɪgɛn
antigua	antɪgva
antihistorismus	antɪɦɪstorɪzmus
antihistorizmus	antɪɦɪstorɪzmus
antihypertenzivum	antɪɦɪpɛrtɛnzɪvum
antiinfektivum	antɪɪnfɛktɪvum
antika	antika
antiklerikalismus	antɪklɛrɪkalɪzmus
antiklerikalizmus	antɪklɛrɪkalɪzmus
antiklerikální	antɪklɪrɪkaːlniː
antikolonialismus	antɪkolonɪalɪzmus
antikolonializmus	antɪkolonɪalɪzmus
antikomunismus	antɪkomunɪzmus
antikomunizmus	antɪkomunɪzmus
antikorozní	antɪkorozɲiː
antikorozní mazání	antɪkorosɲiːmazaːniː
antikorozní vrstva	antɪkorosɲiːvrstva
antikultovní	antɪkultovɲiː
antikuřák	antɪkur̝aːk
antikvovaný	antɪkvovaniː
antikvární	antɪkvaːrɲiː
antilogismus	antɪlogɪzmus
antilogizmus	antɪlogɪzmus
antilop	antɪlop
antilopa	antɛlɔpa
antilopa	antɪlopa
antilopami	antɪlopamɪ
antilopo	antɪlopo
antilopou	antɪlopou
antilopu	antɪlopu
antilopy	antɪlopɪ
antilopách	antɪlopaːx
antilopám	antɪlopaːm
antilopárna	antɪlopaːrna
antilopí	antɪlopiː
antilopě	antɪlopjɛ
antilský	antɪlskiː
antily	antɪlɪ
antimilitarismus	antɪmɪlɪtarɪzmus
antimilitarizmus	antɪmɪlɪtarɪzmus
antimon	antɪmon
antimon	antˈimon
antimonový	antɪmonoviː
antimykotikum	antɪmɪkotɪkum
antiošský	antɪjoʃskiː
antipatie	antɪpatee
antipopulačně	antɪpopulatʃɲɛ
antipyretikum	antɪpɪrɛtɪkum
antirasista	antɪrasɪsta
antirasistické	antɪrasɪstɪtskɛː
antiscientismus	antɪstsɪɛntɪzmus
antiscientizmus	antɪstsɪɛntɪzmus
antisemita	antɪsɛmɪta
antisemitismus	ʔantɪsɛmɪtɪzmus
antisemitizmus	ʔantɪsɛmɪtɪzmus
antisemitka	antɪsɛmɪtka
antisemitský	antɪsɛmɪtskiː
antiseptikum	antɪsɛptɪkˈuːm
antiskorbutický	antɪskorbutɪtskiː
antispam	antˈɪspˈam
antistatická přísada	antɪstatɪtskaːpr̝iːsada
antisystémový	antɪsɪstɛːmoviː
antiteze	antˈitɛzɛ
antivir	antɪvɪr
