ༀ	om 
ཀུན་ཁྱབ་ཐུགས་རྗེའི་རོལ་པ་ཅིར་ཡང་སྣང	künkhyab tukjé rolpa chiryang nang
ཀུན་ཁྱབ་ཐུགས་རྗེའི་རྩལ་སྣང་སྒྱུ་དྲྭའི་གར	künkhyab tukjé tsalnang gyu dré gar
ཀུན་ཁྱབ་དག་པ་ཡེ་ཤེས་ཆེན་པོ་ལས	künkhyab dakpa yeshe chenpo lé
ཀུན་ཁྱབ་དང་པོའི་སངས་རྒྱས་ཀུན་ཏུ་བཟང	künkhyab dangpö sangye kuntuzang
ཀུན་ཁྱབ་བདེ་ཆེན་འོད་གསལ་ཆོས་ཀྱི་སྐུ	künkhyap dechen ösel chö kyi ku
ཀུན་ཁྱབ་བརྩེ་བའི་སྙིང་རྗེ་བསྒོམ༔	kun khyab tsewé nying jé gom
ཀུན་ཁྱབ་མཁའ་ལ་ཕྲིན་ལས་ཉིན་པོར་བྱེད	künkhyab kha la trinlé nyinpor jé
ཀུན་ཁྱབ་འགྱུར་མེད་རང་བྱུང་རྡོ་རྗེ་སེམས	künkhyab
ཀུན་ཁྱབ་རིག་སྟོང་རྗེན་པའི་ངོ་བོ་རུ་བཞུགས་པ	künkhyab riktong jenpé ngowo ru zhukpa
ཀུན་ཁྱབ་སྣ་ཚོགས་ཤར་གྲོལ་སྤྲུལ་པའི་སྐུ	künkhyab natsok shardrol trulpé ku
ཀུན་ཁྱབ་སྤྲུལ་སྐུའི་ཕོ་བྲང་དུ	künkhyab tulkü podrang du
ཀུན་གཞི་ཆོས་དབྱིངས་ལ་སད་ནས	künzhi chöying la sé né
ཀུན་གཞི་བདེ་གཤེགས་སྙིང་པོའི་རྒྱལ་ས་ཟིན	künzhi deshek nyingpö gyalsa zin
ཀུན་གཞི་མ་བཅོས་ཀློང་ཡངས་ནས༔	künzhi machö long yang né
ཀུན་གཞི་ཡི་སྒྲིབ་པ་སྦྱོང་བ་དང	künzhi yi dribpa jongwa dang
ཀུན་གཞི་སངས་རྒྱས་ང་དང་མཉམ༔	künzhi sangye nga dang nyam
ཀུན་གཞིའི་ཁམས་ལ་བག་ལ་ཉལ་གྱི་ཚུལ༔	künzhi kham la bak la nyal gyi tsul
ཀུན་གཞིའི་ངང་ནས་ལས་རླུང་གཡོས་པའི་འཕྲུལ༔	künzhi ngang né lé lung yöpé trul
ཀུན་གཞིའི་རྣམ་ཤེས་མྱུར་དུ་འགགས་ནས་ཀུན་གཞིའི་ཡེ་ཤེས་བདེ་ཆེན་མཁའ་ཁྱབ་ཆེན་པོ་མྱུར་ཐོབ་ཤོག	künzhi namshé nyurdu gak né künzhi yeshe dechen khakhyab chenpo nyur tob shok
ཀུན་གཞིའི་ལས་དང་ཤེས་བྱའི་སྒྲིབ་པ་སྦྱང	künzhi lé dang shejé dribpa jang
ཀུན་གཞིའི་ལས་དང་ཤེས་བྱའི་སྒྲིབ་པ་སྦྱངས	künzhi lé dang shejé dribpa jang
ཀུན་གཞིའི་སྒྲིབ་ཆ་ཕྲ་བའི	künzhi drib cha trawé
ཀུན་གཞིའི་སྒྲིབ་དག་ཡེ་ཤེས་བྱིན་རླབས་ཞུགས	künzhi drib dak yeshe jinlab zhuk
ཀུན་གཟིགས་ཆོས་ཀྱི་ཉི་མ་རྨོར་ཆེན་རྗེ	künzik chö kyi nyima morchen jé
ཀུན་གཟིགས་ཐུབ་བསྟན་ཆོས་ཀྱི་རྡོ་རྗེ་མཆོག	künzik tubten chö kyi dorjé chok
ཀུན་གཟིགས་མཁྱེན་བརྩེ་ནུས་པའི་གཏེར་ཆེན་པོ	künzik khyen tsé nüpé ter chenpo
ཀུན་གཟིགས་ཡེ་ཤེས་མེ་ལོང་འཆང་བའི་དངོས	künzik yeshe melong changwé ngö
ཀུན་གསལ་ཉི་ཟླའི་དཀྱིལ་འཁོར་དང་མཚུངས་པའི	kün sal nyidé kyilkhor dang tsungpé
ཀུན་གསལ་ཝེར་མའི་རྒྱལ་པོ	kun sal wermé gyalpo
ཀུན་གྱི་ཁྱབ་བདག་རྒྱུ་འབྲས་ཆོས༵་ཀུན་གྱི༵	kün gyi khyabdak gyundré chö kün gyi
ཀུན་གྱི་གཞི་ནི་འདུས་མ་བྱས༔	kün gyi zhi ni dümajé
ཀུན་གྱི་ངོ་བོར་གྱུར་པ་ལ༔	kün gyi ngowor gyurpa la
ཀུན་གྱི་ཉེར་འཚེ་ས་གཞི་ལྟ་བུ་ཡི	kün gyi nyertsé sa zhi tabu yi
ཀུན་གྱི་བཅུད་སྡུས་བུམ་པར་སྐྱིལ༔	kün gyi chü dü bumpar kyil
ཀུན་གྱི་བདག་ཉིད་ཨོ་རྒྱན་རིན་པོ་ཆེ༔	kün gyi daknyi orgyen rinpoche
ཀུན་གྱི་བདག་པོ་རུ་བཞུགས་པ	kün gyi dakpo ru zhukpa
ཀུན་གྱི་བླ་མ་རིན་པོ་ཆེ	kün gyi lama rinpoche
ཀུན་གྱི་མཐུན་པར་བསྒྲགས་པ་ཡི	kün gyi tünpar drakpa yi
ཀུན་གྱི་མཐུན་སྣང་གྲུབ་ཏུ་མངོན་པར་ཤོག	kün gyi tün nang drub tu ngönpar shok
ཀུན་གྱི་ཚེ་དང་བསོད་ནམས་སྡུས༔	kün gyi tsé dang sonam dü
ཀུན་གྱི་རིག་པ་རང་ཤེས་ཤོག༔	kün gyi rigpa rang shé shok
ཀུན་གྱིས་ཁྱེད་ལ་བཏུད་ཅིང་གྲགས་པ་ཡི	kün gyi khyé la tü ching drakpa yi
ཀུན་གྱིས་ཁྱོད་ལ་བཏུད་ཅིང་གྲགས་པ་ཡི	kun gyi khyö la tü ching drakpa yi
ཀུན་གྱིས་ཐོས་སར་འདི་བརྗོད་ན༔	kün gyi tö sar di jö na
ཀུན་གྱིས་བཀྲ་ཤིས་མཛད་དུ་གསོལ	kün gyi tashi dzé du sol
ཀུན་ཏུ་ཁྱབ་པ་བྱམས་པ་དག་གི་སྟོབས	küntu khyabpa jampa dak gi tob
ཀུན་ཏུ་ཁྱབ་པ་རྣམ་དག་ཀླུང་གི་ཁམས	küntu khyabpa namdak lung gi kham
ཀུན་ཏུ་ཐོགས་མེད་སྤྱན་ལྡན་པ	küntu tokmé chen denpa
ཀུན་ཏུ་དཔག་ཚད་ཙམ་དུ་སྣང་བྱེད་ཅིང	küntu paktsé tsam du nangjé ching
ཀུན་ཏུ་བཏགས་པའི་མ་རིག་པ༔	küntu takpé marikpa
ཀུན་ཏུ་བདེ་བ་རྒྱས་པས་མཆོད༔	küntu dewa gyepé chö
ཀུན་ཏུ་བཟང་པོ་ཀུན་བདག་ཉིད	kuntuzangpo kün daknyi
ཀུན་ཏུ་བཟང་པོ་ང་ཡིས་ཀྱང་༔	kuntuzangpo nga yi kyang
ཀུན་ཏུ་བཟང་པོ་དེ་ཡང་ཅི་འདྲ་བར	kuntuzangpo deyang chindrawar
ཀུན་ཏུ་བཟང་པོ་དེ་ཡང་དེ་བཞིན་ཏེ	kuntuzangpo deyang dezhin té
ཀུན་ཏུ་བཟང་པོ་བཟང་ངན་མེད་པ་ལ༔	kuntuzangpo zang ngen mepa la
ཀུན་ཏུ་བཟང་པོ་བླ་ན་མེད་པ་ཡི	kuntuzangpo lanamepa yi
ཀུན་ཏུ་བཟང་པོ་བླ་མེད་མཆོད་སྤྲིན་གྱིས	kuntuzangpo lamé chötrin gyi
ཀུན་ཏུ་བཟང་པོ་བླ་མེད་མཆོད་སྤྲིན་གྱིས༔	kuntuzangpo lamé chötrin gyi
ཀུན་ཏུ་བཟང་པོ་འོད་གསལ་རྡོ་རྗེ་ཡིས	kuntuzangpo ösal dorjé yi
ཀུན་ཏུ་བཟང་པོ་ཡབ་ཡུམ་ལ༔	kuntuzangpo yabyum la
ཀུན་ཏུ་བཟང་པོ་ཡེ་རྫོགས་རིག་པའི་ཀློང༌༔	kuntuzangpo yé dzok rigpé long
ཀུན་ཏུ་བཟང་པོའི་གོ་འཕང་ལ་འགོད་ཤོག	kuntu zangpö gopang la gö shok
ཀུན་ཏུ་བཟང་པོའི་ཏིང་ངེ་འཛིན་གྱིས་མཆོད	kuntuzangpö ting ngé dzin gyi chö
ཀུན་ཏུ་བཟང་པོའི་ཐུགས་དམ་བསྐང༌༔	kuntuzangpö tukdam kang
ཀུན་ཏུ་བཟང་པོའི་དགོངས་པའི་རྩལ་ཆེན་རྫོགས	kuntuzangpö gongpé tsal chen dzok
ཀུན་ཏུ་བཟང་པོའི་མཁའ་དབྱིངས་སུ༔	kuntuzangpö khaying su
ཀུན་ཏུ་བཟང་པོའི་མཆོད་པའི་སྤྲིན	kuntuzangpö chöpé trin
ཀུན་ཏུ་བཟང་པོའི་མཆོད་པའི་སྤྲིན་ཕུང་ཆེན་པོ་བསམ་གྱིས་མི་ཁྱབ་པར་དམིགས་ཏེ་འབུལ་ལོ	kuntuzangpö chöpé trinpung chenpo sam gyi mi khyabpar mik té bul lo
ཀུན་ཏུ་བཟང་པོའི་མཆོད་པའི་སྤྲིན་ཕུང་པོ	kuntuzangpö chöpé trin pung po
ཀུན་ཏུ་བཟང་པོའི་མཆོད་པས་བདེ་གཤེགས་མཆོད༔	kuntuzangpö chöpé deshek chö
ཀུན་ཏུ་བཟང་པོའི་མཆོད་སྤྲིན་ཇི་བཞིན་ཏིང་འཛིན་རོལ་མོ་བསམ་ཡས་ཀྱིས	kuntuzangpö chötrin jizhin tingdzin rolmo samyé kyi
ཀུན་ཏུ་བཟང་པོའི་མཆོད་སྤྲིན་རབ་འབྱམས་ཀྱིས	kuntuzangpö chötrin rabjam kyi
ཀུན་ཏུ་བཟང་པོའི་རོལ་པ་ལས	kuntuzangpö rolpa lé
ཀུན་ཏུ་བཟང་པོའི་རོལ་པ་ལས༔	kuntuzangpö rolpa lé
ཀུན་ཏུ་བཟང་པོའི་རྣམ་ཐར་ལས་བྱུང་བའི	kuntuzangpö namtar lé jungwé
ཀུན་ཏུ་བཟང་པོའི་སྤྱོད་པ་གང་ཡིན་པ	kuntuzangpö chöpa gang yinpa
ཀུན་ཏུ་བཟང་པོའི་སྤྲིན་གྱིས་མཆོད༔	kuntuzangpö trin gyi chö
ཀུན་ཏུ་བཟང་པོའི་སྨོན་ལམ་གྱིས༔	kuntuzangpö mönlam gyi
ཀུན་ཏུ་བཟང་པོའི་སྨོན་ལམ་མཐར་ཕྱིན་ཤོག	kuntuzangpö mönlam tarchin shok
ཀུན་ཏུ་བཟང་པོའི་སྨོན་ལམ་འཕྲུལ	kuntuzangpö mönlam trul
ཀུན་ཏུ་བཟང་པོའི་སྨོན་ལམ་རྣམ་པར་སྦྱང	kuntuzangpö mönlam nampar jang
ཀུན་ཏུ་བཟང་པོའི་སྨོན་ལམ་རྫོགས་བྱས་ཤིང	kuntuzangpö mönlam dzok jé shing
ཀུན་ཏུ་བཟང་པོའི་སྨོན་ལམ་ལས་བསྟན་པའི	kuntuzangpö mönlam lé tenpé
ཀུན་ཏུ་བཟང་པོས་བརྒྱན་པའི་གཞུང་གྲུབ་སྟེ	kuntuzangpö gyenpé zhung drub té
ཀུན་ཏུ་བཟང་མོ་གསང་བའི་བྷ་ག་ལ	kuntuzangmo sangwé bhaga la
ཀུན་ཏུ་བཟང་མོ་གསང་བའི་བྷ་ག་ལ༔	kuntuzangmo sangwé bhaga la
ཀུན་ཏུ་བཟང་མོ་ཡེ་ཤེས་ཁྲོས་པའི་རྩལ	kuntuzangmo yeshe tröpé tsal
ཀུན་ཏུ་བཟང་མོ་ཤེས་རབ་ཕ་རོལ་ཕྱིན	kuntuzangmo sherab parol chin
ཀུན་ཏུ་བཟང་མོའི་ཀློང་དུ་དག་གྱུར་ཅིག༔	kuntuzangmö long du dak gyur chik
ཀུན་ཏུ་བཟང་མོའི་ཀློང་དུ་དག་གྱུར་ཅིག༔	küntu zangmö long du dak gyur chik
ཀུན་ཏུ་བཟང་མོའི་དབྱིངས་ལས་སྤྲུལ་པ་ཡི	kuntuzangmö ying lé trulpa yi
ཀུན་ཏུ་བཟང་སོགས་སེམས་དཔའ་ཆེ་རྣམས་ཀྱི	kuntuzang sok sempa ché nam kyi
ཀུན་ཏུ་བལྟ་བས་མཆོག་ཏུ་དགའ	küntu tawé chok tu ga
ཀུན་ཏུ་མི་བཟད་ནུས་པར་ལྡན	kuntu mizé nüpar den
ཀུན་ཏུ་མི་བཟད་ནུས་པར་ལྡན	küntu mi zé nüpar den
ཀུན་ཏུ་མྱུར་བའི་རྫུ་འཕྲུལ་སྟོབས་རྣམས་དང	küntu nyurwé dzutrul tob nam dang
ཀུན་ཏུ་ཞི་མཛད་མ་ལ་ཕྱག་འཚལ་ལོ	küntu zhidzé ma la chaktsal lo
ཀུན་ཏུ་ཞེན་པའི་འདོད་ཆགས་བཅོམ༔	küntu zhenpé döchak chom
ཀུན་ཏུ་ཟབ་ཞི་སྤྲོས་བྲལ་ཆོས་ཉིད་དང	küntu zab zhi trödral chönyi dang
ཀུན་ཏུ་འགྲོ་བའི་དོན་སྟོན་པའི	küntu drowé dön tönpé
ཀུན་ཏུ་འོད་ཀྱི་ས་ནོན་ཤོག	kuntu ö kyi sa nön shok
ཀུན་ཏུ་འོད་ཀྱི་ས་བརྙེས་གཙང་སྟོན་པ	küntu ö kyi sa nyé tsang tönpa
ཀུན་ཏུ་ཡང་སྦྱིན་པའི་གནས་སུ་གྱུར་པ་ཆེན་པོའོ	kuntu yang jinpé né su gyurpa chenpo o
ཀུན་ཏུ་ཡང་སྦྱིན་པའི་གནས་སུ་གྱུར་པ་ཆེན་པོའོ	küntu yang jinpé né su gyurpa chenpo o
ཀུན་ཏུ་ཡོན་ཏན་སྤྱོད་པའི་སྟོབས་རྣམས་དང	küntu yönten chöpé tob nam dang
ཀུན་ཏུ་རྒྱུ་དང་བསླབ་གནས་རིགས་བྱེད་མཁན༔	küntugyu dang lab né rikjé khen
ཀུན་ཏུ་རྟོག་པ་ཐམས་ཅད་ཟད	küntu tokpa tamché zé
ཀུན་ཏུ་རྟོག་པ་ཐམས་ཅད་སྤངས	küntu tokpa tamché pang
ཀུན་ཏུ་རྟོག་བྲལ་ཡོངས་གྲུབ་གཉུག་མའི་དབྱིངས	küntu tokdral yongdrub nyukmé ying
ཀུན་ཏུ་རྨོངས་པའི་ཕྲག་དོག་བཅོམ༔	küntu mongpé trakdok chom
ཀུན་དགའ་བཀྲ་ཤིས་སྣ་ཚོགས་རང་སར་གྲོལ	kün ga tashi natsok rang sar drol
ཀུན་དགའ་བཟང་པོའི་ཞབས་ལ་གསོལ་བ་འདེབས	künga zangpö zhab la solwa deb
ཀུན་དགའ་བོ	küngawo 
ཀུན་དགའ་བོ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡི་གེ་གཅིག་མ་ཞེས་བྱ་བ་འདི་སེམས་ཅན་རྣམས་ལ་ཕན་པ་དང༌བདེ་བའི་ཕྱིར་ཟུང་ཤིག	küngawo sherab kyi parol tu chinpa yigé chik ma zhejawa di semchen nam la penpa dang dewé chir zung shik
ཀུན་དགའ་འབུམ་མ་བྱང་ཆུབ་ཆོས་སྒྲོན་སོགས༔	künga bumma changchub chödrön sok
ཀུན་དགའ་འོད་ཟེར་ཞབས་ལ་གསོལ་བ་འདེབས	künga özer zhab la solwa deb
ཀུན་དགའ་ར་བར་སྡེ་སྣོད་འཆད་སྤེལ་མཛད༔	kün ga rawar denö ché pel dzé
ཀུན་དགའ་རྒྱལ་མཚན་གསོལ་བ་འདེབས	kün ga gyaltsen solwa deb
ཀུན་དགའ་རྒྱལ་མཚན་མཚན་དཔེའི་གཞོན་ཚུལ་མཛེས	kün ga gyaltsen tsenpé zhön tsul dzé
ཀུན་དགའ་རྒྱལ་མཚན་ཞབས་ལ་གསོལ་བ་འདེབས	kün ga gyaltsen zhab la solwa deb
ཀུན་དགའ་རྣམ་རྒྱལ་ཞབས་ལ་གསོལ་བ་འདེབས	künga namgyal zhab la solwa deb
ཀུན་དགའ་ལེགས་པའི་ཞབས་ལ་གསོལ་བ་འདེབས	künga lekpé zhab la solwa deb
ཀུན་དགའ་སྙིང་པོ་འགྱུར་མེད་རྡོ་རྗེའི་ཞབས	kün ga nyingpo gyurmé dorjé zhab
ཀུན་དགའི་རིང་ལུགས་ཕྱོགས་བརྒྱར་སྤེལ་བ་ལ	kün gé ringluk chok gyar pelwa la
ཀུན་དོན་ཡོན་ཏན་གསུམ་གྱི་བདག	kün dön yönten sum gyi dak
ཀུན་ནས་ཀུན་ཏུ་དར་བའི་ཕྲིན་ལས་མཛོད	künné küntu darwé trinlé dzö
ཀུན་ནས་ཀུན་ཏུ་བཀྲམ་པའི་བསྟི་སྟང་ནི	künné küntu trampé ti tang ni
ཀུན་ནས་ཀུན་ཏུ་འོད་ཟེར་རབ་འབར་ཞིང	künné küntu özer rab bar zhing
ཀུན་ནས་གོ་ཆ་དགའ་བ་བརྗིད་ཀྱིས	künné gocha gawa ji kyi
ཀུན་ནས་དཀྲིས་པས་རྣམ་པར་དཀྲུགས	künné tripé nampar truk
ཀུན་ནས་དགེ་བ་བཟང་པོ་སྤྱད་པའི་ཕྱིར	künné gewa zangpo chepé chir
ཀུན་ནས་དགེ་བའི་བསོད་ནམས་སྟོབས་དག་དང	künné gewé sönam tob dak dang
ཀུན་ནས་དགེ་བའི་བསོད་ནམས་སྟོབས་དག་དང་	künné gewé sönam tob dak dang
